source_provider,source_endpoint,source_race_id,race_key,meeting_date,venue,race_number,race_distance_metres,has_sectionals,has_results,source_page_url,source_payload_file,provenance_status
RACING.COM,getRaceForm retained local payload,2026-05-30|CAULFIELD|R01,2026-05-30|CAULFIELD|R01,2026-05-30,Caulfield,1,,YES,YES,https://www.racing.com/form/2026-05-30/caulfield/race/1/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_a3072255c6b4ea5989.json,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED
RACING.COM,getRaceForm retained local payload,2026-05-30|CAULFIELD|R02,2026-05-30|CAULFIELD|R02,2026-05-30,Caulfield,2,,YES,YES,https://www.racing.com/form/2026-05-30/caulfield/race/2/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_e6294bfdb2c56d4301.json,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED
RACING.COM,getRaceForm retained local payload,2026-05-30|CAULFIELD|R03,2026-05-30|CAULFIELD|R03,2026-05-30,Caulfield,3,,YES,YES,https://www.racing.com/form/2026-05-30/caulfield/race/3/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_a15afedf76f227232c.json,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED
RACING.COM,getRaceForm retained local payload,2026-05-30|CAULFIELD|R04,2026-05-30|CAULFIELD|R04,2026-05-30,Caulfield,4,,YES,YES,https://www.racing.com/form/2026-05-30/caulfield/race/4/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_ef343c077d4b442633.json,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED
RACING.COM,getRaceForm retained local payload,2026-05-30|CAULFIELD|R05,2026-05-30|CAULFIELD|R05,2026-05-30,Caulfield,5,,YES,YES,https://www.racing.com/form/2026-05-30/caulfield/race/5/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_83cba1e27b2f578500.json,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED
RACING.COM,getRaceForm retained local payload,2026-05-30|CAULFIELD|R06,2026-05-30|CAULFIELD|R06,2026-05-30,Caulfield,6,,YES,YES,https://www.racing.com/form/2026-05-30/caulfield/race/6/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_9c572b617ab84983a2.json,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED
RACING.COM,getRaceForm retained local payload,2026-05-30|CAULFIELD|R07,2026-05-30|CAULFIELD|R07,2026-05-30,Caulfield,7,,YES,YES,https://www.racing.com/form/2026-05-30/caulfield/race/7/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_07aa3a15570397e606.json,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED
RACING.COM,getRaceForm retained local payload,2026-05-30|CAULFIELD|R08,2026-05-30|CAULFIELD|R08,2026-05-30,Caulfield,8,,YES,YES,https://www.racing.com/form/2026-05-30/caulfield/race/8/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_7987feba53e359d5bc.json,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED
RACING.COM,getRaceForm retained local payload,2026-05-30|CAULFIELD|R09,2026-05-30|CAULFIELD|R09,2026-05-30,Caulfield,9,,YES,YES,https://www.racing.com/form/2026-05-30/caulfield/race/9/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_bea0fbe9f6d6d11837.json,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED
RACING.COM,getRaceForm retained local payload,2026-05-30|PICKLEBET PARK WERRIBEE|R01,2026-05-30|PICKLEBET PARK WERRIBEE|R01,2026-05-30,Picklebet Park Werribee,1,,YES,YES,https://www.racing.com/form/2026-05-30/picklebet-park-werribee/race/1/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_d6d920c7bf01727fe8.json,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED
