source_provider,source_endpoint,race_key,meeting_date,venue,race_number,race_time_raw,race_time_seconds,timing_source,is_timing_complete,response_hash,provenance_status
RACING.COM,getRaceForm retained local payload,2026-05-30|CAULFIELD|R01,2026-05-30,Caulfield,1,1:13.60,73.6,TripleS,true,30da2e85f25333aba1fc24b7b455d44df4b17c2338c97b89ddebc098029a4b65,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED
RACING.COM,getRaceForm retained local payload,2026-05-30|CAULFIELD|R02,2026-05-30,Caulfield,2,1:12.34,72.34,TripleS,true,49de5dd75be264baa5ec71776a878599b626e4baefab5f660aed0de5f553e7bd,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED
RACING.COM,getRaceForm retained local payload,2026-05-30|CAULFIELD|R03,2026-05-30,Caulfield,3,1:26.51,86.51,TripleS,true,3cf4b36c50aa75a30e9d464bcdedcd0e1609bef16c884064a19755eb3a8e7833,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED
RACING.COM,getRaceForm retained local payload,2026-05-30|CAULFIELD|R04,2026-05-30,Caulfield,4,1:40.16,100.16,TripleS,true,7b5e7bb9f53ec5a8568371897ba68825e168fd9a078568d3fef5bdaa9bc5aefd,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED
RACING.COM,getRaceForm retained local payload,2026-05-30|CAULFIELD|R05,2026-05-30,Caulfield,5,1:39.79,99.79,TripleS,true,d441d9cd0e8e9a68c07739265ea4c373af6a6c551109e89088a34ce68e4e28dc,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED
RACING.COM,getRaceForm retained local payload,2026-05-30|CAULFIELD|R06,2026-05-30,Caulfield,6,2:07.59,127.59,TripleS,true,cc240634a68931a495dd68843875564501d24016b276e800cd08a96b2693d9f5,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED
RACING.COM,getRaceForm retained local payload,2026-05-30|CAULFIELD|R07,2026-05-30,Caulfield,7,1:05.75,65.75,TripleS,true,77adf8977a41efaa09d5d27ddbf8b6c3fa410fa02de35f013feb9e855509abab,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED
RACING.COM,getRaceForm retained local payload,2026-05-30|CAULFIELD|R08,2026-05-30,Caulfield,8,1:05.54,65.54,TripleS,true,d8365b54731a11c82014977757dee77cf7274015ff5e859022d4e5fd9d427bf0,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED
RACING.COM,getRaceForm retained local payload,2026-05-30|CAULFIELD|R09,2026-05-30,Caulfield,9,1:13.39,73.39,TripleS,true,4c455a20b0f6081eb138332ff17b8bac44554f4e452d6fb7db8429a528141ac9,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED
RACING.COM,getRaceForm retained local payload,2026-05-30|PICKLEBET PARK WERRIBEE|R01,2026-05-30,Picklebet Park Werribee,1,1:00.20,60.2,dailysectionals,true,e5202e9b0f01ba9963c4fdd98d5c0ff73b43dd79bd5c6ded7a959f9899ab1eb1,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED
RACING.COM,getRaceForm retained local payload,2026-05-30|PICKLEBET PARK WERRIBEE|R02,2026-05-30,Picklebet Park Werribee,2,1:28.44,88.44,dailysectionals,true,ec5192e85d2da9f045bb2a72ac72609bfbc4701f33b117e610834c70748734d7,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED
RACING.COM,getRaceForm retained local payload,2026-05-30|PICKLEBET PARK WERRIBEE|R03,2026-05-30,Picklebet Park Werribee,3,2:24.18,144.18,dailysectionals,true,d1f9d0acf4545b80aa43cd30c5edec82b284e671f9eddce770aae7dcefe62fc3,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED
RACING.COM,getRaceForm retained local payload,2026-05-30|PICKLEBET PARK WERRIBEE|R04,2026-05-30,Picklebet Park Werribee,4,2:23.46,143.46,dailysectionals,true,8c72e146b6c8b1ea79870386b7157e43549376047c5f80ba4f38a24594490347,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED
RACING.COM,getRaceForm retained local payload,2026-05-30|PICKLEBET PARK WERRIBEE|R05,2026-05-30,Picklebet Park Werribee,5,1:40.96,100.96,dailysectionals,true,3458f2e2f68b4c6d3ffba74238985dd09f8c257cc68a262a39ac8660c2cc1bb1,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED
RACING.COM,getRaceForm retained local payload,2026-05-30|PICKLEBET PARK WERRIBEE|R06,2026-05-30,Picklebet Park Werribee,6,1:28.10,88.1,dailysectionals,true,9b2971932bd98b13e6946bab3522a6115f728582c098838b9b2948b9811eea20,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED
RACING.COM,getRaceForm retained local payload,2026-05-30|PICKLEBET PARK WERRIBEE|R07,2026-05-30,Picklebet Park Werribee,7,1:00.08,60.08,dailysectionals,true,1bf366cc780a75604929156b6c14862968a8817d0b22068869e08271674d6771,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED
RACING.COM,getRaceForm retained local payload,2026-05-31|SPORTSBET SANDOWN LAKESIDE|R03,2026-05-31,Sportsbet Sandown Lakeside,3,1:40.94,100.94,TripleS,true,700ec23569d41e79aa48d85a3e1652f0fecb7354dd5f1871bae18d885c2023a8,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED
RACING.COM,getRaceForm retained local payload,2026-05-31|SPORTSBET SANDOWN LAKESIDE|R05,2026-05-31,Sportsbet Sandown Lakeside,5,2:13.27,133.27,TripleS,true,34d89bff86951f7e4cdbabcbef6b170a5d69d16205a4d28691b6ef96ff036589,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED
RACING.COM,getRaceForm retained local payload,2026-05-31|SPORTSBET SANDOWN LAKESIDE|R06,2026-05-31,Sportsbet Sandown Lakeside,6,3:31.31,211.31,TripleS,true,fdc4325c0fc1a42067882c7452fbe66c0a7939a5b807a1ba06df9adab5a5042b,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED
RACING.COM,getRaceForm retained local payload,2026-05-31|SPORTSBET SANDOWN LAKESIDE|R07,2026-05-31,Sportsbet Sandown Lakeside,7,1:26.60,86.6,TripleS,true,85342c4e43dffcbea38a5ebd04838a402fbcf0a94aedb707d8acb3efedfb99b4,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED
