source_provider,source_endpoint,source_resource_url_hash,source_meeting_id,source_race_id,source_runner_id,meeting_date,venue,race_number,race_distance_metres,runner_name,saddlecloth_number,finish_position,section_start_metres,section_end_metres,section_distance_metres,section_time_seconds,section_rank,cumulative_time_seconds,distance_from_finish_metres,timing_unit_original,timing_unit_normalised,source_retrieved_at,source_published_at,response_hash,provenance_status,identity_status,validation_status
RACING.COM,getRaceForm data.sectionaltimes_callback.Horses[].SplitTimes,05f70d980ff21444b5744be9e9ca168e088e931ba5605eb272d5613d5c3eaa47,,2026-05-30|CAULFIELD|R01,15636586,2026-05-30,Caulfield,1,1200,Crank,1,8,1200,1000,200,14.34,3,60.64,1000,metres-from-finish split label,section_start_metres_to_section_end_metres_from_finish,,,30da2e85f25333aba1fc24b7b455d44df4b17c2338c97b89ddebc098029a4b65,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED,PASS,PASS
RACING.COM,getRaceForm data.sectionaltimes_callback.Horses[].SplitTimes,05f70d980ff21444b5744be9e9ca168e088e931ba5605eb272d5613d5c3eaa47,,2026-05-30|CAULFIELD|R01,15636586,2026-05-30,Caulfield,1,800,Crank,1,8,1000,800,200,11.65,3,48.99,800,metres-from-finish split label,section_start_metres_to_section_end_metres_from_finish,,,30da2e85f25333aba1fc24b7b455d44df4b17c2338c97b89ddebc098029a4b65,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED,PASS,PASS
RACING.COM,getRaceForm data.sectionaltimes_callback.Horses[].SplitTimes,05f70d980ff21444b5744be9e9ca168e088e931ba5605eb272d5613d5c3eaa47,,2026-05-30|CAULFIELD|R01,15636586,2026-05-30,Caulfield,1,800,Crank,1,8,800,600,200,12.33,3,36.66,600,metres-from-finish split label,section_start_metres_to_section_end_metres_from_finish,,,30da2e85f25333aba1fc24b7b455d44df4b17c2338c97b89ddebc098029a4b65,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED,PASS,PASS
RACING.COM,getRaceForm data.sectionaltimes_callback.Horses[].SplitTimes,05f70d980ff21444b5744be9e9ca168e088e931ba5605eb272d5613d5c3eaa47,,2026-05-30|CAULFIELD|R01,15636586,2026-05-30,Caulfield,1,600,Crank,1,8,600,400,200,12,5,24.66,400,metres-from-finish split label,section_start_metres_to_section_end_metres_from_finish,,,30da2e85f25333aba1fc24b7b455d44df4b17c2338c97b89ddebc098029a4b65,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED,PASS,PASS
RACING.COM,getRaceForm data.sectionaltimes_callback.Horses[].SplitTimes,05f70d980ff21444b5744be9e9ca168e088e931ba5605eb272d5613d5c3eaa47,,2026-05-30|CAULFIELD|R01,15636586,2026-05-30,Caulfield,1,400,Crank,1,8,400,200,200,11.79,5,12.87,200,metres-from-finish split label,section_start_metres_to_section_end_metres_from_finish,,,30da2e85f25333aba1fc24b7b455d44df4b17c2338c97b89ddebc098029a4b65,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED,PASS,PASS
RACING.COM,getRaceForm data.sectionaltimes_callback.Horses[].SplitTimes,05f70d980ff21444b5744be9e9ca168e088e931ba5605eb272d5613d5c3eaa47,,2026-05-30|CAULFIELD|R01,15636586,2026-05-30,Caulfield,1,200,Crank,1,8,200,0,200,12.87,8,,0,metres-from-finish split label,section_start_metres_to_section_end_metres_from_finish,,,30da2e85f25333aba1fc24b7b455d44df4b17c2338c97b89ddebc098029a4b65,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED,PASS,PASS
RACING.COM,getRaceForm data.sectionaltimes_callback.Horses[].SplitTimes,05f70d980ff21444b5744be9e9ca168e088e931ba5605eb272d5613d5c3eaa47,,2026-05-30|CAULFIELD|R01,15632919,2026-05-30,Caulfield,1,1200,Obambulate,2,1,1200,1000,200,14.22,2,59.38,1000,metres-from-finish split label,section_start_metres_to_section_end_metres_from_finish,,,30da2e85f25333aba1fc24b7b455d44df4b17c2338c97b89ddebc098029a4b65,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED,PASS,PASS
RACING.COM,getRaceForm data.sectionaltimes_callback.Horses[].SplitTimes,05f70d980ff21444b5744be9e9ca168e088e931ba5605eb272d5613d5c3eaa47,,2026-05-30|CAULFIELD|R01,15632919,2026-05-30,Caulfield,1,800,Obambulate,2,1,1000,800,200,11.7,2,47.68,800,metres-from-finish split label,section_start_metres_to_section_end_metres_from_finish,,,30da2e85f25333aba1fc24b7b455d44df4b17c2338c97b89ddebc098029a4b65,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED,PASS,PASS
RACING.COM,getRaceForm data.sectionaltimes_callback.Horses[].SplitTimes,05f70d980ff21444b5744be9e9ca168e088e931ba5605eb272d5613d5c3eaa47,,2026-05-30|CAULFIELD|R01,15632919,2026-05-30,Caulfield,1,800,Obambulate,2,1,800,600,200,12.26,2,35.42,600,metres-from-finish split label,section_start_metres_to_section_end_metres_from_finish,,,30da2e85f25333aba1fc24b7b455d44df4b17c2338c97b89ddebc098029a4b65,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED,PASS,PASS
RACING.COM,getRaceForm data.sectionaltimes_callback.Horses[].SplitTimes,05f70d980ff21444b5744be9e9ca168e088e931ba5605eb272d5613d5c3eaa47,,2026-05-30|CAULFIELD|R01,15632919,2026-05-30,Caulfield,1,600,Obambulate,2,1,600,400,200,12,2,23.42,400,metres-from-finish split label,section_start_metres_to_section_end_metres_from_finish,,,30da2e85f25333aba1fc24b7b455d44df4b17c2338c97b89ddebc098029a4b65,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED,PASS,PASS
RACING.COM,getRaceForm data.sectionaltimes_callback.Horses[].SplitTimes,05f70d980ff21444b5744be9e9ca168e088e931ba5605eb272d5613d5c3eaa47,,2026-05-30|CAULFIELD|R01,15632919,2026-05-30,Caulfield,1,400,Obambulate,2,1,400,200,200,11.36,1,12.06,200,metres-from-finish split label,section_start_metres_to_section_end_metres_from_finish,,,30da2e85f25333aba1fc24b7b455d44df4b17c2338c97b89ddebc098029a4b65,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED,PASS,PASS
RACING.COM,getRaceForm data.sectionaltimes_callback.Horses[].SplitTimes,05f70d980ff21444b5744be9e9ca168e088e931ba5605eb272d5613d5c3eaa47,,2026-05-30|CAULFIELD|R01,15632919,2026-05-30,Caulfield,1,200,Obambulate,2,1,200,0,200,12.06,1,,0,metres-from-finish split label,section_start_metres_to_section_end_metres_from_finish,,,30da2e85f25333aba1fc24b7b455d44df4b17c2338c97b89ddebc098029a4b65,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED,PASS,PASS
RACING.COM,getRaceForm data.sectionaltimes_callback.Horses[].SplitTimes,05f70d980ff21444b5744be9e9ca168e088e931ba5605eb272d5613d5c3eaa47,,2026-05-30|CAULFIELD|R01,15637371,2026-05-30,Caulfield,1,1200,Carnevale,3,7,1200,1000,200,14.41,4,60.06,1000,metres-from-finish split label,section_start_metres_to_section_end_metres_from_finish,,,30da2e85f25333aba1fc24b7b455d44df4b17c2338c97b89ddebc098029a4b65,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED,PASS,PASS
