repository_file,extension,bytes,field_categories,track_ids_found,relevant_url_count,candidate_status,notes
data\weather\live_raw_on_track_weather_source_status_v1.csv,.csv,728,,FLEMINGTON|CAULFIELD|MORNINGTON,0,REVIEW,
data\weather\live_raw_on_track_weather_v1.csv,.csv,1536,,FLEMINGTON|CAULFIELD|MORNINGTON,4,REVIEW,
data\weather\live_raw_on_track_weather_v1.json,.json,28737,IRRIGATION_GENERAL|RAIL_CURRENT|TRACK_CONDITION,FLEMINGTON|CAULFIELD|MORNINGTON,14,REVIEW,
data\weather\on_track_live_endpoint_candidates_v1.csv,.csv,241339,TRACK_CONDITION,FLEMINGTON|CAULFIELD|MORNINGTON,55,REVIEW,
data\weather\on_track_weather_all_units_v1.csv,.csv,380,,FLEMINGTON|CAULFIELD|MORNINGTON,0,REVIEW,
data\weather\on_track_weather_freshness_v1.csv,.csv,802,,FLEMINGTON|CAULFIELD|MORNINGTON,0,REVIEW,
data\weather\on_track_weather_governed_v1_1.csv,.csv,4364,RAINFALL_24H|TRACK_CONDITION,FLEMINGTON|CAULFIELD|MORNINGTON,7,REVIEW,
data\weather\on_track_weather_governed_v1_1_lineage.csv,.csv,3204,RAINFALL_24H|RAINFALL_7D,FLEMINGTON|CAULFIELD|MORNINGTON,0,REVIEW,
data\weather\on_track_weather_governed_v1_2.csv,.csv,2703,RAINFALL_24H|TRACK_CONDITION,FLEMINGTON|CAULFIELD|MORNINGTON,4,REVIEW,
data\weather\on_track_weather_governed_v1_2_lineage.csv,.csv,7196,RAINFALL_24H|TRACK_CONDITION,FLEMINGTON|CAULFIELD|MORNINGTON,0,REVIEW,
data\weather\on_track_weather_observation_lineage_v1.csv,.csv,8238,RAINFALL_24H|RAINFALL_7D|TRACK_CONDITION,FLEMINGTON|CAULFIELD|MORNINGTON,0,REVIEW,
data\weather\on_track_weather_observation_v1.csv,.csv,3582,RAINFALL_24H|TRACK_CONDITION,FLEMINGTON|CAULFIELD|MORNINGTON,7,REVIEW,
data\weather\on_track_weather_payload_inventory_v1.csv,.csv,916,,FLEMINGTON|CAULFIELD|MORNINGTON,0,REVIEW,
data\weather\on_track_weather_units_v1.csv,.csv,477,,FLEMINGTON|CAULFIELD|MORNINGTON,0,REVIEW,
data\weather\turftrax_live_request_contract_candidates_v1.csv,.csv,15298,TRACK_CONDITION,FLEMINGTON|CAULFIELD|MORNINGTON,8,REVIEW,
data\weather-source-audit\live-turftrax\caulfield_raw.json,.json,42632,GOING_STICK|IRRIGATION_GENERAL|RAIL_CURRENT|TRACK_CONDITION|UPDATED_TIME,CAULFIELD,2,HIGH_VALUE,
data\weather-source-audit\live-turftrax\ladbrokes_raw.json,.json,31276,IRRIGATION_GENERAL|TRACK_CONDITION|UPDATED_TIME,,2,REVIEW,
