repository_file,url,authority,possible_role,verification_status,track_name,endpoint_type,notes
data\weather\live_raw_on_track_weather_v1.csv,"https://www.vrc.com.au/track-and-weather-conditions/,https://www.vrc.com.au/umbraco/api/TurfSportsAPI/GetTurfData,GET,20260713T205456Z,200,application/json",VRC,TRACK_CONDITIONS_OR_MEETING_SOURCE,UNVERIFIED,,,
data\weather\live_raw_on_track_weather_v1.csv,"https://its.turftrax.co.uk/visualiser/caulfield/,https://its.turftrax.co.uk/visualiser/stream/caulfield.html,GET,20260713T205456Z,200,application/json",TURFTRAX,TRACK_CONDITIONS_OR_MEETING_SOURCE,UNVERIFIED,,,
data\weather\live_raw_on_track_weather_v1.csv,"https://its.turftrax.co.uk/visualiser/ladbrokes/,https://its.turftrax.co.uk/visualiser/stream/ladbrokes.html,GET,20260713T205456Z,200,application/json",TURFTRAX,TRACK_CONDITIONS_OR_MEETING_SOURCE,UNVERIFIED,,,
data\weather\live_raw_on_track_weather_v1.csv,"https://its.turftrax.co.uk/visualiser/mornington/,https://its.turftrax.co.uk/visualiser/stream/mornington.html,GET,20260713T205456Z,200,application/json",TURFTRAX,TRACK_CONDITIONS_OR_MEETING_SOURCE,UNVERIFIED,,,
data\weather\live_raw_on_track_weather_v1.json,https://www.vrc.com.au/track-and-weather-conditions/,VRC,TRACK_CONDITIONS_OR_MEETING_SOURCE,UNVERIFIED,,,
data\weather\live_raw_on_track_weather_v1.json,https://www.vrc.com.au/umbraco/api/TurfSportsAPI/GetTurfData,VRC,TRACK_CONDITIONS_OR_MEETING_SOURCE,UNVERIFIED,,,
data\weather\live_raw_on_track_weather_v1.json,https://its.turftrax.co.uk/visualiser/caulfield/,TURFTRAX,TRACK_CONDITIONS_OR_MEETING_SOURCE,UNVERIFIED,,,
data\weather\live_raw_on_track_weather_v1.json,https://its.turftrax.co.uk/visualiser/stream/caulfield.html,TURFTRAX,TRACK_CONDITIONS_OR_MEETING_SOURCE,UNVERIFIED,,,
data\weather\live_raw_on_track_weather_v1.json,https://api.turftrax.co.uk/maps/going-reports/338784_waypoints.svg,TURFTRAX,TRACK_CONDITIONS_OR_MEETING_SOURCE,UNVERIFIED,,,
data\weather\live_raw_on_track_weather_v1.json,https://api.turftrax.co.uk/maps/going-reports/338784_zones.svg,TURFTRAX,TRACK_CONDITIONS_OR_MEETING_SOURCE,UNVERIFIED,,,
data\weather\live_raw_on_track_weather_v1.json,https://its.turftrax.co.uk/visualiser/ladbrokes/,TURFTRAX,TRACK_CONDITIONS_OR_MEETING_SOURCE,UNVERIFIED,,,
data\weather\live_raw_on_track_weather_v1.json,https://its.turftrax.co.uk/visualiser/stream/ladbrokes.html,TURFTRAX,TRACK_CONDITIONS_OR_MEETING_SOURCE,UNVERIFIED,,,
data\weather\live_raw_on_track_weather_v1.json,https://api.turftrax.co.uk/maps/going-reports/338934_waypoints.svg,TURFTRAX,TRACK_CONDITIONS_OR_MEETING_SOURCE,UNVERIFIED,,,
data\weather\live_raw_on_track_weather_v1.json,https://api.turftrax.co.uk/maps/going-reports/338934_zones.svg,TURFTRAX,TRACK_CONDITIONS_OR_MEETING_SOURCE,UNVERIFIED,,,
data\weather\live_raw_on_track_weather_v1.json,https://its.turftrax.co.uk/visualiser/mornington/,TURFTRAX,TRACK_CONDITIONS_OR_MEETING_SOURCE,UNVERIFIED,,,
data\weather\live_raw_on_track_weather_v1.json,https://its.turftrax.co.uk/visualiser/stream/mornington.html,TURFTRAX,TRACK_CONDITIONS_OR_MEETING_SOURCE,UNVERIFIED,,,
data\weather\live_raw_on_track_weather_v1.json,https://api.turftrax.co.uk/maps/going-reports/335148_waypoints.svg,TURFTRAX,TRACK_CONDITIONS_OR_MEETING_SOURCE,UNVERIFIED,,,
data\weather\live_raw_on_track_weather_v1.json,https://api.turftrax.co.uk/maps/going-reports/335148_zones.svg,TURFTRAX,TRACK_CONDITIONS_OR_MEETING_SOURCE,UNVERIFIED,,,
data\weather\on_track_live_endpoint_candidates_v1.csv,https://api.turftrax.co.uk/maps/going-reports/338784_waypoints.svg,TURFTRAX,TRACK_CONDITIONS_OR_MEETING_SOURCE,UNVERIFIED,,,
data\weather\on_track_live_endpoint_candidates_v1.csv,https://api.turftrax.co.uk/maps/going-reports/338784_zones.svg,TURFTRAX,TRACK_CONDITIONS_OR_MEETING_SOURCE,UNVERIFIED,,,
data\weather\on_track_live_endpoint_candidates_v1.csv,https://api.turftrax.co.uk/maps/going-reports/338681_waypoints.svg,TURFTRAX,TRACK_CONDITIONS_OR_MEETING_SOURCE,UNVERIFIED,,,
data\weather\on_track_live_endpoint_candidates_v1.csv,https://api.turftrax.co.uk/maps/going-reports/338681_zones.svg,TURFTRAX,TRACK_CONDITIONS_OR_MEETING_SOURCE,UNVERIFIED,,,
data\weather\on_track_live_endpoint_candidates_v1.csv,https://api.turftrax.co.uk/maps/going-reports/335148_waypoints.svg,TURFTRAX,TRACK_CONDITIONS_OR_MEETING_SOURCE,UNVERIFIED,,,
data\weather\on_track_live_endpoint_candidates_v1.csv,https://api.turftrax.co.uk/maps/going-reports/335148_zones.svg,TURFTRAX,TRACK_CONDITIONS_OR_MEETING_SOURCE,UNVERIFIED,,,
data\weather\on_track_live_endpoint_candidates_v1.csv,https://its.turftrax.co.uk/visualiser/caulfield/,TURFTRAX,TRACK_CONDITIONS_OR_MEETING_SOURCE,UNVERIFIED,,,
data\weather\on_track_live_endpoint_candidates_v1.csv,https://twitter.com/turftrax,TURFTRAX,TRACK_CONDITIONS_OR_MEETING_SOURCE,UNVERIFIED,,,
data\weather\on_track_live_endpoint_candidates_v1.csv,https://www.turftrax.com,TURFTRAX,TRACK_CONDITIONS_OR_MEETING_SOURCE,UNVERIFIED,,,
data\weather\on_track_live_endpoint_candidates_v1.csv,https://its.turftrax.co.uk/visualiser/assets/css/base.css,TURFTRAX,TRACK_CONDITIONS_OR_MEETING_SOURCE,UNVERIFIED,,,
data\weather\on_track_live_endpoint_candidates_v1.csv,https://its.turftrax.co.uk/visualiser/caulfield/livery.css,TURFTRAX,TRACK_CONDITIONS_OR_MEETING_SOURCE,UNVERIFIED,,,
data\weather\on_track_live_endpoint_candidates_v1.csv,https://its.turftrax.co.uk/visualiser/assets/js/common.js,TURFTRAX,TRACK_CONDITIONS_OR_MEETING_SOURCE,UNVERIFIED,,,
data\weather\on_track_live_endpoint_candidates_v1.csv,https://its.turftrax.co.uk/visualiser/assets/js/base.js,TURFTRAX,TRACK_CONDITIONS_OR_MEETING_SOURCE,UNVERIFIED,,,
data\weather\on_track_live_endpoint_candidates_v1.csv,http://hub-uat.turftrax.co.uk/going-report,TURFTRAX,TRACK_CONDITIONS_OR_MEETING_SOURCE,UNVERIFIED,,,
data\weather\on_track_live_endpoint_candidates_v1.csv,http://hub.turftrax.co.uk/going-report,TURFTRAX,TRACK_CONDITIONS_OR_MEETING_SOURCE,UNVERIFIED,,,
data\weather\on_track_live_endpoint_candidates_v1.csv,https://its.turftrax.co.uk/visualiser/mornington/,TURFTRAX,TRACK_CONDITIONS_OR_MEETING_SOURCE,UNVERIFIED,,,
data\weather\on_track_live_endpoint_candidates_v1.csv,https://its.turftrax.co.uk/visualiser/mornington/livery.css,TURFTRAX,TRACK_CONDITIONS_OR_MEETING_SOURCE,UNVERIFIED,,,
data\weather\on_track_live_endpoint_candidates_v1.csv,https://its.turftrax.co.uk/visualiser/ladbrokes/,TURFTRAX,TRACK_CONDITIONS_OR_MEETING_SOURCE,UNVERIFIED,,,
data\weather\on_track_live_endpoint_candidates_v1.csv,https://its.turftrax.co.uk/visualiser/ladbrokes/livery.css,TURFTRAX,TRACK_CONDITIONS_OR_MEETING_SOURCE,UNVERIFIED,,,
data\weather\on_track_live_endpoint_candidates_v1.csv,https://its.turftrax.co.uk/visualiser/stream/,TURFTRAX,TRACK_CONDITIONS_OR_MEETING_SOURCE,UNVERIFIED,,,
data\weather\on_track_live_endpoint_candidates_v1.csv,https://its.turftrax.co.uk/visualiser/stream/?client=caulfield,TURFTRAX,TRACK_CONDITIONS_OR_MEETING_SOURCE,UNVERIFIED,,,
data\weather\on_track_live_endpoint_candidates_v1.csv,https://its.turftrax.co.uk/visualiser/stream/?clientName=caulfield,TURFTRAX,TRACK_CONDITIONS_OR_MEETING_SOURCE,UNVERIFIED,,,
data\weather\on_track_live_endpoint_candidates_v1.csv,https://its.turftrax.co.uk/visualiser/stream/?name=caulfield,TURFTRAX,TRACK_CONDITIONS_OR_MEETING_SOURCE,UNVERIFIED,,,
