track_id,track_name,matching_file_count,field_categories_found,track_condition_evidence,rail_evidence,irrigation_evidence,rainfall_evidence,update_time_evidence,matching_files,status,notes
FLEMINGTON,Flemington,110,GOING_STICK|IRRIGATION_24H|IRRIGATION_7D|IRRIGATION_GENERAL|MEETING_STATUS|PENETROMETER|RAIL_CURRENT|RAIL_PREVIOUS|RAINFALL_24H|RAINFALL_7D|TRACK_CONDITION|TRACK_MANAGER_COMMENT|UPDATED_TIME,YES,YES,YES,YES,YES,data\weather\live_raw_on_track_weather_source_status_v1.csv|data\weather\live_raw_on_track_weather_v1.csv|data\weather\live_raw_on_track_weather_v1.json|data\weather\on_track_live_endpoint_candidates_v1.csv|data\weather\on_track_weather_all_units_v1.csv|data\weather\on_track_weather_freshness_v1.csv|data\weather\on_track_weather_governed_v1_1.csv|data\weather\on_track_weather_governed_v1_1_lineage.csv|data\weather\on_track_weather_governed_v1_2.csv|data\weather\on_track_weather_governed_v1_2_lineage.csv|data\weather\on_track_weather_observation_lineage_v1.csv|data\weather\on_track_weather_observation_v1.csv|data\weather\on_track_weather_payload_inventory_v1.csv|data\weather\on_track_weather_units_v1.csv|data\weather\turftrax_live_request_contract_candidates_v1.csv|public\data\edgeiq_barrier_bias_by_track_v1.csv|public\data\edgeiq_barrier_rail_condition_bias_replay_v1.json|public\data\edgeiq_comprehensive_predictive_model_research_v1_by_track.csv|public\data\edgeiq_condition_bias_by_track_v1.csv|public\data\edgeiq_execution_tracking_v2.csv,EVIDENCE_FOUND,
CAULFIELD,Caulfield,128,GOING_STICK|IRRIGATION_24H|IRRIGATION_7D|IRRIGATION_GENERAL|MEETING_STATUS|PENETROMETER|RAIL_CURRENT|RAIL_PREVIOUS|RAINFALL_24H|RAINFALL_7D|TRACK_CONDITION|TRACK_MANAGER_COMMENT|UPDATED_TIME,YES,YES,YES,YES,YES,data\weather\live_raw_on_track_weather_source_status_v1.csv|data\weather\live_raw_on_track_weather_v1.csv|data\weather\live_raw_on_track_weather_v1.json|data\weather\on_track_live_endpoint_candidates_v1.csv|data\weather\on_track_weather_all_units_v1.csv|data\weather\on_track_weather_freshness_v1.csv|data\weather\on_track_weather_governed_v1_1.csv|data\weather\on_track_weather_governed_v1_1_lineage.csv|data\weather\on_track_weather_governed_v1_2.csv|data\weather\on_track_weather_governed_v1_2_lineage.csv|data\weather\on_track_weather_observation_lineage_v1.csv|data\weather\on_track_weather_observation_v1.csv|data\weather\on_track_weather_payload_inventory_v1.csv|data\weather\on_track_weather_units_v1.csv|data\weather\turftrax_live_request_contract_candidates_v1.csv|data\weather-source-audit\live-turftrax\caulfield_raw.json|data\weather-source-audit\racing-australia-vic\track_conditions_page.html|data\weather-source-audit\turftrax\caulfield\audit.json|data\weather-source-audit\turftrax\caulfield\audit_report.txt|data\weather-source-audit\turftrax\caulfield\page.html,EVIDENCE_FOUND,
CAULFIELD_HEATH,Caulfield Heath,53,GOING_STICK|IRRIGATION_24H|IRRIGATION_7D|IRRIGATION_GENERAL|MEETING_STATUS|PENETROMETER|RAIL_CURRENT|RAIL_PREVIOUS|RAINFALL_24H|RAINFALL_7D|TRACK_CONDITION|TRACK_MANAGER_COMMENT|UPDATED_TIME,YES,YES,YES,YES,YES,public\data\edgeiq_barrier_bias_by_track_v1.csv|public\data\edgeiq_comprehensive_predictive_model_research_v1_by_track.csv|public\data\edgeiq_condition_bias_by_track_v1.csv|public\data\edgeiq_historical_meeting_feed_v1.csv|public\data\edgeiq_jockey_track_profiles_graphql_v1.csv|public\data\edgeiq_pre_result_market_rank1_join_audit_v1_by_track.csv|public\data\edgeiq_predictive_engine_baseline_benchmark_v1_by_track.csv|public\data\edgeiq_predictive_engine_baseline_v1_by_track.csv|public\data\edgeiq_race_strength_conditional_audit_v1.csv|public\data\edgeiq_racingcom_three_day_raw_meetings_v1.json|public\data\edgeiq_rail_data_discovery_audit_v1.csv|public\data\edgeiq_results_calendar_meetings_v1.csv|public\data\edgeiq_results_warehouse_track_coverage_v1.csv|public\data\edgeiq_run_style_bias_by_track_v1.csv|public\data\edgeiq_sectional_outcome_tracking_v1.csv|public\data\edgeiq_sp_bias_audit_v1_by_track.csv|public\data\edgeiq_sp_coverage_diagnosis_v1_by_track.csv|public\data\edgeiq_track_alias_bridge_v1.csv|public\data\edgeiq_track_alias_engine_v1.csv|public\data\edgeiq_track_bias_by_track_v1.csv,EVIDENCE_FOUND,
SANDOWN_HILLSIDE,Sandown Hillside,48,GOING_STICK|IRRIGATION_24H|IRRIGATION_7D|IRRIGATION_GENERAL|MEETING_STATUS|PENETROMETER|RAIL_CURRENT|RAIL_PREVIOUS|RAINFALL_24H|RAINFALL_7D|TRACK_CONDITION|TRACK_MANAGER_COMMENT|UPDATED_TIME,YES,YES,YES,YES,YES,data\weather-source-audit\racing-australia-vic\track_conditions_page.html|public\data\edgeiq_barrier_bias_by_track_v1.csv|public\data\edgeiq_comprehensive_predictive_model_research_v1_by_track.csv|public\data\edgeiq_condition_bias_by_track_v1.csv|public\data\edgeiq_historical_meeting_feed_v1.csv|public\data\edgeiq_jockey_track_profiles_graphql_v1.csv|public\data\edgeiq_live_track_intelligence_v2_1.csv|public\data\edgeiq_pre_result_market_rank1_join_audit_v1_by_track.csv|public\data\edgeiq_predictive_engine_baseline_benchmark_v1_by_track.csv|public\data\edgeiq_predictive_engine_baseline_v1_by_track.csv|public\data\edgeiq_race_strength_conditional_audit_v1.csv|public\data\edgeiq_racingcom_three_day_raw_meetings_v1.json|public\data\edgeiq_rail_data_discovery_audit_v1.csv|public\data\edgeiq_results_calendar_meetings_v1.csv|public\data\edgeiq_results_warehouse_track_coverage_v1.csv|public\data\edgeiq_run_style_bias_by_track_v1.csv|public\data\edgeiq_sp_bias_audit_v1_by_track.csv|public\data\edgeiq_sp_coverage_diagnosis_v1_by_track.csv|public\data\edgeiq_track_alias_bridge_v1.csv|public\data\edgeiq_track_alias_engine_v1.csv,EVIDENCE_FOUND,
SANDOWN_LAKESIDE,Sandown Lakeside,49,GOING_STICK|IRRIGATION_24H|IRRIGATION_7D|IRRIGATION_GENERAL|MEETING_STATUS|PENETROMETER|RAIL_CURRENT|RAIL_PREVIOUS|RAINFALL_24H|RAINFALL_7D|TRACK_CONDITION|TRACK_MANAGER_COMMENT|UPDATED_TIME,YES,YES,YES,YES,YES,public\data\edgeiq_barrier_bias_by_track_v1.csv|public\data\edgeiq_comprehensive_predictive_model_research_v1_by_track.csv|public\data\edgeiq_condition_bias_by_track_v1.csv|public\data\edgeiq_historical_meeting_feed_v1.csv|public\data\edgeiq_jockey_track_profiles_graphql_v1.csv|public\data\edgeiq_live_track_bias_feed_v1.csv|public\data\edgeiq_meetings_race_list_fallback_audit_v1.csv|public\data\edgeiq_pre_result_market_rank1_join_audit_v1_by_track.csv|public\data\edgeiq_predictive_engine_baseline_benchmark_v1_by_track.csv|public\data\edgeiq_predictive_engine_baseline_v1_by_track.csv|public\data\edgeiq_race_strength_conditional_audit_v1.csv|public\data\edgeiq_racingcom_three_day_raw_meetings_v1.json|public\data\edgeiq_rail_data_discovery_audit_v1.csv|public\data\edgeiq_results_calendar_meetings_v1.csv|public\data\edgeiq_results_warehouse_track_coverage_v1.csv|public\data\edgeiq_run_style_bias_by_track_v1.csv|public\data\edgeiq_sp_bias_audit_v1_by_track.csv|public\data\edgeiq_sp_coverage_diagnosis_v1_by_track.csv|public\data\edgeiq_track_alias_bridge_v1.csv|public\data\edgeiq_track_alias_engine_v1.csv,EVIDENCE_FOUND,
MOONEE_VALLEY,Moonee Valley,31,GOING_STICK|IRRIGATION_24H|IRRIGATION_7D|IRRIGATION_GENERAL|MEETING_STATUS|PENETROMETER|RAIL_CURRENT|RAINFALL_24H|RAINFALL_7D|TRACK_CONDITION|TRACK_MANAGER_COMMENT|UPDATED_TIME,YES,YES,YES,YES,YES,public\data\edgeiq_historical_meeting_feed_v1.csv|public\data\edgeiq_results_calendar_meetings_v1.csv|public\data\edgeiq_track_alias_engine_v1.csv|public\data\edgeiq_track_bias_dna_v1.csv|public\data\edgeiq_track_canonical_dictionary_v2.csv|public\data\edgeiq_track_specialist_index_v1.csv|public\data\edgeiq_track_universe_audit_v1.csv|public\data\edgeiq_weight_condition_interaction_v1.csv|public\data\track_directions.csv|scripts\audit_edgeiq_track_conditions_sources_fast_v1.py|scripts\audit_edgeiq_track_conditions_sources_indexed_v1.py|scripts\audit_edgeiq_track_conditions_sources_v1.py|scripts\build_edgeiq_live_track_intelligence_v1.py|scripts\build_edgeiq_shadow_out_of_sample_tracker_v1.py|scripts\build_edgeiq_track_alias_engine_v1.py|scripts\build_edgeiq_track_canonical_dictionary_v1.py|scripts\build_edgeiq_track_canonical_dictionary_v2.py|scripts\build_edgeiq_vic_three_day_meeting_calendar_v1.py|scripts\build_edgeiq_vic_three_day_meeting_calendar_v1_CHECKPOINT_DATE_ROLLOVER_20260617.py|scripts\build_edgeiq_vic_three_day_meeting_universe.py,EVIDENCE_FOUND,
MORNINGTON,Mornington,113,GOING_STICK|IRRIGATION_24H|IRRIGATION_7D|IRRIGATION_GENERAL|MEETING_STATUS|PENETROMETER|RAIL_CURRENT|RAIL_PREVIOUS|RAINFALL_24H|RAINFALL_7D|TRACK_CONDITION|TRACK_MANAGER_COMMENT|UPDATED_TIME,YES,YES,YES,YES,YES,data\weather\live_raw_on_track_weather_source_status_v1.csv|data\weather\live_raw_on_track_weather_v1.csv|data\weather\live_raw_on_track_weather_v1.json|data\weather\on_track_live_endpoint_candidates_v1.csv|data\weather\on_track_weather_all_units_v1.csv|data\weather\on_track_weather_freshness_v1.csv|data\weather\on_track_weather_governed_v1_1.csv|data\weather\on_track_weather_governed_v1_1_lineage.csv|data\weather\on_track_weather_governed_v1_2.csv|data\weather\on_track_weather_governed_v1_2_lineage.csv|data\weather\on_track_weather_observation_lineage_v1.csv|data\weather\on_track_weather_observation_v1.csv|data\weather\on_track_weather_payload_inventory_v1.csv|data\weather\on_track_weather_units_v1.csv|data\weather\turftrax_live_request_contract_candidates_v1.csv|data\weather-source-audit\live-turftrax\mornington_raw.json|data\weather-source-audit\turftrax\mornington\audit.json|data\weather-source-audit\turftrax\mornington\audit_report.txt|data\weather-source-audit\turftrax\mornington\page.html|data\weather-source-audit\turftrax-stream\048_mornington_get_path.txt,EVIDENCE_FOUND,
CRANBOURNE,Cranbourne,65,GOING_STICK|IRRIGATION_24H|IRRIGATION_7D|IRRIGATION_GENERAL|MEETING_STATUS|PENETROMETER|RAIL_CURRENT|RAIL_PREVIOUS|RAINFALL_24H|RAINFALL_7D|TRACK_CONDITION|TRACK_MANAGER_COMMENT|UPDATED_TIME,YES,YES,YES,YES,YES,data\weather-source-audit\racing-australia-vic\track_conditions_page.html|public\data\edgeiq_barrier_bias_by_track_v1.csv|public\data\edgeiq_barrier_rail_condition_bias_replay_v1.json|public\data\edgeiq_comprehensive_predictive_model_research_v1_by_track.csv|public\data\edgeiq_condition_bias_by_track_v1.csv|public\data\edgeiq_historical_meeting_feed_v1.csv|public\data\edgeiq_jockey_track_profiles_graphql_v1.csv|public\data\edgeiq_live_condition_dna_v1_CHECKPOINT_20260625_PRE_DNA_REFRESH.csv|public\data\edgeiq_live_track_intelligence_v1.csv|public\data\edgeiq_lone_leader_stability_audit_v1_by_track.csv|public\data\edgeiq_pre_result_market_rank1_join_audit_v1_by_track.csv|public\data\edgeiq_predictive_engine_baseline_benchmark_v1_by_track.csv|public\data\edgeiq_predictive_engine_baseline_v1_by_track.csv|public\data\edgeiq_race_strength_conditional_audit_v1.csv|public\data\edgeiq_racingcom_three_day_raw_meetings_v1.json|public\data\edgeiq_rail_data_discovery_audit_v1.csv|public\data\edgeiq_results_calendar_meetings_v1.csv|public\data\edgeiq_results_warehouse_track_coverage_v1.csv|public\data\edgeiq_run_style_bias_by_track_v1.csv|public\data\edgeiq_sp_bias_audit_v1_by_track.csv,EVIDENCE_FOUND,
PAKENHAM,Pakenham,86,GOING_STICK|IRRIGATION_24H|IRRIGATION_7D|IRRIGATION_GENERAL|MEETING_STATUS|PENETROMETER|RAIL_CURRENT|RAIL_PREVIOUS|RAINFALL_24H|RAINFALL_7D|TRACK_CONDITION|TRACK_MANAGER_COMMENT|UPDATED_TIME,YES,YES,YES,YES,YES,public\data\edgeiq_accountability_by_track.csv|public\data\edgeiq_barrier_bias_by_track_v1.csv|public\data\edgeiq_barrier_rail_condition_bias_replay_v1.json|public\data\edgeiq_bet_feedback_by_track.csv|public\data\edgeiq_comprehensive_predictive_model_research_v1_by_track.csv|public\data\edgeiq_condition_bias_by_track_v1.csv|public\data\edgeiq_experiment_tracker_v1.csv|public\data\edgeiq_future_meeting_feed_coverage_v1.csv|public\data\edgeiq_historical_meeting_feed_v1.csv|public\data\edgeiq_jockey_track_profiles_graphql_v1.csv|public\data\edgeiq_live_condition_dna_v1_CHECKPOINT_20260625_PRE_DNA_REFRESH.csv|public\data\edgeiq_live_track_intelligence_v1.csv|public\data\edgeiq_lone_leader_stability_audit_v1_by_track.csv|public\data\edgeiq_model_tracking_dashboard_v1_WORKING_TODAY_ONLY_TAB_20260615.csv|public\data\edgeiq_model_tracking_v1.csv|public\data\edgeiq_pre_result_market_rank1_join_audit_v1_by_track.csv|public\data\edgeiq_predictive_engine_baseline_benchmark_v1_by_track.csv|public\data\edgeiq_predictive_engine_baseline_v1_by_track.csv|public\data\edgeiq_race_strength_conditional_audit_v1.csv|public\data\edgeiq_racingcom_three_day_raw_meetings_v1.json,EVIDENCE_FOUND,
PAKENHAM_SYNTHETIC,Pakenham Synthetic,71,GOING_STICK|IRRIGATION_24H|IRRIGATION_7D|IRRIGATION_GENERAL|MEETING_STATUS|PENETROMETER|RAIL_CURRENT|RAIL_PREVIOUS|RAINFALL_24H|RAINFALL_7D|TRACK_CONDITION|TRACK_MANAGER_COMMENT|UPDATED_TIME,YES,YES,YES,YES,YES,public\data\edgeiq_barrier_bias_by_track_v1.csv|public\data\edgeiq_barrier_rail_condition_bias_replay_v1.json|public\data\edgeiq_comprehensive_predictive_model_research_v1_by_track.csv|public\data\edgeiq_condition_bias_by_track_v1.csv|public\data\edgeiq_future_meeting_feed_coverage_v1.csv|public\data\edgeiq_historical_meeting_feed_v1.csv|public\data\edgeiq_live_condition_dna_v1_CHECKPOINT_20260625_PRE_DNA_REFRESH.csv|public\data\edgeiq_live_track_intelligence_v1.csv|public\data\edgeiq_lone_leader_stability_audit_v1_by_track.csv|public\data\edgeiq_model_tracking_dashboard_v1_WORKING_TODAY_ONLY_TAB_20260615.csv|public\data\edgeiq_model_tracking_v1.csv|public\data\edgeiq_pre_result_market_rank1_join_audit_v1_by_track.csv|public\data\edgeiq_predictive_engine_baseline_benchmark_v1_by_track.csv|public\data\edgeiq_predictive_engine_baseline_v1_by_track.csv|public\data\edgeiq_race_strength_conditional_audit_v1.csv|public\data\edgeiq_racingcom_three_day_raw_meetings_v1.json|public\data\edgeiq_rail_data_discovery_audit_v1.csv|public\data\edgeiq_results_calendar_meetings_v1.csv|public\data\edgeiq_results_warehouse_track_coverage_v1.csv|public\data\edgeiq_run_style_bias_by_track_v1.csv,EVIDENCE_FOUND,
