physical_location_id,track_ids,track_names,bom_search_name,legacy_candidate_url,http_status,final_bom_url,page_title,content_type,location_name_confirmed,verification_status,observation_authority,forecast_role,last_verified_at,verification_method,error,manual_verified,manual_notes,resolution_status,candidate_count,selected_candidate_score,selected_candidate_reason,search_page_url,search_http_status,search_page_title,resolution_verified_at,resolver_version
FLEMINGTON,FLEMINGTON,Flemington,Flemington,https://www.bom.gov.au/places/vic/flemington/,200,https://www.bom.gov.au/search?query=flemington,Search | The Bureau of Meteorology,text/html; charset=UTF-8,NO,UNRESOLVED,VRC_ON_TRACK,BOM_FORECAST_LOCATION,2026-07-13T21:59:00.572965+00:00,BOM search-page location extraction,,,,UNRESOLVED,0,,,https://www.bom.gov.au/search?query=Flemington,200,Search | The Bureau of Meteorology,2026-07-13T21:59:00.573818+00:00,edgeiq_bom_search_location_resolver_v1
CAULFIELD,CAULFIELD|CAULFIELD_HEATH,Caulfield|Caulfield Heath,Caulfield,https://www.bom.gov.au/places/vic/caulfield/,200,https://www.bom.gov.au/search?query=caulfield,Search | The Bureau of Meteorology,text/html; charset=UTF-8,NO,UNRESOLVED,MRC_TURFTRAX_ON_TRACK,BOM_FORECAST_LOCATION,2026-07-13T21:59:01.239754+00:00,BOM search-page location extraction,,,,UNRESOLVED,0,,,https://www.bom.gov.au/search?query=Caulfield,200,Search | The Bureau of Meteorology,2026-07-13T21:59:01.239834+00:00,edgeiq_bom_search_location_resolver_v1
SANDOWN,SANDOWN_HILLSIDE|SANDOWN_LAKESIDE,Sandown Hillside|Sandown Lakeside,Springvale,https://www.bom.gov.au/places/vic/springvale/,200,https://www.bom.gov.au/search?query=springvale,Search | The Bureau of Meteorology,text/html; charset=UTF-8,NO,UNRESOLVED,MRC_TURFTRAX_ON_TRACK,BOM_FORECAST_LOCATION,2026-07-13T21:59:01.849846+00:00,BOM search-page location extraction,,,,UNRESOLVED,0,,,https://www.bom.gov.au/search?query=Springvale,200,Search | The Bureau of Meteorology,2026-07-13T21:59:01.849907+00:00,edgeiq_bom_search_location_resolver_v1
MOONEE_VALLEY,MOONEE_VALLEY,Moonee Valley,Moonee Ponds,https://www.bom.gov.au/places/vic/moonee-ponds/,200,https://www.bom.gov.au/search?query=moonee+ponds,Search | The Bureau of Meteorology,text/html; charset=UTF-8,NO,UNRESOLVED,BOM_FALLBACK_REQUIRED,BOM_FORECAST_LOCATION,2026-07-13T21:59:02.473828+00:00,BOM search-page location extraction,,,,UNRESOLVED,0,,,https://www.bom.gov.au/search?query=Moonee+Ponds,200,Search | The Bureau of Meteorology,2026-07-13T21:59:02.473898+00:00,edgeiq_bom_search_location_resolver_v1
CRANBOURNE,CRANBOURNE,Cranbourne,Cranbourne,https://www.bom.gov.au/places/vic/cranbourne/,200,https://www.bom.gov.au/search?query=cranbourne,Search | The Bureau of Meteorology,text/html; charset=UTF-8,NO,UNRESOLVED,BOM_FALLBACK_REQUIRED,BOM_FORECAST_LOCATION,2026-07-13T21:59:03.136289+00:00,BOM search-page location extraction,,,,UNRESOLVED,0,,,https://www.bom.gov.au/search?query=Cranbourne,200,Search | The Bureau of Meteorology,2026-07-13T21:59:03.136382+00:00,edgeiq_bom_search_location_resolver_v1
PAKENHAM,PAKENHAM|PAKENHAM_SYNTHETIC,Pakenham|Pakenham Synthetic,Pakenham,https://www.bom.gov.au/places/vic/pakenham/,200,https://www.bom.gov.au/search?query=pakenham,Search | The Bureau of Meteorology,text/html; charset=UTF-8,NO,UNRESOLVED,BOM_FALLBACK_REQUIRED,BOM_FORECAST_LOCATION,2026-07-13T21:59:03.734062+00:00,BOM search-page location extraction,,,,UNRESOLVED,0,,,https://www.bom.gov.au/search?query=Pakenham,200,Search | The Bureau of Meteorology,2026-07-13T21:59:03.734154+00:00,edgeiq_bom_search_location_resolver_v1
BENALLA,BENALLA,Benalla,Benalla,https://www.bom.gov.au/places/vic/benalla/,200,https://www.bom.gov.au/search?query=benalla,Search | The Bureau of Meteorology,text/html; charset=UTF-8,NO,UNRESOLVED,BOM_FALLBACK_REQUIRED,BOM_FORECAST_LOCATION,2026-07-13T21:59:04.444889+00:00,BOM search-page location extraction,,,,UNRESOLVED,0,,,https://www.bom.gov.au/search?query=Benalla,200,Search | The Bureau of Meteorology,2026-07-13T21:59:04.444944+00:00,edgeiq_bom_search_location_resolver_v1
CAMPERDOWN,CAMPERDOWN,Camperdown,Camperdown,https://www.bom.gov.au/places/vic/camperdown/,200,https://www.bom.gov.au/search?query=camperdown,Search | The Bureau of Meteorology,text/html; charset=UTF-8,NO,UNRESOLVED,BOM_FALLBACK_REQUIRED,BOM_FORECAST_LOCATION,2026-07-13T21:59:05.097718+00:00,BOM search-page location extraction,,,,UNRESOLVED,0,,,https://www.bom.gov.au/search?query=Camperdown,200,Search | The Bureau of Meteorology,2026-07-13T21:59:05.097773+00:00,edgeiq_bom_search_location_resolver_v1
CASTERTON,CASTERTON,Casterton,Casterton,https://www.bom.gov.au/places/vic/casterton/,200,,,,NO,UNRESOLVED,BOM_FALLBACK_REQUIRED,BOM_FORECAST_LOCATION,2026-07-13T21:59:05.734447+00:00,BOM search-page location extraction,,,,UNRESOLVED,0,,,https://www.bom.gov.au/search?query=Casterton,200,Search | The Bureau of Meteorology,2026-07-13T21:59:05.734521+00:00,edgeiq_bom_search_location_resolver_v1
COLAC,COLAC,Colac,Colac,https://www.bom.gov.au/places/vic/colac/,200,https://www.bom.gov.au/search?query=colac,Search | The Bureau of Meteorology,text/html; charset=UTF-8,NO,UNRESOLVED,BOM_FALLBACK_REQUIRED,BOM_FORECAST_LOCATION,2026-07-13T21:59:06.369486+00:00,BOM search-page location extraction,,,,UNRESOLVED,0,,,https://www.bom.gov.au/search?query=Colac,200,Search | The Bureau of Meteorology,2026-07-13T21:59:06.369576+00:00,edgeiq_bom_search_location_resolver_v1
