source_owner,source_name,repository_file,json_path,value_type,container_size,value_preview,depth
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$,object,2,,0
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.stn,object,2,,1
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.stn.identity,object,7,,2
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.stn.identity.bom_stn_num,int,,87184,3
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.stn.identity.river_stn_id,NoneType,,,3
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.stn.identity.bom_stn_name,str,,Geelong Racecourse,3
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.stn.identity.wmo_stn_id,int,,94857,3
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.stn.identity.wigos_stn_id,NoneType,,,3
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.stn.identity.ht_above_msl,float,,12.9,3
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.stn.identity.ht_barometer,float,,13.4,3
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.stn.location,object,3,,2
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.stn.location.lat_dec_deg,float,,-38.1737,3
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.stn.location.long_dec_deg,float,,144.3766,3
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.stn.location.timezone,str,,Australia/Melbourne,3
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.obs,object,7,,1
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.obs.datetime_utc,str,,2026-07-10T03:40:00Z,2
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.obs.temp,object,12,,2
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.obs.temp.dry_bulb_1min_cel,float,,12.1,3
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.obs.temp.apparent_1min_cel,float,,9.73,3
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.obs.temp.dew_pnt_1min_cel,float,,7.21,3
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.obs.temp.wet_bulb_1min_avg_cel,float,,9.75,3
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.obs.temp.wet_bulb_globe_sun_cel,NoneType,,,3
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.obs.temp.wet_bulb_globe_shade_cel,float,,10.45,3
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.obs.temp.wet_bulb_depression_cel,float,,2.35,3
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.obs.temp.dry_bulb_max_cel,float,,12.8,3
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.obs.temp.dry_bulb_max_time_utc,str,,2026-07-10T02:28:00Z,3
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.obs.temp.dry_bulb_min_cel,float,,0.2,3
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.obs.temp.dry_bulb_min_time_utc,str,,2026-07-09T19:49:00Z,3
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.obs.temp.rel_hum_percent,float,,72.0,3
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.obs.pres,object,3,,2
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.obs.pres.stn_lvl_hpa,NoneType,,,3
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.obs.pres.msl_hpa,float,,1022.7,3
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.obs.pres.qnh_hpa,NoneType,,,3
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.obs.wind,object,7,,2
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.obs.wind.speed_10m_mps,float,,1.955,3
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.obs.wind.dirn_10m_ord,str,,NNE,3
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.obs.wind.gust_speed_10m_mps,float,,2.932,3
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.obs.wind.gust_dirn_10m_deg_t,float,,21.0,3
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.obs.wind.gust_speed_10m_max_mps,float,,3.344,3
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.obs.wind.gust_10m_max_utc,str,,2026-07-10T02:50:00Z,3
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.obs.wind.run_2m_total_m,NoneType,,,3
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.obs.precip,object,6,,2
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.obs.precip.since_0900lct_total_mm,float,,0.0,3
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.obs.precip.since_0000lct_total_mm,float,,0.0,3
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.obs.precip.24h_0900lct_total_mm,float,,0.0,3
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.obs.precip.10min_total_mm,float,,0.0,3
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.obs.precip.1h_total_mm,float,,0.0,3
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.obs.precip.24h_total_mm,NoneType,,,3
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.obs.visibility,object,1,,2
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.obs.visibility.horiz_m,NoneType,,,3
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.obs.cloud,object,12,,2
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.obs.cloud.base_ht_s1_m,NoneType,,,3
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.obs.cloud.base_ht_s2_m,NoneType,,,3
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.obs.cloud.base_ht_s3_m,NoneType,,,3
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.obs.cloud.base_ht_s4_m,NoneType,,,3
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.obs.cloud.base_ht_s5_m,NoneType,,,3
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.obs.cloud.total_cover_amt_text,NoneType,,,3
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.obs.cloud.low_layer_cover_amt_okta,NoneType,,,3
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.obs.cloud.low_layer_height_m,NoneType,,,3
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.obs.cloud.med_layer_cover_amt_okta,NoneType,,,3
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.obs.cloud.med_layer_height_m,NoneType,,,3
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.obs.cloud.high_layer_cover_amt_okta,NoneType,,,3
BOM,87184,data\weather-source-audit\bom-live\87184\latest_raw.json,$.obs.cloud.high_layer_height_m,NoneType,,,3
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$,object,2,,0
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.stn,object,2,,1
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.stn.identity,object,7,,2
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.stn.identity.bom_stn_num,int,,89002,3
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.stn.identity.river_stn_id,NoneType,,,3
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.stn.identity.bom_stn_name,str,,Ballarat,3
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.stn.identity.wmo_stn_id,int,,94852,3
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.stn.identity.wigos_stn_id,NoneType,,,3
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.stn.identity.ht_above_msl,float,,435.2,3
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.stn.identity.ht_barometer,float,,435.6,3
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.stn.location,object,3,,2
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.stn.location.lat_dec_deg,float,,-37.5127,3
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.stn.location.long_dec_deg,float,,143.7911,3
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.stn.location.timezone,str,,Australia/Melbourne,3
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.obs,object,7,,1
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.obs.datetime_utc,str,,2026-07-10T03:40:00Z,2
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.obs.temp,object,12,,2
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.obs.temp.dry_bulb_1min_cel,float,,8.9,3
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.obs.temp.apparent_1min_cel,float,,4.35,3
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.obs.temp.dew_pnt_1min_cel,float,,5.82,3
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.obs.temp.wet_bulb_1min_avg_cel,float,,7.46,3
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.obs.temp.wet_bulb_globe_sun_cel,float,,12.61,3
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.obs.temp.wet_bulb_globe_shade_cel,float,,7.89,3
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.obs.temp.wet_bulb_depression_cel,float,,1.44,3
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.obs.temp.dry_bulb_max_cel,float,,9.5,3
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.obs.temp.dry_bulb_max_time_utc,str,,2026-07-10T01:42:00Z,3
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.obs.temp.dry_bulb_min_cel,float,,0.3,3
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.obs.temp.dry_bulb_min_time_utc,str,,2026-07-09T14:33:00Z,3
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.obs.temp.rel_hum_percent,float,,81.0,3
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.obs.pres,object,3,,2
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.obs.pres.stn_lvl_hpa,NoneType,,,3
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.obs.pres.msl_hpa,float,,1023.3,3
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.obs.pres.qnh_hpa,float,,1022.4,3
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.obs.wind,object,7,,2
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.obs.wind.speed_10m_mps,float,,5.299,3
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.obs.wind.dirn_10m_ord,str,,NNE,3
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.obs.wind.gust_speed_10m_mps,float,,6.688,3
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.obs.wind.gust_dirn_10m_deg_t,float,,12.0,3
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.obs.wind.gust_speed_10m_max_mps,float,,9.26,3
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.obs.wind.gust_10m_max_utc,str,,2026-07-10T00:43:00Z,3
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.obs.wind.run_2m_total_m,NoneType,,,3
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.obs.precip,object,6,,2
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.obs.precip.since_0900lct_total_mm,float,,0.0,3
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.obs.precip.since_0000lct_total_mm,float,,0.2,3
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.obs.precip.24h_0900lct_total_mm,float,,0.0,3
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.obs.precip.10min_total_mm,float,,0.0,3
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.obs.precip.1h_total_mm,float,,0.0,3
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.obs.precip.24h_total_mm,NoneType,,,3
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.obs.visibility,object,1,,2
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.obs.visibility.horiz_m,float,,53967.0,3
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.obs.cloud,object,12,,2
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.obs.cloud.base_ht_s1_m,float,,5102.352,3
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.obs.cloud.base_ht_s2_m,float,,5111.496,3
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.obs.cloud.base_ht_s3_m,float,,5111.496,3
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.obs.cloud.base_ht_s4_m,float,,5102.352,3
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.obs.cloud.base_ht_s5_m,NoneType,,,3
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.obs.cloud.total_cover_amt_text,NoneType,,,3
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.obs.cloud.low_layer_cover_amt_okta,NoneType,,,3
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.obs.cloud.low_layer_height_m,NoneType,,,3
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.obs.cloud.med_layer_cover_amt_okta,NoneType,,,3
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.obs.cloud.med_layer_height_m,NoneType,,,3
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.obs.cloud.high_layer_cover_amt_okta,NoneType,,,3
BOM,89002,data\weather-source-audit\bom-live\89002\latest_raw.json,$.obs.cloud.high_layer_height_m,NoneType,,,3
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$,object,2,,0
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.stn,object,2,,1
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.stn.identity,object,7,,2
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.stn.identity.bom_stn_num,int,,90173,3
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.stn.identity.river_stn_id,NoneType,,,3
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.stn.identity.bom_stn_name,str,,Hamilton,3
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.stn.identity.wmo_stn_id,int,,94829,3
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.stn.identity.wigos_stn_id,NoneType,,,3
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.stn.identity.ht_above_msl,float,,241.1,3
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.stn.identity.ht_barometer,float,,241.7,3
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.stn.location,object,3,,2
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.stn.location.lat_dec_deg,float,,-37.6486,3
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.stn.location.long_dec_deg,float,,142.0636,3
