physical_location_id,track_ids,track_names,bom_search_name,legacy_candidate_url,http_status,final_bom_url,page_title,content_type,location_name_confirmed,verification_status,observation_authority,forecast_role,last_verified_at,verification_method,error,manual_verified,manual_notes
FLEMINGTON,FLEMINGTON,Flemington,Flemington,https://www.bom.gov.au/places/vic/flemington/,200,https://www.bom.gov.au/search?query=flemington,Search | The Bureau of Meteorology,text/html; charset=UTF-8,NO,MANUAL_URL_REVIEW,VRC_ON_TRACK,BOM_FORECAST_LOCATION,2026-07-13T21:51:38.461987+00:00,HTTP redirect resolution plus page-name evidence,,,
CAULFIELD,CAULFIELD|CAULFIELD_HEATH,Caulfield|Caulfield Heath,Caulfield,https://www.bom.gov.au/places/vic/caulfield/,200,https://www.bom.gov.au/search?query=caulfield,Search | The Bureau of Meteorology,text/html; charset=UTF-8,NO,MANUAL_URL_REVIEW,MRC_TURFTRAX_ON_TRACK,BOM_FORECAST_LOCATION,2026-07-13T21:51:39.189713+00:00,HTTP redirect resolution plus page-name evidence,,,
SANDOWN,SANDOWN_HILLSIDE|SANDOWN_LAKESIDE,Sandown Hillside|Sandown Lakeside,Springvale,https://www.bom.gov.au/places/vic/springvale/,200,https://www.bom.gov.au/search?query=springvale,Search | The Bureau of Meteorology,text/html; charset=UTF-8,NO,MANUAL_URL_REVIEW,MRC_TURFTRAX_ON_TRACK,BOM_FORECAST_LOCATION,2026-07-13T21:51:40.098196+00:00,HTTP redirect resolution plus page-name evidence,,,
MOONEE_VALLEY,MOONEE_VALLEY,Moonee Valley,Moonee Ponds,https://www.bom.gov.au/places/vic/moonee-ponds/,200,https://www.bom.gov.au/search?query=moonee+ponds,Search | The Bureau of Meteorology,text/html; charset=UTF-8,NO,MANUAL_URL_REVIEW,BOM_FALLBACK_REQUIRED,BOM_FORECAST_LOCATION,2026-07-13T21:51:41.745024+00:00,HTTP redirect resolution plus page-name evidence,,,
CRANBOURNE,CRANBOURNE,Cranbourne,Cranbourne,https://www.bom.gov.au/places/vic/cranbourne/,200,https://www.bom.gov.au/search?query=cranbourne,Search | The Bureau of Meteorology,text/html; charset=UTF-8,NO,MANUAL_URL_REVIEW,BOM_FALLBACK_REQUIRED,BOM_FORECAST_LOCATION,2026-07-13T21:51:42.520952+00:00,HTTP redirect resolution plus page-name evidence,,,
PAKENHAM,PAKENHAM|PAKENHAM_SYNTHETIC,Pakenham|Pakenham Synthetic,Pakenham,https://www.bom.gov.au/places/vic/pakenham/,200,https://www.bom.gov.au/search?query=pakenham,Search | The Bureau of Meteorology,text/html; charset=UTF-8,NO,MANUAL_URL_REVIEW,BOM_FALLBACK_REQUIRED,BOM_FORECAST_LOCATION,2026-07-13T21:51:43.381080+00:00,HTTP redirect resolution plus page-name evidence,,,
BENALLA,BENALLA,Benalla,Benalla,https://www.bom.gov.au/places/vic/benalla/,200,https://www.bom.gov.au/search?query=benalla,Search | The Bureau of Meteorology,text/html; charset=UTF-8,NO,MANUAL_URL_REVIEW,BOM_FALLBACK_REQUIRED,BOM_FORECAST_LOCATION,2026-07-13T21:51:45.799142+00:00,HTTP redirect resolution plus page-name evidence,,,
CAMPERDOWN,CAMPERDOWN,Camperdown,Camperdown,https://www.bom.gov.au/places/vic/camperdown/,200,https://www.bom.gov.au/search?query=camperdown,Search | The Bureau of Meteorology,text/html; charset=UTF-8,NO,MANUAL_URL_REVIEW,BOM_FALLBACK_REQUIRED,BOM_FORECAST_LOCATION,2026-07-13T21:51:47.572326+00:00,HTTP redirect resolution plus page-name evidence,,,
CASTERTON,CASTERTON,Casterton,Casterton,https://www.bom.gov.au/places/vic/casterton/,0,,,,NO,UNRESOLVED,BOM_FALLBACK_REQUIRED,BOM_FORECAST_LOCATION,2026-07-13T21:52:07.972070+00:00,HTTP redirect resolution plus page-name evidence,URLError: <urlopen error timed out>,,
COLAC,COLAC,Colac,Colac,https://www.bom.gov.au/places/vic/colac/,200,https://www.bom.gov.au/search?query=colac,Search | The Bureau of Meteorology,text/html; charset=UTF-8,NO,MANUAL_URL_REVIEW,BOM_FALLBACK_REQUIRED,BOM_FORECAST_LOCATION,2026-07-13T21:52:08.886325+00:00,HTTP redirect resolution plus page-name evidence,,,
DONALD,DONALD,Donald,Donald,https://www.bom.gov.au/places/vic/donald/,200,https://www.bom.gov.au/search?query=donald,Search | The Bureau of Meteorology,text/html; charset=UTF-8,NO,MANUAL_URL_REVIEW,BOM_FALLBACK_REQUIRED,BOM_FORECAST_LOCATION,2026-07-13T21:52:09.743871+00:00,HTTP redirect resolution plus page-name evidence,,,
ECHUCA,ECHUCA,Echuca,Echuca,https://www.bom.gov.au/places/vic/echuca/,200,https://www.bom.gov.au/search?query=echuca,Search | The Bureau of Meteorology,text/html; charset=UTF-8,NO,MANUAL_URL_REVIEW,BOM_FALLBACK_REQUIRED,BOM_FORECAST_LOCATION,2026-07-13T21:52:10.544610+00:00,HTTP redirect resolution plus page-name evidence,,,
HAMILTON,HAMILTON,Hamilton,Hamilton,https://www.bom.gov.au/places/vic/hamilton/,200,https://www.bom.gov.au/search?query=hamilton,Search | The Bureau of Meteorology,text/html; charset=UTF-8,NO,MANUAL_URL_REVIEW,BOM_FALLBACK_REQUIRED,BOM_FORECAST_LOCATION,2026-07-13T21:52:12.151619+00:00,HTTP redirect resolution plus page-name evidence,,,
HORSHAM,HORSHAM,Horsham,Horsham,https://www.bom.gov.au/places/vic/horsham/,200,https://www.bom.gov.au/search?query=horsham,Search | The Bureau of Meteorology,text/html; charset=UTF-8,NO,MANUAL_URL_REVIEW,BOM_FALLBACK_REQUIRED,BOM_FORECAST_LOCATION,2026-07-13T21:52:12.933107+00:00,HTTP redirect resolution plus page-name evidence,,,
KILMORE,KILMORE,Kilmore,Kilmore,https://www.bom.gov.au/places/vic/kilmore/,200,https://www.bom.gov.au/search?query=kilmore,Search | The Bureau of Meteorology,text/html; charset=UTF-8,NO,MANUAL_URL_REVIEW,BOM_FALLBACK_REQUIRED,BOM_FORECAST_LOCATION,2026-07-13T21:52:13.759332+00:00,HTTP redirect resolution plus page-name evidence,,,
KYNETON,KYNETON,Kyneton,Kyneton,https://www.bom.gov.au/places/vic/kyneton/,200,https://www.bom.gov.au/search?query=kyneton,Search | The Bureau of Meteorology,text/html; charset=UTF-8,NO,MANUAL_URL_REVIEW,BOM_FALLBACK_REQUIRED,BOM_FORECAST_LOCATION,2026-07-13T21:52:14.714993+00:00,HTTP redirect resolution plus page-name evidence,,,
MANSFIELD,MANSFIELD,Mansfield,Mansfield,https://www.bom.gov.au/places/vic/mansfield/,0,,,,NO,UNRESOLVED,BOM_FALLBACK_REQUIRED,BOM_FORECAST_LOCATION,2026-07-13T21:52:35.341221+00:00,HTTP redirect resolution plus page-name evidence,URLError: <urlopen error timed out>,,
MOE,MOE,Moe,Moe,https://www.bom.gov.au/places/vic/moe/,200,https://www.bom.gov.au/search?query=moe,Search | The Bureau of Meteorology,text/html; charset=UTF-8,NO,MANUAL_URL_REVIEW,BOM_FALLBACK_REQUIRED,BOM_FORECAST_LOCATION,2026-07-13T21:52:36.226716+00:00,HTTP redirect resolution plus page-name evidence,,,
MURTOA,MURTOA,Murtoa,Murtoa,https://www.bom.gov.au/places/vic/murtoa/,200,https://www.bom.gov.au/search?query=murtoa,Search | The Bureau of Meteorology,text/html; charset=UTF-8,NO,MANUAL_URL_REVIEW,BOM_FALLBACK_REQUIRED,BOM_FORECAST_LOCATION,2026-07-13T21:52:37.074590+00:00,HTTP redirect resolution plus page-name evidence,,,
SALE,SALE,Sale,Sale,https://www.bom.gov.au/places/vic/sale/,200,https://www.bom.gov.au/search?query=sale,Search | The Bureau of Meteorology,text/html; charset=UTF-8,NO,MANUAL_URL_REVIEW,BOM_FALLBACK_REQUIRED,BOM_FORECAST_LOCATION,2026-07-13T21:52:37.905672+00:00,HTTP redirect resolution plus page-name evidence,,,
SEYMOUR,SEYMOUR,Seymour,Seymour,https://www.bom.gov.au/places/vic/seymour/,200,https://www.bom.gov.au/search?query=seymour,Search | The Bureau of Meteorology,text/html; charset=UTF-8,NO,MANUAL_URL_REVIEW,BOM_FALLBACK_REQUIRED,BOM_FORECAST_LOCATION,2026-07-13T21:52:38.724635+00:00,HTTP redirect resolution plus page-name evidence,,,
ST_ARNAUD,ST_ARNAUD,St Arnaud,St Arnaud,https://www.bom.gov.au/places/vic/st-arnaud/,200,https://www.bom.gov.au/search?query=st+arnaud,Search | The Bureau of Meteorology,text/html; charset=UTF-8,NO,MANUAL_URL_REVIEW,BOM_FALLBACK_REQUIRED,BOM_FORECAST_LOCATION,2026-07-13T21:52:40.088618+00:00,HTTP redirect resolution plus page-name evidence,,,
SWAN_HILL,SWAN_HILL,Swan Hill,Swan Hill,https://www.bom.gov.au/places/vic/swan-hill/,200,https://www.bom.gov.au/search?query=swan+hill,Search | The Bureau of Meteorology,text/html; charset=UTF-8,NO,MANUAL_URL_REVIEW,BOM_FALLBACK_REQUIRED,BOM_FORECAST_LOCATION,2026-07-13T21:52:41.686106+00:00,HTTP redirect resolution plus page-name evidence,,,
TERANG,TERANG,Terang,Terang,https://www.bom.gov.au/places/vic/terang/,200,https://www.bom.gov.au/search?query=terang,Search | The Bureau of Meteorology,text/html; charset=UTF-8,NO,MANUAL_URL_REVIEW,BOM_FALLBACK_REQUIRED,BOM_FORECAST_LOCATION,2026-07-13T21:52:42.885689+00:00,HTTP redirect resolution plus page-name evidence,,,
WANGARATTA,WANGARATTA,Wangaratta,Wangaratta,https://www.bom.gov.au/places/vic/wangaratta/,200,https://www.bom.gov.au/search?query=wangaratta,Search | The Bureau of Meteorology,text/html; charset=UTF-8,NO,MANUAL_URL_REVIEW,BOM_FALLBACK_REQUIRED,BOM_FORECAST_LOCATION,2026-07-13T21:52:44.048558+00:00,HTTP redirect resolution plus page-name evidence,,,
WARRACKNABEAL,WARRACKNABEAL,Warracknabeal,Warracknabeal,https://www.bom.gov.au/places/vic/warracknabeal/,200,https://www.bom.gov.au/search?query=warracknabeal,Search | The Bureau of Meteorology,text/html; charset=UTF-8,NO,MANUAL_URL_REVIEW,BOM_FALLBACK_REQUIRED,BOM_FORECAST_LOCATION,2026-07-13T21:52:46.389787+00:00,HTTP redirect resolution plus page-name evidence,,,
WARRNAMBOOL,WARRNAMBOOL,Warrnambool,Warrnambool,https://www.bom.gov.au/places/vic/warrnambool/,200,https://www.bom.gov.au/search?query=warrnambool,Search | The Bureau of Meteorology,text/html; charset=UTF-8,NO,MANUAL_URL_REVIEW,BOM_FALLBACK_REQUIRED,BOM_FORECAST_LOCATION,2026-07-13T21:52:47.256423+00:00,HTTP redirect resolution plus page-name evidence,,,
WERRIBEE,WERRIBEE,Werribee,Werribee,https://www.bom.gov.au/places/vic/werribee/,200,https://www.bom.gov.au/search?query=werribee,Search | The Bureau of Meteorology,text/html; charset=UTF-8,NO,MANUAL_URL_REVIEW,BOM_FALLBACK_REQUIRED,BOM_FORECAST_LOCATION,2026-07-13T21:52:48.229932+00:00,HTTP redirect resolution plus page-name evidence,,,
YARRA_VALLEY,YARRA_VALLEY,Yarra Valley,Yarra Glen,https://www.bom.gov.au/places/vic/yarra-glen/,200,https://www.bom.gov.au/search?query=yarra+glen,Search | The Bureau of Meteorology,text/html; charset=UTF-8,NO,MANUAL_URL_REVIEW,BOM_FALLBACK_REQUIRED,BOM_FORECAST_LOCATION,2026-07-13T21:52:50.046185+00:00,HTTP redirect resolution plus page-name evidence,,,
