"File","LineNumber","Match","Context"
"data\weather-source-audit\live-turftrax\caulfield_raw.json","32","/going-reports/338784_waypoints.svg","""going-waypoint-map"": ""https://api.turftrax.co.uk/maps/going-reports/338784_waypoints.svg"","
"data\weather-source-audit\live-turftrax\caulfield_raw.json","32","api.turftrax.co.uk/maps/going-reports/338784_waypoints.svg","""going-waypoint-map"": ""https://api.turftrax.co.uk/maps/going-reports/338784_waypoints.svg"","
"data\weather-source-audit\live-turftrax\caulfield_raw.json","32","https://api.turftrax.co.uk/maps/going-reports/338784_waypoints.svg","""going-waypoint-map"": ""https://api.turftrax.co.uk/maps/going-reports/338784_waypoints.svg"","
"data\weather-source-audit\live-turftrax\caulfield_raw.json","33","/going-reports/338784_zones.svg","""going-zone-map"": ""https://api.turftrax.co.uk/maps/going-reports/338784_zones.svg"","
"data\weather-source-audit\live-turftrax\caulfield_raw.json","33","api.turftrax.co.uk/maps/going-reports/338784_zones.svg","""going-zone-map"": ""https://api.turftrax.co.uk/maps/going-reports/338784_zones.svg"","
"data\weather-source-audit\live-turftrax\caulfield_raw.json","33","https://api.turftrax.co.uk/maps/going-reports/338784_zones.svg","""going-zone-map"": ""https://api.turftrax.co.uk/maps/going-reports/338784_zones.svg"","
"data\weather-source-audit\live-turftrax\ladbrokes_raw.json","32","/going-reports/338681_waypoints.svg","""going-waypoint-map"": ""https://api.turftrax.co.uk/maps/going-reports/338681_waypoints.svg"","
"data\weather-source-audit\live-turftrax\ladbrokes_raw.json","32","api.turftrax.co.uk/maps/going-reports/338681_waypoints.svg","""going-waypoint-map"": ""https://api.turftrax.co.uk/maps/going-reports/338681_waypoints.svg"","
"data\weather-source-audit\live-turftrax\ladbrokes_raw.json","32","https://api.turftrax.co.uk/maps/going-reports/338681_waypoints.svg","""going-waypoint-map"": ""https://api.turftrax.co.uk/maps/going-reports/338681_waypoints.svg"","
"data\weather-source-audit\live-turftrax\ladbrokes_raw.json","33","/going-reports/338681_zones.svg","""going-zone-map"": ""https://api.turftrax.co.uk/maps/going-reports/338681_zones.svg"","
"data\weather-source-audit\live-turftrax\ladbrokes_raw.json","33","api.turftrax.co.uk/maps/going-reports/338681_zones.svg","""going-zone-map"": ""https://api.turftrax.co.uk/maps/going-reports/338681_zones.svg"","
"data\weather-source-audit\live-turftrax\ladbrokes_raw.json","33","https://api.turftrax.co.uk/maps/going-reports/338681_zones.svg","""going-zone-map"": ""https://api.turftrax.co.uk/maps/going-reports/338681_zones.svg"","
"data\weather-source-audit\live-turftrax\mornington_raw.json","32","/going-reports/335148_waypoints.svg","""going-waypoint-map"": ""https://api.turftrax.co.uk/maps/going-reports/335148_waypoints.svg"","
"data\weather-source-audit\live-turftrax\mornington_raw.json","32","api.turftrax.co.uk/maps/going-reports/335148_waypoints.svg","""going-waypoint-map"": ""https://api.turftrax.co.uk/maps/going-reports/335148_waypoints.svg"","
"data\weather-source-audit\live-turftrax\mornington_raw.json","32","https://api.turftrax.co.uk/maps/going-reports/335148_waypoints.svg","""going-waypoint-map"": ""https://api.turftrax.co.uk/maps/going-reports/335148_waypoints.svg"","
"data\weather-source-audit\live-turftrax\mornington_raw.json","33","/going-reports/335148_zones.svg","""going-zone-map"": ""https://api.turftrax.co.uk/maps/going-reports/335148_zones.svg"","
"data\weather-source-audit\live-turftrax\mornington_raw.json","33","api.turftrax.co.uk/maps/going-reports/335148_zones.svg","""going-zone-map"": ""https://api.turftrax.co.uk/maps/going-reports/335148_zones.svg"","
"data\weather-source-audit\live-turftrax\mornington_raw.json","33","https://api.turftrax.co.uk/maps/going-reports/335148_zones.svg","""going-zone-map"": ""https://api.turftrax.co.uk/maps/going-reports/335148_zones.svg"","
"data\weather-source-audit\turftrax\caulfield\audit_report.txt","4","https://its.turftrax.co.uk/visualiser/caulfield/","URL: https://its.turftrax.co.uk/visualiser/caulfield/"
"data\weather-source-audit\turftrax\caulfield\audit_report.txt","11","https://its.turftrax.co.uk/visualiser/caulfield/","URL: https://its.turftrax.co.uk/visualiser/caulfield/"
"data\weather-source-audit\turftrax\caulfield\audit_report.txt","17","/visualiser/stream/","/visualiser/stream/"
"data\weather-source-audit\turftrax\caulfield\audit_report.txt","22","/visualiser/stream/","../assets/css/base.css"">         <link type=""text/css"" rel=""stylesheet"" href=""livery.css"">         <script type=""text/javascript"" src=""../assets/js/common.js""></script>         <script type=""text/javascript"">             /* Feature Dependant Properties */             var clientName = 'caulfield';             var streamApi = '/visualiser/stream/';             var responseInterval = 10000;        // Milliseconds until forced AJAX ""timeout"" Abort             var updateInterval = '300';             var naText = 'N/a';             var windRepeater = {""going"":{""enabled"":true,""divXPos"":810,""divYPos"":10,""mapWidth"":950,""repeaterWidth"":132,""r"
"data\weather-source-audit\turftrax\caulfield\audit_report.txt","40","https://twitter.com/turftrax","pecific timing of updates.</p>             </div>             <div class=""footer"">                 <div class=""footer-logo"">                     <img src=""../assets/images/turftrax-main-logo.jpg"" alt=""Turftrax Ltd"">                     <a href=""https://twitter.com/turftrax"" class=""twitter-follow-button"">Follow @twitterapi</a>                     <script type=""text/javascript"">!function(d,s,id){var js,fjs=d.getElementsByTagName(s)[0];if(!d.getElementById(id)){js=d.createElement(s);js.id=id;js.src=""//platform.twitter.com/widgets.js"";fjs.parentNode.insertBefore(js,fjs);}}(document,""script"",""twitter-wjs"");</script>                 </div"
"data\weather-source-audit\turftrax\caulfield\audit_report.txt","43","https://www.turftrax.com","1, 2022, 2023, 2024, 2025, 2026 Turftrax Ltd. <br>All Rights Reserved.</p>                     <p class=""footer-powered-by"">Powered by <a href=""https://www.turftrax.com"" target=""_blank"">TurfTrax Ltd</a></p>                 </div>             </div> <!--[TTITS_TEMPLATE_TAG_ADVISORYNOTICE_HTMLxx]-->             <div id=""api-mini-cms"" class=""menu-display"" style=""display:none;"">                 <div class=""api-mini-cms-header"">                     Visualiser Mini-CMS                     <div class=""popup-close"">                         <img class=""page-icon"" src=""/assets/icons/close-icon-00.svg"" onclick=""ToggleMiniCms();"" title=""Click t"
"data\weather-source-audit\turftrax\caulfield\audit_report.txt","46","https://www.turftrax.com","<p class=""footer-powered-by"">Powered by <a href=""https://www.turftrax.com"" target=""_blank"">TurfTrax Ltd</a></p>                 </div>             </div> <!--[TTITS_TEMPLATE_TAG_ADVISORYNOTICE_HTMLxx]-->             <div id=""api-mini-cms"" class=""menu-display"" style=""display:none;"">                 <div class=""api-mini-cms-header"">                     Visualiser Mini-CMS                     <div class=""popup-close"">                         <img class=""page-icon"" src=""/assets/icons/close-icon-00.svg"" onclick=""ToggleMiniCms();"" title=""Click to Close"" alt=""Close Mini-CMS"">                     </div>                 </div>"
"data\weather-source-audit\turftrax\caulfield\audit_report.txt","238","/visualiser/stream/","type=""text/javascript"" src=""../assets/js/common.js""></script>         <script type=""text/javascript"">             /* Feature Dependant Properties */             var clientName = 'caulfield';             var streamApi = '/visualiser/stream/';             var responseInterval = 10000;        // Milliseconds until forced AJAX ""timeout"" Abort             var updateInterval = '300';             var naText = 'N/a';             var windRepeater = {""going"":{""enabled"":true,""divXPos"":810,""divYPos"":10,""mapWidth"":950,""repeaterWidth"":132,""repeaterText"":true,""deviation"":-0.05,""mapRotation"":0}};             var jsLogger = 'ondemand';             v"
