track_group,target_field,origin,conversion,source_unit,target_unit,fabricated,notes
Flemington,temperature_c,live_raw_on_track_weather_v1.json + verified v1.1 mapping/freshness builder,NONE,C,C,NO,
Flemington,humidity_percent,live_raw_on_track_weather_v1.json + verified v1.1 mapping/freshness builder,NONE,,,NO,
Flemington,wind_speed_kmh,live_raw_on_track_weather_v1.json + verified v1.1 mapping/freshness builder,NONE,km/h,km/h,NO,
Flemington,wind_speed_average_kmh,live_raw_on_track_weather_v1.json + verified v1.1 mapping/freshness builder,NONE,km/h,km/h,NO,
Flemington,wind_direction_text,live_raw_on_track_weather_v1.json + verified v1.1 mapping/freshness builder,NONE,km/h,km/h,NO,
Flemington,wind_direction_degrees,live_raw_on_track_weather_v1.json + verified v1.1 mapping/freshness builder,NONE,km/h,km/h,NO,
Flemington,wind_gust_kmh,live_raw_on_track_weather_v1.json + verified v1.1 mapping/freshness builder,NONE,km/h,km/h,NO,
Flemington,wind_gust_max_kmh,live_raw_on_track_weather_v1.json + verified v1.1 mapping/freshness builder,NONE,km/h,km/h,NO,
Flemington,rain_today_mm,live_raw_on_track_weather_v1.json + verified v1.1 mapping/freshness builder,NONE,mm,mm,NO,
Flemington,rain_24h_mm,live_raw_on_track_weather_v1.json + verified v1.1 mapping/freshness builder,NONE,mm,mm,NO,
Flemington,rain_7d_mm,live_raw_on_track_weather_v1.json + verified v1.1 mapping/freshness builder,NONE,mm,mm,NO,
Flemington,weather_comment,live_raw_on_track_weather_v1.json + verified v1.1 mapping/freshness builder,NONE,,,NO,
Flemington,going_report,live_raw_on_track_weather_v1.json + verified v1.1 mapping/freshness builder,NONE,,,NO,
Flemington,freshness_status,live_raw_on_track_weather_v1.json + verified v1.1 mapping/freshness builder,NONE,,,NO,
Flemington,usable_as_current,live_raw_on_track_weather_v1.json + verified v1.1 mapping/freshness builder,NONE,,,NO,
Caulfield,temperature_c,live_raw_on_track_weather_v1.json + verified v1.1 mapping/freshness builder,NONE,C,C,NO,
Caulfield,humidity_percent,live_raw_on_track_weather_v1.json + verified v1.1 mapping/freshness builder,NONE,,,NO,
Caulfield,wind_speed_kmh,live_raw_on_track_weather_v1.json + verified v1.1 mapping/freshness builder,NONE,km/h,km/h,NO,
Caulfield,wind_speed_average_kmh,live_raw_on_track_weather_v1.json + verified v1.1 mapping/freshness builder,NONE,km/h,km/h,NO,
Caulfield,wind_direction_text,live_raw_on_track_weather_v1.json + verified v1.1 mapping/freshness builder,NONE,km/h,km/h,NO,
Caulfield,wind_direction_degrees,live_raw_on_track_weather_v1.json + verified v1.1 mapping/freshness builder,NONE,km/h,km/h,NO,
Caulfield,wind_gust_kmh,live_raw_on_track_weather_v1.json + verified v1.1 mapping/freshness builder,NONE,km/h,km/h,NO,
Caulfield,wind_gust_max_kmh,live_raw_on_track_weather_v1.json + verified v1.1 mapping/freshness builder,NONE,km/h,km/h,NO,
Caulfield,rain_today_mm,live_raw_on_track_weather_v1.json + verified v1.1 mapping/freshness builder,NONE,mm,mm,NO,
Caulfield,rain_24h_mm,live_raw_on_track_weather_v1.json + verified v1.1 mapping/freshness builder,NONE,mm,mm,NO,
Caulfield,rain_7d_mm,live_raw_on_track_weather_v1.json + verified v1.1 mapping/freshness builder,NONE,mm,mm,NO,
Caulfield,weather_comment,live_raw_on_track_weather_v1.json + verified v1.1 mapping/freshness builder,NONE,,,NO,
Caulfield,going_report,live_raw_on_track_weather_v1.json + verified v1.1 mapping/freshness builder,NONE,,,NO,
Caulfield,freshness_status,live_raw_on_track_weather_v1.json + verified v1.1 mapping/freshness builder,NONE,,,NO,
Caulfield,usable_as_current,live_raw_on_track_weather_v1.json + verified v1.1 mapping/freshness builder,NONE,,,NO,
Sandown,temperature_c,live_raw_on_track_weather_v1.json + verified v1.1 mapping/freshness builder,NONE,C,C,NO,
Sandown,humidity_percent,live_raw_on_track_weather_v1.json + verified v1.1 mapping/freshness builder,NONE,,,NO,
Sandown,wind_speed_kmh,live_raw_on_track_weather_v1.json + verified v1.1 mapping/freshness builder,NONE,km/h,km/h,NO,
Sandown,wind_speed_average_kmh,live_raw_on_track_weather_v1.json + verified v1.1 mapping/freshness builder,NONE,km/h,km/h,NO,
Sandown,wind_direction_text,live_raw_on_track_weather_v1.json + verified v1.1 mapping/freshness builder,NONE,km/h,km/h,NO,
