track_group,source_owner,repository_file,target_field,source_json_path,normalisation,fabricated,notes
Flemington,VRC,data\weather-source-audit\live-vrc\vrc_turf_raw.json,temperature_c,air-temperature-current|temperature-current,direct typed normalisation,NO,
Flemington,VRC,data\weather-source-audit\live-vrc\vrc_turf_raw.json,humidity_percent,humidity-current,direct typed normalisation,NO,
Flemington,VRC,data\weather-source-audit\live-vrc\vrc_turf_raw.json,wind_speed_current,windspeed-current,direct typed normalisation,NO,
Flemington,VRC,data\weather-source-audit\live-vrc\vrc_turf_raw.json,wind_speed_average,windspeed-average,direct typed normalisation,NO,
Flemington,VRC,data\weather-source-audit\live-vrc\vrc_turf_raw.json,wind_direction_text,winddirection-text,direct typed normalisation,NO,
Flemington,VRC,data\weather-source-audit\live-vrc\vrc_turf_raw.json,wind_direction_degrees,winddirection-current,direct typed normalisation,NO,
Flemington,VRC,data\weather-source-audit\live-vrc\vrc_turf_raw.json,wind_gust_current,windgust-current,direct typed normalisation,NO,
Flemington,VRC,data\weather-source-audit\live-vrc\vrc_turf_raw.json,wind_gust_max,windgust-max,direct typed normalisation,NO,
Flemington,VRC,data\weather-source-audit\live-vrc\vrc_turf_raw.json,rain_today_mm,rain1-today|rain2-today,direct typed normalisation,NO,
Flemington,VRC,data\weather-source-audit\live-vrc\vrc_turf_raw.json,rain_24h_mm,rain1-24hr|rain2-24hr,direct typed normalisation,NO,
Flemington,VRC,data\weather-source-audit\live-vrc\vrc_turf_raw.json,rain_7d_mm,rain1-7day|rain2-7day,direct typed normalisation,NO,
Flemington,VRC,data\weather-source-audit\live-vrc\vrc_turf_raw.json,weather_comment,weather-comment,direct typed normalisation,NO,
Flemington,VRC,data\weather-source-audit\live-vrc\vrc_turf_raw.json,going_report,going-report,direct typed normalisation,NO,
Flemington,VRC,data\weather-source-audit\live-vrc\vrc_turf_raw.json,observation_local,weather-date + weather-last-update,direct typed normalisation,NO,
Caulfield,TURFTRAX,data\weather-source-audit\live-turftrax\caulfield_raw.json,temperature_c,air-temperature-current|temperature-current,direct typed normalisation,NO,
Caulfield,TURFTRAX,data\weather-source-audit\live-turftrax\caulfield_raw.json,humidity_percent,humidity-current,direct typed normalisation,NO,
Caulfield,TURFTRAX,data\weather-source-audit\live-turftrax\caulfield_raw.json,wind_speed_current,windspeed-current,direct typed normalisation,NO,
Caulfield,TURFTRAX,data\weather-source-audit\live-turftrax\caulfield_raw.json,wind_speed_average,windspeed-average,direct typed normalisation,NO,
Caulfield,TURFTRAX,data\weather-source-audit\live-turftrax\caulfield_raw.json,wind_direction_text,winddirection-text,direct typed normalisation,NO,
Caulfield,TURFTRAX,data\weather-source-audit\live-turftrax\caulfield_raw.json,wind_direction_degrees,winddirection-current,direct typed normalisation,NO,
Caulfield,TURFTRAX,data\weather-source-audit\live-turftrax\caulfield_raw.json,wind_gust_current,windgust-current,direct typed normalisation,NO,
Caulfield,TURFTRAX,data\weather-source-audit\live-turftrax\caulfield_raw.json,wind_gust_max,windgust-max,direct typed normalisation,NO,
Caulfield,TURFTRAX,data\weather-source-audit\live-turftrax\caulfield_raw.json,rain_today_mm,rain1-today|rain2-today,direct typed normalisation,NO,
Caulfield,TURFTRAX,data\weather-source-audit\live-turftrax\caulfield_raw.json,rain_24h_mm,rain1-24hr|rain2-24hr,direct typed normalisation,NO,
Caulfield,TURFTRAX,data\weather-source-audit\live-turftrax\caulfield_raw.json,rain_7d_mm,rain1-7day|rain2-7day,direct typed normalisation,NO,
Caulfield,TURFTRAX,data\weather-source-audit\live-turftrax\caulfield_raw.json,weather_comment,weather-comment,direct typed normalisation,NO,
Caulfield,TURFTRAX,data\weather-source-audit\live-turftrax\caulfield_raw.json,going_report,going-report,direct typed normalisation,NO,
Caulfield,TURFTRAX,data\weather-source-audit\live-turftrax\caulfield_raw.json,observation_local,weather-date + weather-last-update,direct typed normalisation,NO,
Sandown,TURFTRAX,data\weather-source-audit\live-turftrax\ladbrokes_raw.json,temperature_c,air-temperature-current|temperature-current,direct typed normalisation,NO,
Sandown,TURFTRAX,data\weather-source-audit\live-turftrax\ladbrokes_raw.json,humidity_percent,humidity-current,direct typed normalisation,NO,
Sandown,TURFTRAX,data\weather-source-audit\live-turftrax\ladbrokes_raw.json,wind_speed_current,windspeed-current,direct typed normalisation,NO,
Sandown,TURFTRAX,data\weather-source-audit\live-turftrax\ladbrokes_raw.json,wind_speed_average,windspeed-average,direct typed normalisation,NO,
Sandown,TURFTRAX,data\weather-source-audit\live-turftrax\ladbrokes_raw.json,wind_direction_text,winddirection-text,direct typed normalisation,NO,
Sandown,TURFTRAX,data\weather-source-audit\live-turftrax\ladbrokes_raw.json,wind_direction_degrees,winddirection-current,direct typed normalisation,NO,
Sandown,TURFTRAX,data\weather-source-audit\live-turftrax\ladbrokes_raw.json,wind_gust_current,windgust-current,direct typed normalisation,NO,
Sandown,TURFTRAX,data\weather-source-audit\live-turftrax\ladbrokes_raw.json,wind_gust_max,windgust-max,direct typed normalisation,NO,
Sandown,TURFTRAX,data\weather-source-audit\live-turftrax\ladbrokes_raw.json,rain_today_mm,rain1-today|rain2-today,direct typed normalisation,NO,
Sandown,TURFTRAX,data\weather-source-audit\live-turftrax\ladbrokes_raw.json,rain_24h_mm,rain1-24hr|rain2-24hr,direct typed normalisation,NO,
Sandown,TURFTRAX,data\weather-source-audit\live-turftrax\ladbrokes_raw.json,rain_7d_mm,rain1-7day|rain2-7day,direct typed normalisation,NO,
Sandown,TURFTRAX,data\weather-source-audit\live-turftrax\ladbrokes_raw.json,weather_comment,weather-comment,direct typed normalisation,NO,
Sandown,TURFTRAX,data\weather-source-audit\live-turftrax\ladbrokes_raw.json,going_report,going-report,direct typed normalisation,NO,
Sandown,TURFTRAX,data\weather-source-audit\live-turftrax\ladbrokes_raw.json,observation_local,weather-date + weather-last-update,direct typed normalisation,NO,
Mornington,TURFTRAX,data\weather-source-audit\live-turftrax\mornington_raw.json,temperature_c,air-temperature-current|temperature-current,direct typed normalisation,NO,
Mornington,TURFTRAX,data\weather-source-audit\live-turftrax\mornington_raw.json,humidity_percent,humidity-current,direct typed normalisation,NO,
Mornington,TURFTRAX,data\weather-source-audit\live-turftrax\mornington_raw.json,wind_speed_current,windspeed-current,direct typed normalisation,NO,
Mornington,TURFTRAX,data\weather-source-audit\live-turftrax\mornington_raw.json,wind_speed_average,windspeed-average,direct typed normalisation,NO,
Mornington,TURFTRAX,data\weather-source-audit\live-turftrax\mornington_raw.json,wind_direction_text,winddirection-text,direct typed normalisation,NO,
Mornington,TURFTRAX,data\weather-source-audit\live-turftrax\mornington_raw.json,wind_direction_degrees,winddirection-current,direct typed normalisation,NO,
Mornington,TURFTRAX,data\weather-source-audit\live-turftrax\mornington_raw.json,wind_gust_current,windgust-current,direct typed normalisation,NO,
Mornington,TURFTRAX,data\weather-source-audit\live-turftrax\mornington_raw.json,wind_gust_max,windgust-max,direct typed normalisation,NO,
Mornington,TURFTRAX,data\weather-source-audit\live-turftrax\mornington_raw.json,rain_today_mm,rain1-today|rain2-today,direct typed normalisation,NO,
Mornington,TURFTRAX,data\weather-source-audit\live-turftrax\mornington_raw.json,rain_24h_mm,rain1-24hr|rain2-24hr,direct typed normalisation,NO,
Mornington,TURFTRAX,data\weather-source-audit\live-turftrax\mornington_raw.json,rain_7d_mm,rain1-7day|rain2-7day,direct typed normalisation,NO,
Mornington,TURFTRAX,data\weather-source-audit\live-turftrax\mornington_raw.json,weather_comment,weather-comment,direct typed normalisation,NO,
Mornington,TURFTRAX,data\weather-source-audit\live-turftrax\mornington_raw.json,going_report,going-report,direct typed normalisation,NO,
Mornington,TURFTRAX,data\weather-source-audit\live-turftrax\mornington_raw.json,observation_local,weather-date + weather-last-update,direct typed normalisation,NO,
