track_id,track_name,information_required,why_required,current_status,provided_value,source_url,verified_at,notes
FLEMINGTON,Flemington,Exact racecourse latitude and longitude,Required to validate forecast location and calculate fallback-station distance.,REQUIRED,,,,
FLEMINGTON,Flemington,Official current-observation source,Confirms whether the track has its own live station or must use BOM observations.,REQUIRED,,,,
FLEMINGTON,Flemington,Primary observation URL or endpoint,Required for automated current conditions ingestion.,REQUIRED,,,,
FLEMINGTON,Flemington,Primary station name and station ID,Required for source lineage and operational monitoring.,REQUIRED,,,,
FLEMINGTON,Flemington,Observed fields available,"Required to know whether temperature, wind, gusts, rainfall and humidity are supplied.",REQUIRED,,,,
FLEMINGTON,Flemington,Observation update frequency,Required for freshness thresholds and stale-state handling.,REQUIRED,,,,
FLEMINGTON,Flemington,BOM forecast page or forecast location,Required for hourly and daily race-day forecasting.,REQUIRED,,,,
FLEMINGTON,Flemington,BOM fallback observation station,Required when the preferred live source is unavailable.,REQUIRED,,,,
FLEMINGTON,Flemington,Fallback distance from racecourse,Required so EDGEiQ discloses how representative the fallback observation is.,REQUIRED,,,,
CAULFIELD,Caulfield,Exact racecourse latitude and longitude,Required to validate forecast location and calculate fallback-station distance.,REQUIRED,,,,
CAULFIELD,Caulfield,Official current-observation source,Confirms whether the track has its own live station or must use BOM observations.,REQUIRED,,,,
CAULFIELD,Caulfield,Primary observation URL or endpoint,Required for automated current conditions ingestion.,REQUIRED,,,,
CAULFIELD,Caulfield,Primary station name and station ID,Required for source lineage and operational monitoring.,REQUIRED,,,,
CAULFIELD,Caulfield,Observed fields available,"Required to know whether temperature, wind, gusts, rainfall and humidity are supplied.",REQUIRED,,,,
CAULFIELD,Caulfield,Observation update frequency,Required for freshness thresholds and stale-state handling.,REQUIRED,,,,
CAULFIELD,Caulfield,BOM forecast page or forecast location,Required for hourly and daily race-day forecasting.,REQUIRED,,,,
CAULFIELD,Caulfield,BOM fallback observation station,Required when the preferred live source is unavailable.,REQUIRED,,,,
CAULFIELD,Caulfield,Fallback distance from racecourse,Required so EDGEiQ discloses how representative the fallback observation is.,REQUIRED,,,,
CAULFIELD_HEATH,Caulfield Heath,Exact racecourse latitude and longitude,Required to validate forecast location and calculate fallback-station distance.,REQUIRED,,,,
CAULFIELD_HEATH,Caulfield Heath,Official current-observation source,Confirms whether the track has its own live station or must use BOM observations.,REQUIRED,,,,
CAULFIELD_HEATH,Caulfield Heath,Primary observation URL or endpoint,Required for automated current conditions ingestion.,REQUIRED,,,,
CAULFIELD_HEATH,Caulfield Heath,Primary station name and station ID,Required for source lineage and operational monitoring.,REQUIRED,,,,
CAULFIELD_HEATH,Caulfield Heath,Observed fields available,"Required to know whether temperature, wind, gusts, rainfall and humidity are supplied.",REQUIRED,,,,
CAULFIELD_HEATH,Caulfield Heath,Observation update frequency,Required for freshness thresholds and stale-state handling.,REQUIRED,,,,
CAULFIELD_HEATH,Caulfield Heath,BOM forecast page or forecast location,Required for hourly and daily race-day forecasting.,REQUIRED,,,,
CAULFIELD_HEATH,Caulfield Heath,BOM fallback observation station,Required when the preferred live source is unavailable.,REQUIRED,,,,
CAULFIELD_HEATH,Caulfield Heath,Fallback distance from racecourse,Required so EDGEiQ discloses how representative the fallback observation is.,REQUIRED,,,,
SANDOWN_HILLSIDE,Sandown Hillside,Exact racecourse latitude and longitude,Required to validate forecast location and calculate fallback-station distance.,REQUIRED,,,,
SANDOWN_HILLSIDE,Sandown Hillside,Official current-observation source,Confirms whether the track has its own live station or must use BOM observations.,REQUIRED,,,,
SANDOWN_HILLSIDE,Sandown Hillside,Primary observation URL or endpoint,Required for automated current conditions ingestion.,REQUIRED,,,,
SANDOWN_HILLSIDE,Sandown Hillside,Primary station name and station ID,Required for source lineage and operational monitoring.,REQUIRED,,,,
SANDOWN_HILLSIDE,Sandown Hillside,Observed fields available,"Required to know whether temperature, wind, gusts, rainfall and humidity are supplied.",REQUIRED,,,,
SANDOWN_HILLSIDE,Sandown Hillside,Observation update frequency,Required for freshness thresholds and stale-state handling.,REQUIRED,,,,
SANDOWN_HILLSIDE,Sandown Hillside,BOM forecast page or forecast location,Required for hourly and daily race-day forecasting.,REQUIRED,,,,
SANDOWN_HILLSIDE,Sandown Hillside,BOM fallback observation station,Required when the preferred live source is unavailable.,REQUIRED,,,,
SANDOWN_HILLSIDE,Sandown Hillside,Fallback distance from racecourse,Required so EDGEiQ discloses how representative the fallback observation is.,REQUIRED,,,,
SANDOWN_LAKESIDE,Sandown Lakeside,Exact racecourse latitude and longitude,Required to validate forecast location and calculate fallback-station distance.,REQUIRED,,,,
SANDOWN_LAKESIDE,Sandown Lakeside,Official current-observation source,Confirms whether the track has its own live station or must use BOM observations.,REQUIRED,,,,
SANDOWN_LAKESIDE,Sandown Lakeside,Primary observation URL or endpoint,Required for automated current conditions ingestion.,REQUIRED,,,,
SANDOWN_LAKESIDE,Sandown Lakeside,Primary station name and station ID,Required for source lineage and operational monitoring.,REQUIRED,,,,
SANDOWN_LAKESIDE,Sandown Lakeside,Observed fields available,"Required to know whether temperature, wind, gusts, rainfall and humidity are supplied.",REQUIRED,,,,
SANDOWN_LAKESIDE,Sandown Lakeside,Observation update frequency,Required for freshness thresholds and stale-state handling.,REQUIRED,,,,
SANDOWN_LAKESIDE,Sandown Lakeside,BOM forecast page or forecast location,Required for hourly and daily race-day forecasting.,REQUIRED,,,,
SANDOWN_LAKESIDE,Sandown Lakeside,BOM fallback observation station,Required when the preferred live source is unavailable.,REQUIRED,,,,
SANDOWN_LAKESIDE,Sandown Lakeside,Fallback distance from racecourse,Required so EDGEiQ discloses how representative the fallback observation is.,REQUIRED,,,,
MORNINGTON,Mornington,Exact racecourse latitude and longitude,Required to validate forecast location and calculate fallback-station distance.,REQUIRED,,,,
MORNINGTON,Mornington,Official current-observation source,Confirms whether the track has its own live station or must use BOM observations.,REQUIRED,,,,
MORNINGTON,Mornington,Primary observation URL or endpoint,Required for automated current conditions ingestion.,REQUIRED,,,,
MORNINGTON,Mornington,Primary station name and station ID,Required for source lineage and operational monitoring.,REQUIRED,,,,
MORNINGTON,Mornington,Observed fields available,"Required to know whether temperature, wind, gusts, rainfall and humidity are supplied.",REQUIRED,,,,
MORNINGTON,Mornington,Observation update frequency,Required for freshness thresholds and stale-state handling.,REQUIRED,,,,
MORNINGTON,Mornington,BOM forecast page or forecast location,Required for hourly and daily race-day forecasting.,REQUIRED,,,,
MORNINGTON,Mornington,BOM fallback observation station,Required when the preferred live source is unavailable.,REQUIRED,,,,
