source_owner,source_name,repository_file,json_path,candidate_field,value_type,value,candidate_category,verification_status,canonical_target_field,notes
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.air-temperature-current,air-temperature-current,float,14.1,TEMPERATURE,UNREVIEWED,,
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.air-temperature-max,air-temperature-max,float,14.4,TEMPERATURE,UNREVIEWED,,
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.air-temperature-min,air-temperature-min,float,5.67,TEMPERATURE,UNREVIEWED,,
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.awt-race-date,awt-race-date,str,N/a,TIMESTAMP,UNREVIEWED,,
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.carousel.temperature.default,default,str,air,TEMPERATURE,UNREVIEWED,,
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.carousel.temperature.list[0],list[0],str,air,TEMPERATURE,UNREVIEWED,,
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.going-race-date,going-race-date,str,"Saturday, 18th July, 2026",TIMESTAMP,UNREVIEWED,,
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.goingReport,goingReport,int,0,TRACK,UNREVIEWED,,
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.haveManualRain,haveManualRain,bool,false,RAINFALL,UNREVIEWED,,
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.humidity-current,humidity-current,float,75.39,HUMIDITY,UNREVIEWED,,
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.humidity-max,humidity-max,float,99.9,HUMIDITY,UNREVIEWED,,
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.humidity-min,humidity-min,float,75.11,HUMIDITY,UNREVIEWED,,
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.location-date,location-date,str,"Saturday, 18th July, 2026",TIMESTAMP,UNREVIEWED,,
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.location-track-type,location-track-type,str,N/a,TRACK,UNREVIEWED,,
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.rain0-24hr,rain0-24hr,str,,RAINFALL,UNREVIEWED,,
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.rain0-7day,rain0-7day,str,,RAINFALL,UNREVIEWED,,
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.rain0-today,rain0-today,str,,RAINFALL,UNREVIEWED,,
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.rain1-24hr,rain1-24hr,int,0,RAINFALL,UNREVIEWED,,
