source_owner,source_name,repository_file,json_path,value_type,container_size,value_preview,depth
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$,object,3,,0
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.header,object,3,,1
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.header.description,str,,"Turftrax Weather Data Visualisation for Flemingtom Racecourse on Sat, 11 Jul 2026 04:57:52 +0100",2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.header.signature,str,,Turftrax ITS WDV API Stream prod-V1.5.3-2021-04-15T12:00,2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.header.copyright,str,,"2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026 Turftrax Ltd. All Rights Reserved.",2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content,object,62,,1
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.air-temperature-current,float,,14.1,2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.air-temperature-max,float,,14.4,2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.air-temperature-min,float,,5.67,2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.awt-race-date,str,,N/a,2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.awtReport,int,,0,2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.carousel,object,1,,2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.carousel.temperature,object,2,,3
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.carousel.temperature.default,str,,air,4
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.carousel.temperature.list,array,1,,4
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.carousel.temperature.list[0],str,,air,5
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.disableMetic,array,0,,2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.et-24hr,float,,0.44,2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.et-7day,float,,1.98,2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.et-since,float,,0.21,2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.etEnabled,bool,,true,2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.going-race-date,str,,"Saturday, 18th July, 2026",2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.goingReport,int,,0,2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.haveManualRain,bool,,false,2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.humidity-current,float,,75.39,2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.humidity-max,float,,99.9,2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.humidity-min,float,,75.11,2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.isDemo,bool,,false,2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.isLastMeeting,bool,,false,2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.location-date,str,,"Saturday, 18th July, 2026",2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.location-track-type,str,,N/a,2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.location-venue,str,,Flemington,2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.mapName,str,,N/a,2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.mapping-service,str,,yes,2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.rain0-24hr,str,,,2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.rain0-7day,str,,,2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.rain0-today,str,,,2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.rain1-24hr,int,,0,2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.rain1-7day,float,,0.4,2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.rain1-current,int,,0,2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.rain1-since,int,,0,2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.rain1-today,int,,0,2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.rain2-24hr,int,,0,2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.rain2-7day,float,,0.4,2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.rain2-current,int,,0,2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.rain2-since,int,,0,2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.rain2-today,int,,0,2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.seasonEndMessage,str,,,2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.stationActivityStatus,str,,active,2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.stationId,str,,N/a,2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.stationType,str,,wtx,2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.temperature-current,float,,14.1,2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.temperature-max,float,,14.4,2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.temperature-min,float,,5.67,2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.trackType,str,,Turf,2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.units,object,3,,2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.units.linear,str,,mm,3
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.units.speed,str,,km/h,3
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.units.temperature,str,,C,3
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.use-map,str,,N/a,2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.useRainGauge,int,,1,2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.usingAwtReport,str,,N/a,2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.usingReport,str,,N/a,2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.venueId,str,,N/a,2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.venueName,str,,Flemingtom Racecourse,2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.weather-date,str,,11/07/26,2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.weather-last-update,str,,2:57pm,2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.weatherReport,int,,1,2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.winddirection-current,float,,337.5,2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.winddirection-current-rose,int,,1314,2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.winddirection-text,str,,Northerly,2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.windgust-current,float,,6.8,2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.windgust-event,str,,2:06 pm,2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.windspeed-average,float,,1.94,2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.content.windspeed-current,int,,6,2
VRC,Flemington,data\weather-source-audit\live-vrc\vrc_turf_raw.json,$.tardis,object,22,,1
