source_guess,repository_file,discovered_url,requires_verification,verified_track,verified_data_type,verification_status,notes
VRC,data\weather-source-audit\all_deep_weather_findings.json,https://www.vrc.com.au/track-and-weather-conditions/,YES,,,UNREVIEWED,
MRC,data\weather-source-audit\all_deep_weather_findings.json,https://mrc.racing.com/racing/raceday-track-weather-live,YES,,,UNREVIEWED,
UNKNOWN,data\weather-source-audit\all_deep_weather_findings.json,https://dxp-cdn.racing.com/api/public/content/coleraine-favicon-317603.ico?v=8df47b64,YES,,,UNREVIEWED,
VRC,data\weather-source-audit\EDGEIQ_METRO_WEATHER_SOURCE_AUDIT.txt,https://www.vrc.com.au/track-and-weather-conditions/,YES,,,UNREVIEWED,
MRC,data\weather-source-audit\EDGEIQ_METRO_WEATHER_SOURCE_AUDIT.txt,https://mrc.racing.com/racing/raceday-track-weather-live,YES,,,UNREVIEWED,
TURFTRAX,data\weather-source-audit\mrc_metropolitan.html,https://its.turftrax.co.uk/visualiser/caulfield/,YES,,,UNREVIEWED,
TURFTRAX,data\weather-source-audit\mrc_metropolitan.html,https://its.turftrax.co.uk/visualiser/ladbrokes,YES,,,UNREVIEWED,
TURFTRAX,data\weather-source-audit\mrc_metropolitan.html,https://its.turftrax.co.uk/visualiser/mornington,YES,,,UNREVIEWED,
MRC,data\weather-source-audit\mrc_metropolitan_deep_findings.json,https://mrc.racing.com/racing/raceday-track-weather-live,YES,,,UNREVIEWED,
UNKNOWN,data\weather-source-audit\mrc_metropolitan_deep_findings.json,https://dxp-cdn.racing.com/api/public/content/coleraine-favicon-317603.ico?v=8df47b64,YES,,,UNREVIEWED,
MRC,data\weather-source-audit\mrc_metropolitan_deep_report.txt,https://mrc.racing.com/racing/raceday-track-weather-live,YES,,,UNREVIEWED,
UNKNOWN,data\weather-source-audit\mrc_metropolitan_deep_report.txt,https://dxp-cdn.racing.com/api/public/content/coleraine-favicon-317603.ico?v=8df47b64,YES,,,UNREVIEWED,
TURFTRAX,data\weather-source-audit\mrc_metropolitan_inline_scripts.txt,https://its.turftrax.co.uk/visualiser/caulfield/,YES,,,UNREVIEWED,
TURFTRAX,data\weather-source-audit\mrc_metropolitan_inline_scripts.txt,https://its.turftrax.co.uk/visualiser/ladbrokes,YES,,,UNREVIEWED,
TURFTRAX,data\weather-source-audit\mrc_metropolitan_inline_scripts.txt,https://its.turftrax.co.uk/visualiser/mornington,YES,,,UNREVIEWED,
VRC,data\weather-source-audit\vrc_flemington.html,https://www.vrc.com.au/track-and-weather-conditions/,YES,,,UNREVIEWED,
VRC,data\weather-source-audit\vrc_flemington_candidates.json,https://www.vrc.com.au/racing/flemington-trainers/,YES,,,UNREVIEWED,
VRC,data\weather-source-audit\vrc_flemington_candidates.json,https://www.vrc.com.au/track-and-weather-conditions/,YES,,,UNREVIEWED,
VRC,data\weather-source-audit\vrc_flemington_candidates.json,https://www.vrc.com.au/track-and-weather-conditions/#,YES,,,UNREVIEWED,
VRC,data\weather-source-audit\vrc_flemington_deep_findings.json,https://www.vrc.com.au/track-and-weather-conditions/,YES,,,UNREVIEWED,
VRC,data\weather-source-audit\vrc_flemington_deep_report.txt,https://www.vrc.com.au/track-and-weather-conditions/,YES,,,UNREVIEWED,
VRC,data\weather-source-audit\weather_source_audit_summary.json,https://www.vrc.com.au/track-and-weather-conditions/,YES,,,UNREVIEWED,
VRC,data\weather-source-audit\weather_source_audit_summary.json,https://www.vrc.com.au/racing/flemington-trainers/,YES,,,UNREVIEWED,
VRC,data\weather-source-audit\weather_source_audit_summary.json,https://www.vrc.com.au/track-and-weather-conditions/#,YES,,,UNREVIEWED,
MRC,data\weather-source-audit\weather_source_audit_summary.json,https://mrc.racing.com/racing/raceday-track-weather-live,YES,,,UNREVIEWED,
BOM,data\weather-source-audit\bom-donald-location\022_main.bundle.js,https://api.test2.bom.gov.au/apikey/v1/locations,YES,,,UNREVIEWED,
BOM,data\weather-source-audit\bom-donald-location\022_main.bundle.js,https://fastapi-location.apps.ocp.mgmt.bae.bom.gov.au/apikey/v1/locations,YES,,,UNREVIEWED,
