track_id,track_name,club,course_variant,canonical_location_name,latitude,longitude,preferred_observation_source,preferred_source_priority,primary_observation_endpoint,primary_observation_station_name,primary_observation_station_id,primary_observation_update_frequency,primary_observation_fields,forecast_source,forecast_location_name,forecast_endpoint,forecast_location_id,bom_fallback_station_name,bom_fallback_station_id,bom_fallback_observation_endpoint,bom_fallback_distance_km,fallback_permitted,source_status,last_verified_at,verification_method,notes
FLEMINGTON,Flemington,VRC,Turf,,,,VRC_ON_TRACK,1,https://www.vrc.com.au/umbraco/api/TurfSportsAPI/GetTurfData,,VRC_FLEMINGTON_ON_TRACK,300 seconds,temperature_c|humidity_percent|wind_speed_kmh|wind_direction_text|wind_gust_kmh|rain_today_mm|rain_24h_mm|rain_7d_mm|weather_comment|going_report,BOM,,,,,,,,YES,VERIFIED_PRODUCTION_ENDPOINT,2026-07-13T22:09:17.584133+00:00,client-code trace + one-shot safe live probe + governed schema audit,Use VRC live on-track observations as primary. BOM forecast and BOM observation are fallback/support only.
CAULFIELD,Caulfield,MRC,Main,,,,MRC_TURFTRAX_ON_TRACK,1,https://its.turftrax.co.uk/visualiser/stream/caulfield.html,,150000,300 seconds,temperature_c|humidity_percent|wind_speed_kmh|wind_direction_text|wind_gust_kmh|rain_today_mm|rain_24h_mm|rain_7d_mm|weather_comment|going_report,BOM,,,,,,,,YES,VERIFIED_PRODUCTION_ENDPOINT,2026-07-13T22:09:17.584133+00:00,client-code trace + one-shot safe live probe + governed schema audit,Use live on-track TurfTrax/MRC observations as primary.
CAULFIELD_HEATH,Caulfield Heath,MRC,Heath,,,,MRC_TURFTRAX_ON_TRACK,1,https://its.turftrax.co.uk/visualiser/stream/caulfield.html,,150000,300 seconds,temperature_c|humidity_percent|wind_speed_kmh|wind_direction_text|wind_gust_kmh|rain_today_mm|rain_24h_mm|rain_7d_mm|weather_comment|going_report,BOM,,,,,,,,YES,VERIFIED_PRODUCTION_ENDPOINT,2026-07-13T22:09:17.584133+00:00,client-code trace + one-shot safe live probe + governed schema audit,Expected to share the Caulfield on-track weather source unless source evidence proves otherwise.
SANDOWN_HILLSIDE,Sandown Hillside,MRC,Hillside,,,,MRC_TURFTRAX_ON_TRACK,1,https://its.turftrax.co.uk/visualiser/stream/ladbrokes.html,,148000,300 seconds,temperature_c|humidity_percent|wind_speed_kmh|wind_direction_text|wind_gust_kmh|rain_today_mm|rain_24h_mm|rain_7d_mm|weather_comment|going_report,BOM,,,,,,,,YES,VERIFIED_PRODUCTION_ENDPOINT,2026-07-13T22:09:17.584133+00:00,client-code trace + one-shot safe live probe + governed schema audit,Use Sandown on-track observations. Course variant must not create a duplicate physical weather station.
SANDOWN_LAKESIDE,Sandown Lakeside,MRC,Lakeside,,,,MRC_TURFTRAX_ON_TRACK,1,https://its.turftrax.co.uk/visualiser/stream/ladbrokes.html,,148000,300 seconds,temperature_c|humidity_percent|wind_speed_kmh|wind_direction_text|wind_gust_kmh|rain_today_mm|rain_24h_mm|rain_7d_mm|weather_comment|going_report,BOM,,,,,,,,YES,VERIFIED_PRODUCTION_ENDPOINT,2026-07-13T22:09:17.584133+00:00,client-code trace + one-shot safe live probe + governed schema audit,Use Sandown on-track observations. Course variant must not create a duplicate physical weather station.
MORNINGTON,Mornington,MRC,Turf,,,,MRC_TURFTRAX_ON_TRACK,1,https://its.turftrax.co.uk/visualiser/stream/mornington.html,,149001,300 seconds,temperature_c|humidity_percent|wind_speed_kmh|wind_direction_text|wind_gust_kmh|rain_today_mm|rain_24h_mm|rain_7d_mm|weather_comment|going_report,BOM,,,,,,,,YES,VERIFIED_PRODUCTION_ENDPOINT,2026-07-13T22:09:17.584133+00:00,client-code trace + one-shot safe live probe + governed schema audit,Use live on-track TurfTrax/MRC observations as primary.
MOONEE_VALLEY,Moonee Valley,MVRC,Turf,,,,UNCONFIRMED,,,,,,,BOM,,,,,,,,YES,SOURCE_DISCOVERY_REQUIRED,,,Check for an official on-track source before assigning BOM observations as primary.
CRANBOURNE,Cranbourne,Southside Racing,Turf,,,,UNCONFIRMED,,,,,,,BOM,,,,,,,,YES,SOURCE_DISCOVERY_REQUIRED,,,Check official club or on-track station availability before BOM-only mapping.
PAKENHAM,Pakenham,Southside Racing,Turf,,,,UNCONFIRMED,,,,,,,BOM,,,,,,,,YES,SOURCE_DISCOVERY_REQUIRED,,,Check official club or on-track station availability before BOM-only mapping.
PAKENHAM_SYNTHETIC,Pakenham Synthetic,Southside Racing,Synthetic,,,,UNCONFIRMED,,,,,,,BOM,,,,,,,,YES,SOURCE_DISCOVERY_REQUIRED,,,Likely shares the physical Pakenham weather source with the turf course.
