meeting_date,track,race_no,runner_number,horse,current_runner_id,current_horse_id,normalized_horse,scratched,history_match,history_rows,latest_eligible_history_date,latest_eligible_epi,epr_value,epr_status,epr_source_artifact,failure_reason,epr_missing_class,current_join_status,prior_failure_verdict
2026-08-22,Sandown Hillside,1,2,Hydrobomb,15767436,5358771,HYDROBOMB,NO,YES,6,2026-03-25,80.94,32.525,EPI_AVAILABLE,edgeiq_epi_performance_fact_v1.csv:latest_prior_fullForm_match,NONE_POPULATED,,POPULATED_GOVERNED_EPR,STALE_PUBLICATION_RESOLVED_BY_CURRENT_REFRESH
2026-08-22,Sandown Hillside,1,3,Milsons Point,15751267,5365269,MILSONSPOINT,NO,YES,9,2026-03-14,52.17,33.275,EPI_AVAILABLE,edgeiq_epi_performance_fact_v1.csv:latest_prior_fullForm_match,NONE_POPULATED,,POPULATED_GOVERNED_EPR,STALE_PUBLICATION_RESOLVED_BY_CURRENT_REFRESH
2026-08-22,Sandown Hillside,1,5,Commit,15761593,5366680,COMMIT,NO,YES,33,2025-10-15,78.16,43.225,EPI_AVAILABLE,edgeiq_epi_performance_fact_v1.csv:latest_prior_fullForm_match,NONE_POPULATED,,POPULATED_GOVERNED_EPR,STALE_PUBLICATION_RESOLVED_BY_CURRENT_REFRESH
2026-08-22,Sandown Hillside,1,6,Vallice,15751268,5370058,VALLICE,NO,YES,7,2026-06-03,79.61,,INSUFFICIENT_PERFORMANCE_HISTORY,,LEGITIMATE_INSUFFICIENT_HISTORY,LEGITIMATE_INSUFFICIENT_HISTORY,LEGITIMATE_GOVERNED_EXCLUSION,LEGITIMATE_GOVERNED_EXCLUSION
2026-08-22,Sandown Hillside,1,7,Glide,15755615,5374798,GLIDE,NO,NO,0,,,,NO_PRIOR_FORM_HISTORY,,LEGITIMATE_FIRST_STARTER,LEGITIMATE_FIRST_STARTER,LEGITIMATE_GOVERNED_EXCLUSION,LEGITIMATE_GOVERNED_EXCLUSION
2026-08-22,Sandown Hillside,1,8,Judas Tree,15766206,5365757,JUDASTREE,NO,YES,1,,,,INSUFFICIENT_PERFORMANCE_HISTORY,,LEGITIMATE_INSUFFICIENT_HISTORY,LEGITIMATE_INSUFFICIENT_HISTORY,LEGITIMATE_GOVERNED_EXCLUSION,LEGITIMATE_GOVERNED_EXCLUSION
2026-08-22,Sandown Hillside,2,1,Prestige Forever,15765965,5349493,PRESTIGEFOREVER,NO,YES,13,2026-05-31,66.49,12.25,EPI_AVAILABLE,edgeiq_epi_performance_fact_v1.csv:latest_prior_fullForm_match,NONE_POPULATED,,POPULATED_GOVERNED_EPR,STALE_PUBLICATION_RESOLVED_BY_CURRENT_REFRESH
2026-08-22,Sandown Hillside,2,4,Buccleuch,15767422,5341046,BUCCLEUCH,NO,YES,16,2026-02-07,62.7,53.625,EPI_AVAILABLE,edgeiq_epi_performance_fact_v1.csv:latest_prior_fullForm_match,NONE_POPULATED,,POPULATED_GOVERNED_EPR,STALE_PUBLICATION_RESOLVED_BY_CURRENT_REFRESH
2026-08-22,Sandown Hillside,2,5,Cruiserweight,15767440,5376607,CRUISERWEIGHT,NO,YES,2,,,,INSUFFICIENT_PERFORMANCE_HISTORY,,LEGITIMATE_INSUFFICIENT_HISTORY,LEGITIMATE_INSUFFICIENT_HISTORY,LEGITIMATE_GOVERNED_EXCLUSION,LEGITIMATE_GOVERNED_EXCLUSION
2026-08-22,Sandown Hillside,2,6,Nic's Choice,15765078,5323727,NICSCHOICE,NO,YES,43,2026-03-14,81,46.925,EPI_AVAILABLE,edgeiq_epi_performance_fact_v1.csv:latest_prior_fullForm_match,NONE_POPULATED,,POPULATED_GOVERNED_EPR,STALE_PUBLICATION_RESOLVED_BY_CURRENT_REFRESH
