1/05/2026 12:00:00 AM;Ladbrokes Geelong-Professional-2026-05-01;Ice Break 30 years Maiden Plate;00:01:15.517;GEEL_1500m_TRACK
Glisk;12;243;17.89;00:00:16.150;443;17.86;00:00:11.300;643;17.53;00:00:11.580;843;17.87;00:00:11.580;1043;18.1;00:00:11.200;1243;17.59;00:00:11.680
Glory Of Love;3;243;18.64;00:00:15.550;443;18.32;00:00:11.200;643;17.51;00:00:11.880;843;17.72;00:00:11.650;1043;18.03;00:00:11.440;1243;17.15;00:00:11.920
Faith In Zadar;2;243;17.52;00:00:16.220;443;17.72;00:00:11.590;643;17.72;00:00:11.740;843;17.8;00:00:11.600;1043;18.42;00:00:11.110;1243;18.01;00:00:11.460
Love Rustler;5;243;18.27;00:00:15.930;443;18.27;00:00:11.240;643;17.51;00:00:11.650;843;17.67;00:00:11.670;1043;18.08;00:00:11.350;1243;17.34;00:00:11.950
Polar Eyes;7;243;18.41;00:00:15.790;443;18.7;00:00:11.130;643;17.45;00:00:11.790;843;17.86;00:00:11.600;1043;17.94;00:00:11.540;1243;17.21;00:00:12.070
Tycoon Thief;11;243;18.26;00:00:15.860;443;18.26;00:00:11.390;643;17.4;00:00:11.830;843;17.83;00:00:11.600;1043;18.13;00:00:11.380;1243;17.29;00:00:11.960
Prague Pride;8;243;18.1;00:00:16.040;443;18.18;00:00:11.590;643;17.81;00:00:11.670;843;17.79;00:00:11.640;1043;18.19;00:00:11.540;1243;17.19;00:00:11.630
Lyrebird Lady;6;243;18.02;00:00:16.080;443;18.07;00:00:11.350;643;17.57;00:00:11.810;843;18.1;00:00:11.680;1043;18.17;00:00:11.310;1243;17.36;00:00:11.910
Prestige Maddy;9;243;18.23;00:00:16.400;443;18.2;00:00:11.440;643;17.34;00:00:11.810;843;18.01;00:00:11.680;1043;18.4;00:00:11.430;1243;17.71;00:00:11.460
Apache Sunrise;1;243;17.95;00:00:16.450;443;18.01;00:00:11.650;643;17.58;00:00:11.880;843;18.3;00:00:11.520;1043;17.88;00:00:11.490;1243;17.56;00:00:12.120
Spirit Of Omaha;10;243;18.4;00:00:15.700;443;18.52;00:00:11.380;643;17.49;00:00:11.730;843;17.96;00:00:11.710;1043;17.83;00:00:11.870;1243;16.13;00:00:13.080
Justibella;4;243;0;00:00:00.000;443;0;00:00:00.000;643;0;00:00:00.000;843;0;00:00:00.000;1043;0;00:00:00.000;1243;0;00:00:00.000
French Court;13;243;0;00:00:00.000;443;0;00:00:00.000;643;0;00:00:00.000;843;0;00:00:00.000;1043;0;00:00:00.000;1243;0;00:00:00.000
