1/05/2026 12:00:00 AM;Ladbrokes Geelong-Professional-2026-05-01;Pepsi Max Maiden Plate;00:01:18.695;GEEL_1500m_TRACK
Recycle King;6;243;17.93;00:00:16.590;443;17.94;00:00:11.380;643;18.24;00:00:11.480;843;18.41;00:00:11.290;1043;18.7;00:00:10.900;1243;18.19;00:00:11.240
Menzies Creek;5;243;18.39;00:00:15.870;443;18.5;00:00:11.270;643;17.84;00:00:11.570;843;18.34;00:00:11.300;1043;18.62;00:00:11.060;1243;17.42;00:00:11.830
Blue Shield;3;243;18.27;00:00:15.880;443;18.18;00:00:11.400;643;17.77;00:00:11.480;843;18.19;00:00:11.270;1043;18.47;00:00:11.170;1243;17.71;00:00:11.780
Regalade;7;243;17.95;00:00:16.170;443;18.04;00:00:11.340;643;17.97;00:00:11.530;843;18.01;00:00:11.370;1043;18.27;00:00:11.220;1243;17.51;00:00:11.670
Blue Blue Day;2;243;17.8;00:00:16.330;443;17.77;00:00:11.370;643;17.92;00:00:11.510;843;18.6;00:00:11.310;1043;18.53;00:00:11.180;1243;17.64;00:00:11.700
Trouble'n Paradise;8;243;17.84;00:00:16.060;443;18;00:00:11.310;643;18.06;00:00:11.570;843;18.3;00:00:11.290;1043;18.25;00:00:11.280;1243;17.42;00:00:11.900
Awaywiththepixies;1;243;17.93;00:00:16.490;443;17.9;00:00:11.370;643;17.73;00:00:11.480;843;17.89;00:00:11.430;1043;17.38;00:00:11.890;1243;16.24;00:00:12.930
Marwooba;10;243;18.52;00:00:15.860;443;18.52;00:00:11.480;643;17.94;00:00:11.670;843;17.91;00:00:11.640;1043;17.57;00:00:11.890;1243;15.95;00:00:16.080
High Ambitions;4;243;0;00:00:00.000;443;0;00:00:00.000;643;0;00:00:00.000;843;0;00:00:00.000;1043;0;00:00:00.000;1243;0;00:00:00.000
Majestic Choice;9;243;0;00:00:00.000;443;0;00:00:00.000;643;0;00:00:00.000;843;0;00:00:00.000;1043;0;00:00:00.000;1243;0;00:00:00.000
