1/05/2026 12:00:00 AM;Ladbrokes Geelong-Professional-2026-05-01;Silvan Ridge Wealth BM62 Handicap;00:01:49.499;GEEL_1700m_TRACK
Colour Our World;3;160;14.42;00:00:11.230;360;16.99;00:00:11.990;560;16.68;00:00:12.510;760;16.18;00:00:12.750;960;15.94;00:00:12.790;1160;17.02;00:00:12.160;1360;18.23;00:00:11.470;1560;18.61;00:00:11.010;1760;18.59;00:00:11.420
Squander;10;160;14.47;00:00:11.160;360;17.09;00:00:11.740;560;16.89;00:00:12.540;760;16.07;00:00:12.810;960;15.87;00:00:12.780;1160;16.74;00:00:12.330;1360;17.88;00:00:11.610;1560;18.11;00:00:11.260;1760;17.99;00:00:11.390
Quello Dorato;4;160;14.25;00:00:11.380;360;16.93;00:00:12.080;560;16.69;00:00:12.550;760;16.1;00:00:12.670;960;16.1;00:00:12.910;1160;17.09;00:00:12.090;1360;18.15;00:00:11.390;1560;18.5;00:00:11.110;1760;18.35;00:00:11.660
Charlecote Mill;9;160;14.2;00:00:11.430;360;17.07;00:00:11.740;560;16.87;00:00:12.440;760;16.19;00:00:12.740;960;15.92;00:00:12.900;1160;16.78;00:00:12.220;1360;18.04;00:00:11.460;1560;18.21;00:00:11.270;1760;18.12;00:00:11.760
Hide Your Assets;8;160;14.19;00:00:11.460;360;16.87;00:00:12.000;560;16.48;00:00:12.530;760;16.11;00:00:12.670;960;16.07;00:00:12.880;1160;16.71;00:00:12.260;1360;17.99;00:00:11.370;1560;18.34;00:00:11.140;1760;18.16;00:00:11.670
Harmony;7;160;14.86;00:00:10.910;360;17.05;00:00:11.850;560;16.74;00:00:12.500;760;16.13;00:00:12.850;960;15.77;00:00:12.790;1160;16.48;00:00:12.370;1360;17.97;00:00:11.460;1560;18.16;00:00:11.350;1760;17.92;00:00:11.910
Winter Nights;2;160;13.93;00:00:11.890;360;16.84;00:00:12.180;560;16.44;00:00:12.590;760;16.1;00:00:12.680;960;16.22;00:00:12.850;1160;17.12;00:00:12.030;1360;18.36;00:00:11.280;1560;18.72;00:00:10.930;1760;18.58;00:00:11.760
The Daily Planet;1;160;14.04;00:00:11.700;360;16.82;00:00:12.010;560;16.56;00:00:12.600;760;16.1;00:00:12.650;960;16.25;00:00:12.840;1160;17.15;00:00:12.060;1360;18.16;00:00:11.430;1560;18.39;00:00:11.150;1760;18.3;00:00:11.810
Vineux;11;160;14.01;00:00:11.780;360;16.86;00:00:12.060;560;16.5;00:00:12.530;760;16.18;00:00:12.610;960;16.24;00:00:12.900;1160;16.85;00:00:12.240;1360;17.61;00:00:11.710;1560;17.72;00:00:11.450;1760;17.72;00:00:12.140
Romuald;6;160;0;00:00:00.000;360;0;00:00:00.000;560;0;00:00:00.000;760;0;00:00:00.000;960;0;00:00:00.000;1160;0;00:00:00.000;1360;0;00:00:00.000;1560;0;00:00:00.000;1760;0;00:00:00.000
Heironaut;5;160;0;00:00:00.000;360;0;00:00:00.000;560;0;00:00:00.000;760;0;00:00:00.000;960;0;00:00:00.000;1160;0;00:00:00.000;1360;0;00:00:00.000;1560;0;00:00:00.000;1760;0;00:00:00.000
