current_canonical_runner_id,current_canonical_horse_name,historical_canonical_horse_id,historical_canonical_horse_name,identity_resolution_method,identity_resolution_status,identity_resolution_reason_code,historical_name_collision_count,identity_builder_version,identity_method_version,identity_bridge_evidence_sha256
RCOM_HORSE_5041024,Raging Monkey,,,,IDENTITY_UNRESOLVED,NO_CANONICAL_ID_OR_EXACT_NAME_MATCH,0,EDGEIQ_CURRENT_HISTORICAL_HORSE_IDENTITY_BRIDGE_V2,CANONICAL_ID_THEN_EXACT_UNIQUE_NORMALISED_NAME_V1,b90d9356417f5788932c7d546bf50faf5902eb970793c75bad59cba5214ae322
RCOM_HORSE_5245551,Danerich Dan,,,,IDENTITY_UNRESOLVED,NO_CANONICAL_ID_OR_EXACT_NAME_MATCH,0,EDGEIQ_CURRENT_HISTORICAL_HORSE_IDENTITY_BRIDGE_V2,CANONICAL_ID_THEN_EXACT_UNIQUE_NORMALISED_NAME_V1,081f9b5d70d22095904f11a510173d69725671d55c10c89201dea22460fa86b1
RCOM_HORSE_5251812,Rumbled Again,,,,IDENTITY_UNRESOLVED,NO_CANONICAL_ID_OR_EXACT_NAME_MATCH,0,EDGEIQ_CURRENT_HISTORICAL_HORSE_IDENTITY_BRIDGE_V2,CANONICAL_ID_THEN_EXACT_UNIQUE_NORMALISED_NAME_V1,957d9d82582af7889a291a25995b8b9b494e48758b48f6d0150b49afa93a492d
RCOM_HORSE_5263352,Ellmaknifico,,,,IDENTITY_UNRESOLVED,NO_CANONICAL_ID_OR_EXACT_NAME_MATCH,0,EDGEIQ_CURRENT_HISTORICAL_HORSE_IDENTITY_BRIDGE_V2,CANONICAL_ID_THEN_EXACT_UNIQUE_NORMALISED_NAME_V1,709e447543a2e9fa0e3f978a1ca0a507e68ed9d8387fcb770597b0b9b272d75c
RCOM_HORSE_5266226,Station One,,,,IDENTITY_UNRESOLVED,NO_CANONICAL_ID_OR_EXACT_NAME_MATCH,0,EDGEIQ_CURRENT_HISTORICAL_HORSE_IDENTITY_BRIDGE_V2,CANONICAL_ID_THEN_EXACT_UNIQUE_NORMALISED_NAME_V1,72120c20614bfcc79886c3851296d69e200e20191a1a9e7647b11a3a2f10e802
RCOM_HORSE_5266967,Belle Savoir,,,,IDENTITY_UNRESOLVED,NO_CANONICAL_ID_OR_EXACT_NAME_MATCH,0,EDGEIQ_CURRENT_HISTORICAL_HORSE_IDENTITY_BRIDGE_V2,CANONICAL_ID_THEN_EXACT_UNIQUE_NORMALISED_NAME_V1,1f1b50e06da98819454c7363f3e98f95f1efae2fa972bb00b88f8790098287e2
RCOM_HORSE_5268993,Kentahten,,,,IDENTITY_UNRESOLVED,NO_CANONICAL_ID_OR_EXACT_NAME_MATCH,0,EDGEIQ_CURRENT_HISTORICAL_HORSE_IDENTITY_BRIDGE_V2,CANONICAL_ID_THEN_EXACT_UNIQUE_NORMALISED_NAME_V1,546007174a2db4eacff40c289a3862e7168eae9b8e50b0f4812b5bb35cd41d73
RCOM_HORSE_5269409,Luna Cat,,,,IDENTITY_UNRESOLVED,NO_CANONICAL_ID_OR_EXACT_NAME_MATCH,0,EDGEIQ_CURRENT_HISTORICAL_HORSE_IDENTITY_BRIDGE_V2,CANONICAL_ID_THEN_EXACT_UNIQUE_NORMALISED_NAME_V1,47ac092b237aa68e993029fc243a57ad328680512557a3bba82bfc7047f984dd
RCOM_HORSE_5269524,Wind Dreamer,,,,IDENTITY_UNRESOLVED,NO_CANONICAL_ID_OR_EXACT_NAME_MATCH,0,EDGEIQ_CURRENT_HISTORICAL_HORSE_IDENTITY_BRIDGE_V2,CANONICAL_ID_THEN_EXACT_UNIQUE_NORMALISED_NAME_V1,e831bbd4defc33dc28f236c42b32291bfd9d460ae701c2d47451e41337e54962
RCOM_HORSE_5280364,Jimmy The Bear,,,,IDENTITY_UNRESOLVED,NO_CANONICAL_ID_OR_EXACT_NAME_MATCH,0,EDGEIQ_CURRENT_HISTORICAL_HORSE_IDENTITY_BRIDGE_V2,CANONICAL_ID_THEN_EXACT_UNIQUE_NORMALISED_NAME_V1,2a25d4b72bd903678a3256071b23bd9e723136302668f872501edd2b1b0c9d81
