check,status,detail
configuration_exists,PASS,C:\Users\trent\OneDrive\Documents\EDGEIQ_PLATFORM\config\edgeiq_daily_operations_v1.json
config_key_timezone,PASS,timezone
config_key_default_lookback_days,PASS,default_lookback_days
config_key_lock_path,PASS,lock_path
config_key_source_authority_order,PASS,source_authority_order
config_key_allowed_source_adapters,PASS,allowed_source_adapters
script_exists_build_edgeiq_daily_race_discovery_v1.py,PASS,build_edgeiq_daily_race_discovery_v1.py
script_exists_build_edgeiq_daily_official_results_ingestion_v1.py,PASS,build_edgeiq_daily_official_results_ingestion_v1.py
script_exists_build_edgeiq_daily_official_timing_ingestion_v1.py,PASS,build_edgeiq_daily_official_timing_ingestion_v1.py
script_exists_build_edgeiq_daily_condition_evidence_v1.py,PASS,build_edgeiq_daily_condition_evidence_v1.py
script_exists_build_edgeiq_delayed_speed_data_ingestion_v1.py,PASS,build_edgeiq_delayed_speed_data_ingestion_v1.py
script_exists_build_edgeiq_race_data_lifecycle_fact_v1.py,PASS,build_edgeiq_race_data_lifecycle_fact_v1.py
script_exists_update_edgeiq_canonical_historical_timing_warehouse_v1.py,PASS,update_edgeiq_canonical_historical_timing_warehouse_v1.py
script_exists_run_edgeiq_daily_operations_engine_v1.py,PASS,run_edgeiq_daily_operations_engine_v1.py
output_exists_edgeiq_daily_race_discovery_v1.csv,PASS,edgeiq_daily_race_discovery_v1.csv
output_exists_edgeiq_daily_official_results_fact_v1.csv,PASS,edgeiq_daily_official_results_fact_v1.csv
output_exists_edgeiq_daily_official_timing_candidate_v1.csv,PASS,edgeiq_daily_official_timing_candidate_v1.csv
output_exists_edgeiq_daily_condition_evidence_v1.csv,PASS,edgeiq_daily_condition_evidence_v1.csv
output_exists_edgeiq_delayed_speed_data_ingestion_v1.csv,PASS,edgeiq_delayed_speed_data_ingestion_v1.csv
output_exists_edgeiq_race_data_lifecycle_fact_v1.csv,PASS,edgeiq_race_data_lifecycle_fact_v1.csv
output_exists_edgeiq_daily_operations_manifest_v1.json,PASS,edgeiq_daily_operations_manifest_v1.json
output_exists_edgeiq_daily_operations_alert_fact_v1.csv,PASS,edgeiq_daily_operations_alert_fact_v1.csv
lifecycle_unique_current_rows,PASS,8 rows
lock_released,PASS,C:\Users\trent\OneDrive\Documents\EDGEIQ_PLATFORM\public\data\edgeiq_daily_operations_engine_v1.lock.json
scheduler_script_exists_install_edgeiq_daily_operations_tasks_v1.ps1,PASS,install_edgeiq_daily_operations_tasks_v1.ps1
scheduler_script_exists_uninstall_edgeiq_daily_operations_tasks_v1.ps1,PASS,uninstall_edgeiq_daily_operations_tasks_v1.ps1
scheduler_script_exists_show_edgeiq_daily_operations_tasks_v1.ps1,PASS,show_edgeiq_daily_operations_tasks_v1.ps1
scheduler_script_exists_run_edgeiq_daily_operations_now_v1.ps1,PASS,run_edgeiq_daily_operations_now_v1.ps1
protected_system_changes_absent,PASS,
