recovered_timing_observation_id,canonical_race_id,canonical_meeting_id,race_date,jurisdiction,track,track_layout,race_number,distance_metres,race_class,race_class_group,surface_group,surface_evidence_status,track_condition,track_condition_group,field_size,winner_canonical_performance_id,winner_canonical_horse_id,winner_horse_name,winner_finish_position,official_race_time_seconds,time_unit,source_dataset,source_record_key,source_row_evidence_sha256,identity_status,unit_semantics_status,condition_evidence_status,timing_recovery_status,builder_version,built_at_utc
TWRD-A2B33277726F7F74EB5A2396,EIQD-DDBEBDD438E1E95BF9FCC89E,EIQM-3560DCAC43CE69CF989F9E87,2026-07-26,VIC,SALE,,1,2200,,,TURF,GOVERNED_DAILY_DEFAULT_FOR_VIC_NON_SYNTHETIC_UNLESS_SOURCE_OVERRIDES,Soft 7,SOFT,8,,,RAINY NIGHT,1,143.050000,SECONDS,edgeiq_daily_official_timing_candidate_v1.csv,EIQD-DDBEBDD438E1E95BF9FCC89E,c3e7f4e0267c25b1cdaaca4ed9d6ae258adde96a5fbc3c54a731792d44df8f7a,CANONICAL_RACE_ID_PRESENT,EXPLICIT_OFFICIAL_RACE_TIME_SECONDS_WITH_TIME_UNIT,AVAILABLE,DAILY_GOVERNED_TIMING,EDGEIQ_DAILY_OPERATIONS_ENGINE_V1,2026-07-30T04:23:25Z
TWRD-78A0F6A41BD5552153A2456B,EIQD-EB9F8134D5BF682C7A99C9D3,EIQM-3560DCAC43CE69CF989F9E87,2026-07-26,VIC,SALE,,2,1400,,,TURF,GOVERNED_DAILY_DEFAULT_FOR_VIC_NON_SYNTHETIC_UNLESS_SOURCE_OVERRIDES,Soft 7,SOFT,10,,,HIRARKEE,1,85.250000,SECONDS,edgeiq_daily_official_timing_candidate_v1.csv,EIQD-EB9F8134D5BF682C7A99C9D3,e164ac2ee252938e7d5e4e882ee0f18cb695da7c843ef8e11b0a5d504fc0686b,CANONICAL_RACE_ID_PRESENT,EXPLICIT_OFFICIAL_RACE_TIME_SECONDS_WITH_TIME_UNIT,AVAILABLE,DAILY_GOVERNED_TIMING,EDGEIQ_DAILY_OPERATIONS_ENGINE_V1,2026-07-30T04:23:25Z
TWRD-56E5EF69D85C709DC7334563,EIQD-37CE1A9173B26E7EB02D17CC,EIQM-3560DCAC43CE69CF989F9E87,2026-07-26,VIC,SALE,,3,1000,,,TURF,GOVERNED_DAILY_DEFAULT_FOR_VIC_NON_SYNTHETIC_UNLESS_SOURCE_OVERRIDES,Soft 6,SOFT,10,,,CHIGURH,1,59.360000,SECONDS,edgeiq_daily_official_timing_candidate_v1.csv,EIQD-37CE1A9173B26E7EB02D17CC,c0fece547d2e8ee61011273623d789c922cb82ca24e5e1e78046016a87503d0d,CANONICAL_RACE_ID_PRESENT,EXPLICIT_OFFICIAL_RACE_TIME_SECONDS_WITH_TIME_UNIT,AVAILABLE,DAILY_GOVERNED_TIMING,EDGEIQ_DAILY_OPERATIONS_ENGINE_V1,2026-07-30T04:23:25Z
TWRD-0079DE84EB216EDD7771FBEA,EIQD-C37EA5A90D5C022617026D89,EIQM-3560DCAC43CE69CF989F9E87,2026-07-26,VIC,SALE,,4,1100,,,TURF,GOVERNED_DAILY_DEFAULT_FOR_VIC_NON_SYNTHETIC_UNLESS_SOURCE_OVERRIDES,Soft 6,SOFT,14,,,BLAZING INTENT,1,65.160000,SECONDS,edgeiq_daily_official_timing_candidate_v1.csv,EIQD-C37EA5A90D5C022617026D89,dfc411531c0a5479a2fc597da2fa8af1cdc5debdc9ec24bcdada79d98a2ede69,CANONICAL_RACE_ID_PRESENT,EXPLICIT_OFFICIAL_RACE_TIME_SECONDS_WITH_TIME_UNIT,AVAILABLE,DAILY_GOVERNED_TIMING,EDGEIQ_DAILY_OPERATIONS_ENGINE_V1,2026-07-30T04:23:25Z
TWRD-9F651B3F7210CEBDFC61A5E1,EIQD-681F212AA6AA39D5B3E39D91,EIQM-3560DCAC43CE69CF989F9E87,2026-07-26,VIC,SALE,,5,1200,,,TURF,GOVERNED_DAILY_DEFAULT_FOR_VIC_NON_SYNTHETIC_UNLESS_SOURCE_OVERRIDES,Soft 6,SOFT,6,,,MR EXCLUSIVE,1,71.290000,SECONDS,edgeiq_daily_official_timing_candidate_v1.csv,EIQD-681F212AA6AA39D5B3E39D91,6a6bb2f87613592ed3dc6cb268973d89d1576a89fb69a131cb911d771bf963b0,CANONICAL_RACE_ID_PRESENT,EXPLICIT_OFFICIAL_RACE_TIME_SECONDS_WITH_TIME_UNIT,AVAILABLE,DAILY_GOVERNED_TIMING,EDGEIQ_DAILY_OPERATIONS_ENGINE_V1,2026-07-30T04:23:25Z
TWRD-EFCC87F07FBA83A7848B86A5,EIQD-0F448166A5F621EF7D40F74C,EIQM-3560DCAC43CE69CF989F9E87,2026-07-26,VIC,SALE,,6,1000,,,TURF,GOVERNED_DAILY_DEFAULT_FOR_VIC_NON_SYNTHETIC_UNLESS_SOURCE_OVERRIDES,Soft 6,SOFT,8,,,MISLIGHT,1,58.490000,SECONDS,edgeiq_daily_official_timing_candidate_v1.csv,EIQD-0F448166A5F621EF7D40F74C,9ae2c37e448fb77453bd6f520b1fc1b08c76f08117cc6a602101451c4b185f32,CANONICAL_RACE_ID_PRESENT,EXPLICIT_OFFICIAL_RACE_TIME_SECONDS_WITH_TIME_UNIT,AVAILABLE,DAILY_GOVERNED_TIMING,EDGEIQ_DAILY_OPERATIONS_ENGINE_V1,2026-07-30T04:23:25Z
TWRD-CC36C7B172702C2F15862377,EIQD-2FCDF559A4AC5AD65AC8B286,EIQM-3560DCAC43CE69CF989F9E87,2026-07-26,VIC,SALE,,7,1600,,,TURF,GOVERNED_DAILY_DEFAULT_FOR_VIC_NON_SYNTHETIC_UNLESS_SOURCE_OVERRIDES,Soft 6,SOFT,10,,,CEREMONIOUS (NZ),1,98.500000,SECONDS,edgeiq_daily_official_timing_candidate_v1.csv,EIQD-2FCDF559A4AC5AD65AC8B286,0b20ddcb84d9ea8162e187242e400c0478c6beb07431889244897f2221eb942a,CANONICAL_RACE_ID_PRESENT,EXPLICIT_OFFICIAL_RACE_TIME_SECONDS_WITH_TIME_UNIT,AVAILABLE,DAILY_GOVERNED_TIMING,EDGEIQ_DAILY_OPERATIONS_ENGINE_V1,2026-07-30T04:23:25Z
TWRD-38DEE440898BA29DFD359337,EIQD-58926116CE3730E5DB18A856,EIQM-3560DCAC43CE69CF989F9E87,2026-07-26,VIC,SALE,,8,1400,,,TURF,GOVERNED_DAILY_DEFAULT_FOR_VIC_NON_SYNTHETIC_UNLESS_SOURCE_OVERRIDES,Soft 6,SOFT,14,,,DANE ON TOUR,1,85.270000,SECONDS,edgeiq_daily_official_timing_candidate_v1.csv,EIQD-58926116CE3730E5DB18A856,6b6932994c2144a6855c0f6e32594838a9677253230b9b2e9f4da16f9a502edb,CANONICAL_RACE_ID_PRESENT,EXPLICIT_OFFICIAL_RACE_TIME_SECONDS_WITH_TIME_UNIT,AVAILABLE,DAILY_GOVERNED_TIMING,EDGEIQ_DAILY_OPERATIONS_ENGINE_V1,2026-07-30T04:23:25Z
TWRD-DCF0C36D9BCF959D4B7A95F2,EIQD-087B39BD14654C6BE228B7C7,EIQM-0221404D9C8F70F3BCC2BD04,2026-07-30,VIC,BENDIGO,,1,1300,,,TURF,GOVERNED_DAILY_DEFAULT_FOR_VIC_NON_SYNTHETIC_UNLESS_SOURCE_OVERRIDES,Soft 6,SOFT,12,,,SMART KING,1,78.790000,SECONDS,edgeiq_daily_official_timing_candidate_v1.csv,EIQD-087B39BD14654C6BE228B7C7,c912aa663b28b3ce7ba29beb933718da6b14479fc63e72b455e71f3dda03d963,CANONICAL_RACE_ID_PRESENT,EXPLICIT_OFFICIAL_RACE_TIME_SECONDS_WITH_TIME_UNIT,AVAILABLE,DAILY_GOVERNED_TIMING,EDGEIQ_DAILY_OPERATIONS_ENGINE_V1,2026-07-30T04:23:25Z
TWRD-D9181EA69C73BCD1794A39E0,EIQD-86C65EC6E1FDECD8A75C401B,EIQM-0221404D9C8F70F3BCC2BD04,2026-07-30,VIC,BENDIGO,,2,1100,,,TURF,GOVERNED_DAILY_DEFAULT_FOR_VIC_NON_SYNTHETIC_UNLESS_SOURCE_OVERRIDES,Soft 6,SOFT,10,,,ACTUALLY ROMANTIC,1,65.940000,SECONDS,edgeiq_daily_official_timing_candidate_v1.csv,EIQD-86C65EC6E1FDECD8A75C401B,0e17d9826fd697e8031815fee3212af37f26ee7593f6295a4086640b00b224c6,CANONICAL_RACE_ID_PRESENT,EXPLICIT_OFFICIAL_RACE_TIME_SECONDS_WITH_TIME_UNIT,AVAILABLE,DAILY_GOVERNED_TIMING,EDGEIQ_DAILY_OPERATIONS_ENGINE_V1,2026-07-30T04:23:25Z
TWRD-95D8D0EEBD26D1C28DE83FB3,EIQD-D9825396650BA1277A83A865,EIQM-0221404D9C8F70F3BCC2BD04,2026-07-30,VIC,BENDIGO,,3,1000,,,TURF,GOVERNED_DAILY_DEFAULT_FOR_VIC_NON_SYNTHETIC_UNLESS_SOURCE_OVERRIDES,Soft 6,SOFT,12,,,ACE HAZ,1,59.240000,SECONDS,edgeiq_daily_official_timing_candidate_v1.csv,EIQD-D9825396650BA1277A83A865,ced4fff75c53d999956f75e55bdabd55e7035034ac9d3f5475988e410197fd16,CANONICAL_RACE_ID_PRESENT,EXPLICIT_OFFICIAL_RACE_TIME_SECONDS_WITH_TIME_UNIT,AVAILABLE,DAILY_GOVERNED_TIMING,EDGEIQ_DAILY_OPERATIONS_ENGINE_V1,2026-07-30T04:23:25Z
