raceDate,meeting,raceNumber,raceKey,runnerNumber,runnerName,normalizedRunnerName,runnerId,value,display,version,source,status,missingReason,evidenceRuns,projectionMethod,projectionConfidence,rankInRace,activeFieldSize,fieldHigh,fieldAverage,differenceFromFieldAverage,recentChange,trend,asAt
2026-08-12,Bendigo,1,2026-08-12|BENDIGO|R1,1,Come Together,COME TOGETHER,5363927,,,,,MISSING,HISTORY_FOUND_NO_RATEABLE_PERFORMANCE,0,HISTORY_FOUND_NO_RATEABLE_PERFORMANCE,LOW,,1,56.64,56.64,,,,2026-08-12T06:45:47+00:00
2026-08-12,Bendigo,1,2026-08-12|BENDIGO|R1,2,Desert Oak,DESERT OAK,5367359,,,,,MISSING,HISTORY_FOUND_NO_RATEABLE_PERFORMANCE,0,HISTORY_FOUND_NO_RATEABLE_PERFORMANCE,LOW,,1,56.64,56.64,,,,2026-08-12T06:45:47+00:00
2026-08-12,Bendigo,1,2026-08-12|BENDIGO|R1,3,Gold Chalice,GOLD CHALICE,5360517,,,,,MISSING,HISTORY_FOUND_NO_RATEABLE_PERFORMANCE,0,HISTORY_FOUND_NO_RATEABLE_PERFORMANCE,LOW,,1,56.64,56.64,,,,2026-08-12T06:45:47+00:00
2026-08-12,Bendigo,1,2026-08-12|BENDIGO|R1,4,Hydro Rush,HYDRO RUSH,5372805,,,,,MISSING,HISTORY_FOUND_NO_RATEABLE_PERFORMANCE,0,HISTORY_FOUND_NO_RATEABLE_PERFORMANCE,LOW,,1,56.64,56.64,,,,2026-08-12T06:45:47+00:00
2026-08-12,Bendigo,1,2026-08-12|BENDIGO|R1,5,Little Bit,LITTLE BIT,5400923,,,,,MISSING,HISTORY_FOUND_NO_RATEABLE_PERFORMANCE,0,HISTORY_FOUND_NO_RATEABLE_PERFORMANCE,LOW,,1,56.64,56.64,,,,2026-08-12T06:45:47+00:00
2026-08-12,Bendigo,1,2026-08-12|BENDIGO|R1,6,Prince Of Portland,PRINCE OF PORTLAND,5365854,56.64,56.6,v5_2,edgeiq_current_field_projection_v5_2.csv:projected_rating_v5_2,CURRENT,,1,average available ratings | LOW_SAMPLE_SHRINK_1_START,LOW,1,1,56.64,56.64,0.0,,CURRENT,2026-08-12T06:45:47+00:00
2026-08-12,Bendigo,2,2026-08-12|BENDIGO|R2,1,Amira Dubai,AMIRA DUBAI,5379407,,,,,MISSING,HISTORY_FOUND_NO_RATEABLE_PERFORMANCE,0,HISTORY_FOUND_NO_RATEABLE_PERFORMANCE,LOW,,4,63.52,60.47,,,,2026-08-12T06:45:47+00:00
2026-08-12,Bendigo,2,2026-08-12|BENDIGO|R2,2,Five Knights,FIVE KNIGHTS,5369099,60.78,60.8,v5_2,edgeiq_current_field_projection_v5_2.csv:projected_rating_v5_2,CURRENT,,1,average available ratings | LOW_SAMPLE_SHRINK_1_START,LOW,2,4,63.52,60.47,0.31,,CURRENT,2026-08-12T06:45:47+00:00
2026-08-12,Bendigo,2,2026-08-12|BENDIGO|R2,3,I Am Aria,I AM ARIA,5361488,60.36,60.4,v5_2,edgeiq_current_field_projection_v5_2.csv:projected_rating_v5_2,CURRENT,,3,0.45 last + 0.40 avg3 + 0.15 peak | LOW_SAMPLE_SHRINK_3_START,MEDIUM,3,4,63.52,60.47,-0.11,,CURRENT,2026-08-12T06:45:47+00:00
2026-08-12,Bendigo,2,2026-08-12|BENDIGO|R2,4,Lady Molly,LADY MOLLY,5367559,,,,,MISSING,HISTORY_FOUND_NO_RATEABLE_PERFORMANCE,0,HISTORY_FOUND_NO_RATEABLE_PERFORMANCE,LOW,,4,63.52,60.47,,,,2026-08-12T06:45:47+00:00
