raceDate,meeting,raceNumber,runnerNumber,runnerName,normalisedRunnerName,value,display,source,version,asAt,status,rankInRace,activeFieldSize,fieldHigh,fieldAverage,differenceFromFieldAverage,recentChange,trend,unavailableReason,eriValue,eriDisplay,eriSource,eriStatus,epi,eri,observationsUsed,latestPerformanceId,joinMethod,race_date,track,race_no,horse,horse_key,saddlecloth,horse_no,race_key_epr_market,epr_value,epr_status,is_no_history_epr_market,epr_market_gap_used,epr_market_no_history_policy,epr_market_score,edgeiq_probability_epr_v1,edgeiq_price_epr_v1,edgeiq_rank_epr_v1,race_probability_sum_epr_v1,known_epr_runner_count,no_history_runner_count,edgeiq_price_engine,edgeiq_price_engine_method,edgeiq_price_engine_parameters,built_at_epr_market_v1
2026-08-22,Sandown Hillside,1,1,Eurocanto,EUROCANTO,35.55,35.5,edgeiq_epi_performance_fact_v1.csv:latest_prior_fullForm_match,EPI_LINEAGE_RECOVERY_V1,2026-08-22T03:04:12Z,EPI_AVAILABLE,,,,,,,REGRESSING,,52.28,52.3,edgeiq_epi_race_strength_fact_v1.csv:latest_prior_run_race,ERI_PRIOR_CONTEXT_AVAILABLE,"{'value': 35.55, 'display': '35.5', 'source': 'edgeiq_epi_performance_fact_v1.csv:latest_prior_fullForm_match', 'version': 'EPI_LINEAGE_RECOVERY_V1', 'asAt': '2026-08-22T03:04:12Z', 'status': 'EPI_AVAILABLE', 'rankInRace': 4, 'activeFieldSize': 7, 'fieldHigh': 79.61, 'fieldAverage': 45.347142857142856, 'differenceFromFieldAverage': -9.797142857142859, 'recentChange': None, 'trend': 'REGRESSING', 'unavailableReason': ''}","{'value': 52.28, 'display': '52.3', 'source': 'edgeiq_epi_race_strength_fact_v1.csv:latest_prior_run_race', 'version': 'ERI_LINEAGE_RECOVERY_V1', 'asAt': '2026-08-22T03:04:12Z', 'status': 'ERI_PRIOR_CONTEXT_AVAILABLE', 'unavailableReason': ''}",8,EIQ_PERFORMANCE_9CCAE454BF4677A0,HORSE_DATE_TRACK_RACE_DISTANCE,2026-08-22,Sandown Hillside,1,Eurocanto,EUROCANTO,1,1,2026-08-22|SANDOWN HILLSIDE|R1,35.55,EPI_AVAILABLE,False,35.55,REAL_GOVERNED_EPR,9.440615857193155,0.0270571,36.96,4.0,1.0,7,3,EPR_MARKET_V1,EPR_FIELD_RELATIVE_POWER_NORMALIZATION,power=1.35;source=edgeiq_epi_current_rating_v1,2026-08-22T03:04:47Z
2026-08-22,Sandown Hillside,1,2,Hydrobomb,HYDROBOMB,32.525,32.5,edgeiq_epi_performance_fact_v1.csv:latest_prior_fullForm_match,EPI_LINEAGE_RECOVERY_V1,2026-08-22T03:04:12Z,EPI_AVAILABLE,,,,,,,REGRESSING,,37.52,37.5,edgeiq_epi_race_strength_fact_v1.csv:latest_prior_run_race,ERI_PRIOR_CONTEXT_AVAILABLE,"{'value': 32.525, 'display': '32.5', 'source': 'edgeiq_epi_performance_fact_v1.csv:latest_prior_fullForm_match', 'version': 'EPI_LINEAGE_RECOVERY_V1', 'asAt': '2026-08-22T03:04:12Z', 'status': 'EPI_AVAILABLE', 'rankInRace': 6, 'activeFieldSize': 7, 'fieldHigh': 79.61, 'fieldAverage': 45.347142857142856, 'differenceFromFieldAverage': -12.822142857142858, 'recentChange': None, 'trend': 'REGRESSING', 'unavailableReason': ''}","{'value': 37.52, 'display': '37.5', 'source': 'edgeiq_epi_race_strength_fact_v1.csv:latest_prior_run_race', 'version': 'ERI_LINEAGE_RECOVERY_V1', 'asAt': '2026-08-22T03:04:12Z', 'status': 'ERI_PRIOR_CONTEXT_AVAILABLE', 'unavailableReason': ''}",6,EIQ_PERFORMANCE_64DFC8DC7C93100C,HORSE_DATE_TRACK_RACE_DISTANCE,2026-08-22,Sandown Hillside,1,Hydrobomb,HYDROBOMB,2,2,2026-08-22|SANDOWN HILLSIDE|R1,32.525,EPI_AVAILABLE,False,32.525,REAL_GOVERNED_EPR,2.988452789872502,0.008565,116.75,6.0,1.0,7,3,EPR_MARKET_V1,EPR_FIELD_RELATIVE_POWER_NORMALIZATION,power=1.35;source=edgeiq_epi_current_rating_v1,2026-08-22T03:04:47Z
2026-08-22,Sandown Hillside,1,3,Milsons Point,MILSONSPOINT,33.275,33.3,edgeiq_epi_performance_fact_v1.csv:latest_prior_fullForm_match,EPI_LINEAGE_RECOVERY_V1,2026-08-22T03:04:12Z,EPI_AVAILABLE,,,,,,,REGRESSING,,51.44,51.4,edgeiq_epi_race_strength_fact_v1.csv:latest_prior_run_race,ERI_PRIOR_CONTEXT_AVAILABLE,"{'value': 33.275, 'display': '33.3', 'source': 'edgeiq_epi_performance_fact_v1.csv:latest_prior_fullForm_match', 'version': 'EPI_LINEAGE_RECOVERY_V1', 'asAt': '2026-08-22T03:04:12Z', 'status': 'EPI_AVAILABLE', 'rankInRace': 5, 'activeFieldSize': 7, 'fieldHigh': 79.61, 'fieldAverage': 45.347142857142856, 'differenceFromFieldAverage': -12.072142857142858, 'recentChange': None, 'trend': 'REGRESSING', 'unavailableReason': ''}","{'value': 51.44, 'display': '51.4', 'source': 'edgeiq_epi_race_strength_fact_v1.csv:latest_prior_run_race', 'version': 'ERI_LINEAGE_RECOVERY_V1', 'asAt': '2026-08-22T03:04:12Z', 'status': 'ERI_PRIOR_CONTEXT_AVAILABLE', 'unavailableReason': ''}",7,EIQ_PERFORMANCE_C68501607F3036CC,HORSE_DATE_TRACK_RACE_DISTANCE,2026-08-22,Sandown Hillside,1,Milsons Point,MILSONSPOINT,3,3,2026-08-22|SANDOWN HILLSIDE|R1,33.275,EPI_AVAILABLE,False,33.275,REAL_GOVERNED_EPR,4.406702113800222,0.01262974,79.18,5.0,1.0,7,3,EPR_MARKET_V1,EPR_FIELD_RELATIVE_POWER_NORMALIZATION,power=1.35;source=edgeiq_epi_current_rating_v1,2026-08-22T03:04:47Z
2026-08-22,Sandown Hillside,1,4,Torture,TORTURE,61.97,62.0,edgeiq_epi_performance_fact_v1.csv:latest_prior_fullForm_match,EPI_LINEAGE_RECOVERY_V1,2026-08-22T03:04:12Z,EPI_AVAILABLE,,,,,,,IMPROVING,,77.84,77.8,edgeiq_epi_race_strength_fact_v1.csv:latest_prior_run_race,ERI_PRIOR_CONTEXT_AVAILABLE,"{'value': 61.97, 'display': '62.0', 'source': 'edgeiq_epi_performance_fact_v1.csv:latest_prior_fullForm_match', 'version': 'EPI_LINEAGE_RECOVERY_V1', 'asAt': '2026-08-22T03:04:12Z', 'status': 'EPI_AVAILABLE', 'rankInRace': 2, 'activeFieldSize': 7, 'fieldHigh': 79.61, 'fieldAverage': 45.347142857142856, 'differenceFromFieldAverage': 16.622857142857143, 'recentChange': None, 'trend': 'IMPROVING', 'unavailableReason': ''}","{'value': 77.84, 'display': '77.8', 'source': 'edgeiq_epi_race_strength_fact_v1.csv:latest_prior_run_race', 'version': 'ERI_LINEAGE_RECOVERY_V1', 'asAt': '2026-08-22T03:04:12Z', 'status': 'ERI_PRIOR_CONTEXT_AVAILABLE', 'unavailableReason': ''}",3,2026-01-03|EIQ_RACE_9D871CFF7CA15089|RCOM_RUNNER_15410199|RCOM_HORSE_5377061,FULLFORM_GOVERNED_HISTORICAL_EPI,2026-08-22,Sandown Hillside,1,Torture,TORTURE,4,4,2026-08-22|SANDOWN HILLSIDE|R1,61.97,EPI_AVAILABLE,False,61.97,REAL_GOVERNED_EPR,106.25209960991519,0.3045218,3.28,2.0,1.0,7,3,EPR_MARKET_V1,EPR_FIELD_RELATIVE_POWER_NORMALIZATION,power=1.35;source=edgeiq_epi_current_rating_v1,2026-08-22T03:04:47Z
2026-08-22,Sandown Hillside,1,5,Commit,COMMIT,43.225,43.2,edgeiq_epi_performance_fact_v1.csv:latest_prior_fullForm_match,EPI_LINEAGE_RECOVERY_V1,2026-08-22T03:04:12Z,EPI_AVAILABLE,,,,,,,REGRESSING,,51.08,51.1,edgeiq_epi_race_strength_fact_v1.csv:latest_prior_run_race,ERI_PRIOR_CONTEXT_AVAILABLE,"{'value': 43.225, 'display': '43.2', 'source': 'edgeiq_epi_performance_fact_v1.csv:latest_prior_fullForm_match', 'version': 'EPI_LINEAGE_RECOVERY_V1', 'asAt': '2026-08-22T03:04:12Z', 'status': 'EPI_AVAILABLE', 'rankInRace': 3, 'activeFieldSize': 7, 'fieldHigh': 79.61, 'fieldAverage': 45.347142857142856, 'differenceFromFieldAverage': -2.1221428571428547, 'recentChange': None, 'trend': 'REGRESSING', 'unavailableReason': ''}","{'value': 51.08, 'display': '51.1', 'source': 'edgeiq_epi_race_strength_fact_v1.csv:latest_prior_run_race', 'version': 'ERI_LINEAGE_RECOVERY_V1', 'asAt': '2026-08-22T03:04:12Z', 'status': 'ERI_PRIOR_CONTEXT_AVAILABLE', 'unavailableReason': ''}",3,EIQ_PERFORMANCE_610A37550B39F01E,HORSE_DATE_TRACK_RACE_DISTANCE,2026-08-22,Sandown Hillside,1,Commit,COMMIT,5,5,2026-08-22|SANDOWN HILLSIDE|R1,43.225,EPI_AVAILABLE,False,43.225,REAL_GOVERNED_EPR,31.73687690269031,0.09095887,10.99,3.0,1.0,7,3,EPR_MARKET_V1,EPR_FIELD_RELATIVE_POWER_NORMALIZATION,power=1.35;source=edgeiq_epi_current_rating_v1,2026-08-22T03:04:47Z
2026-08-22,Sandown Hillside,1,6,Vallice,VALLICE,79.61,79.6,edgeiq_epi_performance_fact_v1.csv:latest_prior_fullForm_match,EPI_LINEAGE_RECOVERY_V1,2026-08-22T03:04:12Z,EPI_AVAILABLE,,,,,,,STABLE,,63.43,63.4,edgeiq_epi_race_strength_fact_v1.csv:latest_prior_run_race,ERI_PRIOR_CONTEXT_AVAILABLE,"{'value': 79.61, 'display': '79.6', 'source': 'edgeiq_epi_performance_fact_v1.csv:latest_prior_fullForm_match', 'version': 'EPI_LINEAGE_RECOVERY_V1', 'asAt': '2026-08-22T03:04:12Z', 'status': 'EPI_AVAILABLE', 'rankInRace': 1, 'activeFieldSize': 7, 'fieldHigh': 79.61, 'fieldAverage': 45.347142857142856, 'differenceFromFieldAverage': 34.26285714285714, 'recentChange': None, 'trend': 'STABLE', 'unavailableReason': ''}","{'value': 63.43, 'display': '63.4', 'source': 'edgeiq_epi_race_strength_fact_v1.csv:latest_prior_run_race', 'version': 'ERI_LINEAGE_RECOVERY_V1', 'asAt': '2026-08-22T03:04:12Z', 'status': 'ERI_PRIOR_CONTEXT_AVAILABLE', 'unavailableReason': ''}",3,2026-06-03|EIQ_RACE_38E0250207A5C222|RCOM_RUNNER_15640984|RCOM_HORSE_5370058,FULLFORM_GOVERNED_HISTORICAL_EPI,2026-08-22,Sandown Hillside,1,Vallice,VALLICE,6,6,2026-08-22|SANDOWN HILLSIDE|R1,79.61,EPI_AVAILABLE,False,79.61,REAL_GOVERNED_EPR,193.08984277901823,0.55340146,1.81,1.0,1.0,7,3,EPR_MARKET_V1,EPR_FIELD_RELATIVE_POWER_NORMALIZATION,power=1.35;source=edgeiq_epi_current_rating_v1,2026-08-22T03:04:47Z
2026-08-22,Sandown Hillside,1,7,Glide,GLIDE,,,,EPI_LINEAGE_RECOVERY_V1,2026-08-22T03:04:12Z,NO_PRIOR_FORM_HISTORY,,,,,,,,NO_PRIOR_FORM_HISTORY,,,,ERI_UNAVAILABLE,"{'value': None, 'display': '', 'source': None, 'version': 'EPI_LINEAGE_RECOVERY_V1', 'asAt': '2026-08-22T03:04:12Z', 'status': 'NO_PRIOR_FORM_HISTORY', 'rankInRace': None, 'activeFieldSize': None, 'fieldHigh': None, 'fieldAverage': None, 'differenceFromFieldAverage': None, 'recentChange': None, 'trend': '', 'unavailableReason': 'NO_PRIOR_FORM_HISTORY'}","{'value': None, 'display': '', 'source': None, 'version': 'ERI_LINEAGE_RECOVERY_V1', 'asAt': '2026-08-22T03:04:12Z', 'status': 'ERI_UNAVAILABLE', 'unavailableReason': 'NO_PRIOR_FORM_HISTORY'}",0,,,2026-08-22,Sandown Hillside,1,Glide,GLIDE,7,7,2026-08-22|SANDOWN HILLSIDE|R1,,NO_PRIOR_FORM_HISTORY,True,,NO_CURRENT_EPR_NO_PRICE,,,,,1.0,7,3,EPR_MARKET_V1,EPR_FIELD_RELATIVE_POWER_NORMALIZATION,power=1.35;source=edgeiq_epi_current_rating_v1,2026-08-22T03:04:47Z
2026-08-22,Sandown Hillside,1,8,Judas Tree,JUDASTREE,,,,EPI_LINEAGE_RECOVERY_V1,2026-08-22T03:04:12Z,INSUFFICIENT_PERFORMANCE_HISTORY,,,,,,,,NO_CANONICAL_PERFORMANCE_MATCH,,,,ERI_UNAVAILABLE,"{'value': None, 'display': '', 'source': None, 'version': 'EPI_LINEAGE_RECOVERY_V1', 'asAt': '2026-08-22T03:04:12Z', 'status': 'INSUFFICIENT_PERFORMANCE_HISTORY', 'rankInRace': None, 'activeFieldSize': None, 'fieldHigh': None, 'fieldAverage': None, 'differenceFromFieldAverage': None, 'recentChange': None, 'trend': '', 'unavailableReason': 'NO_CANONICAL_PERFORMANCE_MATCH'}","{'value': None, 'display': '', 'source': None, 'version': 'ERI_LINEAGE_RECOVERY_V1', 'asAt': '2026-08-22T03:04:12Z', 'status': 'ERI_UNAVAILABLE', 'unavailableReason': 'NO_CANONICAL_PERFORMANCE_MATCH'}",0,,,2026-08-22,Sandown Hillside,1,Judas Tree,JUDASTREE,8,8,2026-08-22|SANDOWN HILLSIDE|R1,,INSUFFICIENT_PERFORMANCE_HISTORY,True,,NO_CURRENT_EPR_NO_PRICE,,,,,1.0,7,3,EPR_MARKET_V1,EPR_FIELD_RELATIVE_POWER_NORMALIZATION,power=1.35;source=edgeiq_epi_current_rating_v1,2026-08-22T03:04:47Z
2026-08-22,Sandown Hillside,1,9,Autumn Lover,AUTUMNLOVER,31.275,31.3,edgeiq_epi_performance_fact_v1.csv:latest_prior_fullForm_match,EPI_LINEAGE_RECOVERY_V1,2026-08-22T03:04:12Z,EPI_AVAILABLE,,,,,,,REGRESSING,,37.52,37.5,edgeiq_epi_race_strength_fact_v1.csv:latest_prior_run_race,ERI_PRIOR_CONTEXT_AVAILABLE,"{'value': 31.275, 'display': '31.3', 'source': 'edgeiq_epi_performance_fact_v1.csv:latest_prior_fullForm_match', 'version': 'EPI_LINEAGE_RECOVERY_V1', 'asAt': '2026-08-22T03:04:12Z', 'status': 'EPI_AVAILABLE', 'rankInRace': 7, 'activeFieldSize': 7, 'fieldHigh': 79.61, 'fieldAverage': 45.347142857142856, 'differenceFromFieldAverage': -14.072142857142858, 'recentChange': None, 'trend': 'REGRESSING', 'unavailableReason': ''}","{'value': 37.52, 'display': '37.5', 'source': 'edgeiq_epi_race_strength_fact_v1.csv:latest_prior_run_race', 'version': 'ERI_LINEAGE_RECOVERY_V1', 'asAt': '2026-08-22T03:04:12Z', 'status': 'ERI_PRIOR_CONTEXT_AVAILABLE', 'unavailableReason': ''}",5,EIQ_PERFORMANCE_7BE0C8F3897A9A4B,HORSE_DATE_TRACK_RACE_DISTANCE,2026-08-22,Sandown Hillside,1,Autumn Lover,AUTUMNLOVER,9,9,2026-08-22|SANDOWN HILLSIDE|R1,31.275,EPI_AVAILABLE,False,31.275,REAL_GOVERNED_EPR,1.0,0.00286603,348.91,7.0,1.0,7,3,EPR_MARKET_V1,EPR_FIELD_RELATIVE_POWER_NORMALIZATION,power=1.35;source=edgeiq_epi_current_rating_v1,2026-08-22T03:04:47Z
2026-08-22,Sandown Hillside,1,10,Madame Doubtfire,MADAMEDOUBTFIRE,,,,EPI_LINEAGE_RECOVERY_V1,2026-08-22T03:04:12Z,INSUFFICIENT_PERFORMANCE_HISTORY,,,,,,,,NO_CANONICAL_PERFORMANCE_MATCH,,,,ERI_UNAVAILABLE,"{'value': None, 'display': '', 'source': None, 'version': 'EPI_LINEAGE_RECOVERY_V1', 'asAt': '2026-08-22T03:04:12Z', 'status': 'INSUFFICIENT_PERFORMANCE_HISTORY', 'rankInRace': None, 'activeFieldSize': None, 'fieldHigh': None, 'fieldAverage': None, 'differenceFromFieldAverage': None, 'recentChange': None, 'trend': '', 'unavailableReason': 'NO_CANONICAL_PERFORMANCE_MATCH'}","{'value': None, 'display': '', 'source': None, 'version': 'ERI_LINEAGE_RECOVERY_V1', 'asAt': '2026-08-22T03:04:12Z', 'status': 'ERI_UNAVAILABLE', 'unavailableReason': 'NO_CANONICAL_PERFORMANCE_MATCH'}",0,,,2026-08-22,Sandown Hillside,1,Madame Doubtfire,MADAMEDOUBTFIRE,10,10,2026-08-22|SANDOWN HILLSIDE|R1,,INSUFFICIENT_PERFORMANCE_HISTORY,True,,NO_CURRENT_EPR_NO_PRICE,,,,,1.0,7,3,EPR_MARKET_V1,EPR_FIELD_RELATIVE_POWER_NORMALIZATION,power=1.35;source=edgeiq_epi_current_rating_v1,2026-08-22T03:04:47Z
