workspace,feed,runtime_url,file_path,role,file_exists,http_status,http_code,parse_status,schema_status,earliest_date,latest_date,meeting_count,race_count,runner_count,rows,catalogue_alignment,status,notes
HOME/MEETINGS,three_day_window,/data/edgeiq_three_day_window_v1.json,C:\Users\trent\OneDrive\Documents\EDGEIQ_PLATFORM\public\data\edgeiq_three_day_window_v1.json,live,True,HTTP_OK,200,JSON_OK,SCHEMA_OK,2026-07-20,2026-07-22,0,0,0,3,ALIGNED,PASS,
HOME/MEETINGS/RACE/FIELD,three_day_product_catalog,/data/edgeiq_three_day_product_catalog_v1.json,C:\Users\trent\OneDrive\Documents\EDGEIQ_PLATFORM\public\data\edgeiq_three_day_product_catalog_v1.json,live,True,HTTP_OK,200,JSON_OK,SCHEMA_OK,2026-07-20,2026-07-22,4,26,374,374,ALIGNED,PASS,
HOME,daily_pipeline_status,/data/edgeiq_daily_pipeline_status_v1.json,C:\Users\trent\OneDrive\Documents\EDGEIQ_PLATFORM\public\data\edgeiq_daily_pipeline_status_v1.json,live,True,HTTP_OK,200,JSON_OK,SCHEMA_OK,2026-07-20,2026-07-20,4,26,374,374,ALIGNED,PASS,
FORM GUIDE,form_guide_enriched_v2,/data/edgeiq_form_guide_enriched_v2.json,C:\Users\trent\OneDrive\Documents\EDGEIQ_PLATFORM\public\data\edgeiq_form_guide_enriched_v2.json,live-expanded,True,HTTP_OK,200,JSON_OK,SCHEMA_OK,,,0,0,0,1,ROW_LEVEL_OR_NO_DATE,PASS,
FORM GUIDE,form_guide_enriched_v1,/data/edgeiq_form_guide_enriched_v1.json,C:\Users\trent\OneDrive\Documents\EDGEIQ_PLATFORM\public\data\edgeiq_form_guide_enriched_v1.json,reference,True,HTTP_OK,200,JSON_OK,SCHEMA_OK,,,0,0,0,1,REFERENCE_OR_HISTORICAL,PASS,
MAP,map_terminal,/data/edgeiq_map_terminal_feed_v1.csv,C:\Users\trent\OneDrive\Documents\EDGEIQ_PLATFORM\public\data\edgeiq_map_terminal_feed_v1.csv,live,True,HTTP_OK,200,CSV_OK,SCHEMA_OK,2026-07-20,2026-07-22,3,26,374,374,ALIGNED,PASS,
MARKET,market_terminal,/data/edgeiq_market_terminal_feed_v1.csv,C:\Users\trent\OneDrive\Documents\EDGEIQ_PLATFORM\public\data\edgeiq_market_terminal_feed_v1.csv,live,True,HTTP_OK,200,CSV_OK,SCHEMA_OK,2026-07-20,2026-07-22,3,26,374,374,ALIGNED,PASS,
OVERVIEW,overview_terminal,/data/edgeiq_overview_terminal_feed_v1.csv,C:\Users\trent\OneDrive\Documents\EDGEIQ_PLATFORM\public\data\edgeiq_overview_terminal_feed_v1.csv,live,True,HTTP_OK,200,CSV_OK,SCHEMA_OK,2026-07-20,2026-07-22,3,26,26,156,ALIGNED,PASS,
EPI,epi_terminal,/data/edgeiq_epi_workspace_terminal_feed_v1.csv,C:\Users\trent\OneDrive\Documents\EDGEIQ_PLATFORM\public\data\edgeiq_epi_workspace_terminal_feed_v1.csv,live,True,HTTP_OK,200,CSV_OK,SCHEMA_OK,2026-07-20,2026-07-22,3,26,374,374,ALIGNED,PASS,
INSIGHTS,insights_terminal,/data/edgeiq_insights_terminal_feed_v1.csv,C:\Users\trent\OneDrive\Documents\EDGEIQ_PLATFORM\public\data\edgeiq_insights_terminal_feed_v1.csv,live-expanded,True,HTTP_OK,200,CSV_OK,SCHEMA_OK,2026-07-20,2026-07-22,3,26,400,504,ALIGNED,PASS,
GEAR CHANGES,gear_terminal,/data/edgeiq_gear_terminal_feed_v1.csv,C:\Users\trent\OneDrive\Documents\EDGEIQ_PLATFORM\public\data\edgeiq_gear_terminal_feed_v1.csv,live,True,HTTP_OK,200,CSV_OK,SCHEMA_OK,2026-07-20,2026-07-22,3,26,26,374,ALIGNED,PASS,
RESULTS,meeting_results_terminal,/data/edgeiq_meeting_results_terminal_feed_v1.csv,C:\Users\trent\OneDrive\Documents\EDGEIQ_PLATFORM\public\data\edgeiq_meeting_results_terminal_feed_v1.csv,live,True,HTTP_OK,200,CSV_OK,SCHEMA_OK,2026-07-20,2026-07-22,3,26,26,26,ALIGNED,PASS,
TRACK/WEATHER,on_track_weather_governed,/data/edgeiq_on_track_weather_governed_v1_2.json,C:\Users\trent\OneDrive\Documents\EDGEIQ_PLATFORM\public\data\edgeiq_on_track_weather_governed_v1_2.json,live-weather,True,HTTP_OK,200,JSON_OK,SCHEMA_OK,,,0,0,0,1,ROW_LEVEL_OR_NO_DATE,PASS,
WEATHER,race_weather,/data/edgeiq_race_weather_v1.json,C:\Users\trent\OneDrive\Documents\EDGEIQ_PLATFORM\public\data\edgeiq_race_weather_v1.json,reference,True,HTTP_OK,200,JSON_OK,SCHEMA_OK,,,0,0,0,1,REFERENCE_OR_HISTORICAL,PASS,
WEATHER,metropolitan_weather,/data/edgeiq_metropolitan_weather_v1.json,C:\Users\trent\OneDrive\Documents\EDGEIQ_PLATFORM\public\data\edgeiq_metropolitan_weather_v1.json,reference,True,HTTP_OK,200,JSON_OK,SCHEMA_OK,,,0,0,0,1,REFERENCE_OR_HISTORICAL,PASS,
TRACK,track_intelligence,/data/edgeiq_live_track_intelligence_v2_1.csv,C:\Users\trent\OneDrive\Documents\EDGEIQ_PLATFORM\public\data\edgeiq_live_track_intelligence_v2_1.csv,reference,True,HTTP_OK,200,CSV_OK,SCHEMA_OK,2026-06-11,2026-06-13,4,31,453,453,REFERENCE_OR_HISTORICAL,PASS,
TRACK,current_true_track,/data/edgeiq_current_true_track_feed_v1.csv,C:\Users\trent\OneDrive\Documents\EDGEIQ_PLATFORM\public\data\edgeiq_current_true_track_feed_v1.csv,reference,True,HTTP_OK,200,CSV_OK,SCHEMA_OK,2026-06-25,2026-06-27,3,25,25,25,REFERENCE_OR_HISTORICAL,PASS,
TRACK,vic_official_track_conditions,/data/edgeiq_vic_official_track_conditions_v1.json,C:\Users\trent\OneDrive\Documents\EDGEIQ_PLATFORM\public\data\edgeiq_vic_official_track_conditions_v1.json,reference,True,HTTP_OK,200,JSON_OK,SCHEMA_OK,,,0,0,0,1,REFERENCE_OR_HISTORICAL,PASS,
RACE,current_race_intelligence,/data/edgeiq_current_race_intelligence_v1.json,C:\Users\trent\OneDrive\Documents\EDGEIQ_PLATFORM\public\data\edgeiq_current_race_intelligence_v1.json,reference,True,HTTP_OK,200,JSON_OK,SCHEMA_OK,,,0,0,0,1,REFERENCE_OR_HISTORICAL,PASS,
RACE,race_shape_story,/data/edgeiq_race_shape_story_v1.csv,C:\Users\trent\OneDrive\Documents\EDGEIQ_PLATFORM\public\data\edgeiq_race_shape_story_v1.csv,reference,True,HTTP_OK,200,CSV_OK,SCHEMA_OK,2026-06-20,2026-06-21,3,25,25,25,REFERENCE_OR_HISTORICAL,PASS,
FIELD,runner_profile_stats,/data/edgeiq_runner_profile_stats_v1.csv,C:\Users\trent\OneDrive\Documents\EDGEIQ_PLATFORM\public\data\edgeiq_runner_profile_stats_v1.csv,reference,True,HTTP_OK,200,CSV_OK,SCHEMA_OK,,,0,0,5000,104933,REFERENCE_OR_HISTORICAL,PASS,
FIELD,live_runner_board_v7_1_candidate,/data/edgeiq_live_runner_board_v7_1_current_day_candidate.csv,C:\Users\trent\OneDrive\Documents\EDGEIQ_PLATFORM\public\data\edgeiq_live_runner_board_v7_1_current_day_candidate.csv,reference,True,HTTP_OK,200,CSV_OK,SCHEMA_OK,2026-06-21,2026-06-23,4,27,378,378,REFERENCE_OR_HISTORICAL,PASS,
FIELD,runner_dna_v6_2,/data/edgeiq_runner_dna_v6_2.csv,C:\Users\trent\OneDrive\Documents\EDGEIQ_PLATFORM\public\data\edgeiq_runner_dna_v6_2.csv,reference,True,HTTP_OK,200,CSV_OK,SCHEMA_OK,2026-06-25,2026-06-27,3,25,370,370,REFERENCE_OR_HISTORICAL,PASS,
FIELD,runner_dna_drawer,/data/edgeiq_runner_dna_drawer_feed_v2.csv,C:\Users\trent\OneDrive\Documents\EDGEIQ_PLATFORM\public\data\edgeiq_runner_dna_drawer_feed_v2.csv,reference,True,HTTP_OK,200,CSV_OK,SCHEMA_OK,2026-06-25,2026-06-27,3,25,370,370,REFERENCE_OR_HISTORICAL,PASS,
NEXUS/CONNECTIONS,connection_intelligence,/data/edgeiq_connection_intelligence_v2_1.csv,C:\Users\trent\OneDrive\Documents\EDGEIQ_PLATFORM\public\data\edgeiq_connection_intelligence_v2_1.csv,reference,True,HTTP_OK,200,CSV_OK,SCHEMA_OK,2026-06-25,2026-06-27,3,25,370,370,REFERENCE_OR_HISTORICAL,PASS,
PERFORMANCE,live_sectional_intelligence,/data/edgeiq_live_sectional_intelligence_v1.csv,C:\Users\trent\OneDrive\Documents\EDGEIQ_PLATFORM\public\data\edgeiq_live_sectional_intelligence_v1.csv,reference,True,HTTP_OK,200,CSV_OK,SCHEMA_OK,2026-06-21,2026-06-23,4,27,27,378,REFERENCE_OR_HISTORICAL,PASS,
PERFORMANCE,explainability_terminal,/data/edgeiq_explainability_terminal_feed_v1_2.csv,C:\Users\trent\OneDrive\Documents\EDGEIQ_PLATFORM\public\data\edgeiq_explainability_terminal_feed_v1_2.csv,reference,True,HTTP_OK,200,CSV_OK,SCHEMA_OK,2026-06-20,2026-06-21,3,25,352,352,REFERENCE_OR_HISTORICAL,PASS,
MARKET,market_intelligence,/data/edgeiq_market_intelligence_v1.csv,C:\Users\trent\OneDrive\Documents\EDGEIQ_PLATFORM\public\data\edgeiq_market_intelligence_v1.csv,reference,True,HTTP_OK,200,CSV_OK,SCHEMA_OK,2026-06-21,2026-06-23,4,27,27,27,REFERENCE_OR_HISTORICAL,PASS,
WEATHER,live_weather,/data/edgeiq_live_weather_feed_v1.csv,C:\Users\trent\OneDrive\Documents\EDGEIQ_PLATFORM\public\data\edgeiq_live_weather_feed_v1.csv,reference,True,HTTP_OK,200,CSV_OK,SCHEMA_OK,2026-07-01,2026-07-03,4,33,33,33,REFERENCE_OR_HISTORICAL,PASS,
TRACK,track_profile,/data/edgeiq_track_profile_v2.csv,C:\Users\trent\OneDrive\Documents\EDGEIQ_PLATFORM\public\data\edgeiq_track_profile_v2.csv,reference,True,HTTP_OK,200,CSV_OK,SCHEMA_OK,,,4,4,4,38,REFERENCE_OR_HISTORICAL,PASS,
TRACK,track_intelligence_profile,/data/edgeiq_track_intelligence_profile_v2.csv,C:\Users\trent\OneDrive\Documents\EDGEIQ_PLATFORM\public\data\edgeiq_track_intelligence_profile_v2.csv,reference,True,HTTP_OK,200,CSV_OK,SCHEMA_OK,,,260,260,260,1142,REFERENCE_OR_HISTORICAL,PASS,
MEETINGS,track_map_manifest,/data/edgeiq_track_map_manifest_v1.csv,C:\Users\trent\OneDrive\Documents\EDGEIQ_PLATFORM\public\data\edgeiq_track_map_manifest_v1.csv,reference,True,HTTP_OK,200,CSV_OK,SCHEMA_OK,,,8,8,8,8,REFERENCE_OR_HISTORICAL,PASS,
