raceDate,meeting,raceNumber,runnerNumber,runnerName,rating,epi,marketPrice,edgeiqPrice,earlySpeed,suitability,raceShape,lateSpeed,formMomentum,preparationProfile,sectionalRunMatches,benchmarkRunMatches
2026-08-22,Sandown Hillside,1,1,Eurocanto,,35.55,19.0,36.96,58.1,,,40.1,,YES,4,4
2026-08-22,Sandown Hillside,1,2,Hydrobomb,,32.525,11.0,116.75,57.8,61.1,NEUTRAL,37.0,-1.2,YES,3,3
2026-08-22,Sandown Hillside,1,3,Milsons Point,,33.275,10.9,79.18,58.2,55.8,MAP_ADVANTAGE,33.8,-7.7,YES,4,4
2026-08-22,Sandown Hillside,1,4,Torture,,61.97,26.0,3.28,57.2,,,45.1,,YES,3,3
2026-08-22,Sandown Hillside,1,5,Commit,,43.225,4.1,10.99,59.4,60.5,MAP_ADVANTAGE,64.08,-2.7,YES,3,3
2026-08-22,Sandown Hillside,1,6,Vallice,,79.61,3.2,1.81,54.97,70.4,CLOSING_SETUP,61.49,0.4,YES,2,2
2026-08-22,Sandown Hillside,1,7,Glide,,,11.0,,,,,,,,0,0
2026-08-22,Sandown Hillside,1,8,Judas Tree,,,5.6,,,,,,,YES,0,0
2026-08-22,Sandown Hillside,1,9,Autumn Lover,,31.275,10.9,348.91,56.6,,,27.8,,YES,3,3
2026-08-22,Sandown Hillside,1,10,Madame Doubtfire,,,109.3,,,,,,,YES,0,0
2026-08-22,Sandown Hillside,2,1,Prestige Forever,,66.49,73.0,12.36,57.7,57.7,NEUTRAL,44.7,0.2,YES,6,6
2026-08-22,Sandown Hillside,2,2,Itazura,,42.7,7.0,46.24,56.8,,,50.3,,YES,10,10
2026-08-22,Sandown Hillside,2,3,Thinxzo,,70.25,35.0,10.88,58.4,,,47.7,,YES,14,14
2026-08-22,Sandown Hillside,2,4,Buccleuch,,53.625,9.8,21.53,57.5,54.0,NEUTRAL,45.0,-5.3,YES,7,7
2026-08-22,Sandown Hillside,2,5,Cruiserweight,,,2.1,,,,,,,YES,1,1
2026-08-22,Sandown Hillside,2,6,Nic's Choice,,46.925,11.0,32.64,56.3,58.9,CLOSING_SETUP,52.2,-2.0,YES,18,18
2026-08-22,Sandown Hillside,2,7,Impending Link,,51.7,31.0,23.96,57.0,,,48.3,,YES,32,32
2026-08-22,Sandown Hillside,2,8,Le Ferrari,,49.925,60.7,26.66,59.0,,,37.2,,YES,35,35
2026-08-22,Sandown Hillside,2,9,Two Wolves,,43.075,9.0,44.66,56.9,54.6,CLOSING_SETUP,53.4,0.4,YES,6,6
2026-08-22,Sandown Hillside,2,10,Cherish Me,,52.0,8.4,23.55,57.5,52.7,NEUTRAL,46.1,-1.0,YES,8,8
2026-08-22,Sandown Hillside,2,11,Fear No Evil,,29.35,11.0,1685.57,58.5,57.0,PRESSURE_RISK,31.6,-4.1,YES,6,6
2026-08-22,Sandown Hillside,2,12,Humza Bey,,65.47,7.0,12.82,,,,,,YES,2,2
2026-08-22,Sandown Hillside,2,13,I Am Velvet,,64.3,13.9,13.38,58.0,57.8,PRESSURE_RISK,36.0,-1.6,YES,11,11
2026-08-22,Sandown Hillside,2,14,He's Beset,,30.825,,495.93,57.1,,,47.1,,YES,11,11
2026-08-22,Sandown Hillside,2,15,Keane Enuff,,72.98,78.8,9.99,56.6,,,52.0,,YES,30,30
2026-08-22,Sandown Hillside,2,16,Barking Mad,,53.61,16.0,21.55,56.6904,,,57.552,,YES,0,0
2026-08-22,Sandown Hillside,2,17,Camp Cable,,64.86,79.2,13.11,54.9,,,43.5,,YES,13,13
2026-08-22,Sandown Hillside,2,18,Stay Humble,,84.35,26.0,7.36,57.2,,,39.4,,YES,10,10
2026-08-22,Sandown Hillside,2,19,Touxlove,,62.73,35.0,14.21,57.7471,56.0,NEUTRAL,55.5501,0.6,YES,15,15
2026-08-22,Sandown Hillside,3,1,Smokin' Romans,,11.675,7.5,66.91,56.1,54.7,NEUTRAL,37.5,-1.0,YES,43,43
2026-08-22,Sandown Hillside,3,2,Brayden Star,,39.875,21.0,13.77,55.7,55.2,NEUTRAL,45.0,-6.0,YES,29,29
2026-08-22,Sandown Hillside,3,3,Chief Little Rock,,,79.3,,60.91,53.3,MAP_ADVANTAGE,56.95,-7.8,YES,1,1
2026-08-22,Sandown Hillside,3,4,Diwali,,0.0,16.2,2062.75,55.6,54.2,NEUTRAL,48.1,-1.3,YES,18,18
2026-08-22,Sandown Hillside,3,5,Go Daddy,,73.53,21.3,6.12,55.3,52.1,NEUTRAL,65.7,-3.7,YES,8,8
2026-08-22,Sandown Hillside,3,6,Nearco Frod,,77.43,2.7,5.71,54.7,55.7,NEEDS_TEMPO,58.6,-2.8,YES,4,4
2026-08-22,Sandown Hillside,3,7,Smokin' Princess,,23.6875,26.0,27.2,54.3,51.4,NEEDS_TEMPO,50.5,1.4,YES,27,27
2026-08-22,Sandown Hillside,3,8,Tempesti,,67.11,17.0,6.91,54.1,57.4,NEEDS_TEMPO,62.5,-4.2,YES,7,7
2026-08-22,Sandown Hillside,3,9,Think Giant,,,5.3,,,,,,,,0,0
2026-08-22,Sandown Hillside,3,10,Beach Pad,,67.525,12.0,6.86,57.96,50.0,MAP_ADVANTAGE,56.77,1.4,YES,3,3
2026-08-22,Sandown Hillside,3,11,Urban Outlook,,100.0,34.0,4.06,54.3,,,48.7,,YES,8,8
2026-08-22,Sandown Hillside,4,1,Regal Zeus,,71.725,12.0,4.42,59.0,60.9,MAP_ADVANTAGE,42.5,-2.2,YES,31,31
2026-08-22,Sandown Hillside,4,2,Run Harry Run,,50.8,5.0,6.99,58.2,,,36.3,,YES,20,20
2026-08-22,Sandown Hillside,4,3,Craig,,51.37,6.5,6.89,57.3,,,60.7,,YES,10,10
2026-08-22,Sandown Hillside,4,4,Freedom Rally,,15.6625,14.0,32.32,57.5,49.0,NEUTRAL,35.7,-3.2,YES,5,5
2026-08-22,Sandown Hillside,4,5,First Chorus,,79.1,2.8,3.88,56.3,61.8,CLOSING_SETUP,50.0,-2.7,YES,16,16
2026-08-22,Sandown Hillside,4,6,Justadeel,,64.5,3.2,5.09,57.0,60.0,CLOSING_SETUP,60.1,-3.4,YES,14,14
2026-08-22,Sandown Hillside,4,7,Asva,,,17.4,,,,,,,YES,0,0
