horse_performance_rating_id,horse_performance_aggregate_id,canonical_horse_id,canonical_horse_name,rating_as_of_date,horse_performance_aggregation_parameter_id,aggregation_method,included_observation_count,aggregate_rating_value,horse_performance_rating_value,horse_performance_rating_method,horse_performance_rating_status,aggregation_model_version,source_horse_performance_aggregate_evidence_sha256,horse_performance_rating_evidence_sha256,source_builder_version,builder_version,contract_version,built_at_utc
HPR1-404EC8D8D9FB913E214C83B3,HPA1-3995E7FE1428FD3122EBCA60,RCOM_HORSE_5252692,Blondeau,2026-07-20,HPAP1-4F0DC9995DC926243F99E771,WEIGHTED_ARITHMETIC_MEAN,7,0.230786,0.230786,DIRECT_HISTORICAL_AGGREGATE_VALUE,HISTORICAL_HORSE_RATING_GOVERNED,HPR-AGG-B-v1,c911cfc2bbfc93f4cc16cf8ca88615dd4fc747f5ca42f3861e6b50aece439f32,6b2f94244a27f6f05b06c92abacf66ee325eda9991b5d52ad1b0951ee4eddebb,edgeiq_horse_performance_aggregate_fact_v1.0.0,edgeiq_horse_performance_rating_fact_v1.0.0,1.0.0,2026-07-23T02:58:50Z
HPR1-2971EE8DF0899BD15DD3E607,HPA1-ABC89EF3FEBA94E48CA82E2D,RCOM_HORSE_5253234,Lulu Darling,2026-07-20,HPAP1-4F0DC9995DC926243F99E771,WEIGHTED_ARITHMETIC_MEAN,7,0.027878,0.027878,DIRECT_HISTORICAL_AGGREGATE_VALUE,HISTORICAL_HORSE_RATING_GOVERNED,HPR-AGG-B-v1,5cb21da9b1b09d71eb8d9975498287d542fff1bdc157eeb11666c0c2b09d6b24,dfe90222b58d018dde15c5cf34210541b7e32540588ffaee0e808afc7afe32c5,edgeiq_horse_performance_aggregate_fact_v1.0.0,edgeiq_horse_performance_rating_fact_v1.0.0,1.0.0,2026-07-23T02:58:50Z
HPR1-84F83AB244B86E86B9ECF736,HPA1-73809E3D89613C555300ED31,RCOM_HORSE_5289533,Queen Of Tuscany,2026-07-20,HPAP1-4F0DC9995DC926243F99E771,WEIGHTED_ARITHMETIC_MEAN,7,-0.019184,-0.019184,DIRECT_HISTORICAL_AGGREGATE_VALUE,HISTORICAL_HORSE_RATING_GOVERNED,HPR-AGG-B-v1,d0a9e242311d476320a8807698b6d21871ef7709b286da3b4f5f391b772abf36,3f4288eaee8a20d96021b717c19f6d9a2317e8bf253a9b2e16697cc4acc5d47d,edgeiq_horse_performance_aggregate_fact_v1.0.0,edgeiq_horse_performance_rating_fact_v1.0.0,1.0.0,2026-07-23T02:58:50Z
HPR1-925A6A3D25027DCE556CC0DB,HPA1-3C922DEB1DF5D42995A73FA2,RCOM_HORSE_5303211,The Negotiator,2026-07-20,HPAP1-4F0DC9995DC926243F99E771,WEIGHTED_ARITHMETIC_MEAN,7,0.426154,0.426154,DIRECT_HISTORICAL_AGGREGATE_VALUE,HISTORICAL_HORSE_RATING_GOVERNED,HPR-AGG-B-v1,c0dad374dbec303991c56e9ef73f4b3e1df8cf9cd010d5fa2e2c915115715043,2e54fc584178b6824c5479c764fd312f4a5739a94f2cf6621584ad652b7aff48,edgeiq_horse_performance_aggregate_fact_v1.0.0,edgeiq_horse_performance_rating_fact_v1.0.0,1.0.0,2026-07-23T02:58:50Z
HPR1-8E68720B62D4EE00D288BC7B,HPA1-464ABFFADD7569346A5E74C6,RCOM_HORSE_5308393,Gallant Prince,2026-07-20,HPAP1-4F0DC9995DC926243F99E771,WEIGHTED_ARITHMETIC_MEAN,7,0.123521,0.123521,DIRECT_HISTORICAL_AGGREGATE_VALUE,HISTORICAL_HORSE_RATING_GOVERNED,HPR-AGG-B-v1,c6f4aa68625f37a12bbe6e561f327b46ba5d2b53e9d77785e34de5a7a73ea120,4ac17b719a49487aae31a09b1437fb17508158da3b3042960fc5fa98c08a608a,edgeiq_horse_performance_aggregate_fact_v1.0.0,edgeiq_horse_performance_rating_fact_v1.0.0,1.0.0,2026-07-23T02:58:50Z
HPR1-376077E1478259E1022D1E93,HPA1-DC84E93205C92BDAE386B4DD,RCOM_HORSE_5312478,Quebeck,2026-07-20,HPAP1-4F0DC9995DC926243F99E771,WEIGHTED_ARITHMETIC_MEAN,7,0.169013,0.169013,DIRECT_HISTORICAL_AGGREGATE_VALUE,HISTORICAL_HORSE_RATING_GOVERNED,HPR-AGG-B-v1,bbbb70ae1498c6916dd32e1bd0269b841d2c7baa5dea46667bd55462facb4e57,c9022c97f869508f70f4924ee3b49001318e28081df7aa6c1d3681c838d76717,edgeiq_horse_performance_aggregate_fact_v1.0.0,edgeiq_horse_performance_rating_fact_v1.0.0,1.0.0,2026-07-23T02:58:50Z
HPR1-9321D07C38F6C5FDB5788880,HPA1-06E44098A0BD28331E415BCF,RCOM_HORSE_5315275,Claymore Mine,2026-07-20,HPAP1-4F0DC9995DC926243F99E771,WEIGHTED_ARITHMETIC_MEAN,7,0.152575,0.152575,DIRECT_HISTORICAL_AGGREGATE_VALUE,HISTORICAL_HORSE_RATING_GOVERNED,HPR-AGG-B-v1,e745390647c5f749b060f7623393ef93ef8e1e92c73c06954d4378b7f9981538,698a57f25d1ff45f5fd699a80cbe1009d1d893fe5a60bdcf3bdce901105dc920,edgeiq_horse_performance_aggregate_fact_v1.0.0,edgeiq_horse_performance_rating_fact_v1.0.0,1.0.0,2026-07-23T02:58:50Z
HPR1-FAFC4A9E958E69626BF66532,HPA1-256B3ABA5628B6B180760462,RCOM_HORSE_5318108,Shooter Mcgavin,2026-07-20,HPAP1-4F0DC9995DC926243F99E771,WEIGHTED_ARITHMETIC_MEAN,7,-0.238424,-0.238424,DIRECT_HISTORICAL_AGGREGATE_VALUE,HISTORICAL_HORSE_RATING_GOVERNED,HPR-AGG-B-v1,ae17cdcfc206b58683f0bcd37828c6366574d770e2e3189c30999bd87d9260ea,d67cb2b792b0bc6f58319ac6a8cd634bea13f08296c918aec15d8f54cbdcb12c,edgeiq_horse_performance_aggregate_fact_v1.0.0,edgeiq_horse_performance_rating_fact_v1.0.0,1.0.0,2026-07-23T02:58:50Z
HPR1-CA743951CB902AE1A453FF45,HPA1-4F75AE79C504B932F0718CFB,RCOM_HORSE_5324742,Triple Triple,2026-07-20,HPAP1-4F0DC9995DC926243F99E771,WEIGHTED_ARITHMETIC_MEAN,7,-1.417025,-1.417025,DIRECT_HISTORICAL_AGGREGATE_VALUE,HISTORICAL_HORSE_RATING_GOVERNED,HPR-AGG-B-v1,53dc52e0e511a47e507025c219fa5fe662ba8735015cd1d6facf97c1f42be4d2,b64d8ed1d9f6e3c276b5f2f9f838322e6cb12f097b4edbe2656bc452b5175457,edgeiq_horse_performance_aggregate_fact_v1.0.0,edgeiq_horse_performance_rating_fact_v1.0.0,1.0.0,2026-07-23T02:58:50Z
HPR1-4DBB55C8DC23DDBD66D37477,HPA1-4397855D0F1F0D0BC1AD9B9E,RCOM_HORSE_5327949,Paramount Plus,2026-07-20,HPAP1-4F0DC9995DC926243F99E771,WEIGHTED_ARITHMETIC_MEAN,7,0.082217,0.082217,DIRECT_HISTORICAL_AGGREGATE_VALUE,HISTORICAL_HORSE_RATING_GOVERNED,HPR-AGG-B-v1,ff95264fd78ddf9fd1c8a2b9a4e8b3e757f0218a32f66bd9957dbd3a2b3db832,99430a56b8ad4a5f7c286fbffa2e0c648814a7b93bdac4f8f269f27bd2e57949,edgeiq_horse_performance_aggregate_fact_v1.0.0,edgeiq_horse_performance_rating_fact_v1.0.0,1.0.0,2026-07-23T02:58:50Z
