race_time_delta_id,race_key,race_date,track_name,official_distance_metres,rejection_reason,surface_group,track_condition_number,track_condition_group
RTDR-1CE0CA2FC83780C3DF65FD60,2008-04-11|BET365 GEELONG SYNTHETIC|R02,2008-04-11,BET365 GEELONG SYNTHETIC,1100,NO_GOVERNED_SURFACE_CONDITION_LENGTH_PARAMETER,AUSTRALIAN_SYNTHETIC,,UNKNOWN
RTDR-C299FB73A0896D81C70864DF,2008-04-11|BET365 GEELONG SYNTHETIC|R04,2008-04-11,BET365 GEELONG SYNTHETIC,1200,NO_GOVERNED_SURFACE_CONDITION_LENGTH_PARAMETER,AUSTRALIAN_SYNTHETIC,,UNKNOWN
RTDR-C72588CB7FA3C3305284E891,2008-04-11|BET365 GEELONG SYNTHETIC|R03,2008-04-11,BET365 GEELONG SYNTHETIC,1200,NO_GOVERNED_SURFACE_CONDITION_LENGTH_PARAMETER,AUSTRALIAN_SYNTHETIC,,UNKNOWN
RTDR-36D323CF1DB8B5391924CC44,2008-04-11|BET365 GEELONG SYNTHETIC|R01,2008-04-11,BET365 GEELONG SYNTHETIC,1900,NO_GOVERNED_SURFACE_CONDITION_LENGTH_PARAMETER,AUSTRALIAN_SYNTHETIC,,UNKNOWN
RTDR-C675EC26B22CDB5FAB9CCDA7,2008-04-11|BET365 GEELONG SYNTHETIC|R08,2008-04-11,BET365 GEELONG SYNTHETIC,1200,NO_GOVERNED_SURFACE_CONDITION_LENGTH_PARAMETER,AUSTRALIAN_SYNTHETIC,,UNKNOWN
RTDR-FD9EE5E047BAF036DDDC4F8E,2008-04-11|BET365 GEELONG SYNTHETIC|R07,2008-04-11,BET365 GEELONG SYNTHETIC,1200,NO_GOVERNED_SURFACE_CONDITION_LENGTH_PARAMETER,AUSTRALIAN_SYNTHETIC,,UNKNOWN
RTDR-51DB31C6A2AB0E0B115D8F60,2008-04-11|BET365 GEELONG SYNTHETIC|R05,2008-04-11,BET365 GEELONG SYNTHETIC,1300,NO_GOVERNED_SURFACE_CONDITION_LENGTH_PARAMETER,AUSTRALIAN_SYNTHETIC,,UNKNOWN
RTDR-3B8F64C39B66E09C26B941AD,2008-04-11|BET365 GEELONG SYNTHETIC|R06,2008-04-11,BET365 GEELONG SYNTHETIC,2000,NO_GOVERNED_SURFACE_CONDITION_LENGTH_PARAMETER,AUSTRALIAN_SYNTHETIC,,UNKNOWN
RTDR-B18CD77309016225BC7B49E2,2008-04-24|BET365 GEELONG SYNTHETIC|R02,2008-04-24,BET365 GEELONG SYNTHETIC,1200,NO_GOVERNED_SURFACE_CONDITION_LENGTH_PARAMETER,AUSTRALIAN_SYNTHETIC,,UNKNOWN
RTDR-A6723E61207C26E5446A2B96,2008-04-24|BET365 GEELONG SYNTHETIC|R04,2008-04-24,BET365 GEELONG SYNTHETIC,1000,NO_GOVERNED_SURFACE_CONDITION_LENGTH_PARAMETER,AUSTRALIAN_SYNTHETIC,,UNKNOWN
RTDR-AB687F19DBF1B7DB6CEF5181,2008-04-24|BET365 GEELONG SYNTHETIC|R03,2008-04-24,BET365 GEELONG SYNTHETIC,1200,NO_GOVERNED_SURFACE_CONDITION_LENGTH_PARAMETER,AUSTRALIAN_SYNTHETIC,,UNKNOWN
RTDR-80FDFC7337C375A1CBE735CD,2008-04-24|BET365 GEELONG SYNTHETIC|R01,2008-04-24,BET365 GEELONG SYNTHETIC,1550,NO_GOVERNED_SURFACE_CONDITION_LENGTH_PARAMETER,AUSTRALIAN_SYNTHETIC,,UNKNOWN
RTDR-3ACC0E7F1F1517ABB38CB31D,2008-04-24|BET365 GEELONG SYNTHETIC|R08,2008-04-24,BET365 GEELONG SYNTHETIC,1200,NO_GOVERNED_SURFACE_CONDITION_LENGTH_PARAMETER,AUSTRALIAN_SYNTHETIC,,UNKNOWN
RTDR-B0FC60FAAB1111E6F65029E5,2008-04-24|BET365 GEELONG SYNTHETIC|R06,2008-04-24,BET365 GEELONG SYNTHETIC,2200,NO_GOVERNED_SURFACE_CONDITION_LENGTH_PARAMETER,AUSTRALIAN_SYNTHETIC,,UNKNOWN
RTDR-2E69F1407C4CB427668D64C9,2008-04-24|BET365 GEELONG SYNTHETIC|R05,2008-04-24,BET365 GEELONG SYNTHETIC,1300,NO_GOVERNED_SURFACE_CONDITION_LENGTH_PARAMETER,AUSTRALIAN_SYNTHETIC,,UNKNOWN
RTDR-545C04783FAA4EEE6F3ABE09,2008-04-24|BET365 GEELONG SYNTHETIC|R07,2008-04-24,BET365 GEELONG SYNTHETIC,1000,NO_GOVERNED_SURFACE_CONDITION_LENGTH_PARAMETER,AUSTRALIAN_SYNTHETIC,,UNKNOWN
RTDR-1D89303195BE68EE1ED12011,2012-04-13|BET365 GEELONG SYNTHETIC|R01,2012-04-13,BET365 GEELONG SYNTHETIC,1300,NO_GOVERNED_SURFACE_CONDITION_LENGTH_PARAMETER,AUSTRALIAN_SYNTHETIC,,UNKNOWN
RTDR-488A426D698DB85D915D5BCE,2012-04-13|BET365 GEELONG SYNTHETIC|R04,2012-04-13,BET365 GEELONG SYNTHETIC,1100,NO_GOVERNED_SURFACE_CONDITION_LENGTH_PARAMETER,AUSTRALIAN_SYNTHETIC,,UNKNOWN
RTDR-52722C67F23F2F4E2FD1C000,2012-04-13|BET365 GEELONG SYNTHETIC|R05,2012-04-13,BET365 GEELONG SYNTHETIC,1300,NO_GOVERNED_SURFACE_CONDITION_LENGTH_PARAMETER,AUSTRALIAN_SYNTHETIC,,UNKNOWN
RTDR-79F183997EA6DBF011C59856,2012-04-13|BET365 GEELONG SYNTHETIC|R02,2012-04-13,BET365 GEELONG SYNTHETIC,1900,NO_GOVERNED_SURFACE_CONDITION_LENGTH_PARAMETER,AUSTRALIAN_SYNTHETIC,,UNKNOWN
RTDR-00BB73EAD58DD16F04DCB4A4,2012-04-13|BET365 GEELONG SYNTHETIC|R08,2012-04-13,BET365 GEELONG SYNTHETIC,1100,NO_GOVERNED_SURFACE_CONDITION_LENGTH_PARAMETER,AUSTRALIAN_SYNTHETIC,,UNKNOWN
RTDR-6B192B3C9C63B6D7A776B6F4,2012-04-13|BET365 GEELONG SYNTHETIC|R03,2012-04-13,BET365 GEELONG SYNTHETIC,1900,NO_GOVERNED_SURFACE_CONDITION_LENGTH_PARAMETER,AUSTRALIAN_SYNTHETIC,,UNKNOWN
RTDR-245BC7111B96662AAFE6025F,2012-04-13|BET365 GEELONG SYNTHETIC|R06,2012-04-13,BET365 GEELONG SYNTHETIC,2200,NO_GOVERNED_SURFACE_CONDITION_LENGTH_PARAMETER,AUSTRALIAN_SYNTHETIC,,UNKNOWN
RTDR-7F146F945A31E025B4737DB6,2012-04-13|BET365 GEELONG SYNTHETIC|R07,2012-04-13,BET365 GEELONG SYNTHETIC,1300,NO_GOVERNED_SURFACE_CONDITION_LENGTH_PARAMETER,AUSTRALIAN_SYNTHETIC,,UNKNOWN
RTDR-5AD2FCBA79144EC435B7FC10,2012-04-20|BET365 GEELONG SYNTHETIC|R04,2012-04-20,BET365 GEELONG SYNTHETIC,2000,NO_GOVERNED_SURFACE_CONDITION_LENGTH_PARAMETER,AUSTRALIAN_SYNTHETIC,,UNKNOWN
RTDR-80219CC998DD6ACFB9E42C29,2012-04-20|BET365 GEELONG SYNTHETIC|R01,2012-04-20,BET365 GEELONG SYNTHETIC,1100,NO_GOVERNED_SURFACE_CONDITION_LENGTH_PARAMETER,AUSTRALIAN_SYNTHETIC,,UNKNOWN
RTDR-95A63FC871E1DE864AE32A57,2012-04-20|BET365 GEELONG SYNTHETIC|R02,2012-04-20,BET365 GEELONG SYNTHETIC,1200,NO_GOVERNED_SURFACE_CONDITION_LENGTH_PARAMETER,AUSTRALIAN_SYNTHETIC,,UNKNOWN
