workspace_id,meeting_key,race_key,generated_at,race_date,track,race_no,no,horse,epi,market,open,high,low,move,edgeiq_price,edge,status,source,source_timestamp,source_confidence,row_status,market_availability_status,market_source_status,market_observed_at,market_generated_at,market_age_minutes,market_freshness_status,market_is_live
BETA-010,2026-08-22|SANDOWN,2026-08-22|SANDOWN|R1,2026-08-22T03:11:46Z,2026-08-22,Sandown Hillside,1,1,Eurocanto,35.55,19.00,,,,,36.96,-48.6%,Scratched,LADBROKES_CANONICAL_MARKET_V1,2026-08-21T22:14:54+00:00,governed,scratched,SCRATCHED,LADBROKES_CANONICAL,,2026-08-22T03:11:46Z,,CATALOG_STATUS,false
BETA-010,2026-08-22|SANDOWN,2026-08-22|SANDOWN|R1,2026-08-22T03:11:46Z,2026-08-22,Sandown Hillside,1,2,Hydrobomb,32.52,11.00,,,,,116.75,-90.6%,Governed Price Context,LADBROKES_CANONICAL_MARKET_V1,2026-08-21T22:14:54+00:00,governed,current,MARKET_UNAVAILABLE,LADBROKES_CANONICAL,,2026-08-22T03:11:46Z,,NO_PROVIDER_MATCH,false
BETA-010,2026-08-22|SANDOWN,2026-08-22|SANDOWN|R1,2026-08-22T03:11:46Z,2026-08-22,Sandown Hillside,1,3,Milsons Point,33.27,10.90,,,,,79.18,-86.2%,Governed Price Context,LADBROKES_CANONICAL_MARKET_V1,2026-08-21T22:14:54+00:00,governed,current,MARKET_UNAVAILABLE,LADBROKES_CANONICAL,,2026-08-22T03:11:46Z,,NO_PROVIDER_MATCH,false
BETA-010,2026-08-22|SANDOWN,2026-08-22|SANDOWN|R1,2026-08-22T03:11:46Z,2026-08-22,Sandown Hillside,1,4,Torture,61.97,26.00,,,,,3.28,+692.7%,Scratched,LADBROKES_CANONICAL_MARKET_V1,2026-08-21T22:14:54+00:00,governed,scratched,SCRATCHED,LADBROKES_CANONICAL,,2026-08-22T03:11:46Z,,CATALOG_STATUS,false
BETA-010,2026-08-22|SANDOWN,2026-08-22|SANDOWN|R1,2026-08-22T03:11:46Z,2026-08-22,Sandown Hillside,1,5,Commit,43.23,4.10,,,,,10.99,-62.7%,Governed Price Context,LADBROKES_CANONICAL_MARKET_V1,2026-08-21T22:14:54+00:00,governed,current,MARKET_UNAVAILABLE,LADBROKES_CANONICAL,,2026-08-22T03:11:46Z,,NO_PROVIDER_MATCH,false
BETA-010,2026-08-22|SANDOWN,2026-08-22|SANDOWN|R1,2026-08-22T03:11:46Z,2026-08-22,Sandown Hillside,1,6,Vallice,79.61,3.20,,,,,1.81,+76.8%,Governed Price Context,LADBROKES_CANONICAL_MARKET_V1,2026-08-21T22:14:54+00:00,governed,current,MARKET_UNAVAILABLE,LADBROKES_CANONICAL,,2026-08-22T03:11:46Z,,NO_PROVIDER_MATCH,false
BETA-010,2026-08-22|SANDOWN,2026-08-22|SANDOWN|R1,2026-08-22T03:11:46Z,2026-08-22,Sandown Hillside,1,7,Glide,,11.00,,,,,,,EDGEiQ Price Pending,LADBROKES_CANONICAL_MARKET_V1,2026-08-21T22:14:54+00:00,governed,current,MARKET_UNAVAILABLE,LADBROKES_CANONICAL,,2026-08-22T03:11:46Z,,NO_PROVIDER_MATCH,false
BETA-010,2026-08-22|SANDOWN,2026-08-22|SANDOWN|R1,2026-08-22T03:11:46Z,2026-08-22,Sandown Hillside,1,8,Judas Tree,,5.60,,,,,,,EDGEiQ Price Pending,LADBROKES_CANONICAL_MARKET_V1,2026-08-21T22:14:54+00:00,governed,current,MARKET_UNAVAILABLE,LADBROKES_CANONICAL,,2026-08-22T03:11:46Z,,NO_PROVIDER_MATCH,false
BETA-010,2026-08-22|SANDOWN,2026-08-22|SANDOWN|R1,2026-08-22T03:11:46Z,2026-08-22,Sandown Hillside,1,9,Autumn Lover,31.27,10.90,,,,,348.91,-96.9%,Scratched,LADBROKES_CANONICAL_MARKET_V1,2026-08-21T22:14:54+00:00,governed,scratched,SCRATCHED,LADBROKES_CANONICAL,,2026-08-22T03:11:46Z,,CATALOG_STATUS,false
BETA-010,2026-08-22|SANDOWN,2026-08-22|SANDOWN|R1,2026-08-22T03:11:46Z,2026-08-22,Sandown Hillside,1,10,Madame Doubtfire,,109.30,,,,,,,Scratched,LADBROKES_CANONICAL_MARKET_V1,2026-08-21T22:14:54+00:00,governed,scratched,SCRATCHED,LADBROKES_CANONICAL,,2026-08-22T03:11:46Z,,CATALOG_STATUS,false
BETA-010,2026-08-22|SANDOWN,2026-08-22|SANDOWN|R2,2026-08-22T03:11:46Z,2026-08-22,Sandown Hillside,2,1,Prestige Forever,66.49,73.00,,,,,12.36,+490.6%,Governed Price Context,LADBROKES_CANONICAL_MARKET_V1,2026-08-21T22:14:54+00:00,governed,current,MARKET_UNAVAILABLE,LADBROKES_CANONICAL,,2026-08-22T03:11:46Z,,NO_PROVIDER_MATCH,false
BETA-010,2026-08-22|SANDOWN,2026-08-22|SANDOWN|R2,2026-08-22T03:11:46Z,2026-08-22,Sandown Hillside,2,2,Itazura,42.70,7.00,,,,,46.24,-84.9%,Scratched,LADBROKES_CANONICAL_MARKET_V1,2026-08-21T22:14:54+00:00,governed,scratched,SCRATCHED,LADBROKES_CANONICAL,,2026-08-22T03:11:46Z,,CATALOG_STATUS,false
BETA-010,2026-08-22|SANDOWN,2026-08-22|SANDOWN|R2,2026-08-22T03:11:46Z,2026-08-22,Sandown Hillside,2,3,Thinxzo,70.25,35.00,,,,,10.88,+221.7%,Scratched,LADBROKES_CANONICAL_MARKET_V1,2026-08-21T22:14:54+00:00,governed,scratched,SCRATCHED,LADBROKES_CANONICAL,,2026-08-22T03:11:46Z,,CATALOG_STATUS,false
BETA-010,2026-08-22|SANDOWN,2026-08-22|SANDOWN|R2,2026-08-22T03:11:46Z,2026-08-22,Sandown Hillside,2,4,Buccleuch,53.62,9.80,,,,,21.53,-54.5%,Governed Price Context,LADBROKES_CANONICAL_MARKET_V1,2026-08-21T22:14:54+00:00,governed,current,MARKET_UNAVAILABLE,LADBROKES_CANONICAL,,2026-08-22T03:11:46Z,,NO_PROVIDER_MATCH,false
BETA-010,2026-08-22|SANDOWN,2026-08-22|SANDOWN|R2,2026-08-22T03:11:46Z,2026-08-22,Sandown Hillside,2,5,Cruiserweight,,2.10,,,,,,,EDGEiQ Price Pending,LADBROKES_CANONICAL_MARKET_V1,2026-08-21T22:14:54+00:00,governed,current,MARKET_UNAVAILABLE,LADBROKES_CANONICAL,,2026-08-22T03:11:46Z,,NO_PROVIDER_MATCH,false
BETA-010,2026-08-22|SANDOWN,2026-08-22|SANDOWN|R2,2026-08-22T03:11:46Z,2026-08-22,Sandown Hillside,2,6,Nic's Choice,46.92,11.00,,,,,32.64,-66.3%,Governed Price Context,LADBROKES_CANONICAL_MARKET_V1,2026-08-21T22:14:54+00:00,governed,current,MARKET_UNAVAILABLE,LADBROKES_CANONICAL,,2026-08-22T03:11:46Z,,NO_PROVIDER_MATCH,false
BETA-010,2026-08-22|SANDOWN,2026-08-22|SANDOWN|R2,2026-08-22T03:11:46Z,2026-08-22,Sandown Hillside,2,7,Impending Link,51.70,31.00,,,,,23.96,+29.4%,Scratched,LADBROKES_CANONICAL_MARKET_V1,2026-08-21T22:14:54+00:00,governed,scratched,SCRATCHED,LADBROKES_CANONICAL,,2026-08-22T03:11:46Z,,CATALOG_STATUS,false
