benchmark_observation_id,race_key,race_date,track_name,race_no,official_distance_metres,runner_count,race_split_coverage_type,benchmark_use_class,standard_time_eligible,membership_group_id,standard_time_match_status,race_time_delta_id,terminal_stage,rejection_reason
BOF1-67F454F7C819930DE2A82BB0,2026-05-30|CAULFIELD|R01,2026-05-30,Caulfield,1,1200,8,FULL_RACE,STANDARD_TIME_ELIGIBLE,true,BGF1-70C53A3124E4671DCB4C2A98,YES,RTD1-2EC59E1B39398AB8732645B0,NORMALISATION_REJECTED,NORMALISATION_PARAMETER_NOT_EFFECTIVE_FOR_PERFORMANCE_DATE
BOF1-6C01FD4F21505965A03B3F34,2026-05-30|CAULFIELD|R02,2026-05-30,Caulfield,2,1200,9,FULL_RACE,STANDARD_TIME_ELIGIBLE,true,BGF1-70C53A3124E4671DCB4C2A98,YES,RTD1-ED343CD09221F030A1CC723D,NORMALISATION_REJECTED,NORMALISATION_PARAMETER_NOT_EFFECTIVE_FOR_PERFORMANCE_DATE
BOF1-F0DED6BBDFB119455EA532DB,2026-05-30|CAULFIELD|R03,2026-05-30,Caulfield,3,1400,8,FULL_RACE,STANDARD_TIME_ELIGIBLE,true,BGF1-B3C71DA2FE289C11545D3380,YES,RTD1-EF638BF87A686D80C20F64CE,NORMALISATION_REJECTED,NORMALISATION_PARAMETER_NOT_EFFECTIVE_FOR_PERFORMANCE_DATE
BOF1-B37B439FD03E9BEB53518519,2026-05-30|CAULFIELD|R04,2026-05-30,Caulfield,4,1600,7,FULL_RACE,STANDARD_TIME_ELIGIBLE,true,BGF1-D970C6EC93DD94E0336D5163,YES,RTD1-2DCA1E168095FA4BB470BB95,NORMALISATION_REJECTED,NORMALISATION_PARAMETER_NOT_EFFECTIVE_FOR_PERFORMANCE_DATE
BOF1-7549AEF3D43EBF79E355A2C7,2026-05-30|CAULFIELD|R05,2026-05-30,Caulfield,5,1600,7,FULL_RACE,STANDARD_TIME_ELIGIBLE,true,BGF1-D970C6EC93DD94E0336D5163,YES,RTD1-D0AEA3B1A296B9CA43EC40C5,NORMALISATION_REJECTED,NORMALISATION_PARAMETER_NOT_EFFECTIVE_FOR_PERFORMANCE_DATE
BOF1-AB7109E43A6F1163138C5C77,2026-05-30|CAULFIELD|R06,2026-05-30,Caulfield,6,2000,9,FULL_RACE,STANDARD_TIME_ELIGIBLE,true,BGF1-F420E16D1DA9832E3587589B,YES,RTD1-046A5A95F8D6A290944790D2,NORMALISATION_REJECTED,NORMALISATION_PARAMETER_NOT_EFFECTIVE_FOR_PERFORMANCE_DATE
BOF1-C9047FD08B0DAD607CAA972C,2026-05-30|CAULFIELD|R07,2026-05-30,Caulfield,7,1100,10,FULL_RACE,STANDARD_TIME_ELIGIBLE,true,BGF1-624F532CE50F55ADB7E7B9D3,YES,RTD1-34576373CD22B412221DBAC5,NORMALISATION_REJECTED,NORMALISATION_PARAMETER_NOT_EFFECTIVE_FOR_PERFORMANCE_DATE
BOF1-E8F2DA9D8A0297087D6606F2,2026-05-30|CAULFIELD|R08,2026-05-30,Caulfield,8,1100,11,FULL_RACE,STANDARD_TIME_ELIGIBLE,true,BGF1-624F532CE50F55ADB7E7B9D3,YES,RTD1-2D926424C3584FE63C3EDAD4,NORMALISATION_REJECTED,NORMALISATION_PARAMETER_NOT_EFFECTIVE_FOR_PERFORMANCE_DATE
BOF1-9FB522CC4AB71ED7CFCA4177,2026-05-30|CAULFIELD|R09,2026-05-30,Caulfield,9,1200,10,FULL_RACE,STANDARD_TIME_ELIGIBLE,true,BGF1-70C53A3124E4671DCB4C2A98,YES,RTD1-6F366FB17BC1AFF7F0F225E3,NORMALISATION_REJECTED,NORMALISATION_PARAMETER_NOT_EFFECTIVE_FOR_PERFORMANCE_DATE
BOF1-E1BF6DD64E53617386261D03,2026-05-30|PICKLEBET PARK WERRIBEE|R01,2026-05-30,Picklebet Park Werribee,1,,7,PARTIAL_TIMING_WINDOW,SECTIONAL_REFERENCE_ONLY,false,,NO,,NOT_STANDARD_TIME_ELIGIBLE,PARTIAL_WINDOW_SECTIONAL_EVIDENCE_ONLY
