ra_horse_id,rcom_horse_id,canonical_horse_id,ra_horse_name,rcom_horse_name,normalised_name,match_tier,match_status,evidence_fields,evidence_values,candidate_count,conflict_status,decision_reason,policy_id,source_files
RA_HORSE_33354232230,RCOM_HORSE_5269231,RCOM_HORSE_5269231,CLYDEBANK ROBBER,CLYDEBANK ROBBER,CLYDEBANKROBBER,UNIQUE_EXACT_NAME_CONTINUITY,RESOLVED_UNIQUE_CONTINUITY,normalised_name|historical_horse_code|historical_row_count|trainer_continuity|chronology,candidate_count=1;historical_rows=61;first_date=2022-04-03;last_date=2026-06-15;trainer_match=NO,1,NO_CONFLICT,UNIQUE_EXACT_NORMALISED_NAME_WITH_NO_CONFLICTING_REPOSITORY_EVIDENCE_AND_PLAUSIBLE_CHRONOLOGY,EDGEIQ-RA-RCOM-BRIDGE-A-v1,edgeiq_graphql_april_2022_results_v1.csv|edgeiq_graphql_april_2023_results_v1.csv|edgeiq_graphql_april_2024_results_v1.csv|edgeiq_graphql_april_2026_results_v1.csv|edgeiq_graphql_august_2023_results_v1.csv|edgeiq_graphql_august_2025_results_v1.csv|edgeiq_graphql_december_2023_results_v1.csv|edgeiq_graphql_december_2024_results_v1.csv|edgeiq_graphql_february_2024_results_v1.csv|edgeiq_graphql_february_2025_results_v1.csv|edgeiq_graphql_january_2024_results_v1.csv|edgeiq_graphql_january_2025_WEEK3_results_v1.csv|edgeiq_graphql_january_2025_WEEK4_results_v1.csv|edgeiq_graphql_january_2025_results_v1.csv|edgeiq_graphql_january_2026_results_v1.csv|edgeiq_graphql_july_2025_results_v1.csv|edgeiq_graphql_june_2023_results_v1.csv|edgeiq_graphql_june_2025_results_v1.csv|edgeiq_graphql_june_2026_results_v1.csv|edgeiq_graphql_march_2023_results_v1.csv|edgeiq_graphql_march_2024_results_v1.csv|edgeiq_graphql_march_2025_results_v1.csv|edgeiq_graphql_march_2026_results_v1.csv|edgeiq_graphql_may_2023_results_v1.csv|edgeiq_graphql_may_2024_results_v1.csv|edgeiq_graphql_may_2025_results_v1.csv|edgeiq_graphql_may_2026_results_v1.csv|edgeiq_graphql_november_2023_results_v1.csv|edgeiq_graphql_november_2024_results_v1.csv|edgeiq_graphql_october_2024_results_v1.csv|edgeiq_graphql_september_2023_results_v1.csv|public/data/edgeiq_current_horse_identity_crosswalk_v1.csv|public/data/edgeiq_daily_official_results_fact_v1.csv|public/data/edgeiq_historical_results_warehouse_v2_graphql.csv
RA_HORSE_33850580190,RCOM_HORSE_5347643,RCOM_HORSE_5347643,KING OF SAVOY,KING OF SAVOY,KINGOFSAVOY,UNIQUE_EXACT_NAME_CONTINUITY,RESOLVED_UNIQUE_CONTINUITY,normalised_name|historical_horse_code|historical_row_count|trainer_continuity|chronology,candidate_count=1;historical_rows=6;first_date=2026-01-02;last_date=2026-03-09;trainer_match=NO,1,NO_CONFLICT,UNIQUE_EXACT_NORMALISED_NAME_WITH_NO_CONFLICTING_REPOSITORY_EVIDENCE_AND_PLAUSIBLE_CHRONOLOGY,EDGEIQ-RA-RCOM-BRIDGE-A-v1,edgeiq_graphql_february_2026_results_v1.csv|edgeiq_graphql_january_2026_results_v1.csv|edgeiq_graphql_march_2026_results_v1.csv|public/data/edgeiq_current_horse_identity_crosswalk_v1.csv|public/data/edgeiq_daily_official_results_fact_v1.csv|public/data/edgeiq_historical_results_warehouse_v2_graphql.csv
RA_HORSE_33861467790,RCOM_HORSE_5349363,RCOM_HORSE_5349363,RAINY NIGHT,RAINY NIGHT,RAINYNIGHT,UNIQUE_EXACT_NAME_CONTINUITY,RESOLVED_UNIQUE_CONTINUITY,normalised_name|historical_horse_code|historical_row_count|trainer_continuity|chronology,candidate_count=1;historical_rows=5;first_date=2025-06-17;last_date=2026-06-11;trainer_match=NO,1,NO_CONFLICT,UNIQUE_EXACT_NORMALISED_NAME_WITH_NO_CONFLICTING_REPOSITORY_EVIDENCE_AND_PLAUSIBLE_CHRONOLOGY,EDGEIQ-RA-RCOM-BRIDGE-A-v1,edgeiq_graphql_june_2025_results_v1.csv|edgeiq_graphql_june_2026_results_v1.csv|edgeiq_graphql_november_2025_results_v1.csv|edgeiq_graphql_october_2025_results_v1.csv|public/data/edgeiq_current_horse_identity_crosswalk_v1.csv|public/data/edgeiq_daily_official_results_fact_v1.csv|public/data/edgeiq_historical_results_warehouse_v2_graphql.csv
RA_HORSE_33671928600,RCOM_HORSE_5319420,RCOM_HORSE_5319420,SMART MOVES,SMART MOVES,SMARTMOVES,UNIQUE_EXACT_NAME_CONTINUITY,RESOLVED_UNIQUE_CONTINUITY,normalised_name|historical_horse_code|historical_row_count|trainer_continuity|chronology,candidate_count=1;historical_rows=17;first_date=2025-04-15;last_date=2026-06-02;trainer_match=NO,1,NO_CONFLICT,UNIQUE_EXACT_NORMALISED_NAME_WITH_NO_CONFLICTING_REPOSITORY_EVIDENCE_AND_PLAUSIBLE_CHRONOLOGY,EDGEIQ-RA-RCOM-BRIDGE-A-v1,edgeiq_graphql_april_2025_results_v1.csv|edgeiq_graphql_august_2025_results_v1.csv|edgeiq_graphql_july_2025_results_v1.csv|edgeiq_graphql_june_2025_results_v1.csv|edgeiq_graphql_june_2026_results_v1.csv|edgeiq_graphql_may_2025_results_v1.csv|edgeiq_graphql_may_2026_results_v1.csv|edgeiq_graphql_october_2025_results_v1.csv|edgeiq_graphql_september_2025_results_v1.csv|public/data/edgeiq_current_horse_identity_crosswalk_v1.csv|public/data/edgeiq_daily_official_results_fact_v1.csv|public/data/edgeiq_historical_results_warehouse_v2_graphql.csv
RA_HORSE_33624953670,RCOM_HORSE_5311999,RCOM_HORSE_5311999,HIGHLAND STORM,HIGHLAND STORM,HIGHLANDSTORM,UNIQUE_EXACT_NAME_CONTINUITY,RESOLVED_UNIQUE_CONTINUITY,normalised_name|historical_horse_code|historical_row_count|trainer_continuity|chronology,candidate_count=1;historical_rows=11;first_date=2025-07-25;last_date=2026-06-13;trainer_match=NO,1,NO_CONFLICT,UNIQUE_EXACT_NORMALISED_NAME_WITH_NO_CONFLICTING_REPOSITORY_EVIDENCE_AND_PLAUSIBLE_CHRONOLOGY,EDGEIQ-RA-RCOM-BRIDGE-A-v1,edgeiq_graphql_april_2026_results_v1.csv|edgeiq_graphql_august_2025_results_v1.csv|edgeiq_graphql_july_2025_results_v1.csv|edgeiq_graphql_june_2026_results_v1.csv|edgeiq_graphql_march_2026_results_v1.csv|edgeiq_graphql_may_2026_results_v1.csv|edgeiq_graphql_september_2025_results_v1.csv|public/data/edgeiq_current_horse_identity_crosswalk_v1.csv|public/data/edgeiq_daily_official_results_fact_v1.csv|public/data/edgeiq_historical_results_warehouse_v2_graphql.csv
RA_HORSE_33896149860,RCOM_HORSE_5354842,RCOM_HORSE_5354842,NOW PERFORM,NOW PERFORM,NOWPERFORM,UNIQUE_EXACT_NAME_CONTINUITY,RESOLVED_UNIQUE_CONTINUITY,normalised_name|historical_horse_code|historical_row_count|trainer_continuity|chronology,candidate_count=1;historical_rows=14;first_date=2025-11-29;last_date=2026-06-12;trainer_match=NO,1,NO_CONFLICT,UNIQUE_EXACT_NORMALISED_NAME_WITH_NO_CONFLICTING_REPOSITORY_EVIDENCE_AND_PLAUSIBLE_CHRONOLOGY,EDGEIQ-RA-RCOM-BRIDGE-A-v1,edgeiq_graphql_april_2026_results_v1.csv|edgeiq_graphql_december_2025_results_v1.csv|edgeiq_graphql_february_2026_results_v1.csv|edgeiq_graphql_january_2026_results_v1.csv|edgeiq_graphql_june_2026_results_v1.csv|edgeiq_graphql_march_2026_results_v1.csv|edgeiq_graphql_may_2026_results_v1.csv|edgeiq_graphql_november_2025_results_v1.csv|public/data/edgeiq_current_horse_identity_crosswalk_v1.csv|public/data/edgeiq_daily_official_results_fact_v1.csv|public/data/edgeiq_historical_results_warehouse_v2_graphql.csv
RA_HORSE_34011115320,RCOM_HORSE_5373004,RCOM_HORSE_5373004,TRULY FIERCE,TRULY FIERCE,TRULYFIERCE,UNIQUE_EXACT_NAME_CONTINUITY,RESOLVED_UNIQUE_CONTINUITY,normalised_name|historical_horse_code|historical_row_count|trainer_continuity|chronology,candidate_count=1;historical_rows=2;first_date=2026-02-16;last_date=2026-04-25;trainer_match=NO,1,NO_CONFLICT,UNIQUE_EXACT_NORMALISED_NAME_WITH_NO_CONFLICTING_REPOSITORY_EVIDENCE_AND_PLAUSIBLE_CHRONOLOGY,EDGEIQ-RA-RCOM-BRIDGE-A-v1,edgeiq_graphql_april_2026_results_v1.csv|edgeiq_graphql_february_2026_results_v1.csv|public/data/edgeiq_current_horse_identity_crosswalk_v1.csv|public/data/edgeiq_daily_official_results_fact_v1.csv|public/data/edgeiq_historical_results_warehouse_v2_graphql.csv
RA_HORSE_33844281840,RCOM_HORSE_5346648,RCOM_HORSE_5346648,WINGS OF LOVE,WINGS OF LOVE,WINGSOFLOVE,UNIQUE_EXACT_NAME_CONTINUITY,RESOLVED_UNIQUE_CONTINUITY,normalised_name|historical_horse_code|historical_row_count|trainer_continuity|chronology,candidate_count=1;historical_rows=3;first_date=2026-05-24;last_date=2026-06-24;trainer_match=NO,1,NO_CONFLICT,UNIQUE_EXACT_NORMALISED_NAME_WITH_NO_CONFLICTING_REPOSITORY_EVIDENCE_AND_PLAUSIBLE_CHRONOLOGY,EDGEIQ-RA-RCOM-BRIDGE-A-v1,edgeiq_graphql_june_2026_results_v1.csv|edgeiq_graphql_may_2026_results_v1.csv|public/data/edgeiq_current_horse_identity_crosswalk_v1.csv|public/data/edgeiq_daily_official_results_fact_v1.csv|public/data/edgeiq_historical_results_warehouse_v2_graphql.csv
RA_HORSE_33915988080,,RA_HORSE_33915988080,CORONATIONHERCULES,,CORONATIONHERCULES,UNRESOLVED,NO_CANDIDATE,normalised_name|historical_horse_code|historical_row_count|trainer_continuity|chronology,repository_name_candidate_count=0,0,NO_CANDIDATE,NO_RCOM_CANDIDATE_FOUND_IN_REPOSITORY_WIDE_EVIDENCE_INDEX,EDGEIQ-RA-RCOM-BRIDGE-A-v1,public/data/edgeiq_current_horse_identity_crosswalk_v1.csv|public/data/edgeiq_daily_official_results_fact_v1.csv
RA_HORSE_33706648650,RCOM_HORSE_5324905,RCOM_HORSE_5324905,DIAMOND EYE,DIAMOND EYE,DIAMONDEYE,UNIQUE_EXACT_NAME_CONTINUITY,RESOLVED_UNIQUE_CONTINUITY,normalised_name|historical_horse_code|historical_row_count|trainer_continuity|chronology,candidate_count=1;historical_rows=2;first_date=2026-03-19;last_date=2026-03-20;trainer_match=NO,1,NO_CONFLICT,UNIQUE_EXACT_NORMALISED_NAME_WITH_NO_CONFLICTING_REPOSITORY_EVIDENCE_AND_PLAUSIBLE_CHRONOLOGY,EDGEIQ-RA-RCOM-BRIDGE-A-v1,edgeiq_graphql_march_2026_results_v1.csv|public/data/edgeiq_current_horse_identity_crosswalk_v1.csv|public/data/edgeiq_daily_official_results_fact_v1.csv|public/data/edgeiq_historical_results_warehouse_v2_graphql.csv
