canonical_race_id,canonical_meeting_id,race_date,jurisdiction,result_status,timing_status,condition_status,speed_status,performance_base_status,normalisation_status,rating_status,publication_status,overall_lifecycle_status,first_discovered_at,last_checked_at,last_changed_at,result_source_hash,timing_source_hash,condition_source_hash,speed_source_hash,retry_eligible,next_retry_class,unresolved_reason,builder_version,contract_version,operation_run_id,transition_recorded_at
EIQD-15E252197DD6EFD483F6DECE,EIQM-B8B0002678898E5C3B4F8C1A,2026-07-21,AU,RESULT_OFFICIAL,TIME_PENDING,RACE_LEVEL_OFFICIAL,SPEED_DATA_PENDING,GOVERNED_UNAVAILABLE,GOVERNED_UNAVAILABLE,GOVERNED_UNAVAILABLE,PUBLISHED_PENDING,SOURCE_DELAYED,2026-07-29T01:10:18Z,2026-07-29T01:10:19Z,2026-07-29T01:10:19Z,f938cb5665ff565870746501508f42ab72ba4d4d636b8de4d10525f2c7c7ec3e,,16f79da598e2a9596e02da8f7849aa5cac4c3442103861d7c9cfdb2b691fd161,5e8a41d65dbbd198325f1e3305209065ef8d7c49c137127f465d1cf834f833fd,TRUE,TIME_PENDING,TIME_PENDING,EDGEIQ_DAILY_OPERATIONS_ENGINE_V1,1.0.0,LIFECYCLE-2026-07-21-2026-07-21-E7BF23EEA9,2026-07-29T01:10:19Z
EIQD-9507900F3E7984C85CF6F935,EIQM-B8B0002678898E5C3B4F8C1A,2026-07-21,AU,RESULT_OFFICIAL,TIME_PENDING,SOURCE_NOT_PUBLISHED,SPEED_DATA_PENDING,GOVERNED_UNAVAILABLE,GOVERNED_UNAVAILABLE,GOVERNED_UNAVAILABLE,PUBLISHED_PENDING,SOURCE_DELAYED,2026-07-29T01:10:18Z,2026-07-29T01:10:19Z,2026-07-29T01:10:19Z,fdc900636b07012276562600b39593e7b785502691b4f4878dde35d53955081e,,fdc900636b07012276562600b39593e7b785502691b4f4878dde35d53955081e,1340efacc5f3d52f5a39ca3ead5dd32cccc0047a115dd80305d176da41c742eb,TRUE,TIME_PENDING,TIME_PENDING,EDGEIQ_DAILY_OPERATIONS_ENGINE_V1,1.0.0,LIFECYCLE-2026-07-21-2026-07-21-E7BF23EEA9,2026-07-29T01:10:19Z
EIQD-15E252197DD6EFD483F6DECE,EIQM-B8B0002678898E5C3B4F8C1A,2026-07-21,AU,RESULT_OFFICIAL,TIMING_ACCEPTED,RACE_LEVEL_OFFICIAL,SPEED_DATA_PENDING,PERFORMANCE_BASE_AVAILABLE,NORMALISATION_PENDING,RATED_PENDING,PUBLISHED_PENDING,SOURCE_DELAYED,2026-07-29T01:10:37Z,2026-07-29T01:10:38Z,2026-07-29T01:10:38Z,f938cb5665ff565870746501508f42ab72ba4d4d636b8de4d10525f2c7c7ec3e,16f79da598e2a9596e02da8f7849aa5cac4c3442103861d7c9cfdb2b691fd161,16f79da598e2a9596e02da8f7849aa5cac4c3442103861d7c9cfdb2b691fd161,5e8a41d65dbbd198325f1e3305209065ef8d7c49c137127f465d1cf834f833fd,TRUE,COMPLETE_NO_RECHECK_REQUIRED,,EDGEIQ_DAILY_OPERATIONS_ENGINE_V1,1.0.0,LIFECYCLE-2026-07-21-2026-07-21-B6A8EB98FB,2026-07-29T01:10:38Z
EIQD-9507900F3E7984C85CF6F935,EIQM-B8B0002678898E5C3B4F8C1A,2026-07-21,AU,RESULT_OFFICIAL,TIME_PENDING,SOURCE_NOT_PUBLISHED,SPEED_DATA_PENDING,GOVERNED_UNAVAILABLE,GOVERNED_UNAVAILABLE,GOVERNED_UNAVAILABLE,PUBLISHED_PENDING,SOURCE_DELAYED,2026-07-29T01:10:37Z,2026-07-29T01:10:38Z,2026-07-29T01:10:38Z,fdc900636b07012276562600b39593e7b785502691b4f4878dde35d53955081e,,fdc900636b07012276562600b39593e7b785502691b4f4878dde35d53955081e,1340efacc5f3d52f5a39ca3ead5dd32cccc0047a115dd80305d176da41c742eb,TRUE,TIME_PENDING,TIME_PENDING,EDGEIQ_DAILY_OPERATIONS_ENGINE_V1,1.0.0,LIFECYCLE-2026-07-21-2026-07-21-B6A8EB98FB,2026-07-29T01:10:38Z
EIQD-19445836D33B2F0F26B382D2,EIQM-3AB304DDE649DBE37ADB72E8,2026-07-26,AU,RESULT_PENDING,TIME_PENDING,RACE_LEVEL_OFFICIAL,SPEED_DATA_PENDING,GOVERNED_UNAVAILABLE,GOVERNED_UNAVAILABLE,GOVERNED_UNAVAILABLE,PUBLISHED_PENDING,SOURCE_DELAYED,2026-07-29T01:13:25Z,2026-07-29T01:14:02Z,2026-07-29T01:14:02Z,,,cf8350d5516481d74b2e44b5f0b230470c56d6b1eb02e2e4511dee84ffb0e62f,d0a6c2221e7d69971aeee7e578776122ac7779b1404e28235b6ba55a55efd98b,TRUE,RESULT_PENDING,RESULT_PENDING;TIME_PENDING,EDGEIQ_DAILY_OPERATIONS_ENGINE_V1,1.0.0,LIFECYCLE-2026-07-15-2026-07-28-3B732B0201,2026-07-29T01:14:02Z
EIQD-1BFF6200CF83E84CD399762B,EIQM-3560DCAC43CE69CF989F9E87,2026-07-26,AU,RESULT_PENDING,TIME_PENDING,CONDITION_PENDING,SPEED_DATA_PENDING,GOVERNED_UNAVAILABLE,GOVERNED_UNAVAILABLE,GOVERNED_UNAVAILABLE,PUBLISHED_PENDING,SOURCE_DELAYED,2026-07-29T01:13:25Z,2026-07-29T01:14:02Z,2026-07-29T01:14:02Z,,,,5c3691116c2a5a1cf261dd56c3a7d150b354ea5934df362cebb5600f420bd528,TRUE,RESULT_PENDING,RESULT_PENDING;TIME_PENDING;CONDITION_PENDING,EDGEIQ_DAILY_OPERATIONS_ENGINE_V1,1.0.0,LIFECYCLE-2026-07-15-2026-07-28-3B732B0201,2026-07-29T01:14:02Z
EIQD-501E672A45FB9A2FF99E1210,EIQM-3560DCAC43CE69CF989F9E87,2026-07-26,AU,RESULT_PENDING,TIME_PENDING,CONDITION_PENDING,SPEED_DATA_PENDING,GOVERNED_UNAVAILABLE,GOVERNED_UNAVAILABLE,GOVERNED_UNAVAILABLE,PUBLISHED_PENDING,SOURCE_DELAYED,2026-07-29T01:13:25Z,2026-07-29T01:14:02Z,2026-07-29T01:14:02Z,,,,44fca757eca49f666d2f3fca361e52487169796c676a495ef9c12face29661de,TRUE,RESULT_PENDING,RESULT_PENDING;TIME_PENDING;CONDITION_PENDING,EDGEIQ_DAILY_OPERATIONS_ENGINE_V1,1.0.0,LIFECYCLE-2026-07-15-2026-07-28-3B732B0201,2026-07-29T01:14:02Z
EIQD-50644F32264698C6622A9D4E,EIQM-3AB304DDE649DBE37ADB72E8,2026-07-26,AU,RESULT_PENDING,TIME_PENDING,RACE_LEVEL_OFFICIAL,SPEED_DATA_PENDING,GOVERNED_UNAVAILABLE,GOVERNED_UNAVAILABLE,GOVERNED_UNAVAILABLE,PUBLISHED_PENDING,SOURCE_DELAYED,2026-07-29T01:13:25Z,2026-07-29T01:14:02Z,2026-07-29T01:14:02Z,,,9850cdc36bd343438540f1a5396961a8ac9d36a22143c5ac351ee9226b47176d,b3a9b8a7c8c59795fc06c4f6c357a6b2225abfee95c34e2430c76e89d14bece2,TRUE,RESULT_PENDING,RESULT_PENDING;TIME_PENDING,EDGEIQ_DAILY_OPERATIONS_ENGINE_V1,1.0.0,LIFECYCLE-2026-07-15-2026-07-28-3B732B0201,2026-07-29T01:14:02Z
EIQD-595677658C8B1255C051E0E6,EIQM-3560DCAC43CE69CF989F9E87,2026-07-26,AU,RESULT_PENDING,TIME_PENDING,CONDITION_PENDING,SPEED_DATA_PENDING,GOVERNED_UNAVAILABLE,GOVERNED_UNAVAILABLE,GOVERNED_UNAVAILABLE,PUBLISHED_PENDING,SOURCE_DELAYED,2026-07-29T01:13:25Z,2026-07-29T01:14:02Z,2026-07-29T01:14:02Z,,,,b120dbf2885d90ac7c6da7468fcd74679072c8c2ab15559e0e417b19033389f6,TRUE,RESULT_PENDING,RESULT_PENDING;TIME_PENDING;CONDITION_PENDING,EDGEIQ_DAILY_OPERATIONS_ENGINE_V1,1.0.0,LIFECYCLE-2026-07-15-2026-07-28-3B732B0201,2026-07-29T01:14:02Z
EIQD-71A234543B743BE5E885C43B,EIQM-3AB304DDE649DBE37ADB72E8,2026-07-26,AU,RESULT_PENDING,TIME_PENDING,RACE_LEVEL_OFFICIAL,SPEED_DATA_PENDING,GOVERNED_UNAVAILABLE,GOVERNED_UNAVAILABLE,GOVERNED_UNAVAILABLE,PUBLISHED_PENDING,SOURCE_DELAYED,2026-07-29T01:13:25Z,2026-07-29T01:14:02Z,2026-07-29T01:14:02Z,,,fe8f48faf1658423ee9ee9ef443158fc67f9eec50f33b7706caecf762c6e1761,2885f6f552b4a60ef1983a1b7f9077d403572a149f2981d8f743f004eff5b3d4,TRUE,RESULT_PENDING,RESULT_PENDING;TIME_PENDING,EDGEIQ_DAILY_OPERATIONS_ENGINE_V1,1.0.0,LIFECYCLE-2026-07-15-2026-07-28-3B732B0201,2026-07-29T01:14:02Z
