race_entry_epi_component_id,race_entry_id,race_id,race_date,epi_component_code,component_source_fact_name,component_source_fact_id,component_source_value_field,component_source_evidence_sha256,raw_component_value,field_population_count,field_component_mean,field_component_population_standard_deviation,unbounded_normalised_component_value,capped_normalised_component_value,authorised_component_weight,weighted_component_value,epi_parameter_id,epi_component_normalisation_parameter_id,epi_component_publication_decision,epi_component_reconciliation_decision,epi_component_status,race_entry_epi_component_evidence_sha256,source_lineage,builder_version,contract_version,built_at_utc
REEC-CUR-328ECC7BDFB2FA2D0F703577,99524602380,EIQD-DDBEBDD438E1E95BF9FCC89E,2026-07-26,HISTORICAL_PERFORMANCE,edgeiq_form_guide_enriched_v2,REPP-CUR-979EE5BB9AD75C3E1E48FAFA,formMomentum,18addb87330805a9eca1c8f67491654f01c7a400debfbc970c090e969f361b8c,8.0,5,4.760000,3.132156,1.034431,1.034431,0.500000,0.517216,EPIP1-14578898B157ACE77DF0A29F,LIVE_FORM_GUIDE_CURRENT_COMPONENT_NORMALISATION,EPI_COMPONENT_PUBLISHED,EPI_COMPONENT_RECONCILED,GOVERNED_RACE_ENTRY_EPI_COMPONENT,d1ec0dc57cbe3c1c3b98243fa9a4e7673520573d09714d5461847a819acb1a4c,RA_TO_RCOM_BRIDGE|LIVE_FORM_GUIDE_CURRENT_INPUTS,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
REEC-CUR-3193110B2ED538CBC99A62D1,99548453820,EIQD-DDBEBDD438E1E95BF9FCC89E,2026-07-26,HISTORICAL_PERFORMANCE,edgeiq_form_guide_enriched_v2,REPP-CUR-223E493B921478DDF921C2CD,formMomentum,255e01c94d1dd381b1ebe9cec13a850ae2be56bdd575c45a5d8abd4c6c418297,-0.3,5,4.760000,3.132156,-1.615501,-1.615501,0.500000,-0.807750,EPIP1-14578898B157ACE77DF0A29F,LIVE_FORM_GUIDE_CURRENT_COMPONENT_NORMALISATION,EPI_COMPONENT_PUBLISHED,EPI_COMPONENT_RECONCILED,GOVERNED_RACE_ENTRY_EPI_COMPONENT,18d62910c1c1f565f6e19b04a1abf3630581f12cb8c94f28d083678aa1b3ff72,RA_TO_RCOM_BRIDGE|LIVE_FORM_GUIDE_CURRENT_INPUTS,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
REEC-CUR-8C5DB8194D5DEA339834FB22,99552973440,EIQD-DDBEBDD438E1E95BF9FCC89E,2026-07-26,HISTORICAL_PERFORMANCE,edgeiq_form_guide_enriched_v2,REPP-CUR-82640A380B1B724692E9AB35,formMomentum,f1d980430e7ea0a91b0d22c43ec1fab4f533dacc608b7ff89e0e88c56a6808b9,8.0,5,4.760000,3.132156,1.034431,1.034431,0.500000,0.517216,EPIP1-14578898B157ACE77DF0A29F,LIVE_FORM_GUIDE_CURRENT_COMPONENT_NORMALISATION,EPI_COMPONENT_PUBLISHED,EPI_COMPONENT_RECONCILED,GOVERNED_RACE_ENTRY_EPI_COMPONENT,5b768710dfe51172f062760a245694d64a8d2e38fa73e951c608b6cf11b03a69,RA_TO_RCOM_BRIDGE|LIVE_FORM_GUIDE_CURRENT_INPUTS,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
REEC-CUR-46728E03252A1D82967DACC0,99561620220,EIQD-DDBEBDD438E1E95BF9FCC89E,2026-07-26,HISTORICAL_PERFORMANCE,edgeiq_form_guide_enriched_v2,REPP-CUR-80940E5EE86CE15313F8A0F3,formMomentum,d3c6a9a4d6fbf3b8ff055f05bd45e95c2f69ac650b1cf62d0bcb761dd012e150,4.9,5,4.760000,3.132156,0.044698,0.044698,0.500000,0.022349,EPIP1-14578898B157ACE77DF0A29F,LIVE_FORM_GUIDE_CURRENT_COMPONENT_NORMALISATION,EPI_COMPONENT_PUBLISHED,EPI_COMPONENT_RECONCILED,GOVERNED_RACE_ENTRY_EPI_COMPONENT,05e0c5d5011346b2e0d3e34afce46eeea16132519d377d7bf4781fa2099a9a33,RA_TO_RCOM_BRIDGE|LIVE_FORM_GUIDE_CURRENT_INPUTS,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
REEC-CUR-06FE91DAD03687A1C232085F,99563360970,EIQD-DDBEBDD438E1E95BF9FCC89E,2026-07-26,HISTORICAL_PERFORMANCE,edgeiq_form_guide_enriched_v2,REPP-CUR-8A4B8ED8D046CCA2F00C77B0,formMomentum,b60797a14978398487da990911deb16b9eda0a606d309a23c67aece0109d6c26,3.2,5,4.760000,3.132156,-0.498060,-0.498060,0.500000,-0.249030,EPIP1-14578898B157ACE77DF0A29F,LIVE_FORM_GUIDE_CURRENT_COMPONENT_NORMALISATION,EPI_COMPONENT_PUBLISHED,EPI_COMPONENT_RECONCILED,GOVERNED_RACE_ENTRY_EPI_COMPONENT,6dd54f98f37f3e930fce20902fd00587d0d5d9bc83c476b501bad1bb80144e4d,RA_TO_RCOM_BRIDGE|LIVE_FORM_GUIDE_CURRENT_INPUTS,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
REEC-CUR-50818493AFD538B694DC60A4,99569893530,EIQD-EB9F8134D5BF682C7A99C9D3,2026-07-26,HISTORICAL_PERFORMANCE,edgeiq_form_guide_enriched_v2,REPP-CUR-9DFC3CAF3072DFBD16CB5804,formMomentum,5eeccbb6a5abfff4cf31a97b974cb88d5f86712b6a4718a9ccd932fe1578149b,-2.8,6,0.183333,4.890268,-0.610055,-0.610055,0.500000,-0.305028,EPIP1-14578898B157ACE77DF0A29F,LIVE_FORM_GUIDE_CURRENT_COMPONENT_NORMALISATION,EPI_COMPONENT_PUBLISHED,EPI_COMPONENT_RECONCILED,GOVERNED_RACE_ENTRY_EPI_COMPONENT,6c1bf617b34503d4ead9d47c350dd8ff8b00313acfe64a3f89e22b4c9c06c742,RA_TO_RCOM_BRIDGE|LIVE_FORM_GUIDE_CURRENT_INPUTS,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
REEC-CUR-D979A423728437FFCFC841C7,99564437070,EIQD-EB9F8134D5BF682C7A99C9D3,2026-07-26,HISTORICAL_PERFORMANCE,edgeiq_form_guide_enriched_v2,REPP-CUR-5A3BA3817F23A2014F61843B,formMomentum,329bc43f5802772e78b32f30632e573452555def25aa086e3400d78625eec855,1.6,6,0.183333,4.890268,0.289691,0.289691,0.500000,0.144846,EPIP1-14578898B157ACE77DF0A29F,LIVE_FORM_GUIDE_CURRENT_COMPONENT_NORMALISATION,EPI_COMPONENT_PUBLISHED,EPI_COMPONENT_RECONCILED,GOVERNED_RACE_ENTRY_EPI_COMPONENT,38f08da65cfb78186cea91cd9c1215b6d2d441ca1c27c59de8881b471e3b0786,RA_TO_RCOM_BRIDGE|LIVE_FORM_GUIDE_CURRENT_INPUTS,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
REEC-CUR-5414ADAC1D45620823524534,99517158300,EIQD-EB9F8134D5BF682C7A99C9D3,2026-07-26,HISTORICAL_PERFORMANCE,edgeiq_form_guide_enriched_v2,REPP-CUR-0BBAE4246B474ADE9FBBB564,formMomentum,f36687332476a51d1b75bac7b6345836305571d1454c923281afca2602f5f5cc,0.0,6,0.183333,4.890268,-0.037489,-0.037489,0.500000,-0.018745,EPIP1-14578898B157ACE77DF0A29F,LIVE_FORM_GUIDE_CURRENT_COMPONENT_NORMALISATION,EPI_COMPONENT_PUBLISHED,EPI_COMPONENT_RECONCILED,GOVERNED_RACE_ENTRY_EPI_COMPONENT,64a29f971ab1b529dc768b4ccd2c96a9b90a22a2d5c41dba6db25f5b585995b9,RA_TO_RCOM_BRIDGE|LIVE_FORM_GUIDE_CURRENT_INPUTS,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
REEC-CUR-6F1968CE8E368C8C143BC5D5,99560892270,EIQD-EB9F8134D5BF682C7A99C9D3,2026-07-26,HISTORICAL_PERFORMANCE,edgeiq_form_guide_enriched_v2,REPP-CUR-5CA55073B3348905E988B176,formMomentum,9ac634fc60e4cf4e47835175f0db8d9f71405274a23029f50baa15a6ff967ec9,8.0,6,0.183333,4.890268,1.598413,1.598413,0.500000,0.799206,EPIP1-14578898B157ACE77DF0A29F,LIVE_FORM_GUIDE_CURRENT_COMPONENT_NORMALISATION,EPI_COMPONENT_PUBLISHED,EPI_COMPONENT_RECONCILED,GOVERNED_RACE_ENTRY_EPI_COMPONENT,1815cde24697629e8774a5a250628caa19fcd718c6fca863c6c2a1ee3eeaab73,RA_TO_RCOM_BRIDGE|LIVE_FORM_GUIDE_CURRENT_INPUTS,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
REEC-CUR-90128268F734BA12AE74A7F6,99529248600,EIQD-EB9F8134D5BF682C7A99C9D3,2026-07-26,HISTORICAL_PERFORMANCE,edgeiq_form_guide_enriched_v2,REPP-CUR-70525351F21C7806C32130DE,formMomentum,84cb5f44ff55a81e6b9df6a08a54c283dd3eb6b0c38f16884126319564820549,-8.0,6,0.183333,4.890268,-1.673392,-1.673392,0.500000,-0.836696,EPIP1-14578898B157ACE77DF0A29F,LIVE_FORM_GUIDE_CURRENT_COMPONENT_NORMALISATION,EPI_COMPONENT_PUBLISHED,EPI_COMPONENT_RECONCILED,GOVERNED_RACE_ENTRY_EPI_COMPONENT,c712e3a1f06d08bf7ebeea7ed099515efea8d0dc37888acbd3347e44ed2537ba,RA_TO_RCOM_BRIDGE|LIVE_FORM_GUIDE_CURRENT_INPUTS,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
