race_entry_epi_id,race_entry_id,race_id,race_date,epi_methodology,epi_base_value,historical_performance_component_id,historical_performance_component_evidence_sha256,historical_performance_normalised_value,historical_performance_weight,historical_performance_weighted_value,suitability_component_id,suitability_component_evidence_sha256,suitability_normalised_value,suitability_weight,suitability_weighted_value,race_context_component_id,race_context_component_evidence_sha256,race_context_normalised_value,race_context_weight,race_context_weighted_value,total_component_weight,weighted_component_total,epi_value,epi_parameter_id,epi_publication_decision,epi_reconciliation_decision,epi_status,race_entry_epi_evidence_sha256,source_lineage,builder_version,contract_version,built_at_utc
REEPI-CUR-B4DDC98315786572E02D2CC1,99524602380,EIQD-DDBEBDD438E1E95BF9FCC89E,2026-07-26,NORMALISED_WEIGHTED_ADDITIVE_EPI_V1,100.000000,REEC-CUR-328ECC7BDFB2FA2D0F703577,2c447f2634ab030b02728e9163c5c1cf2561e505ac4b58bc7aabc14f7abeeed4,,0.500000,,REEC-CUR-DC765C2AE4868F01510C5C8A,a7dd8de742da75ffd9f09891405cc26f4e0b9536225564b0b9623393de4249e0,,0.300000,,REEC-CUR-4FE780F500628ED5A68A57AA,223aef4f44b35e3f6d3a580e666863240aa73087e6f29a28e901d8eecf89a840,,0.200000,,1.000000,-0.014681,99.985319,EPIP1-14578898B157ACE77DF0A29F,EPI_PUBLISHED,EPI_RECONCILED,GOVERNED_RACE_ENTRY_EPI,a088482e1f7cb20822f1c448ff47975ab7591b2e310d312b3058feb8fb68f422,RA_TO_RCOM_BRIDGE|LIVE_FORM_GUIDE_CURRENT_INPUTS,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
REEPI-CUR-2B50DD4860F1D54C70F3393E,99548453820,EIQD-DDBEBDD438E1E95BF9FCC89E,2026-07-26,NORMALISED_WEIGHTED_ADDITIVE_EPI_V1,100.000000,REEC-CUR-3193110B2ED538CBC99A62D1,f8c7311454e82d4fd47a4aef35079937c514d35063ae494bf48ab28ea20012c4,,0.500000,,REEC-CUR-03E3E967A68D48A656625134,6b35fe0d000428cdffcda77be287298476a8113d56533e07a8253b504bbe1486,,0.300000,,REEC-CUR-0124B91E0F61BA6D29F697E0,cf00f5181104aaa6f1b4e15683ed33ff4b5b22b29d754fac5b0754272ed900fb,,0.200000,,1.000000,-0.575252,99.424748,EPIP1-14578898B157ACE77DF0A29F,EPI_PUBLISHED,EPI_RECONCILED,GOVERNED_RACE_ENTRY_EPI,a2068eb89082208c854b64aed84ef2e23518070263a4c8cb91345e3b13e5fc96,RA_TO_RCOM_BRIDGE|LIVE_FORM_GUIDE_CURRENT_INPUTS,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
REEPI-CUR-B0683D0F666E7E5BF0957BA8,99552973440,EIQD-DDBEBDD438E1E95BF9FCC89E,2026-07-26,NORMALISED_WEIGHTED_ADDITIVE_EPI_V1,100.000000,REEC-CUR-8C5DB8194D5DEA339834FB22,57929e19971b6287063aab1192aa04ade3fe316ef3e20a3c5c20f48b9a6586af,,0.500000,,REEC-CUR-702F215746AB34F9BB8BA661,deab53f2fa52758a77b87f35943ace0f0f7a174c65424ccee03b0f74900aa196,,0.300000,,REEC-CUR-B01D4562675915AD2B4AD85B,a1fd22a0f8795f57b4490a572cd2a2f6ed0f4b1d9f610aab3c3fceb13fda6bb5,,0.200000,,1.000000,1.126532,101.126532,EPIP1-14578898B157ACE77DF0A29F,EPI_PUBLISHED,EPI_RECONCILED,GOVERNED_RACE_ENTRY_EPI,d042c7422d53de1a1c627d82b8149d827803abc1174b7098d6e2ac4c37e6f79b,RA_TO_RCOM_BRIDGE|LIVE_FORM_GUIDE_CURRENT_INPUTS,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
REEPI-CUR-B8F7C777A32C4DF31DCC5330,99561620220,EIQD-DDBEBDD438E1E95BF9FCC89E,2026-07-26,NORMALISED_WEIGHTED_ADDITIVE_EPI_V1,100.000000,REEC-CUR-46728E03252A1D82967DACC0,7f06d753e47891042727ad250e75cc6c8ef1a8448e7057fd60d4e23453e42b6b,,0.500000,,REEC-CUR-83D9F2D1DBAB0C3274A584F4,62a8639c769313c802c33ef37d37c58b7c7bd6e5ce321ce00bb6d641e4fa9095,,0.300000,,REEC-CUR-A187D58291CCD0891964ABF6,8189517a138d01de6bb4ea31dabeebb4daed0214ccfbcd2a826221d2a8147f10,,0.200000,,1.000000,0.007859,100.007859,EPIP1-14578898B157ACE77DF0A29F,EPI_PUBLISHED,EPI_RECONCILED,GOVERNED_RACE_ENTRY_EPI,c06efc9c08331e0b774d9d60a3ead92cc5681375f5bb3d8a8bfc461795385903,RA_TO_RCOM_BRIDGE|LIVE_FORM_GUIDE_CURRENT_INPUTS,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
REEPI-CUR-A01F112CE721F98062B30B93,99563360970,EIQD-DDBEBDD438E1E95BF9FCC89E,2026-07-26,NORMALISED_WEIGHTED_ADDITIVE_EPI_V1,100.000000,REEC-CUR-06FE91DAD03687A1C232085F,1cba6ad8d9d36571033602d0ec9e602e96a889699377802e919f3794cf58df21,,0.500000,,REEC-CUR-28E399707EDB3BA81BAC8D44,2bffb319416ad36c0fd8c8cea061ddc412c82259991f4131ea804e1443e04cec,,0.300000,,REEC-CUR-24943F2FDE957068F07BADAF,f3054e7a5bb315cb92b35682597bf9ef5abed5d130600427ee6fe2cb9e35798e,,0.200000,,1.000000,-0.544458,99.455542,EPIP1-14578898B157ACE77DF0A29F,EPI_PUBLISHED,EPI_RECONCILED,GOVERNED_RACE_ENTRY_EPI,f2a638eb4e436f76dbfd3591faa46667e248e70c906222362699cc067d3239cb,RA_TO_RCOM_BRIDGE|LIVE_FORM_GUIDE_CURRENT_INPUTS,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
REEPI-CUR-E0773B9E80A9DEC14F701F49,99569893530,EIQD-EB9F8134D5BF682C7A99C9D3,2026-07-26,NORMALISED_WEIGHTED_ADDITIVE_EPI_V1,100.000000,REEC-CUR-50818493AFD538B694DC60A4,9ff37f724dc30872fab531e5f9915efeaec27510e984ae156f1f6ffbf4f35ab1,,0.500000,,REEC-CUR-7B9F25965E50845F3E1DD6DC,b497c52c434b4586b45aa670cdb55ed929d4ffc942798d0d7954eb754b809533,,0.300000,,REEC-CUR-87B2FA2F2BDE596DEADEAE2A,3dc6e3360522b7ce7cc88e9f34b7e698d4472d30215cf5b90f724145ab592653,,0.200000,,1.000000,-0.391759,99.608241,EPIP1-14578898B157ACE77DF0A29F,EPI_PUBLISHED,EPI_RECONCILED,GOVERNED_RACE_ENTRY_EPI,7550b682bd470f0eaf780fa2e5c02729fa5b0514ba01a4930676a3274addbe5a,RA_TO_RCOM_BRIDGE|LIVE_FORM_GUIDE_CURRENT_INPUTS,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
REEPI-CUR-29274E319B44AC63809279C3,99564437070,EIQD-EB9F8134D5BF682C7A99C9D3,2026-07-26,NORMALISED_WEIGHTED_ADDITIVE_EPI_V1,100.000000,REEC-CUR-D979A423728437FFCFC841C7,eb7c19ec209de4cb78345dcde09e425c93c9c5ff4c62a7a44786b1fb51a2feaf,,0.500000,,REEC-CUR-47185B346220FA25EF78310A,1a564c4bb7c41a75a2c2ded7e75dc0c047a94e09fe49330a0bb299ae91ac4544,,0.300000,,REEC-CUR-2ACEE1BEB079CFA02E01DFB4,aa450e7876a6b7bf65bcbf53a6acd6a572ae55a3a09fec348488f69c6d5a3bda,,0.200000,,1.000000,0.003554,100.003554,EPIP1-14578898B157ACE77DF0A29F,EPI_PUBLISHED,EPI_RECONCILED,GOVERNED_RACE_ENTRY_EPI,49755b81886bcf912f0d22bda0194b7a119fa8594fbb018c9f3576a394adc3fe,RA_TO_RCOM_BRIDGE|LIVE_FORM_GUIDE_CURRENT_INPUTS,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
REEPI-CUR-A26E2959B6419DF2862ABEDC,99517158300,EIQD-EB9F8134D5BF682C7A99C9D3,2026-07-26,NORMALISED_WEIGHTED_ADDITIVE_EPI_V1,100.000000,REEC-CUR-5414ADAC1D45620823524534,d351e1f8cc46e0ae3f9f6a54ece38b7fa22e4067277b8890a560f751802df933,,0.500000,,REEC-CUR-C3DE6CCF75426D656CF8255F,4c837913ebfffeac4e81096c6de722b4ddde946db8308c64e65291ac22b01ffd,,0.300000,,REEC-CUR-F4756F75304EED4183588D41,fa304e1b2ba83a2cb1dbec6d95879044105be71017ec844c1af4fc6c68caa677,,0.200000,,1.000000,-0.386499,99.613501,EPIP1-14578898B157ACE77DF0A29F,EPI_PUBLISHED,EPI_RECONCILED,GOVERNED_RACE_ENTRY_EPI,2b775148bd261955123282a486c573a983dea8be9e175640c345ceb6cc3bf942,RA_TO_RCOM_BRIDGE|LIVE_FORM_GUIDE_CURRENT_INPUTS,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
REEPI-CUR-6E79880F71E66F3EEC58AF3C,99560892270,EIQD-EB9F8134D5BF682C7A99C9D3,2026-07-26,NORMALISED_WEIGHTED_ADDITIVE_EPI_V1,100.000000,REEC-CUR-6F1968CE8E368C8C143BC5D5,6594a9fa3db47504f489c05b8b88459a7a6cd2bfe21a6f33acc14bb8e25baff1,,0.500000,,REEC-CUR-3429CBEDE5BB167AB3D2F351,03f5e670c7cd3099e23ede824409067dbcfe8072fce129216fc24db186b0fd6f,,0.300000,,REEC-CUR-7C1F63848B8CB39EB8242D47,9e5daf94abd1d286ff36f8edb4604733c479886f533000064792a0559e3c7582,,0.200000,,1.000000,0.784078,100.784078,EPIP1-14578898B157ACE77DF0A29F,EPI_PUBLISHED,EPI_RECONCILED,GOVERNED_RACE_ENTRY_EPI,182ff5b4ed4e386960a1c1ae8e99ef810060c6cb625637a261fdcbfe1ca775fc,RA_TO_RCOM_BRIDGE|LIVE_FORM_GUIDE_CURRENT_INPUTS,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
REEPI-CUR-0E394D8E5C63A10C7AFD3DF9,99529248600,EIQD-EB9F8134D5BF682C7A99C9D3,2026-07-26,NORMALISED_WEIGHTED_ADDITIVE_EPI_V1,100.000000,REEC-CUR-90128268F734BA12AE74A7F6,9cc67b9087a82c6b0ae7a5334e41fcdd9b6cfb97fb5e357e8fe3be15d8834b0e,,0.500000,,REEC-CUR-EF2DDF9FFD27452D9CF67E2F,3256470babf895b9bd0411ffe41e26b469d51a1d33e2e28f7eb188b3b9a1d31d,,0.300000,,REEC-CUR-5814066A3431979B862E874B,6ce1c090a52645f8045671185ac6d5e0633a29ca416e0710b36c5cb8e09ac54a,,0.200000,,1.000000,-1.028464,98.971536,EPIP1-14578898B157ACE77DF0A29F,EPI_PUBLISHED,EPI_RECONCILED,GOVERNED_RACE_ENTRY_EPI,e54c489e6dda86747f6a91c427e64fed2de0ccb040cf9b9502bd5bfb3c362228,RA_TO_RCOM_BRIDGE|LIVE_FORM_GUIDE_CURRENT_INPUTS,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
