canonical_race_id,canonical_runner_id,race_date,meeting_date,canonical_track,course_identity,state,country,race_number,race_name,race_distance_metres,surface_group,track_condition_number,scheduled_start_time,saddlecloth_number,runner_name,barrier,weight_kg,jockey_name,trainer_name,declaration_status,scratching_status,source_updated_at,source_system,source_record_id,source_hash,audit_status
RACE|2026-07-24|ECHUCA|R1|2100M|2026-07-24T02:35:00+00:00,RCOM_HORSE_5325978,2026-07-24,2026-07-24,ECHUCA,ECHUCA,VIC,AUS,1,Moama Bowling Club Maiden Plate,2100,TURF,9,2026-07-24T02:35:00+00:00,1,All The Moves,7,59.5,,M.Lawson,SCRATCHED_ENTRY,SCRATCHED,2026-07-23T08:31:21.374064,RACING_COM_GETRACEFORM,15725390,f811e8cbf674ca6eb706cf42738f223ed9c72b0f4d5cc375836ec60028f420d7,CANDIDATE
RACE|2026-07-24|ECHUCA|R1|2100M|2026-07-24T02:35:00+00:00,RCOM_HORSE_5350266,2026-07-24,2026-07-24,ECHUCA,ECHUCA,VIC,AUS,1,Moama Bowling Club Maiden Plate,2100,TURF,9,2026-07-24T02:35:00+00:00,2,Ate Iron,4,59.5,D.J.Dunn,John Symons & Sheila Laxon,ACTIVE_ENTRY,ACTIVE,2026-07-23T08:31:21.374064,RACING_COM_GETRACEFORM,15726965,3ddafcba67351488fac8c9aa842d71e7bc34283eaf25f76c7d0d8ba2f34f71e2,CANDIDATE
RACE|2026-07-24|ECHUCA|R1|2100M|2026-07-24T02:35:00+00:00,RCOM_HORSE_5347308,2026-07-24,2026-07-24,ECHUCA,ECHUCA,VIC,AUS,1,Moama Bowling Club Maiden Plate,2100,TURF,9,2026-07-24T02:35:00+00:00,3,Gaelic Kiwi,5,59.5,D.Yendall,L.Boyd,ACTIVE_ENTRY,ACTIVE,2026-07-23T08:31:21.374064,RACING_COM_GETRACEFORM,15725486,60ed0ac480e98b5d5a65a246bd87441b0b017b358ee42d256666aaaa470b9a42,CANDIDATE
RACE|2026-07-24|ECHUCA|R1|2100M|2026-07-24T02:35:00+00:00,RCOM_HORSE_5344877,2026-07-24,2026-07-24,ECHUCA,ECHUCA,VIC,AUS,1,Moama Bowling Club Maiden Plate,2100,TURF,9,2026-07-24T02:35:00+00:00,4,Gentoo,3,59.5,A.G.Kennedy,D.E.Dean,SCRATCHED_ENTRY,SCRATCHED,2026-07-23T08:31:21.374064,RACING_COM_GETRACEFORM,15724636,a6e2bd1c43f8278fe2da491cedf85b16ba63d8c1ee2c1833173609ba5d29182b,CANDIDATE
RACE|2026-07-24|ECHUCA|R1|2100M|2026-07-24T02:35:00+00:00,RCOM_HORSE_5347643,2026-07-24,2026-07-24,ECHUCA,ECHUCA,VIC,AUS,1,Moama Bowling Club Maiden Plate,2100,TURF,9,2026-07-24T02:35:00+00:00,5,King Of Savoy,6,59.5,N.Punch,T.N.Edmonds,ACTIVE_ENTRY,ACTIVE,2026-07-23T08:31:21.374064,RACING_COM_GETRACEFORM,15722684,1ba6358913c00ddfca56e118861bae47bc2aa5c68405efe72b1676815321905f,CANDIDATE
RACE|2026-07-24|ECHUCA|R1|2100M|2026-07-24T02:35:00+00:00,RCOM_HORSE_5354147,2026-07-24,2026-07-24,ECHUCA,ECHUCA,VIC,AUS,1,Moama Bowling Club Maiden Plate,2100,TURF,9,2026-07-24T02:35:00+00:00,6,Knights Emperor,1,59.5,J.B.Stanley,Gai Waterhouse & Adrian Bott,ACTIVE_ENTRY,ACTIVE,2026-07-23T08:31:21.374064,RACING_COM_GETRACEFORM,15727528,6b06c372df3f677e821758de553172a2a0027a7f9d80f3b91ca3df6ccc458580,CANDIDATE
RACE|2026-07-24|ECHUCA|R1|2100M|2026-07-24T02:35:00+00:00,RCOM_HORSE_5350396,2026-07-24,2026-07-24,ECHUCA,ECHUCA,VIC,AUS,1,Moama Bowling Club Maiden Plate,2100,TURF,9,2026-07-24T02:35:00+00:00,7,Lyttelton,8,59.5,C.A.Taylor,S.S.Houston,ACTIVE_ENTRY,ACTIVE,2026-07-23T08:31:21.374064,RACING_COM_GETRACEFORM,15711612,0bdbbe80ba7392b894d0cc44579bfdf00798009d96a48c279a630c2c57a9a9ee,CANDIDATE
RACE|2026-07-24|ECHUCA|R1|2100M|2026-07-24T02:35:00+00:00,RCOM_HORSE_5350367,2026-07-24,2026-07-24,ECHUCA,ECHUCA,VIC,AUS,1,Moama Bowling Club Maiden Plate,2100,TURF,9,2026-07-24T02:35:00+00:00,8,Camegitchee,2,57.5,,Shane Nichols & Hayden Black,ACTIVE_ENTRY,ACTIVE,2026-07-23T08:31:21.374064,RACING_COM_GETRACEFORM,15724264,99277ecb9945b7fce273688120f6387ff9d8f8d58e0247dadc5abf47649bebf7,CANDIDATE
RACE|2026-07-24|ECHUCA|R2|1000M|2026-07-24T03:10:00+00:00,RCOM_HORSE_5364057,2026-07-24,2026-07-24,ECHUCA,ECHUCA,VIC,AUS,2,Bourke Builders Maiden Plate,1000,TURF,9,2026-07-24T03:10:00+00:00,1,Dirty Harry,5,58,W.Gordon,"Ben, Will & JD Hayes",ACTIVE_ENTRY,ACTIVE,2026-07-23T08:31:21.374064,RACING_COM_GETRACEFORM,15725581,b39b352f047d043a38bd5a3e62c6c7f836c310de6e11e9ca396951d37a2f960d,CANDIDATE
RACE|2026-07-24|ECHUCA|R2|1000M|2026-07-24T03:10:00+00:00,RCOM_HORSE_5362688,2026-07-24,2026-07-24,ECHUCA,ECHUCA,VIC,AUS,2,Bourke Builders Maiden Plate,1000,TURF,9,2026-07-24T03:10:00+00:00,2,Divine Nurture,1,58,R.J.Hurdle,M.Jones,ACTIVE_ENTRY,ACTIVE,2026-07-23T08:31:21.374064,RACING_COM_GETRACEFORM,15722007,be7b3996008b232ffdd8293bcf971e1273e59a57e8245fa6e92f9acd31aaf88b,CANDIDATE
