metric,value
candidate_rows,204
active_rows,188
scratched_rows,6
emergency_rows,10
races,17
meetings,2
tracks,2
today_rows,0
tomorrow_rows,101
day_plus_2_rows,103
earliest_date,2026-07-24
latest_date,2026-07-25
rejected_rows,445
results_or_non_final_blocked_rows,445
missing_required_columns,0
duplicate_race_runner_keys,0
bad_or_stale_dates,0
identity_misses,0
surface_identity_invalid,0
race_distance_invalid,0
source_provenance_missing,0
readiness_verdict,PASS
race_entry_fact_hash,812478a08e5f6014611109ead277d4c263b4916c2863f0dd2c3b8b88f5d3983b
