race_entry_projected_performance_id,race_entry_suitability_aggregate_id,race_entry_context_adjusted_performance_id,race_entry_context_adjustment_id,race_entry_context_parameter_selection_id,race_entry_context_eligibility_id,race_entry_performance_context_id,race_entry_id,race_id,race_date,runner_id,canonical_horse_id,canonical_horse_name,historical_rating_value,context_parameter_id,total_context_adjustment,aggregate_suitability_value,context_adjusted_performance_value,projected_performance_value,projected_performance_delta_from_historical,projected_performance_publication_decision,projected_performance_reconciliation_decision,race_entry_projected_performance_status,source_adjusted_performance_evidence_sha256,source_suitability_aggregate_evidence_sha256,race_entry_projected_performance_evidence_sha256,source_adjusted_performance_builder_version,source_suitability_aggregate_builder_version,builder_version,contract_version,built_at_utc
REPP-CUR-979EE5BB9AD75C3E1E48FAFA,RESA-CUR-417ECFAE3702E1C046D8CB77,,,,,,99524602380,EIQD-DDBEBDD438E1E95BF9FCC89E,2026-07-26,RCOM_HORSE_5347643,RCOM_HORSE_5347643,KING OF SAVOY,8.0,LIVE_FORM_GUIDE_COMPONENT_SOURCE,,49.8,8.0,8.0,0,PROJECTED_PERFORMANCE_PUBLISHED,PROJECTED_PERFORMANCE_RECONCILED,GOVERNED_PROJECTED_PERFORMANCE,8d1a1ba2cdc93217ea9078f92cb7ed73f9e3c96547a46ee77e84117790448adc,bf5ea0b8468a08244a0e62a77630ad734efd4fc0eec20e2dda00c471a84af74b,8d1a1ba2cdc93217ea9078f92cb7ed73f9e3c96547a46ee77e84117790448adc,edgeiq_form_guide_enriched_v2,edgeiq_form_guide_enriched_v2,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
REPP-CUR-223E493B921478DDF921C2CD,RESA-CUR-BB82186F1F8AB5139C548E3D,,,,,,99548453820,EIQD-DDBEBDD438E1E95BF9FCC89E,2026-07-26,RCOM_HORSE_5349363,RCOM_HORSE_5349363,RAINY NIGHT,-0.3,LIVE_FORM_GUIDE_COMPONENT_SOURCE,,54.9,-0.3,-0.3,0,PROJECTED_PERFORMANCE_PUBLISHED,PROJECTED_PERFORMANCE_RECONCILED,GOVERNED_PROJECTED_PERFORMANCE,f583e1cb983cf7d4279490539861817ca648e5bbcd4078fd69fdba010eb281c4,f19d969399af79eddc9bb7b682f6896c50a26bca2141cb4ada51fa94711cf2df,f583e1cb983cf7d4279490539861817ca648e5bbcd4078fd69fdba010eb281c4,edgeiq_form_guide_enriched_v2,edgeiq_form_guide_enriched_v2,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
REPP-CUR-82640A380B1B724692E9AB35,RESA-CUR-93346F977ECC756826E43E70,,,,,,99552973440,EIQD-DDBEBDD438E1E95BF9FCC89E,2026-07-26,RCOM_HORSE_5311999,RCOM_HORSE_5311999,HIGHLAND STORM,8.0,LIVE_FORM_GUIDE_COMPONENT_SOURCE,,57.4,8.0,8.0,0,PROJECTED_PERFORMANCE_PUBLISHED,PROJECTED_PERFORMANCE_RECONCILED,GOVERNED_PROJECTED_PERFORMANCE,cd95554065a326d704bb475959f676602db1c713b5c68dd7c6e268d767699d30,240bc9cfac04a094228e993e0697dad36b6fa59bf4aabfa06cc82b8e037ff0ce,cd95554065a326d704bb475959f676602db1c713b5c68dd7c6e268d767699d30,edgeiq_form_guide_enriched_v2,edgeiq_form_guide_enriched_v2,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
REPP-CUR-80940E5EE86CE15313F8A0F3,RESA-CUR-ED8105C7E07EB5CB41322E83,,,,,,99561620220,EIQD-DDBEBDD438E1E95BF9FCC89E,2026-07-26,RCOM_HORSE_5354842,RCOM_HORSE_5354842,NOW PERFORM,4.9,LIVE_FORM_GUIDE_COMPONENT_SOURCE,,50.6,4.9,4.9,0,PROJECTED_PERFORMANCE_PUBLISHED,PROJECTED_PERFORMANCE_RECONCILED,GOVERNED_PROJECTED_PERFORMANCE,ee28be69453829ba49a389e9aa94b80c4fd160ea6a80dd8eba5688ffd7fa7106,0f7463382a9c3b6d58f131cf2656b2ae4726f37a1ff68a8d079f790c7f8bd686,ee28be69453829ba49a389e9aa94b80c4fd160ea6a80dd8eba5688ffd7fa7106,edgeiq_form_guide_enriched_v2,edgeiq_form_guide_enriched_v2,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
REPP-CUR-8A4B8ED8D046CCA2F00C77B0,RESA-CUR-E1324D2257DAA599A7BA3AE6,,,,,,99563360970,EIQD-DDBEBDD438E1E95BF9FCC89E,2026-07-26,RCOM_HORSE_5346648,RCOM_HORSE_5346648,WINGS OF LOVE,3.2,LIVE_FORM_GUIDE_COMPONENT_SOURCE,,53.0,3.2,3.2,0,PROJECTED_PERFORMANCE_PUBLISHED,PROJECTED_PERFORMANCE_RECONCILED,GOVERNED_PROJECTED_PERFORMANCE,d6ea5f7f443d3a401c5a26b3f8a72417d98e29adef07e38509b9b722dfb7380c,c3470308fb6205e4ad206549359a1327b250d4e938ecfc0bc89aa5d5b8ca63b6,d6ea5f7f443d3a401c5a26b3f8a72417d98e29adef07e38509b9b722dfb7380c,edgeiq_form_guide_enriched_v2,edgeiq_form_guide_enriched_v2,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
REPP-CUR-9DFC3CAF3072DFBD16CB5804,RESA-CUR-28571844F1E234A62463414F,,,,,,99569893530,EIQD-EB9F8134D5BF682C7A99C9D3,2026-07-26,RCOM_HORSE_5291018,RCOM_HORSE_5291018,NO SAVINGS,-2.8,LIVE_FORM_GUIDE_COMPONENT_SOURCE,,52.6,-2.8,-2.8,0,PROJECTED_PERFORMANCE_PUBLISHED,PROJECTED_PERFORMANCE_RECONCILED,GOVERNED_PROJECTED_PERFORMANCE,b86d7aa325b2f4a45287c5f49b520e9111dd95c68ff333e2d0b18e32bef8831c,ec1dcdd37ce6344c29afbba5ab026087c439b7243197d5ddcc5e320a496b614e,b86d7aa325b2f4a45287c5f49b520e9111dd95c68ff333e2d0b18e32bef8831c,edgeiq_form_guide_enriched_v2,edgeiq_form_guide_enriched_v2,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
REPP-CUR-5A3BA3817F23A2014F61843B,RESA-CUR-F81472FFC18277F1C1BDDC17,,,,,,99564437070,EIQD-EB9F8134D5BF682C7A99C9D3,2026-07-26,RCOM_HORSE_5314561,RCOM_HORSE_5314561,DON’T DOUBT TIGGA,1.6,LIVE_FORM_GUIDE_COMPONENT_SOURCE,,53.2,1.6,1.6,0,PROJECTED_PERFORMANCE_PUBLISHED,PROJECTED_PERFORMANCE_RECONCILED,GOVERNED_PROJECTED_PERFORMANCE,fe019d22e802f26c72baff12b04cf11aa47a7a3126f322468f19f144f172b356,a1dc10323331a2fb523b93eface5b7c911f655e9e33fe1d5cb9603b60936ac18,fe019d22e802f26c72baff12b04cf11aa47a7a3126f322468f19f144f172b356,edgeiq_form_guide_enriched_v2,edgeiq_form_guide_enriched_v2,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
REPP-CUR-0BBAE4246B474ADE9FBBB564,RESA-CUR-8163069B86F66E61DE4D7597,,,,,,99517158300,EIQD-EB9F8134D5BF682C7A99C9D3,2026-07-26,RCOM_HORSE_5341796,RCOM_HORSE_5341796,FORT OF DREAMS,0.0,LIVE_FORM_GUIDE_COMPONENT_SOURCE,,48.9,0.0,0.0,0,PROJECTED_PERFORMANCE_PUBLISHED,PROJECTED_PERFORMANCE_RECONCILED,GOVERNED_PROJECTED_PERFORMANCE,16514baea18bfed55bad99404cf12bc3dc546b6a7fa958e5dc596f5b6c4da818,a0cad8830ad0dd27a30c8fd4f2c9421fd6cf1051349a4802c127cde0704e0db1,16514baea18bfed55bad99404cf12bc3dc546b6a7fa958e5dc596f5b6c4da818,edgeiq_form_guide_enriched_v2,edgeiq_form_guide_enriched_v2,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
REPP-CUR-5CA55073B3348905E988B176,RESA-CUR-5069C5C7AC34DF0220AEFA32,,,,,,99560892270,EIQD-EB9F8134D5BF682C7A99C9D3,2026-07-26,RCOM_HORSE_5331950,RCOM_HORSE_5331950,GOOD LORDY ME,8.0,LIVE_FORM_GUIDE_COMPONENT_SOURCE,,50.6,8.0,8.0,0,PROJECTED_PERFORMANCE_PUBLISHED,PROJECTED_PERFORMANCE_RECONCILED,GOVERNED_PROJECTED_PERFORMANCE,a64c75b3408857033ff1ff202f5c38f1e15f0c4c9d31163cf414918085cb9325,ef8334050a9326aca57433a69257849ac119836c3f0252fee97373faf8488347,a64c75b3408857033ff1ff202f5c38f1e15f0c4c9d31163cf414918085cb9325,edgeiq_form_guide_enriched_v2,edgeiq_form_guide_enriched_v2,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
REPP-CUR-70525351F21C7806C32130DE,RESA-CUR-6636CB4E2CB48CBB93BAF73D,,,,,,99529248600,EIQD-EB9F8134D5BF682C7A99C9D3,2026-07-26,RCOM_HORSE_5344800,RCOM_HORSE_5344800,HIRARKEE,-8.0,LIVE_FORM_GUIDE_COMPONENT_SOURCE,,52.3,-8.0,-8.0,0,PROJECTED_PERFORMANCE_PUBLISHED,PROJECTED_PERFORMANCE_RECONCILED,GOVERNED_PROJECTED_PERFORMANCE,977be1ff7bb5f3f9562e1504a3b4365b2d92d1f2214b24850970ee4918f34b70,54ca55906e2419c1ba4300225210486c72774df1a0b0d4ee16cc6541879388b6,977be1ff7bb5f3f9562e1504a3b4365b2d92d1f2214b24850970ee4918f34b70,edgeiq_form_guide_enriched_v2,edgeiq_form_guide_enriched_v2,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
