race_entry_suitability_aggregate_id,race_entry_context_adjusted_performance_id,race_entry_context_adjustment_id,race_entry_context_parameter_selection_id,race_entry_context_eligibility_id,race_entry_performance_context_id,race_entry_id,race_id,race_date,runner_id,canonical_horse_id,canonical_horse_name,historical_rating_value,context_parameter_id,total_context_adjustment,context_adjusted_performance_value,distance_suitability_value,class_suitability_value,track_suitability_value,track_configuration_suitability_value,track_condition_suitability_value,surface_suitability_value,barrier_suitability_value,weight_suitability_value,field_size_suitability_value,suitability_component_count,aggregate_suitability_value,suitability_aggregate_decision,race_entry_suitability_aggregate_status,source_adjusted_performance_evidence_sha256,source_component_evidence_set_sha256,race_entry_suitability_aggregate_evidence_sha256,source_adjusted_performance_builder_version,source_component_builder_version,builder_version,contract_version,built_at_utc
RESA-CUR-417ECFAE3702E1C046D8CB77,,,,,,99524602380,EIQD-DDBEBDD438E1E95BF9FCC89E,2026-07-26,RCOM_HORSE_5347643,RCOM_HORSE_5347643,KING OF SAVOY,8.0,LIVE_FORM_GUIDE_COMPONENT_SOURCE,,8.0,,,,,,,,,,1,49.8,SUITABILITY_AGGREGATED,GOVERNED_SUITABILITY_AGGREGATE,8d1a1ba2cdc93217ea9078f92cb7ed73f9e3c96547a46ee77e84117790448adc,f2b2288e382873df84d957c462f67b71f93651b8f7391adc432321d6435cbf8f,bf5ea0b8468a08244a0e62a77630ad734efd4fc0eec20e2dda00c471a84af74b,edgeiq_form_guide_enriched_v2,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
RESA-CUR-BB82186F1F8AB5139C548E3D,,,,,,99548453820,EIQD-DDBEBDD438E1E95BF9FCC89E,2026-07-26,RCOM_HORSE_5349363,RCOM_HORSE_5349363,RAINY NIGHT,-0.3,LIVE_FORM_GUIDE_COMPONENT_SOURCE,,-0.3,,,,,,,,,,1,54.9,SUITABILITY_AGGREGATED,GOVERNED_SUITABILITY_AGGREGATE,f583e1cb983cf7d4279490539861817ca648e5bbcd4078fd69fdba010eb281c4,b792f6796e23a986aabb5b94ef63efbc16530928b04fcc89103e91a88c0d76fd,f19d969399af79eddc9bb7b682f6896c50a26bca2141cb4ada51fa94711cf2df,edgeiq_form_guide_enriched_v2,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
RESA-CUR-93346F977ECC756826E43E70,,,,,,99552973440,EIQD-DDBEBDD438E1E95BF9FCC89E,2026-07-26,RCOM_HORSE_5311999,RCOM_HORSE_5311999,HIGHLAND STORM,8.0,LIVE_FORM_GUIDE_COMPONENT_SOURCE,,8.0,,,,,,,,,,1,57.4,SUITABILITY_AGGREGATED,GOVERNED_SUITABILITY_AGGREGATE,cd95554065a326d704bb475959f676602db1c713b5c68dd7c6e268d767699d30,f90220acb7de7309ac9665d269a2995445488fef2f3301c1256aa83b7769a669,240bc9cfac04a094228e993e0697dad36b6fa59bf4aabfa06cc82b8e037ff0ce,edgeiq_form_guide_enriched_v2,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
RESA-CUR-ED8105C7E07EB5CB41322E83,,,,,,99561620220,EIQD-DDBEBDD438E1E95BF9FCC89E,2026-07-26,RCOM_HORSE_5354842,RCOM_HORSE_5354842,NOW PERFORM,4.9,LIVE_FORM_GUIDE_COMPONENT_SOURCE,,4.9,,,,,,,,,,1,50.6,SUITABILITY_AGGREGATED,GOVERNED_SUITABILITY_AGGREGATE,ee28be69453829ba49a389e9aa94b80c4fd160ea6a80dd8eba5688ffd7fa7106,1b6e500b6c751bcf98c3edc043ce47fde2baa7e79e84729dc682b9fb65c01430,0f7463382a9c3b6d58f131cf2656b2ae4726f37a1ff68a8d079f790c7f8bd686,edgeiq_form_guide_enriched_v2,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
RESA-CUR-E1324D2257DAA599A7BA3AE6,,,,,,99563360970,EIQD-DDBEBDD438E1E95BF9FCC89E,2026-07-26,RCOM_HORSE_5346648,RCOM_HORSE_5346648,WINGS OF LOVE,3.2,LIVE_FORM_GUIDE_COMPONENT_SOURCE,,3.2,,,,,,,,,,1,53.0,SUITABILITY_AGGREGATED,GOVERNED_SUITABILITY_AGGREGATE,d6ea5f7f443d3a401c5a26b3f8a72417d98e29adef07e38509b9b722dfb7380c,e3d1cfc422fd5a84cd869e15c704f3bd272944d46558e307c4d0771565956ef6,c3470308fb6205e4ad206549359a1327b250d4e938ecfc0bc89aa5d5b8ca63b6,edgeiq_form_guide_enriched_v2,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
RESA-CUR-28571844F1E234A62463414F,,,,,,99569893530,EIQD-EB9F8134D5BF682C7A99C9D3,2026-07-26,RCOM_HORSE_5291018,RCOM_HORSE_5291018,NO SAVINGS,-2.8,LIVE_FORM_GUIDE_COMPONENT_SOURCE,,-2.8,,,,,,,,,,1,52.6,SUITABILITY_AGGREGATED,GOVERNED_SUITABILITY_AGGREGATE,b86d7aa325b2f4a45287c5f49b520e9111dd95c68ff333e2d0b18e32bef8831c,9bd761a33cb3f44ce77e7e6771b45ef617963fdc6e5f2245531eea9316e92837,ec1dcdd37ce6344c29afbba5ab026087c439b7243197d5ddcc5e320a496b614e,edgeiq_form_guide_enriched_v2,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
RESA-CUR-F81472FFC18277F1C1BDDC17,,,,,,99564437070,EIQD-EB9F8134D5BF682C7A99C9D3,2026-07-26,RCOM_HORSE_5314561,RCOM_HORSE_5314561,DON’T DOUBT TIGGA,1.6,LIVE_FORM_GUIDE_COMPONENT_SOURCE,,1.6,,,,,,,,,,1,53.2,SUITABILITY_AGGREGATED,GOVERNED_SUITABILITY_AGGREGATE,fe019d22e802f26c72baff12b04cf11aa47a7a3126f322468f19f144f172b356,a554323cdcd5ca604df7d34e46505957fcc883b4e59066c46f238b4c80520eab,a1dc10323331a2fb523b93eface5b7c911f655e9e33fe1d5cb9603b60936ac18,edgeiq_form_guide_enriched_v2,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
RESA-CUR-8163069B86F66E61DE4D7597,,,,,,99517158300,EIQD-EB9F8134D5BF682C7A99C9D3,2026-07-26,RCOM_HORSE_5341796,RCOM_HORSE_5341796,FORT OF DREAMS,0.0,LIVE_FORM_GUIDE_COMPONENT_SOURCE,,0.0,,,,,,,,,,1,48.9,SUITABILITY_AGGREGATED,GOVERNED_SUITABILITY_AGGREGATE,16514baea18bfed55bad99404cf12bc3dc546b6a7fa958e5dc596f5b6c4da818,ae882d451dc224ba5cb6f0dd88841c1070f48f227c2edc3a7f423990cb0b13b5,a0cad8830ad0dd27a30c8fd4f2c9421fd6cf1051349a4802c127cde0704e0db1,edgeiq_form_guide_enriched_v2,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
RESA-CUR-5069C5C7AC34DF0220AEFA32,,,,,,99560892270,EIQD-EB9F8134D5BF682C7A99C9D3,2026-07-26,RCOM_HORSE_5331950,RCOM_HORSE_5331950,GOOD LORDY ME,8.0,LIVE_FORM_GUIDE_COMPONENT_SOURCE,,8.0,,,,,,,,,,1,50.6,SUITABILITY_AGGREGATED,GOVERNED_SUITABILITY_AGGREGATE,a64c75b3408857033ff1ff202f5c38f1e15f0c4c9d31163cf414918085cb9325,b3e7541947b0a8675da6dc6581abc52e7e18fe274dbfd8a2f2005d9ea4ccc701,ef8334050a9326aca57433a69257849ac119836c3f0252fee97373faf8488347,edgeiq_form_guide_enriched_v2,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
RESA-CUR-6636CB4E2CB48CBB93BAF73D,,,,,,99529248600,EIQD-EB9F8134D5BF682C7A99C9D3,2026-07-26,RCOM_HORSE_5344800,RCOM_HORSE_5344800,HIRARKEE,-8.0,LIVE_FORM_GUIDE_COMPONENT_SOURCE,,-8.0,,,,,,,,,,1,52.3,SUITABILITY_AGGREGATED,GOVERNED_SUITABILITY_AGGREGATE,977be1ff7bb5f3f9562e1504a3b4365b2d92d1f2214b24850970ee4918f34b70,37187fd9e884af2de6b77ed64e2f4bbc55d035d20b5ec49ab409984507dcddaa,54ca55906e2419c1ba4300225210486c72774df1a0b0d4ee16cc6541879388b6,edgeiq_form_guide_enriched_v2,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
RESA-CUR-4A55C84114D7A2F177CBDA11,,,,,,99568159110,EIQD-EB9F8134D5BF682C7A99C9D3,2026-07-26,RCOM_HORSE_5351579,RCOM_HORSE_5351579,TALKIN’ STERN,2.3,LIVE_FORM_GUIDE_COMPONENT_SOURCE,,2.3,,,,,,,,,,1,56.4,SUITABILITY_AGGREGATED,GOVERNED_SUITABILITY_AGGREGATE,c5f48a2f7c6558b76b34baf2b430c9b1daa0ea52659464407c642e614bef6bd1,026bd1f994cac94fbda73243b3c6c405e9c8313b7798bb0cf0a6c2abc034b082,98fc283cddc29d3363c66dbb9013210538a435b1b1676a3ccecca26def4945bd,edgeiq_form_guide_enriched_v2,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
