race_key,race_date,track,race_number,runner_key,runner_id,saddle_number,horse_name,trainer_name,jockey_name,barrier_number,finish_position,finish_position_abbreviation,start_position,race_time_seconds,time_behind_winner_seconds,time_behind_winner_centiseconds,beaten_margin_source,distance_travelled_metres,distance_variation_to_winner_metres,last_600_seconds,last_200_seconds,sectional_count,split_count,early_speed_source,mid_speed_source,late_speed_source,overall_peak_speed_source,peak_speed_location_source,overall_average_speed_source,distance_from_rail_source,comment,source_provider,source_page_url,source_payload_file,timing_source,is_timing_complete,is_complete_data,semantic_version,split_coverage_type,split_window_start_marker_metres,split_window_finish_marker_metres,split_window_distance_metres,opening_untimed_distance_metres,full_race_split_coverage,split_window_seconds,split_window_source
2026-05-30|CAULFIELD|R01,2026-05-30,Caulfield,1,2026-05-30|CAULFIELD|R01|RUNNER:15632919,15632919,2,Obambulate,Trent Busuttin & Natalie Young,C.Williams,3,1,1st,0,73.6,0,0,0.0,1204.0,,35.42,12.06,6,6,15.43,16.55,17.17,17.98,1000m,16.36,7.85,Slow away and home okay on debut. Settled closer and found enough to break through at Pakenham. Seems progressive.,RACING.COM,https://www.racing.com/form/2026-05-30/caulfield/race/1/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_a3072255c6b4ea5989.json,TripleS,true,true,RACINGCOM_SPEED_SEMANTICS_V1_1,FULL_RACE,1200,0,1200,,true,73.6,SUPPLIED_SPLIT_SUM_RECONCILES_TO_RUNNER_RACE_TIME
2026-05-30|CAULFIELD|R01,2026-05-30,Caulfield,1,2026-05-30|CAULFIELD|R01|RUNNER:15637372,15637372,8,Vivid Storm,"Ben, Will & JD Hayes",H.T.Coffey,2,2,2nd,0,73.95,0.35,35,2.25,1200.0,-4,35.83,12.32,6,6,15.45,16.5,16.8,17.75,1000m,16.23,5.52,"Cost $60,000. Same sire as Stretan Ruler. Dam's only runner unplaced on debut. Close third in a 22/5 Flemington jumpout.",RACING.COM,https://www.racing.com/form/2026-05-30/caulfield/race/1/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_a3072255c6b4ea5989.json,TripleS,true,true,RACINGCOM_SPEED_SEMANTICS_V1_1,FULL_RACE,1200,0,1200,,true,73.95,SUPPLIED_SPLIT_SUM_RECONCILES_TO_RUNNER_RACE_TIME
2026-05-30|CAULFIELD|R01,2026-05-30,Caulfield,1,2026-05-30|CAULFIELD|R01|RUNNER:15637019,15637019,7,Star Of Macedon,John Symons & Sheila Laxon,D.J.Dunn,5,3,3rd,0,73.99,0.39,39,2.55,1202.0,-2,35.39,11.82,6,6,15.21,16.51,17.14,17.92,1000m,16.25,8.12,"Covered ground just off speed from barrier 11 on debut, sticking on well for second. This is harder. Place claims.",RACING.COM,https://www.racing.com/form/2026-05-30/caulfield/race/1/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_a3072255c6b4ea5989.json,TripleS,true,true,RACINGCOM_SPEED_SEMANTICS_V1_1,FULL_RACE,1200,0,1200,,true,73.99,SUPPLIED_SPLIT_SUM_RECONCILES_TO_RUNNER_RACE_TIME
2026-05-30|CAULFIELD|R01,2026-05-30,Caulfield,1,2026-05-30|CAULFIELD|R01|RUNNER:15634770,15634770,11,Monumentum,W.B.Brisbourne,L.King,4,4,4th,0,74.04,0.44,44,2.85,1203.0,-1,35.58,12.24,6,6,15.25,16.65,16.93,18.06,1000m,16.25,8.92,Same sire as Point Barrow. Dam has one winner from two to race. Came from off speed and ridden out for 14/5 trial win.,RACING.COM,https://www.racing.com/form/2026-05-30/caulfield/race/1/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_a3072255c6b4ea5989.json,TripleS,true,true,RACINGCOM_SPEED_SEMANTICS_V1_1,FULL_RACE,1200,0,1200,,true,74.04,SUPPLIED_SPLIT_SUM_RECONCILES_TO_RUNNER_RACE_TIME
2026-05-30|CAULFIELD|R01,2026-05-30,Caulfield,1,2026-05-30|CAULFIELD|R01|RUNNER:15637813,15637813,9,Autumn Rainbow,Peter G Moody & Katherine Coleman,L.Meech,9,5,5th,0,74.1,0.5,50,3.2,1206.0,+2,35.27,11.98,6,6,15.13,16.58,17.25,18.15,1000m,16.28,11.63,"Cost $300,000. Same sire as Autumn Glow. Dam has three winners from four. Ridden out for third in a 19/5 jumpout.",RACING.COM,https://www.racing.com/form/2026-05-30/caulfield/race/1/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_a3072255c6b4ea5989.json,TripleS,true,true,RACINGCOM_SPEED_SEMANTICS_V1_1,FULL_RACE,1200,0,1200,,true,74.1,SUPPLIED_SPLIT_SUM_RECONCILES_TO_RUNNER_RACE_TIME
2026-05-30|CAULFIELD|R01,2026-05-30,Caulfield,1,2026-05-30|CAULFIELD|R01|RUNNER:15637214,15637214,6,Qayed,"Michael, John & Wayne Hawkes",L.Currie,8,6,6th,0,74.38,0.78,78,4.95,1205.0,+1,35.8,12.21,6,6,15.21,16.63,16.84,17.83,400m,16.2,11.46,"Cost $200,000. Same sire as Royal Patronage. Dam has one winner from three. Close up in a 22/5 jumpout.",RACING.COM,https://www.racing.com/form/2026-05-30/caulfield/race/1/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_a3072255c6b4ea5989.json,TripleS,true,true,RACINGCOM_SPEED_SEMANTICS_V1_1,FULL_RACE,1200,0,1200,,true,74.38,SUPPLIED_SPLIT_SUM_RECONCILES_TO_RUNNER_RACE_TIME
2026-05-30|CAULFIELD|R01,2026-05-30,Caulfield,1,2026-05-30|CAULFIELD|R01|RUNNER:15637371,15637371,3,Carnevale,"Ben, Will & JD Hayes",D.Bates,1,7,7th,0,74.47,0.87,87,5.45,1201.0,-3,36.03,12.52,6,6,15.33,16.56,16.56,17.59,1000m,16.13,4.24,"Resuming. Backed from $4.40 to $3.80 on debut, holding ground after settling just off pace. Won 15/5 jumpout.",RACING.COM,https://www.racing.com/form/2026-05-30/caulfield/race/1/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_a3072255c6b4ea5989.json,TripleS,true,true,RACINGCOM_SPEED_SEMANTICS_V1_1,FULL_RACE,1200,0,1200,,true,74.47,SUPPLIED_SPLIT_SUM_RECONCILES_TO_RUNNER_RACE_TIME
2026-05-30|CAULFIELD|R01,2026-05-30,Caulfield,1,2026-05-30|CAULFIELD|R01|RUNNER:15636586,15636586,1,Crank,Anthony & Sam Freedman,J.Mott,7,8,8th,0,74.98,1.38,138,8.7,1206.0,+2,36.66,12.87,6,6,15.39,16.57,16.32,17.77,400m,16.08,10.76,Lived up to his jumpouts with a comfortable debut win in heavy ground. Faces a stiffer test but is worth thought.,RACING.COM,https://www.racing.com/form/2026-05-30/caulfield/race/1/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_a3072255c6b4ea5989.json,TripleS,true,true,RACINGCOM_SPEED_SEMANTICS_V1_1,FULL_RACE,1200,0,1200,,true,74.98,SUPPLIED_SPLIT_SUM_RECONCILES_TO_RUNNER_RACE_TIME
2026-05-30|CAULFIELD|R02,2026-05-30,Caulfield,2,2026-05-30|CAULFIELD|R02|RUNNER:15632846,15632846,4,Flyer,J.Warren,Z.Spain,10,1,1st,0,72.34,0,0,0.0,1212.0,,36.25,12.64,6,6,15.93,17.87,17.2,19.36,400m,16.75,11.45,Jumped Ok Settled Down Off Mid-Field 9l Outside pace suited niggled 600 widest Turn 6l qraced to front 150 Kept Going Soundly to score quite soft at finish # perfect Set  up,RACING.COM,https://www.racing.com/form/2026-05-30/caulfield/race/2/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_e6294bfdb2c56d4301.json,TripleS,true,true,RACINGCOM_SPEED_SEMANTICS_V1_1,FULL_RACE,1200,0,1200,,true,72.34,SUPPLIED_SPLIT_SUM_RECONCILES_TO_RUNNER_RACE_TIME
2026-05-30|CAULFIELD|R02,2026-05-30,Caulfield,2,2026-05-30|CAULFIELD|R02|RUNNER:15637377,15637377,6,Luna Cat,"Ben, Will & JD Hayes",H.T.Coffey,9,2,2nd,0,72.49,0.15,15,0.75,1210.0,-2,36.38,12.67,6,6,15.86,17.86,17.22,18.78,600m,16.69,6.75,Bit Slow Out Not Bustled Settled Down tail 10l back with 1st didnt get Wide like it in Straight comes Through Inside burst Through but No Match for winner wider # rock solid,RACING.COM,https://www.racing.com/form/2026-05-30/caulfield/race/2/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_e6294bfdb2c56d4301.json,TripleS,true,true,RACINGCOM_SPEED_SEMANTICS_V1_1,FULL_RACE,1200,0,1200,,true,72.49,SUPPLIED_SPLIT_SUM_RECONCILES_TO_RUNNER_RACE_TIME
