race_key,runner_key,race_date,track,race_number,runner_id,saddle_number,horse_name,split_sequence,split_label,split_start_distance_metres,split_end_distance_metres,split_distance_metres,segment_time_seconds,position_at_split_end,average_speed_source,source_page_url,source_payload_file,semantic_version
2026-05-30|CAULFIELD|R01,2026-05-30|CAULFIELD|R01|RUNNER:15636586,2026-05-30,Caulfield,1,15636586,1,Crank,1,1200m-1000m,1200,1000,200,14.34,3,16.47,https://www.racing.com/form/2026-05-30/caulfield/race/1/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_a3072255c6b4ea5989.json,RACINGCOM_SPEED_SEMANTICS_V1
2026-05-30|CAULFIELD|R01,2026-05-30|CAULFIELD|R01|RUNNER:15636586,2026-05-30,Caulfield,1,15636586,1,Crank,2,1000m-800m,1000,800,200,11.65,3,17.18,https://www.racing.com/form/2026-05-30/caulfield/race/1/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_a3072255c6b4ea5989.json,RACINGCOM_SPEED_SEMANTICS_V1
2026-05-30|CAULFIELD|R01,2026-05-30|CAULFIELD|R01|RUNNER:15636586,2026-05-30,Caulfield,1,15636586,1,Crank,3,800m-600m,800,600,200,12.33,3,16.23,https://www.racing.com/form/2026-05-30/caulfield/race/1/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_a3072255c6b4ea5989.json,RACINGCOM_SPEED_SEMANTICS_V1
2026-05-30|CAULFIELD|R01,2026-05-30|CAULFIELD|R01|RUNNER:15636586,2026-05-30,Caulfield,1,15636586,1,Crank,4,600m-400m,600,400,200,12,5,16.89,https://www.racing.com/form/2026-05-30/caulfield/race/1/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_a3072255c6b4ea5989.json,RACINGCOM_SPEED_SEMANTICS_V1
2026-05-30|CAULFIELD|R01,2026-05-30|CAULFIELD|R01|RUNNER:15636586,2026-05-30,Caulfield,1,15636586,1,Crank,5,400m-200m,400,200,200,11.79,5,17.15,https://www.racing.com/form/2026-05-30/caulfield/race/1/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_a3072255c6b4ea5989.json,RACINGCOM_SPEED_SEMANTICS_V1
2026-05-30|CAULFIELD|R01,2026-05-30|CAULFIELD|R01|RUNNER:15636586,2026-05-30,Caulfield,1,15636586,1,Crank,6,200m-FINISH,200,0,200,12.87,8,15.4,https://www.racing.com/form/2026-05-30/caulfield/race/1/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_a3072255c6b4ea5989.json,RACINGCOM_SPEED_SEMANTICS_V1
2026-05-30|CAULFIELD|R01,2026-05-30|CAULFIELD|R01|RUNNER:15632919,2026-05-30,Caulfield,1,15632919,2,Obambulate,1,1200m-1000m,1200,1000,200,14.22,2,16.95,https://www.racing.com/form/2026-05-30/caulfield/race/1/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_a3072255c6b4ea5989.json,RACINGCOM_SPEED_SEMANTICS_V1
2026-05-30|CAULFIELD|R01,2026-05-30|CAULFIELD|R01|RUNNER:15632919,2026-05-30,Caulfield,1,15632919,2,Obambulate,2,1000m-800m,1000,800,200,11.7,2,17.11,https://www.racing.com/form/2026-05-30/caulfield/race/1/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_a3072255c6b4ea5989.json,RACINGCOM_SPEED_SEMANTICS_V1
2026-05-30|CAULFIELD|R01,2026-05-30|CAULFIELD|R01|RUNNER:15632919,2026-05-30,Caulfield,1,15632919,2,Obambulate,3,800m-600m,800,600,200,12.26,2,16.3,https://www.racing.com/form/2026-05-30/caulfield/race/1/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_a3072255c6b4ea5989.json,RACINGCOM_SPEED_SEMANTICS_V1
2026-05-30|CAULFIELD|R01,2026-05-30|CAULFIELD|R01|RUNNER:15632919,2026-05-30,Caulfield,1,15632919,2,Obambulate,4,600m-400m,600,400,200,12,2,16.81,https://www.racing.com/form/2026-05-30/caulfield/race/1/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_a3072255c6b4ea5989.json,RACINGCOM_SPEED_SEMANTICS_V1
