warehouse_record_id,race_id,race_date,track,state,race_no,distance,horse,horse_key,barrier,last200,last400,last600,last_200,last_400,last_600,early_speed,mid_speed,late_speed,peak_speed,avg_speed,race_time,tempo_grade,pace_profile,sectional_source,source_csv_url,source_cache_path,source_sha256,acquisition_timestamp,parser_version,pipeline_version,meeting_discovery_version,race_discovery_version,admission_version,warehouse_built_utc
2026-05-01_GEELONG_R1_ANDIAM,2026-05-01_GEELONG_R1,2026-05-01,Ladbrokes Geelong,VIC,1,1700,And I Am,ANDIAM,1,13.08,25.05,36.85,13.08,25.05,36.85,17.197,17.137,16.963,17.540,17.099,00:01:49.483,STANDARD_LAST600,,RACING.COM_DIRECT_CSV_V2,https://d3qmfyv6ad9vwv.cloudfront.net/5191125_01.csv,outputs\performance-intelligence\racingcom-v2\raw\csv-acquisition\https_d3qmfyv6ad9vwv_cloudfront_net_5191125_01_csv_b5f45814c4783f77.csv,b5f45814c4783f771e9f20d6147ed16ad0ce4919f1bd271ca8b652d526fb9606,2026-07-22T08:38:13+00:00,racingcom_speed_data_parser_v2,racingcom_ingestion_v2,edgeiq_racingcom_meeting_discovery_v2,edgeiq_racingcom_race_discovery_v2,edgeiq_racingcom_csv_admission_contract_v2,2026-07-22T08:49:38+00:00
2026-05-01_GEELONG_R1_BALLISTICROMEO,2026-05-01_GEELONG_R1,2026-05-01,Ladbrokes Geelong,VIC,1,1700,Ballistic Romeo,BALLISTICROMEO,2,,,,,,,,,,,,00:01:49.483,NO_SECTIONAL_VALUES,,RACING.COM_DIRECT_CSV_V2,https://d3qmfyv6ad9vwv.cloudfront.net/5191125_01.csv,outputs\performance-intelligence\racingcom-v2\raw\csv-acquisition\https_d3qmfyv6ad9vwv_cloudfront_net_5191125_01_csv_b5f45814c4783f77.csv,b5f45814c4783f771e9f20d6147ed16ad0ce4919f1bd271ca8b652d526fb9606,2026-07-22T08:38:13+00:00,racingcom_speed_data_parser_v2,racingcom_ingestion_v2,edgeiq_racingcom_meeting_discovery_v2,edgeiq_racingcom_race_discovery_v2,edgeiq_racingcom_csv_admission_contract_v2,2026-07-22T08:49:38+00:00
2026-05-01_GEELONG_R1_BRUTUSJUNIUS,2026-05-01_GEELONG_R1,2026-05-01,Ladbrokes Geelong,VIC,1,1700,Brutus Junius,BRUTUSJUNIUS,3,14.04,27.00,39.14,14.04,27.00,39.14,17.497,16.913,16.023,17.560,16.811,00:01:49.483,STANDARD_LAST600,,RACING.COM_DIRECT_CSV_V2,https://d3qmfyv6ad9vwv.cloudfront.net/5191125_01.csv,outputs\performance-intelligence\racingcom-v2\raw\csv-acquisition\https_d3qmfyv6ad9vwv_cloudfront_net_5191125_01_csv_b5f45814c4783f77.csv,b5f45814c4783f771e9f20d6147ed16ad0ce4919f1bd271ca8b652d526fb9606,2026-07-22T08:38:13+00:00,racingcom_speed_data_parser_v2,racingcom_ingestion_v2,edgeiq_racingcom_meeting_discovery_v2,edgeiq_racingcom_race_discovery_v2,edgeiq_racingcom_csv_admission_contract_v2,2026-07-22T08:49:38+00:00
2026-05-01_GEELONG_R1_CHOUXDINO,2026-05-01_GEELONG_R1,2026-05-01,Ladbrokes Geelong,VIC,1,1700,Chouxdino,CHOUXDINO,4,13.39,25.72,37.75,13.39,25.72,37.75,17.293,17.020,16.707,17.630,17.007,00:01:49.483,STANDARD_LAST600,,RACING.COM_DIRECT_CSV_V2,https://d3qmfyv6ad9vwv.cloudfront.net/5191125_01.csv,outputs\performance-intelligence\racingcom-v2\raw\csv-acquisition\https_d3qmfyv6ad9vwv_cloudfront_net_5191125_01_csv_b5f45814c4783f77.csv,b5f45814c4783f771e9f20d6147ed16ad0ce4919f1bd271ca8b652d526fb9606,2026-07-22T08:38:13+00:00,racingcom_speed_data_parser_v2,racingcom_ingestion_v2,edgeiq_racingcom_meeting_discovery_v2,edgeiq_racingcom_race_discovery_v2,edgeiq_racingcom_csv_admission_contract_v2,2026-07-22T08:49:38+00:00
2026-05-01_GEELONG_R1_DEELAMOUR,2026-05-01_GEELONG_R1,2026-05-01,Ladbrokes Geelong,VIC,1,1700,Deelamour,DEELAMOUR,7,13.32,25.82,37.60,13.32,25.82,37.60,17.127,17.160,16.683,17.760,16.990,00:01:49.483,STANDARD_LAST600,,RACING.COM_DIRECT_CSV_V2,https://d3qmfyv6ad9vwv.cloudfront.net/5191125_01.csv,outputs\performance-intelligence\racingcom-v2\raw\csv-acquisition\https_d3qmfyv6ad9vwv_cloudfront_net_5191125_01_csv_b5f45814c4783f77.csv,b5f45814c4783f771e9f20d6147ed16ad0ce4919f1bd271ca8b652d526fb9606,2026-07-22T08:38:13+00:00,racingcom_speed_data_parser_v2,racingcom_ingestion_v2,edgeiq_racingcom_meeting_discovery_v2,edgeiq_racingcom_race_discovery_v2,edgeiq_racingcom_csv_admission_contract_v2,2026-07-22T08:49:38+00:00
2026-05-01_GEELONG_R1_FENESTELLA,2026-05-01_GEELONG_R1,2026-05-01,Ladbrokes Geelong,VIC,1,1700,Fenestella,FENESTELLA,8,12.79,24.77,36.55,12.79,24.77,36.55,17.307,17.213,17.120,17.650,17.213,00:01:49.483,STANDARD_LAST600,,RACING.COM_DIRECT_CSV_V2,https://d3qmfyv6ad9vwv.cloudfront.net/5191125_01.csv,outputs\performance-intelligence\racingcom-v2\raw\csv-acquisition\https_d3qmfyv6ad9vwv_cloudfront_net_5191125_01_csv_b5f45814c4783f77.csv,b5f45814c4783f771e9f20d6147ed16ad0ce4919f1bd271ca8b652d526fb9606,2026-07-22T08:38:13+00:00,racingcom_speed_data_parser_v2,racingcom_ingestion_v2,edgeiq_racingcom_meeting_discovery_v2,edgeiq_racingcom_race_discovery_v2,edgeiq_racingcom_csv_admission_contract_v2,2026-07-22T08:49:38+00:00
2026-05-01_GEELONG_R1_TARNATION,2026-05-01_GEELONG_R1,2026-05-01,Ladbrokes Geelong,VIC,1,1700,Tarnation,TARNATION,5,13.51,26.00,37.89,13.51,26.00,37.89,17.380,17.320,16.683,17.770,17.128,00:01:49.483,STANDARD_LAST600,,RACING.COM_DIRECT_CSV_V2,https://d3qmfyv6ad9vwv.cloudfront.net/5191125_01.csv,outputs\performance-intelligence\racingcom-v2\raw\csv-acquisition\https_d3qmfyv6ad9vwv_cloudfront_net_5191125_01_csv_b5f45814c4783f77.csv,b5f45814c4783f771e9f20d6147ed16ad0ce4919f1bd271ca8b652d526fb9606,2026-07-22T08:38:13+00:00,racingcom_speed_data_parser_v2,racingcom_ingestion_v2,edgeiq_racingcom_meeting_discovery_v2,edgeiq_racingcom_race_discovery_v2,edgeiq_racingcom_csv_admission_contract_v2,2026-07-22T08:49:38+00:00
2026-05-01_GEELONG_R1_TORQUAYTOFF,2026-05-01_GEELONG_R1,2026-05-01,Ladbrokes Geelong,VIC,1,1700,Torquay Toff,TORQUAYTOFF,6,15.39,28.23,40.18,15.39,28.23,40.18,17.383,17.147,16.227,17.910,16.919,00:01:49.483,STANDARD_LAST600,,RACING.COM_DIRECT_CSV_V2,https://d3qmfyv6ad9vwv.cloudfront.net/5191125_01.csv,outputs\performance-intelligence\racingcom-v2\raw\csv-acquisition\https_d3qmfyv6ad9vwv_cloudfront_net_5191125_01_csv_b5f45814c4783f77.csv,b5f45814c4783f771e9f20d6147ed16ad0ce4919f1bd271ca8b652d526fb9606,2026-07-22T08:38:13+00:00,racingcom_speed_data_parser_v2,racingcom_ingestion_v2,edgeiq_racingcom_meeting_discovery_v2,edgeiq_racingcom_race_discovery_v2,edgeiq_racingcom_csv_admission_contract_v2,2026-07-22T08:49:38+00:00
2026-05-01_GEELONG_R1_YATCHAW,2026-05-01_GEELONG_R1,2026-05-01,Ladbrokes Geelong,VIC,1,1700,Yatchaw,YATCHAW,9,14.73,27.90,40.40,14.73,27.90,40.40,17.667,17.093,15.647,17.810,16.802,00:01:49.483,STANDARD_LAST600,,RACING.COM_DIRECT_CSV_V2,https://d3qmfyv6ad9vwv.cloudfront.net/5191125_01.csv,outputs\performance-intelligence\racingcom-v2\raw\csv-acquisition\https_d3qmfyv6ad9vwv_cloudfront_net_5191125_01_csv_b5f45814c4783f77.csv,b5f45814c4783f771e9f20d6147ed16ad0ce4919f1bd271ca8b652d526fb9606,2026-07-22T08:38:13+00:00,racingcom_speed_data_parser_v2,racingcom_ingestion_v2,edgeiq_racingcom_meeting_discovery_v2,edgeiq_racingcom_race_discovery_v2,edgeiq_racingcom_csv_admission_contract_v2,2026-07-22T08:49:38+00:00
2026-05-01_GEELONG_R2_ENNISCRONE,2026-05-01_GEELONG_R2,2026-05-01,Ladbrokes Geelong,VIC,2,1500,Enniscrone,ENNISCRONE,1,12.61,24.07,35.60,12.61,24.07,35.60,16.815,16.820,17.605,18.080,17.211,00:01:35.610,STANDARD_LAST600,,RACING.COM_DIRECT_CSV_V2,https://d3qmfyv6ad9vwv.cloudfront.net/5191125_02.csv,outputs\performance-intelligence\racingcom-v2\raw\csv-acquisition\https_d3qmfyv6ad9vwv_cloudfront_net_5191125_02_csv_ebdf2b46556b8662.csv,ebdf2b46556b86625ae9bb9cdc0ba4f232cd06e65b4ef06eb23618f4323cc96a,2026-07-22T08:38:13+00:00,racingcom_speed_data_parser_v2,racingcom_ingestion_v2,edgeiq_racingcom_meeting_discovery_v2,edgeiq_racingcom_race_discovery_v2,edgeiq_racingcom_csv_admission_contract_v2,2026-07-22T08:49:38+00:00
2026-05-01_GEELONG_R2_FALSTAFFIAN,2026-05-01_GEELONG_R2,2026-05-01,Ladbrokes Geelong,VIC,2,1500,Falstaffian,FALSTAFFIAN,2,11.73,22.98,34.51,11.73,22.98,34.51,17.200,17.125,17.625,18.070,17.394,00:01:35.610,STANDARD_LAST600,,RACING.COM_DIRECT_CSV_V2,https://d3qmfyv6ad9vwv.cloudfront.net/5191125_02.csv,outputs\performance-intelligence\racingcom-v2\raw\csv-acquisition\https_d3qmfyv6ad9vwv_cloudfront_net_5191125_02_csv_ebdf2b46556b8662.csv,ebdf2b46556b86625ae9bb9cdc0ba4f232cd06e65b4ef06eb23618f4323cc96a,2026-07-22T08:38:13+00:00,racingcom_speed_data_parser_v2,racingcom_ingestion_v2,edgeiq_racingcom_meeting_discovery_v2,edgeiq_racingcom_race_discovery_v2,edgeiq_racingcom_csv_admission_contract_v2,2026-07-22T08:49:38+00:00
2026-05-01_GEELONG_R2_HYDROTHERMAL,2026-05-01_GEELONG_R2,2026-05-01,Ladbrokes Geelong,VIC,2,1500,Hydrothermal,HYDROTHERMAL,8,12.23,23.32,34.69,12.23,23.32,34.69,17.185,17.015,17.747,18.350,17.424,00:01:35.610,STANDARD_LAST600,,RACING.COM_DIRECT_CSV_V2,https://d3qmfyv6ad9vwv.cloudfront.net/5191125_02.csv,outputs\performance-intelligence\racingcom-v2\raw\csv-acquisition\https_d3qmfyv6ad9vwv_cloudfront_net_5191125_02_csv_ebdf2b46556b8662.csv,ebdf2b46556b86625ae9bb9cdc0ba4f232cd06e65b4ef06eb23618f4323cc96a,2026-07-22T08:38:13+00:00,racingcom_speed_data_parser_v2,racingcom_ingestion_v2,edgeiq_racingcom_meeting_discovery_v2,edgeiq_racingcom_race_discovery_v2,edgeiq_racingcom_csv_admission_contract_v2,2026-07-22T08:49:38+00:00
