canonical_race_id,canonical_runner_id,race_date,track,race_number,race_distance_metres,segment_sequence,segment_start_metres,segment_end_metres,segment_distance_metres,average_speed_mps,average_speed_kmh,elapsed_time_seconds,observation_semantics,source_format,source_payload_sha256,parser_version,normalisation_version,calculation_version,eligibility_status,rejection_reason
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720318,2026-07-20,Southside Pakenham Synthetic,6,1400,,,,,13.9,50.04,,CUMULATIVE_DISTANCE_POINT,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,racingcom_graphql_parser_v2,edgeiq_racingcom_graphql_speed_normalised_v1,edgeiq_results_elapsed_time_observations_v1,REJECTED,CUMULATIVE_POINT_NOT_USED_AS_INCREMENTAL_SEGMENT
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720318,2026-07-20,Southside Pakenham Synthetic,6,1400,,,,,17.96,64.656,,CUMULATIVE_DISTANCE_POINT,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,racingcom_graphql_parser_v2,edgeiq_racingcom_graphql_speed_normalised_v1,edgeiq_results_elapsed_time_observations_v1,REJECTED,CUMULATIVE_POINT_NOT_USED_AS_INCREMENTAL_SEGMENT
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720318,2026-07-20,Southside Pakenham Synthetic,6,1400,,,,,17.31,62.316,,CUMULATIVE_DISTANCE_POINT,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,racingcom_graphql_parser_v2,edgeiq_racingcom_graphql_speed_normalised_v1,edgeiq_results_elapsed_time_observations_v1,REJECTED,CUMULATIVE_POINT_NOT_USED_AS_INCREMENTAL_SEGMENT
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720318,2026-07-20,Southside Pakenham Synthetic,6,1400,,,,,17.1,61.56,,CUMULATIVE_DISTANCE_POINT,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,racingcom_graphql_parser_v2,edgeiq_racingcom_graphql_speed_normalised_v1,edgeiq_results_elapsed_time_observations_v1,REJECTED,CUMULATIVE_POINT_NOT_USED_AS_INCREMENTAL_SEGMENT
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720318,2026-07-20,Southside Pakenham Synthetic,6,1400,,,,,17.55,63.18,,CUMULATIVE_DISTANCE_POINT,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,racingcom_graphql_parser_v2,edgeiq_racingcom_graphql_speed_normalised_v1,edgeiq_results_elapsed_time_observations_v1,REJECTED,CUMULATIVE_POINT_NOT_USED_AS_INCREMENTAL_SEGMENT
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720318,2026-07-20,Southside Pakenham Synthetic,6,1400,,,,,18.54,66.744,,CUMULATIVE_DISTANCE_POINT,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,racingcom_graphql_parser_v2,edgeiq_racingcom_graphql_speed_normalised_v1,edgeiq_results_elapsed_time_observations_v1,REJECTED,CUMULATIVE_POINT_NOT_USED_AS_INCREMENTAL_SEGMENT
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720318,2026-07-20,Southside Pakenham Synthetic,6,1400,,,,,17.85,64.26,,CUMULATIVE_DISTANCE_POINT,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,racingcom_graphql_parser_v2,edgeiq_racingcom_graphql_speed_normalised_v1,edgeiq_results_elapsed_time_observations_v1,REJECTED,CUMULATIVE_POINT_NOT_USED_AS_INCREMENTAL_SEGMENT
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720318,2026-07-20,Southside Pakenham Synthetic,6,1400,1,1400,1200,200,13.900000,50.040000,14.3885,INDIVIDUAL_SEGMENT,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,racingcom_graphql_parser_v2,edgeiq_racingcom_graphql_speed_normalised_v1,edgeiq_results_elapsed_time_observations_v1,ELIGIBLE,
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720318,2026-07-20,Southside Pakenham Synthetic,6,1400,2,1200,1000,200,17.960000,64.656000,11.1359,INDIVIDUAL_SEGMENT,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,racingcom_graphql_parser_v2,edgeiq_racingcom_graphql_speed_normalised_v1,edgeiq_results_elapsed_time_observations_v1,ELIGIBLE,
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720318,2026-07-20,Southside Pakenham Synthetic,6,1400,3,1000,800,200,17.310000,62.316000,11.5540,INDIVIDUAL_SEGMENT,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,racingcom_graphql_parser_v2,edgeiq_racingcom_graphql_speed_normalised_v1,edgeiq_results_elapsed_time_observations_v1,ELIGIBLE,
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720318,2026-07-20,Southside Pakenham Synthetic,6,1400,4,800,600,200,17.100000,61.560000,11.6959,INDIVIDUAL_SEGMENT,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,racingcom_graphql_parser_v2,edgeiq_racingcom_graphql_speed_normalised_v1,edgeiq_results_elapsed_time_observations_v1,ELIGIBLE,
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720318,2026-07-20,Southside Pakenham Synthetic,6,1400,5,600,400,200,17.550000,63.180000,11.3960,INDIVIDUAL_SEGMENT,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,racingcom_graphql_parser_v2,edgeiq_racingcom_graphql_speed_normalised_v1,edgeiq_results_elapsed_time_observations_v1,ELIGIBLE,
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720318,2026-07-20,Southside Pakenham Synthetic,6,1400,6,400,200,200,18.540000,66.744000,10.7875,INDIVIDUAL_SEGMENT,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,racingcom_graphql_parser_v2,edgeiq_racingcom_graphql_speed_normalised_v1,edgeiq_results_elapsed_time_observations_v1,ELIGIBLE,
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720318,2026-07-20,Southside Pakenham Synthetic,6,1400,7,200,0,200,17.850000,64.260000,11.2045,INDIVIDUAL_SEGMENT,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,racingcom_graphql_parser_v2,edgeiq_racingcom_graphql_speed_normalised_v1,edgeiq_results_elapsed_time_observations_v1,ELIGIBLE,
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15714130,2026-07-20,Southside Pakenham Synthetic,6,1400,,,,,13.7,49.32,,CUMULATIVE_DISTANCE_POINT,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,racingcom_graphql_parser_v2,edgeiq_racingcom_graphql_speed_normalised_v1,edgeiq_results_elapsed_time_observations_v1,REJECTED,CUMULATIVE_POINT_NOT_USED_AS_INCREMENTAL_SEGMENT
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15714130,2026-07-20,Southside Pakenham Synthetic,6,1400,,,,,17.72,63.792,,CUMULATIVE_DISTANCE_POINT,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,racingcom_graphql_parser_v2,edgeiq_racingcom_graphql_speed_normalised_v1,edgeiq_results_elapsed_time_observations_v1,REJECTED,CUMULATIVE_POINT_NOT_USED_AS_INCREMENTAL_SEGMENT
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15714130,2026-07-20,Southside Pakenham Synthetic,6,1400,,,,,17.5,63,,CUMULATIVE_DISTANCE_POINT,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,racingcom_graphql_parser_v2,edgeiq_racingcom_graphql_speed_normalised_v1,edgeiq_results_elapsed_time_observations_v1,REJECTED,CUMULATIVE_POINT_NOT_USED_AS_INCREMENTAL_SEGMENT
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15714130,2026-07-20,Southside Pakenham Synthetic,6,1400,,,,,17.12,61.632,,CUMULATIVE_DISTANCE_POINT,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,racingcom_graphql_parser_v2,edgeiq_racingcom_graphql_speed_normalised_v1,edgeiq_results_elapsed_time_observations_v1,REJECTED,CUMULATIVE_POINT_NOT_USED_AS_INCREMENTAL_SEGMENT
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15714130,2026-07-20,Southside Pakenham Synthetic,6,1400,,,,,17.53,63.108,,CUMULATIVE_DISTANCE_POINT,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,racingcom_graphql_parser_v2,edgeiq_racingcom_graphql_speed_normalised_v1,edgeiq_results_elapsed_time_observations_v1,REJECTED,CUMULATIVE_POINT_NOT_USED_AS_INCREMENTAL_SEGMENT
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15714130,2026-07-20,Southside Pakenham Synthetic,6,1400,,,,,18.43,66.348,,CUMULATIVE_DISTANCE_POINT,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,racingcom_graphql_parser_v2,edgeiq_racingcom_graphql_speed_normalised_v1,edgeiq_results_elapsed_time_observations_v1,REJECTED,CUMULATIVE_POINT_NOT_USED_AS_INCREMENTAL_SEGMENT
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15714130,2026-07-20,Southside Pakenham Synthetic,6,1400,,,,,17.59,63.324,,CUMULATIVE_DISTANCE_POINT,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,racingcom_graphql_parser_v2,edgeiq_racingcom_graphql_speed_normalised_v1,edgeiq_results_elapsed_time_observations_v1,REJECTED,CUMULATIVE_POINT_NOT_USED_AS_INCREMENTAL_SEGMENT
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15714130,2026-07-20,Southside Pakenham Synthetic,6,1400,1,1400,1200,200,13.700000,49.320000,14.5985,INDIVIDUAL_SEGMENT,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,racingcom_graphql_parser_v2,edgeiq_racingcom_graphql_speed_normalised_v1,edgeiq_results_elapsed_time_observations_v1,ELIGIBLE,
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15714130,2026-07-20,Southside Pakenham Synthetic,6,1400,2,1200,1000,200,17.720000,63.792000,11.2867,INDIVIDUAL_SEGMENT,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,racingcom_graphql_parser_v2,edgeiq_racingcom_graphql_speed_normalised_v1,edgeiq_results_elapsed_time_observations_v1,ELIGIBLE,
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15714130,2026-07-20,Southside Pakenham Synthetic,6,1400,3,1000,800,200,17.500000,63.000000,11.4286,INDIVIDUAL_SEGMENT,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,racingcom_graphql_parser_v2,edgeiq_racingcom_graphql_speed_normalised_v1,edgeiq_results_elapsed_time_observations_v1,ELIGIBLE,
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15714130,2026-07-20,Southside Pakenham Synthetic,6,1400,4,800,600,200,17.120000,61.632000,11.6822,INDIVIDUAL_SEGMENT,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,racingcom_graphql_parser_v2,edgeiq_racingcom_graphql_speed_normalised_v1,edgeiq_results_elapsed_time_observations_v1,ELIGIBLE,
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15714130,2026-07-20,Southside Pakenham Synthetic,6,1400,5,600,400,200,17.530000,63.108000,11.4090,INDIVIDUAL_SEGMENT,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,racingcom_graphql_parser_v2,edgeiq_racingcom_graphql_speed_normalised_v1,edgeiq_results_elapsed_time_observations_v1,ELIGIBLE,
