benchmark_group_id,canonical_race_id,canonical_runner_id,race_date,track,race_number,race_distance_metres,segment_sequence,segment_start_metres,segment_end_metres,segment_distance_metres,actual_elapsed_seconds,standard_elapsed_seconds,time_difference_seconds,surface,track_condition_number,track_condition_group,lengths_per_second,seconds_per_length,lengths_vs_standard,conversion_method,conversion_version,conversion_status,conversion_reason,source_hash,audit_status
RSTG1-41BE498454A5E3BB,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720318,2026-07-20,Southside Pakenham Synthetic,6,1400,1,1400,1200,200,14.388500,14.306100,-0.082400,SYNTHETIC,,,,,,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE,UNSUPPORTED_SURFACE,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE
RSTG1-66E610991D333736,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720318,2026-07-20,Southside Pakenham Synthetic,6,1400,2,1200,1000,200,11.135900,11.176300,0.040400,SYNTHETIC,,,,,,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE,UNSUPPORTED_SURFACE,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE
RSTG1-0C8C5AABDB549002,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720318,2026-07-20,Southside Pakenham Synthetic,6,1400,3,1000,800,200,11.554000,11.454800,-0.099200,SYNTHETIC,,,,,,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE,UNSUPPORTED_SURFACE,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE
RSTG1-8C718767F48E1B2E,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720318,2026-07-20,Southside Pakenham Synthetic,6,1400,4,800,600,200,11.695900,11.487700,-0.208200,SYNTHETIC,,,,,,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE,UNSUPPORTED_SURFACE,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE
RSTG1-EE87E5B9F489EF89,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720318,2026-07-20,Southside Pakenham Synthetic,6,1400,5,600,400,200,11.396000,11.402500,0.006500,SYNTHETIC,,,,,,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE,UNSUPPORTED_SURFACE,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE
RSTG1-E5BBA83D27F6BACC,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720318,2026-07-20,Southside Pakenham Synthetic,6,1400,6,400,200,200,10.787500,11.173100,0.385600,SYNTHETIC,,,,,,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE,UNSUPPORTED_SURFACE,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE
RSTG1-5FB9078FAE4AED97,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720318,2026-07-20,Southside Pakenham Synthetic,6,1400,7,200,0,200,11.204500,11.841500,0.637000,SYNTHETIC,,,,,,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE,UNSUPPORTED_SURFACE,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE
RSTG1-41BE498454A5E3BB,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15714130,2026-07-20,Southside Pakenham Synthetic,6,1400,1,1400,1200,200,14.598500,14.306100,-0.292400,SYNTHETIC,,,,,,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE,UNSUPPORTED_SURFACE,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE
RSTG1-66E610991D333736,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15714130,2026-07-20,Southside Pakenham Synthetic,6,1400,2,1200,1000,200,11.286700,11.176300,-0.110400,SYNTHETIC,,,,,,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE,UNSUPPORTED_SURFACE,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE
RSTG1-0C8C5AABDB549002,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15714130,2026-07-20,Southside Pakenham Synthetic,6,1400,3,1000,800,200,11.428600,11.454800,0.026200,SYNTHETIC,,,,,,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE,UNSUPPORTED_SURFACE,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE
