canonical_race_id,canonical_runner_id,canonical_surface_group,race_date,track,race_number,race_distance_metres,early_lengths_vs_standard,mid_lengths_vs_standard,late_lengths_vs_standard,final_segment_lengths_vs_standard,best_segment_lengths_vs_standard,worst_segment_lengths_vs_standard,converted_segment_count,eligible_segment_count,coverage_status,method_version
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15701920,AUSTRALIAN_SYNTHETIC,2026-07-20,Southside Pakenham Synthetic,6,1400,2.415600,-1.813200,-4.645800,-12.342000,3.418800,-12.342000,7,7,COMPLETE,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15713342,AUSTRALIAN_SYNTHETIC,2026-07-20,Southside Pakenham Synthetic,6,1400,-2.092800,0.538800,0.409200,0.585000,1.300800,-2.789400,7,7,COMPLETE,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15714008,AUSTRALIAN_SYNTHETIC,2026-07-20,Southside Pakenham Synthetic,6,1400,2.677800,-1.119600,-0.796200,-0.807000,2.848800,-2.079600,7,7,COMPLETE,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15714130,AUSTRALIAN_SYNTHETIC,2026-07-20,Southside Pakenham Synthetic,6,1400,-1.208400,-0.349600,1.927200,2.828400,2.828400,-1.754400,7,7,COMPLETE,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15716866,AUSTRALIAN_SYNTHETIC,2026-07-20,Southside Pakenham Synthetic,6,1400,0.811800,0.350400,0.186000,0.294000,1.196400,-0.078600,7,7,COMPLETE,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15717705,AUSTRALIAN_SYNTHETIC,2026-07-20,Southside Pakenham Synthetic,6,1400,1.016100,-1.113400,0.372000,0.996600,1.567200,-1.828800,7,7,COMPLETE,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15719841,AUSTRALIAN_SYNTHETIC,2026-07-20,Southside Pakenham Synthetic,6,1400,1.280700,-1.002200,-0.911400,-0.764400,2.096400,-1.662000,7,7,COMPLETE,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720036,AUSTRALIAN_SYNTHETIC,2026-07-20,Southside Pakenham Synthetic,6,1400,1.849800,-0.844800,-1.729200,-2.525400,2.503200,-2.525400,7,7,COMPLETE,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720047,AUSTRALIAN_SYNTHETIC,2026-07-20,Southside Pakenham Synthetic,6,1400,-0.979500,0.710200,1.393200,1.964400,1.964400,-1.372800,7,7,COMPLETE,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720214,AUSTRALIAN_SYNTHETIC,2026-07-20,Southside Pakenham Synthetic,6,1400,1.383600,-0.694000,-0.226200,1.845000,2.154600,-1.085400,7,7,COMPLETE,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720318,AUSTRALIAN_SYNTHETIC,2026-07-20,Southside Pakenham Synthetic,6,1400,-0.126000,-0.601800,2.313600,3.822000,3.822000,-1.249200,7,7,COMPLETE,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720320,AUSTRALIAN_SYNTHETIC,2026-07-20,Southside Pakenham Synthetic,6,1400,-0.077700,0.570400,0.886200,0.626400,1.711200,-0.093600,7,7,COMPLETE,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R7,15713423,AUSTRALIAN_SYNTHETIC,2026-07-20,Southside Pakenham Synthetic,7,1400,-2.427300,0.481800,0.959400,1.159800,1.159800,-2.986200,7,7,COMPLETE,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2
