standard_time_id,benchmark_group_id,benchmark_group_basis,track_name,official_distance_metres,course_name,course_name_status,surface,surface_status,track_condition,track_condition_status,standard_time_method,standard_time_seconds,sample_observation_count,sample_minimum_time_seconds,sample_maximum_time_seconds,minimum_required_sample,standard_time_status,source_group_dimension_sha256,source_membership_sha256,standard_time_evidence_sha256,source_accumulation_builder_version,builder_version,contract_version,built_at_utc
STFR-EC2374ED981DD8A4B84C5A8B,BGFR-4B6C3E49F7034C84995EBBE1,TRACK_DISTANCE_SURFACE_CONDITION,ALEXANDRA,1300,,NOT_AVAILABLE_IN_SOURCE,TURF,AVAILABLE_BY_GOVERNED_SURFACE_RESOLVER,GOOD,AVAILABLE,MEDIAN_WINNER_RACE_TIME_SECONDS_RECOVERED_TIMING_MIN20,78.005000,20,76.760000,81.890000,20,AVAILABLE,4b6c3e49f7034c84995ebbe1,54ec8beee4320a200d571aea573fa55a9ef85dd7aa0b968c2fe1bb7045aba6eb,473a30c55e87a0906f80585d478e930fc9d166487c53d9650f1f51314da79cfc,EDGEIQ_TIMING_WAREHOUSE_RECOVERY_V1,edgeiq_standard_time_recovered_v1.0.0,1.0.0,2026-07-30T07:43:47Z
STFR-ED3E9C807FB7916F51F94266,BGFR-57380D835999A8030962F61D,TRACK_DISTANCE_SURFACE_CONDITION,APIAM BENDIGO,1000,,NOT_AVAILABLE_IN_SOURCE,TURF,AVAILABLE_BY_GOVERNED_SURFACE_RESOLVER,GOOD,AVAILABLE,MEDIAN_WINNER_RACE_TIME_SECONDS_RECOVERED_TIMING_MIN20,57.705000,48,56.920000,59.200000,20,AVAILABLE,57380d835999a8030962f61d,14aee1c9fe6aed8d7df0a83d919b7418beb378c341edc76853dd46b1455660d4,492334eaec63c9e19454826bfd014674aa8a08488e17c386202a29ec7136268c,EDGEIQ_TIMING_WAREHOUSE_RECOVERY_V1,edgeiq_standard_time_recovered_v1.0.0,1.0.0,2026-07-30T07:43:47Z
STFR-B4EA6035FD9838CFEEB057AA,BGFR-6E09E848FBD0229A54BFE930,TRACK_DISTANCE_SURFACE_CONDITION,APIAM BENDIGO,1100,,NOT_AVAILABLE_IN_SOURCE,TURF,AVAILABLE_BY_GOVERNED_SURFACE_RESOLVER,GOOD,AVAILABLE,MEDIAN_WINNER_RACE_TIME_SECONDS_RECOVERED_TIMING_MIN20,63.970000,51,62.260000,65.210000,20,AVAILABLE,6e09e848fbd0229a54bfe930,28bac8f2cf7b31fe1582d84756f21dea6ec0bcc92d08430e3b7aa542af842cbd,e59648ac6f576be8466432cb1a5b854d55b2d9d712cf21fa1433ea54ba63a14e,EDGEIQ_TIMING_WAREHOUSE_RECOVERY_V1,edgeiq_standard_time_recovered_v1.0.0,1.0.0,2026-07-30T07:43:47Z
STFR-877136A38A7BAA4B288C3D14,BGFR-794D65F978ADAE447B3E27B5,TRACK_DISTANCE_SURFACE_CONDITION,APIAM BENDIGO,1100,,NOT_AVAILABLE_IN_SOURCE,TURF,AVAILABLE_BY_GOVERNED_SURFACE_RESOLVER,SOFT,AVAILABLE,MEDIAN_WINNER_RACE_TIME_SECONDS_RECOVERED_TIMING_MIN20,65.120000,25,63.490000,66.450000,20,AVAILABLE,794d65f978adae447b3e27b5,9522b81744fa31d0b68bcf2e5cc9cbb7665c040b8697c1af796593b312b23df6,28cbfe6b6a164e8cc7c6ca8bc334248005e91f1c977746a4753ba4d0c6f8c958,EDGEIQ_TIMING_WAREHOUSE_RECOVERY_V1,edgeiq_standard_time_recovered_v1.0.0,1.0.0,2026-07-30T07:43:47Z
STFR-0AE18BEA7DE6A77E7A2764BC,BGFR-90574ED4553EC49270D6CDF7,TRACK_DISTANCE_SURFACE_CONDITION,APIAM BENDIGO,1300,,NOT_AVAILABLE_IN_SOURCE,TURF,AVAILABLE_BY_GOVERNED_SURFACE_RESOLVER,GOOD,AVAILABLE,MEDIAN_WINNER_RACE_TIME_SECONDS_RECOVERED_TIMING_MIN20,77.340000,61,76.150000,78.810000,20,AVAILABLE,90574ed4553ec49270d6cdf7,2e43682c396bcf3e930e95691636a23ef2e109b4e3645d184a14428116ea7de4,6ee441bef7f1785e00259fceeba93667c408bf5146a255b85156873e97c10381,EDGEIQ_TIMING_WAREHOUSE_RECOVERY_V1,edgeiq_standard_time_recovered_v1.0.0,1.0.0,2026-07-30T07:43:47Z
STFR-3F1CB69916E33F610B472D26,BGFR-148531485358A2B3270E5AD2,TRACK_DISTANCE_SURFACE_CONDITION,APIAM BENDIGO,1300,,NOT_AVAILABLE_IN_SOURCE,TURF,AVAILABLE_BY_GOVERNED_SURFACE_RESOLVER,SOFT,AVAILABLE,MEDIAN_WINNER_RACE_TIME_SECONDS_RECOVERED_TIMING_MIN20,79.220000,23,76.990000,80.700000,20,AVAILABLE,148531485358a2b3270e5ad2,dd44580e831825f8a8d7e8a91cd472a0aacbf0b373a2d5028284c2f0ce844a62,6fbf22b85d01b5c4ac999797f7f847a55bbecd14d02e3c5ab6b7bcaaf913fbab,EDGEIQ_TIMING_WAREHOUSE_RECOVERY_V1,edgeiq_standard_time_recovered_v1.0.0,1.0.0,2026-07-30T07:43:47Z
STFR-CDF836F76458DA368787C699,BGFR-01FA7FE16861697FCC3F8E9F,TRACK_DISTANCE_SURFACE_CONDITION,APIAM BENDIGO,1400,,NOT_AVAILABLE_IN_SOURCE,TURF,AVAILABLE_BY_GOVERNED_SURFACE_RESOLVER,GOOD,AVAILABLE,MEDIAN_WINNER_RACE_TIME_SECONDS_RECOVERED_TIMING_MIN20,83.610000,33,82.620000,85.830000,20,AVAILABLE,01fa7fe16861697fcc3f8e9f,3e8adde5f731d348bc029ae840caeaeb3f3efc75961406395d7210950261caca,dc90232aa80ef3c846cdec8bcc7f34268eabdc2ddf74a4d9b225fb0db81e45e3,EDGEIQ_TIMING_WAREHOUSE_RECOVERY_V1,edgeiq_standard_time_recovered_v1.0.0,1.0.0,2026-07-30T07:43:47Z
STFR-4AFDBE4E61C3A1466BBA4318,BGFR-0BEB57437E33FF6F25BE4A1E,TRACK_DISTANCE_SURFACE_CONDITION,APIAM BENDIGO,1600,,NOT_AVAILABLE_IN_SOURCE,TURF,AVAILABLE_BY_GOVERNED_SURFACE_RESOLVER,GOOD,AVAILABLE,MEDIAN_WINNER_RACE_TIME_SECONDS_RECOVERED_TIMING_MIN20,96.550000,43,94.900000,99.110000,20,AVAILABLE,0beb57437e33ff6f25be4a1e,48def420e8c8126568332b503bb7b312eac77f82c5400fb02c9cfba88a0d95ce,d796111a3348b987199aa23bb3005187ee8087457c8b0952215ab9a19bbf2917,EDGEIQ_TIMING_WAREHOUSE_RECOVERY_V1,edgeiq_standard_time_recovered_v1.0.0,1.0.0,2026-07-30T07:43:47Z
STFR-8F697BE3952A3EE4E9254760,BGFR-A80413D1EA4BEB07D69C33AA,TRACK_DISTANCE_SURFACE_CONDITION,APIAM BENDIGO,2400,,NOT_AVAILABLE_IN_SOURCE,TURF,AVAILABLE_BY_GOVERNED_SURFACE_RESOLVER,GOOD,AVAILABLE,MEDIAN_WINNER_RACE_TIME_SECONDS_RECOVERED_TIMING_MIN20,151.210000,21,147.820000,153.380000,20,AVAILABLE,a80413d1ea4beb07d69c33aa,99827e31cb173591b097b8b0e4ffd5837476bfb85d9bd39191d42ee9f8ce4ef0,b0b7a624fbde5aa3276781dfce78110e77da673357184b2893874229dca830ee,EDGEIQ_TIMING_WAREHOUSE_RECOVERY_V1,edgeiq_standard_time_recovered_v1.0.0,1.0.0,2026-07-30T07:43:47Z
STFR-841A1090287C794E0BF4710A,BGFR-6B8D722F1664EC032ABC2B0C,TRACK_DISTANCE_SURFACE_CONDITION,ARARAT,1100,,NOT_AVAILABLE_IN_SOURCE,TURF,AVAILABLE_BY_GOVERNED_SURFACE_RESOLVER,GOOD,AVAILABLE,MEDIAN_WINNER_RACE_TIME_SECONDS_RECOVERED_TIMING_MIN20,64.625000,152,61.910000,66.670000,20,AVAILABLE,6b8d722f1664ec032abc2b0c,1527d31d1e913750ef377c06d68767ac7b1065abcf3aedb30cd7b16a327eab6f,47ae8b04d0ef4f5fd041cc37fb28bd53eb32f0770b0db33f22dc5c2dc48e8e52,EDGEIQ_TIMING_WAREHOUSE_RECOVERY_V1,edgeiq_standard_time_recovered_v1.0.0,1.0.0,2026-07-30T07:43:47Z
