benchmark_group_id,canonical_race_id,canonical_runner_id,race_date,track,race_number,race_distance_metres,segment_start_metres,segment_end_metres,segment_distance_metres,elapsed_time_seconds,average_speed_mps,eligibility_status,source_format,source_hash
RSTG1-41BE498454A5E3BB,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720318,2026-07-20,Southside Pakenham Synthetic,6,1400,1400,1200,200,14.3885,13.900000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba
RSTG1-66E610991D333736,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720318,2026-07-20,Southside Pakenham Synthetic,6,1400,1200,1000,200,11.1359,17.960000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba
RSTG1-0C8C5AABDB549002,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720318,2026-07-20,Southside Pakenham Synthetic,6,1400,1000,800,200,11.5540,17.310000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba
RSTG1-8C718767F48E1B2E,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720318,2026-07-20,Southside Pakenham Synthetic,6,1400,800,600,200,11.6959,17.100000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba
RSTG1-EE87E5B9F489EF89,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720318,2026-07-20,Southside Pakenham Synthetic,6,1400,600,400,200,11.3960,17.550000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba
RSTG1-E5BBA83D27F6BACC,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720318,2026-07-20,Southside Pakenham Synthetic,6,1400,400,200,200,10.7875,18.540000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba
RSTG1-5FB9078FAE4AED97,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720318,2026-07-20,Southside Pakenham Synthetic,6,1400,200,0,200,11.2045,17.850000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba
RSTG1-41BE498454A5E3BB,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15714130,2026-07-20,Southside Pakenham Synthetic,6,1400,1400,1200,200,14.5985,13.700000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba
RSTG1-66E610991D333736,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15714130,2026-07-20,Southside Pakenham Synthetic,6,1400,1200,1000,200,11.2867,17.720000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba
RSTG1-0C8C5AABDB549002,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15714130,2026-07-20,Southside Pakenham Synthetic,6,1400,1000,800,200,11.4286,17.500000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba
