built_at,record_type,race_date,track,day_bucket,meeting_type,meeting_status,dashboard_ready,field_rows,field_races,priced_rows,value,message
2026-09-14T14:01:55+10:00,SUMMARY,,,,,,,,,,0,rows_older_than_calendar_window_removed
2026-09-14T14:01:55+10:00,SUMMARY,,,,,,,,,,0,rows_outside_three_day_calendar_removed
2026-09-14T14:01:55+10:00,SUMMARY,,,,,,,,,,0,undated_field_rows_removed
2026-09-14T14:01:55+10:00,SUMMARY,,,,,,,,,,0,rows_not_present_in_calendar_removed
2026-09-14T14:01:55+10:00,SUMMARY,,,,,,,,,,0,calendar_meetings_total
2026-09-14T14:01:55+10:00,SUMMARY,,,,,FIELDS_READY,YES,,,,0,calendar_meetings_fields_ready
2026-09-14T14:01:55+10:00,SUMMARY,,,,,FIELDS_PENDING,NO,,,,0,calendar_meetings_fields_pending
2026-09-14T14:01:55+10:00,SUMMARY,,,,,FIELDS_UNAVAILABLE,NO,,,,0,calendar_meetings_fields_unavailable
2026-09-14T14:01:55+10:00,SUMMARY,,,,,,,,,,0,runner_rows_written_to_universe
2026-09-14T14:01:55+10:00,SUMMARY,,,,,,,,,,0,runner_rows_with_market_price
