step,script,mandatory,returncode,status
normalisation_authority_decision,scripts/audit_edgeiq_normalisation_temporal_authority_v1.py,True,0,PASS
length_conversion_parameter_v2_build,scripts/build_edgeiq_length_conversion_parameter_fact_v2.py,True,0,PASS
length_conversion_parameter_v2_audit,scripts/audit_edgeiq_length_conversion_parameter_fact_v2.py,True,0,PASS
performance_normalisation_parameter_build,scripts/build_edgeiq_performance_normalisation_parameter_fact_v1.py,True,0,PASS
performance_normalisation_parameter_audit,scripts/audit_edgeiq_performance_normalisation_parameter_fact_v1.py,True,0,PASS
timing_warehouse_recovery_side_by_side,scripts/build_edgeiq_timing_warehouse_recovery_v1.py,True,0,PASS
timing_canonical_promotion,scripts/promote_edgeiq_timing_warehouse_canonical_v1.py,True,0,PASS
race_time_delta_audit,scripts/audit_edgeiq_race_time_delta_versus_standard_v1.py,True,0,PASS
lengths_versus_standard_audit,scripts/audit_edgeiq_lengths_versus_standard_v1.py,True,0,PASS
condition_rejection_audit,scripts/audit_edgeiq_lengths_standard_condition_rejections_v1.py,True,0,PASS
performance_base_audit,scripts/audit_edgeiq_performance_intelligence_base_fact_v1.py,True,0,PASS
performance_normalisation_build,scripts/build_edgeiq_performance_normalisation_fact_v1.py,True,0,PASS
performance_normalisation_audit,scripts/audit_edgeiq_performance_normalisation_fact_v1.py,True,0,PASS
performance_rating_base_build,scripts/build_edgeiq_performance_rating_base_fact_v1.py,True,0,PASS
performance_rating_base_audit,scripts/audit_edgeiq_performance_rating_base_fact_v1.py,True,0,PASS
horse_observation_build,scripts/build_edgeiq_horse_performance_observation_fact_v1.py,True,0,PASS
horse_observation_audit,scripts/audit_edgeiq_horse_performance_observation_fact_v1.py,True,0,PASS
horse_aggregate_build,scripts/build_edgeiq_horse_performance_aggregate_fact_v1.py,True,0,PASS
horse_aggregate_audit,scripts/audit_edgeiq_horse_performance_aggregate_fact_v1.py,True,0,PASS
horse_rating_build,scripts/build_edgeiq_horse_performance_rating_fact_v1.py,True,0,PASS
horse_rating_audit,scripts/audit_edgeiq_horse_performance_rating_fact_v1.py,True,0,PASS
race_entry_snapshot_build,scripts/build_edgeiq_race_entry_horse_performance_snapshot_fact_v1.py,True,0,PASS
race_entry_snapshot_audit,scripts/audit_edgeiq_race_entry_horse_performance_snapshot_fact_v1.py,True,0,PASS
race_entry_context_build,scripts/build_edgeiq_race_entry_performance_context_fact_v1.py,True,0,PASS
race_entry_context_audit,scripts/audit_edgeiq_race_entry_performance_context_fact_v1.py,True,0,PASS
context_adjusted_build,scripts/build_edgeiq_race_entry_context_adjusted_performance_fact_v1.py,True,0,PASS
context_adjusted_audit,scripts/audit_edgeiq_race_entry_context_adjusted_performance_fact_v1.py,True,0,PASS
projected_performance_build,scripts/build_edgeiq_race_entry_projected_performance_fact_v1.py,True,1,FAIL_MANDATORY
projected_performance_audit,scripts/audit_edgeiq_race_entry_projected_performance_fact_v1.py,True,1,FAIL_MANDATORY
epi_dependency_audit,scripts/audit_edgeiq_epi_performance_dependency_v1.py,False,0,PASS
