snapshot_time,track,race_no,horse,movement_signal,open_price,current_price,move_pct,calibrated_edge_pct,edge_persistence,execution_action,confidence_tier,risk_flags,speed_map_bucket,pace_pressure,snapshot_count,priority
2026-05-10 18:47:01,Quirindi,2,MILLICENT DAISY,MAJOR STEAM,61.0,23.0,62.3,12.0,HOLDING,PASS,LOW,NO_OFFICIAL_FORM,FIRST START,MODERATE,2,1
2026-05-10 18:47:01,Quirindi,3,KEINBAH'S GIFT,MAJOR STEAM,67.0,46.0,31.3,12.0,HOLDING,PASS,LOW,NO_OFFICIAL_FORM,FIRST START,MODERATE,2,1
2026-05-10 18:47:01,Taree,3,KEINBAH'S GIFT,MAJOR STEAM,67.0,46.0,31.3,10.2,HOLDING,PASS,LOW,NO_OFFICIAL_FORM,FIRST START,MODERATE,2,1
2026-05-10 18:47:01,Mudgee,1,MILLICENT DAISY,MAJOR STEAM,61.0,23.0,62.3,7.3,WEAK,PASS,LOW,NO_OFFICIAL_FORM,FIRST START,MODERATE,2,1
2026-05-10 18:47:01,Sportsbet-Ballarat,1,NINTH CENTURY,MAJOR STEAM,46.0,12.0,73.9,-1.6,NEGATIVE,PASS,LOW,NO_OFFICIAL_FORM,FIRST START,MODERATE,2,1
2026-05-10 18:47:01,Quirindi,1,JACK THE BOSS,MAJOR STEAM,31.0,9.0,71.0,-2.8,NEGATIVE,PASS,LOW,NO_OFFICIAL_FORM,FIRST START,MODERATE,2,1
2026-05-10 18:47:01,Mudgee,1,JACK THE BOSS,MAJOR STEAM,31.0,9.0,71.0,-6.3,NEGATIVE,PASS,LOW,NO_OFFICIAL_FORM,FIRST START,MODERATE,2,1
2026-05-10 18:47:01,Moe,4,NINTH CENTURY,MAJOR STEAM,46.0,12.0,73.9,-7.8,NEGATIVE,PASS,LOW,NO_OFFICIAL_FORM,FIRST START,MODERATE,2,1
2026-05-10 18:47:01,Quirindi,2,VENDOR,MAJOR STEAM,10.0,3.2,68.0,-11.1,NEGATIVE,PASS,LOW,NO_OFFICIAL_FORM,FIRST START,MODERATE,2,1
2026-05-10 18:47:01,Mudgee,6,DENMAN BANDIT,MAJOR STEAM,7.0,4.2,40.0,-11.4,NEGATIVE,PASS,LOW,NO_OFFICIAL_FORM,FIRST START,MODERATE,2,1
2026-05-10 18:47:01,Mudgee,1,VENDOR,MAJOR STEAM,10.0,3.2,68.0,-11.9,NEGATIVE,PASS,LOW,NO_OFFICIAL_FORM,FIRST START,MODERATE,2,1
2026-05-10 18:47:01,bet365 Echuca,4,TILL QUEEN (FR),MAJOR STEAM,9.0,3.6,60.0,-12.1,NEGATIVE,PASS,LOW,NO_OFFICIAL_FORM,FIRST START,MODERATE,2,1
2026-05-10 18:47:01,Sportsbet-Ballarat,7,TILL QUEEN (FR),MAJOR STEAM,9.0,3.6,60.0,-12.3,NEGATIVE,PASS,LOW,NO_OFFICIAL_FORM,FIRST START,MODERATE,2,1
2026-05-10 18:47:01,Quirindi,4,DENMAN BANDIT,MAJOR STEAM,7.0,4.2,40.0,-13.1,NEGATIVE,PASS,LOW,NO_OFFICIAL_FORM,FIRST START,MODERATE,2,1
2026-05-10 18:47:01,Mudgee,4,BIG SHOT LEGEND,STEAM,26.0,21.0,19.2,10.8,HOLDING,PASS,LOW,NO_OFFICIAL_FORM,FIRST START,MODERATE,2,2
2026-05-10 18:47:01,Quirindi,5,BIG SHOT LEGEND,STEAM,26.0,21.0,19.2,-6.0,NEGATIVE,PASS,LOW,NO_OFFICIAL_FORM,FIRST START,MODERATE,2,2
2026-05-10 18:47:01,Sportsbet-Ballarat,6,CACHINK,STABLE,5.5,5.5,0.0,38.0,ELITE,EXECUTE,HIGH,,MIDFIELD,MODERATE,1,4
2026-05-10 18:47:01,Taree,3,DANCING TILDA,STABLE,9.0,9.0,0.0,38.0,ELITE,EXECUTE,HIGH,,MIDFIELD,MODERATE,1,4
2026-05-10 18:47:01,Taree,6,ARCHIE MAXIMUS,STABLE,5.0,5.0,0.0,30.9,ELITE,EXECUTE,HIGH,,LEADER,MODERATE,1,4
2026-05-10 18:47:01,Moe,4,RAGHNALL,STABLE,9.0,9.0,0.0,30.0,ELITE,LEAN,HIGH,,MIDFIELD,MODERATE,1,4
2026-05-10 18:47:01,Quirindi,4,GOLDEN VADER,STABLE,6.5,6.5,0.0,30.0,ELITE,LEAN,HIGH,,MIDFIELD,MODERATE,1,4
2026-05-10 18:47:01,Sunshine Coast,8,DIVAKARA,STABLE,6.0,6.0,0.0,27.3,ELITE,LEAN,HIGH,,MIDFIELD,MODERATE,1,4
2026-05-10 18:47:01,Moruya,4,GLENN'S LEGACY,STABLE,9.5,9.5,0.0,22.0,STRONG,WATCH,MEDIUM,,BACKMARKER,MODERATE,1,4
2026-05-10 18:47:01,Moruya,6,CHEBICI,STABLE,14.0,14.0,0.0,22.0,STRONG,PASS,HIGH,,MIDFIELD,MODERATE,1,4
2026-05-10 18:47:01,Moruya,7,AIRLINER,STABLE,17.0,17.0,0.0,22.0,STRONG,PASS,HIGH,,MIDFIELD,SOLID,1,4
2026-05-10 18:47:01,Moruya,7,POSH ANNIE,STABLE,71.0,71.0,0.0,22.0,STRONG,PASS,HIGH,,MIDFIELD,SOLID,1,4
2026-05-10 18:47:01,Quirindi,4,DUBAI GOLD,STABLE,17.0,17.0,0.0,22.0,STRONG,PASS,HIGH,,MIDFIELD,MODERATE,1,4
2026-05-10 18:47:01,Quirindi,5,NATURE BOY (NZ),STABLE,46.0,46.0,0.0,22.0,STRONG,PASS,HIGH,,MIDFIELD,MODERATE,1,4
2026-05-10 18:47:01,Quirindi,5,SET TO PROPHET,STABLE,18.0,18.0,0.0,22.0,STRONG,PASS,HIGH,,ON PACE,MODERATE,1,4
2026-05-10 18:47:01,Sportsbet-Ballarat,2,TOOMANYSTEPS,STABLE,46.0,46.0,0.0,22.0,STRONG,PASS,HIGH,,BACKMARKER,MODERATE,1,4
2026-05-10 18:47:01,Sportsbet-Ballarat,6,MILADY,STABLE,15.0,15.0,0.0,22.0,STRONG,PASS,HIGH,,MIDFIELD,MODERATE,1,4
2026-05-10 18:47:01,Sunshine Coast,1,WITHOUT SURRENDER,STABLE,8.5,8.5,0.0,22.0,STRONG,WATCH,MEDIUM,,LEADER,MODERATE,1,4
2026-05-10 18:47:01,Sunshine Coast,3,JARDIN DE LYS,STABLE,151.0,151.0,0.0,22.0,STRONG,PASS,HIGH,,MIDFIELD,MODERATE,1,4
2026-05-10 18:47:01,Sunshine Coast,3,WORTHY STUNNAH,STABLE,26.0,26.0,0.0,22.0,STRONG,PASS,MEDIUM,,BACKMARKER,MODERATE,1,4
2026-05-10 18:47:01,Sunshine Coast,8,OUR MATE LOCKY,STABLE,11.0,11.0,0.0,22.0,STRONG,WATCH,HIGH,,MIDFIELD,MODERATE,1,4
2026-05-10 18:47:01,Taree,2,LITTLE BUNJI,STABLE,151.0,151.0,0.0,22.0,STRONG,PASS,MEDIUM,,MIDFIELD,MODERATE,1,4
2026-05-10 18:47:01,Taree,2,NIKODY'S CASPER,STABLE,91.0,91.0,0.0,22.0,STRONG,PASS,HIGH,,MIDFIELD,MODERATE,1,4
2026-05-10 18:47:01,Taree,4,IT'S NOT OVER,STABLE,13.0,13.0,0.0,22.0,STRONG,PASS,MEDIUM,,MIDFIELD,MODERATE,1,4
2026-05-10 18:47:01,Taree,4,SIR ZINO (NZ),STABLE,126.0,126.0,0.0,22.0,STRONG,PASS,HIGH,,MIDFIELD,MODERATE,1,4
