current_race_date,track,race_no,horse,trainer_name,jockey_name,trainer_canonical,jockey_canonical,combo_canonical,connection_evidence_status,trainer_track_read,trainer_distance_read,trainer_prep_read,trainer_market_read,jockey_track_read,jockey_distance_read,jockey_heavy_read,combo_read,connection_strength,connection_band,connection_score,connection_angle_1,connection_angle_2,connection_angle_3,connection_risk_1,connection_narrative,evidence_quality,join_quality
2026-06-25,BENDIGO,1,CYBERSECURITY,"BEN, WILL & JD HAYES",JAMIE MOTT,BWJDHAYES,JMOTT,BWJDHAYES|JMOTT,STRONG_CONNECTION,"Trainer at BENDIGO: 64 starts, 21.9% win, 50.0% place, A/E 2.12, ROI +3.0%","Trainer over sprint trips: 1305 starts, 17.4% win, 44.3% place, A/E 1.44, ROI -47.2%","Trainer prep profile: 782 starts, NEUTRAL, ELITE SAMPLE, win lift -0.4pts, place lift +0.1pts | Combo prep profile: 14 starts, NEUTRAL, DEVELOPING, win lift -7.5pts, place lift -5.7pts","Trainer market profile: 4345 starts, 16.0% win, 41.2% place, A/E 1.01, ROI -31.7%","Jockey at BENDIGO: 486 starts, 9.3% win, 33.7% place, A/E 0.68, ROI -38.0%","Jockey over sprint trips: 1683 starts, 15.0% win, 43.3% place, A/E 0.91, ROI -25.9%",Not applicable today,"Trainer/jockey combination: 73 starts, 11.0% win, 32.9% place, A/E 0.65, ROI -44.1%",POSITIVE,POSITIVE,48,Trainer track profile: A/E 2.12 from 64 starts,Trainer distance profile: A/E 1.44 from 1305 starts,Trainer market profile: 41.2% place from 4345 starts,Jockey track profile: below market expectation,CYBERSECURITY has a positive connection read. Trainer track profile: A/E 2.12 from 64 starts.,HIGH,CANONICAL_BRIDGE
2026-06-25,BENDIGO,1,FLAMING PHOENIX,PAUL PREUSKER,PATRICK MOLONEY,PAPREUSKER,PMOLONEY,PAPREUSKER|PMOLONEY,DEVELOPING_CONNECTION,"Trainer at BENDIGO: 179 starts, 8.9% win, 31.3% place, A/E 0.84, ROI -17.1%","Trainer over sprint trips: 477 starts, 10.3% win, 34.2% place, A/E 0.88, ROI -38.6%","Trainer prep profile: 1130 starts, NEUTRAL, ELITE SAMPLE, win lift -2.9pts, place lift -5.4pts","Trainer market profile: 3258 starts, 10.9% win, 32.1% place, A/E 0.89, ROI -18.6%",Limited sample,Limited sample,Not applicable today,Limited sample,NEUTRAL,NEUTRAL,19,"Trainer prep profile: 1130 starts, NEUTRAL, ELITE SAMPLE, win lift -2.9pts, place lift -5.4pts",Trainer SP profile: ROI -100.0% from 40 starts,,Trainer track profile: below market expectation,"FLAMING PHOENIX has a neutral connection read. Trainer prep profile: 1130 starts, NEUTRAL, ELITE SAMPLE, win lift -2.9pts, place lift -5.4pts.",HIGH,BRIDGE_RESOLVED
2026-06-25,BENDIGO,1,LA FORET BELLE,STEPHEN V BROWN,STEPHANIE HATELEY,SVBROWN,SRHATELEY,SVBROWN|SRHATELEY,DEVELOPING_CONNECTION,"Trainer at BENDIGO: 8 starts, 0.0% win, 12.5% place, A/E 0.00, ROI -100.0%","Trainer over sprint trips: 43 starts, 0.0% win, 23.3% place, A/E 0.00, ROI -100.0%","Trainer prep profile: 37 starts, NEUTRAL, MODERATE, win lift +2.3pts, place lift +6.2pts","Trainer market profile: 128 starts, 3.1% win, 18.0% place, A/E 0.59, ROI -64.5%",Limited sample,"Jockey over sprint trips: 75 starts, 13.3% win, 34.7% place, A/E 1.12, ROI -50.8%",Not applicable today,Limited sample,NEUTRAL,NEUTRAL,0,Jockey distance profile: A/E 1.12 from 75 starts,"Trainer prep profile: 37 starts, NEUTRAL, MODERATE, win lift +2.3pts, place lift +6.2pts",Jockey SP profile: ROI -22.0% from 15 starts,Trainer track profile: below market expectation,LA FORET BELLE has a neutral connection read. Jockey distance profile: A/E 1.12 from 75 starts.,HIGH,BRIDGE_RESOLVED
2026-06-25,BENDIGO,1,MAUNA LOA,PAUL PREUSKER,TEO NUGENT,PAPREUSKER,TMNUGENT,PAPREUSKER|TMNUGENT,DEVELOPING_CONNECTION,"Trainer at BENDIGO: 179 starts, 8.9% win, 31.3% place, A/E 0.84, ROI -17.1%","Trainer over sprint trips: 477 starts, 10.3% win, 34.2% place, A/E 0.88, ROI -38.6%","Trainer prep profile: 1130 starts, NEUTRAL, ELITE SAMPLE, win lift -2.9pts, place lift -5.4pts | Combo prep profile: 13 starts, NEUTRAL, DEVELOPING, win lift -4.9pts, place lift -13.9pts","Trainer market profile: 3258 starts, 10.9% win, 32.1% place, A/E 0.89, ROI -18.6%","Jockey at BENDIGO: 101 starts, 9.9% win, 33.7% place, A/E 1.09, ROI -43.3%","Jockey over sprint trips: 814 starts, 9.6% win, 29.4% place, A/E 0.86, ROI -35.5%",Not applicable today,"Trainer/jockey combination: 41 starts, 4.9% win, 29.3% place, A/E 0.49, ROI -82.2%",NEUTRAL,NEUTRAL,4,Jockey track profile: A/E 1.09 from 101 starts,"Trainer prep profile: 1130 starts, NEUTRAL, ELITE SAMPLE, win lift -2.9pts, place lift -5.4pts","Combo prep profile: 13 starts, NEUTRAL, DEVELOPING, win lift -4.9pts, place lift -13.9pts",Trainer track profile: below market expectation,MAUNA LOA has a neutral connection read. Jockey track profile: A/E 1.09 from 101 starts.,HIGH,BRIDGE_RESOLVED
2026-06-25,BENDIGO,1,RUSKA BELLE,MARK & LEVI KAVANAGH,JOE BOWDITCH,MLKAVANAGH,JBOWDITCH,MLKAVANAGH|JBOWDITCH,DEVELOPING_CONNECTION,"Trainer at BENDIGO: 23 starts, 0.0% win, 21.7% place, A/E 0.00, ROI -100.0%","Trainer over sprint trips: 214 starts, 7.5% win, 30.4% place, A/E 0.67, ROI -23.5%","Trainer prep profile: 228 starts, NEUTRAL, ELITE SAMPLE, win lift -2.2pts, place lift -6.6pts | Combo prep profile: 37 starts, NEUTRAL, MODERATE, win lift +1.0pts, place lift -7.8pts","Trainer market profile: 923 starts, 9.1% win, 31.5% place, A/E 0.79, ROI -29.6%","Jockey at BENDIGO: 95 starts, 10.5% win, 27.4% place, A/E 0.88, ROI +27.3%","Jockey over sprint trips: 652 starts, 10.1% win, 32.5% place, A/E 0.86, ROI -22.0%",Not applicable today,"Trainer/jockey combination: 97 starts, 7.2% win, 29.9% place, A/E 0.87, ROI -29.1%",NEUTRAL,NEUTRAL,0,Jockey track profile: ROI +27.3% from 95 starts,"Trainer prep profile: 228 starts, NEUTRAL, ELITE SAMPLE, win lift -2.2pts, place lift -6.6pts","Combo prep profile: 37 starts, NEUTRAL, MODERATE, win lift +1.0pts, place lift -7.8pts",Trainer track profile: below market expectation,RUSKA BELLE has a neutral connection read. Jockey track profile: ROI +27.3% from 95 starts.,HIGH,CANONICAL_BRIDGE
2026-06-25,BENDIGO,1,SECRET ALLIANCE,PHILLIP STOKES,LACHLAN NEINDORF,PSTOKES,LNEINDORF,PSTOKES|LNEINDORF,DEVELOPING_CONNECTION,Limited sample,Limited sample,Limited sample,Limited sample,"Jockey at BENDIGO: 15 starts, 0.0% win, 46.7% place, A/E 0.00, ROI -100.0%","Jockey over sprint trips: 81 starts, 6.2% win, 21.0% place, A/E 0.55, ROI -69.8%",Not applicable today,Limited sample,NEUTRAL,NEUTRAL,8,Jockey track profile: 46.7% place from 15 starts,,,Jockey distance profile: below market expectation,SECRET ALLIANCE has a neutral connection read. Jockey track profile: 46.7% place from 15 starts.,MEDIUM,CANONICAL_BRIDGE
2026-06-25,BENDIGO,1,CRUISE ON BYE,GAVIN BEDGGOOD,DAMIEN THORNTON,GMBEDGGOOD,DTHORNTON,GMBEDGGOOD|DTHORNTON,DEVELOPING_CONNECTION,"Trainer at BENDIGO: 22 starts, 0.0% win, 18.2% place, A/E 0.00, ROI -100.0%","Trainer over sprint trips: 366 starts, 14.2% win, 42.9% place, A/E 0.93, ROI -32.5%","Trainer prep profile: 393 starts, NEUTRAL, ELITE SAMPLE, win lift -3.6pts, place lift -4.4pts","Trainer market profile: 1480 starts, 12.8% win, 36.7% place, A/E 0.93, ROI -19.9%","Jockey at BENDIGO: 268 starts, 8.6% win, 29.9% place, A/E 0.83, ROI -25.1%","Jockey over sprint trips: 878 starts, 9.9% win, 31.5% place, A/E 0.79, ROI -30.5%",Not applicable today,Limited sample,NEUTRAL,NEUTRAL,0,Trainer distance profile: 42.9% place from 366 starts,"Trainer prep profile: 393 starts, NEUTRAL, ELITE SAMPLE, win lift -3.6pts, place lift -4.4pts",Trainer SP profile: ROI -25.0% from 34 starts,Trainer track profile: below market expectation,CRUISE ON BYE has a neutral connection read. Trainer distance profile: 42.9% place from 366 starts.,HIGH,BRIDGE_RESOLVED
2026-06-25,BENDIGO,1,KEJAYAAN,PHILLIP STOKES,HARRY COFFEY,PSTOKES,HTCOFFEY,PSTOKES|HTCOFFEY,DEVELOPING_CONNECTION,Limited sample,Limited sample,Limited sample,Limited sample,"Jockey at BENDIGO: 380 starts, 6.8% win, 26.3% place, A/E 0.79, ROI -34.8%","Jockey over sprint trips: 1381 starts, 12.4% win, 37.4% place, A/E 0.96, ROI -39.8%",Not applicable today,Limited sample,NEUTRAL,NEUTRAL,22,Jockey SP profile: ROI +78.0% from 59 starts,,,Jockey track profile: below market expectation,KEJAYAAN has a neutral connection read. Jockey SP profile: ROI +78.0% from 59 starts.,MEDIUM,BRIDGE_RESOLVED
2026-06-25,BENDIGO,1,TRICKY MISS,CIARON MAHER,NOT NOTIFIED,CMAHER,,,DEVELOPING_CONNECTION,"Trainer at BENDIGO: 58 starts, 10.3% win, 27.6% place, A/E 0.95, ROI -30.1%","Trainer over sprint trips: 731 starts, 15.6% win, 39.4% place, A/E 1.11, ROI -39.4%","Trainer prep profile: 1065 starts, NEUTRAL, ELITE SAMPLE, win lift -0.1pts, place lift -2.0pts","Trainer market profile: 3837 starts, 14.5% win, 39.0% place, A/E 0.95, ROI -27.2%","Jockey at BENDIGO: 28 starts, 3.6% win, 17.9% place, A/E 0.50, ROI -84.3%","Jockey over sprint trips: 519 starts, 0.4% win, 2.3% place, A/E 0.45, ROI -96.0%",Not applicable today,"Trainer/jockey combination: 48 starts, 0.0% win, 0.0% place, ROI -100.0%",NEUTRAL,NEUTRAL,0,Trainer distance profile: A/E 1.11 from 731 starts,Trainer market profile: 39.0% place from 3837 starts,"Trainer prep profile: 1065 starts, NEUTRAL, ELITE SAMPLE, win lift -0.1pts, place lift -2.0pts",Jockey track profile: below market expectation,TRICKY MISS has a neutral connection read. Trainer distance profile: A/E 1.11 from 731 starts.,HIGH,MISSING_JOCKEY
2026-06-25,BENDIGO,1,MERCHANTESSA,JASON WARREN,DEAN YENDALL,JWARREN,DYENDALL,JWARREN|DYENDALL,STRONG_CONNECTION,"Trainer at BENDIGO: 8 starts, 37.5% win, 62.5% place, A/E 2.92, ROI +375.0%","Trainer over sprint trips: 248 starts, 13.3% win, 40.7% place, A/E 1.23, ROI -28.4%","Trainer prep profile: 236 starts, NEUTRAL, ELITE SAMPLE, win lift +1.0pts, place lift +1.7pts","Trainer market profile: 839 starts, 11.1% win, 35.9% place, A/E 0.90, ROI -39.2%","Jockey at BENDIGO: 633 starts, 10.0% win, 31.1% place, A/E 0.83, ROI -42.6%","Jockey over sprint trips: 2137 starts, 12.9% win, 38.2% place, A/E 0.83, ROI -24.7%",Not applicable today,Limited sample,POSITIVE,POSITIVE,51,Trainer track profile: A/E 2.92 from 8 starts,Trainer distance profile: A/E 1.23 from 248 starts,Jockey distance profile: 38.2% place from 2137 starts,Jockey track profile: below market expectation,MERCHANTESSA has a positive connection read. Trainer track profile: A/E 2.92 from 8 starts.,HIGH,CANONICAL_BRIDGE
