race_date,track,race_no,race_key,runner_key,horse,horse_key,saddlecloth,barrier,jockey,trainer,model_rank,win_pct,fair_price,live_price,edge_pct,positive_1,positive_1_value,positive_2,positive_2_value,positive_3,positive_3_value,risk_1,risk_1_value,risk_2,risk_2_value,risk_3,risk_3_value,why_ranked_here,runner_profile_summary,projection_confidence_score,profile_confidence_score,market_confidence_score,data_quality_score,connection_confidence_score,final_confidence_score,confidence_band,confidence_explanation,last_5_ratings,last_5_rating_dates,rating_trend,rating_trend_delta,last_5_finish_positions,last_5_tracks,trend_label,trend_summary,rating_source_method,race_tempo,race_shape_label,race_shape_story,pace_advantage_runner,late_power_beneficiary,pressure_risk_runner,leader_count,on_pace_count,midfield_count,backmarker_count,explainability_feed_status,built_at,connection_score,connection_band,connection_positive_1,connection_positive_1_value,connection_positive_2,connection_positive_2_value,connection_risk_1,connection_risk_1_value,connection_narrative,market_expectation_label,sp_expectation_delta,trainer_track_sr,jockey_track_sr,combo_sr,combo_track_sr,sp_sample_starts,connection_summary_for_decision_engine,explainability_v1_2_status
2026-06-20,DONALD,1,2026-06-20_DONALD_R1,2026-06-20_DONALD_R1_CATTLEMANSBAR,CATTLEMAN'S BAR,CATTLEMANSBAR,1,6,TEO NUGENT,PAUL PREUSKER,12,4.74,21.08,0.0,,,,,,,,Projection Gap,-19.75,Distance Fit,0.0,Condition Fit,0.0,"Rank #12: strongest supports are limited positive evidence. Main risks are Projection Gap -19.75, Distance Fit 0.0, Condition Fit 0.0.",Profile POOR | Map OFF PACE | Action NO MARKET,90.0,53.0,45.0,93.33,95.0,72.75,SOLID,SOLID confidence. Strongest component is connection 95.0. Weakest component is market 45.0. Final confidence 72.8 uses existing confidence where available; otherwise explanatory decomposition.,43.42,2025-12-21,INSUFFICIENT_HISTORY,0.0,6,HORSHAM,INSUFFICIENT_HISTORY,Only one prior historical run found; trend cannot be assessed.,performance_rating_v6_research,EVEN,CONTROLLED SPEED MAP,Tempo profiles as even with 1 leader(s) and 8 on-pace runner(s). Map advantage: ENZO CHARLEY. Pressure risk: ENZO CHARLEY.,ENZO CHARLEY,,ENZO CHARLEY,1,8,5,2,COMPLETE,2026-06-20T04:27:53.682438+00:00,33,NEGATIVE,,,,,Underperforms SP,-32.8 pts from 11,Market expectation risk: this connection has underperformed starting-price expectation from available history.,UNDERPERFORMS_MARKET,-32.7629,6.4103,25.0,2.9412,,11,Market expectation risk: this connection has underperformed starting-price expectation from available history.,COMPLETE
2026-06-20,DONALD,1,2026-06-20_DONALD_R1,2026-06-20_DONALD_R1_ROUGHNUT,ROUGHNUT,ROUGHNUT,10,4,CASSIDY HILL,JANE DUNCAN,6,8.07,12.4,0.0,,Profile,+1.75,,,,,Distance Fit,0.0,Condition Fit,0.0,Runner Profile DNA,15.8,"Rank #6: strongest supports are Profile +1.75. Main risks are Distance Fit 0.0, Condition Fit 0.0, Runner Profile DNA 15.8.",Profile POOR | Map OFF PACE | Action NO MARKET,71.15,52.8,45.0,93.33,95.0,67.04,SOLID,SOLID confidence. Strongest component is connection 95.0. Weakest component is market 45.0. Final confidence 67.0 uses existing confidence where available; otherwise explanatory decomposition.,,2026-05-24 > 2026-05-11 > 2026-04-21 > 2024-02-20 > 2024-02-03,INSUFFICIENT_HISTORY,0.0,5 > 9 > 2 > 9 > 6,BET365 MILDURA > BET365 ECHUCA > BET365 SWAN HILL > BET365 BENALLA > BET365 PARK KYNETON,INSUFFICIENT_HISTORY,Only one prior historical run found; trend cannot be assessed.,results_only_no_rating,EVEN,CONTROLLED SPEED MAP,Tempo profiles as even with 1 leader(s) and 8 on-pace runner(s). Map advantage: ENZO CHARLEY. Pressure risk: ENZO CHARLEY.,ENZO CHARLEY,,ENZO CHARLEY,1,8,5,2,COMPLETE,2026-06-20T04:27:53.682438+00:00,45,NEUTRAL,,,,,Trainer track,0.0% from 11,Connection profile is under pressure: Trainer track 0.0% from 11.,INSUFFICIENT_SP_SAMPLE,,0.0,,,,0,Connection profile is under pressure: Trainer track 0.0% from 11.,COMPLETE
2026-06-20,DONALD,1,2026-06-20_DONALD_R1,2026-06-20_DONALD_R1_JUSTSWIFT,JUST SWIFT,JUSTSWIFT,12,10,JASON MASKIELL,MITCHELL FREEDMAN,2,9.79,10.21,0.0,,Projection Gap,+10.03,Sectionals,63.0,Sectionals,+1.95,Distance Fit,0.0,Condition Fit,0.0,Runner Profile DNA,18.2,"Rank #2: strongest supports are Projection Gap +10.03, Sectionals 63.0, Sectionals +1.95. Main risks are Distance Fit 0.0, Condition Fit 0.0, Runner Profile DNA 18.2.",Profile POOR | Map MIDFIELD | Action NO MARKET,90.0,55.2,45.0,93.33,95.0,73.3,SOLID,SOLID confidence. Strongest component is connection 95.0. Weakest component is market 45.0. Final confidence 73.3 uses existing confidence where available; otherwise explanatory decomposition.,,2026-05-29 > 2026-05-08 > 2025-08-24 > 2025-08-24 > 2025-08-10,INSUFFICIENT_HISTORY,0.0,2 > 2 > 10 > 10 > 4,BENDIGO > SOUTHSIDE PAKENHAM > BET365 SWAN HILL > BET365 SWAN HILL > BET365 ECHUCA,INSUFFICIENT_HISTORY,Only one prior historical run found; trend cannot be assessed.,results_only_no_rating,EVEN,CONTROLLED SPEED MAP,Tempo profiles as even with 1 leader(s) and 8 on-pace runner(s). Map advantage: ENZO CHARLEY. Pressure risk: ENZO CHARLEY.,ENZO CHARLEY,,ENZO CHARLEY,1,8,5,2,COMPLETE,2026-06-20T04:27:53.682438+00:00,48,NEUTRAL,Jockey track,15.4% from 13,,,Jockey condition,5.5% from 128,Connection profile is strong: Jockey track 15.4% from 13.,INSUFFICIENT_SP_SAMPLE,-35.7143,10.7143,15.3846,0.0,,1,Connection profile is strong: Jockey track 15.4% from 13.,COMPLETE
2026-06-20,DONALD,1,2026-06-20_DONALD_R1,2026-06-20_DONALD_R1_ROCKONFOXY,ROCK ON FOXY,ROCKONFOXY,13,5,MELISSA JULIUS,SHAYNE FISHER,9,6.51,15.37,0.0,,Profile,+1.75,,,,,Projection Gap,-11.25,Condition Fit,0.0,Runner Profile DNA,24.0,"Rank #9: strongest supports are Profile +1.75. Main risks are Projection Gap -11.25, Condition Fit 0.0, Runner Profile DNA 24.0.",Profile POOR | Map PACE | Action NO MARKET,90.0,65.0,45.0,93.33,95.0,75.75,SOLID,SOLID confidence. Strongest component is connection 95.0. Weakest component is market 45.0. Final confidence 75.8 uses existing confidence where available; otherwise explanatory decomposition.,58.7 > 36.4 > 41.2 > 40.7 > 40.7,2026-05-26 > 2026-05-06 > 2026-04-27 > 2025-11-25 > 2025-11-25,IMPROVING,18.0,3 > 9 > 10 > 9 > 9,HTON > WNBL > HSHM > ARAT > ARARAT,IMPROVING,IMPROVING: rating trend up 18.0 across last 5 available runs.,performance_rating_v6_research,EVEN,CONTROLLED SPEED MAP,Tempo profiles as even with 1 leader(s) and 8 on-pace runner(s). Map advantage: ENZO CHARLEY. Pressure risk: ENZO CHARLEY.,ENZO CHARLEY,,ENZO CHARLEY,1,8,5,2,COMPLETE,2026-06-20T04:27:53.682438+00:00,36,NEGATIVE,,,,,Trainer/Jockey combo,0.0% from 8,Connection profile is under pressure: Trainer/Jockey combo 0.0% from 8.,INSUFFICIENT_SP_SAMPLE,-41.2913,0.0,4.878,0.0,,2,Connection profile is under pressure: Trainer/Jockey combo 0.0% from 8.,COMPLETE
2026-06-20,DONALD,1,2026-06-20_DONALD_R1,2026-06-20_DONALD_R1_DEBBIE,DEBBIE,DEBBIE,15,8,JOHN KEATING,PAUL BANKS,13,4.34,23.05,0.0,,Sectionals,62.0,Sectionals,+1.8,Pace,+1.6,Projection Gap,-21.41,Condition Fit,0.0,Projected Speed,11.0,"Rank #13: strongest supports are Sectionals 62.0, Sectionals +1.8, Pace +1.6. Main risks are Projection Gap -21.41, Condition Fit 0.0, Projected Speed 11.0.",Profile POOR | Map MIDFIELD | Action NO MARKET,90.0,58.7,45.0,93.33,95.0,74.17,SOLID,SOLID confidence. Strongest component is connection 95.0. Weakest component is market 45.0. Final confidence 74.2 uses existing confidence where available; otherwise explanatory decomposition.,,2026-05-29 > 2025-06-21 > 2025-06-14 > 2025-06-05,INSUFFICIENT_HISTORY,0.0,9 > 8 > SCR > 11,BENDIGO > DONALD > APIAM BENDIGO > LADBROKES GEELONG,INSUFFICIENT_HISTORY,Only one prior historical run found; trend cannot be assessed.,results_only_no_rating,EVEN,CONTROLLED SPEED MAP,Tempo profiles as even with 1 leader(s) and 8 on-pace runner(s). Map advantage: ENZO CHARLEY. Pressure risk: ENZO CHARLEY.,ENZO CHARLEY,,ENZO CHARLEY,1,8,5,2,COMPLETE,2026-06-20T04:27:53.682438+00:00,42,NEGATIVE,,,,,Jockey track,0.0% from 17,Connection profile is under pressure: Jockey track 0.0% from 17.,INSUFFICIENT_SP_SAMPLE,,0.0,0.0,0.0,,0,Connection profile is under pressure: Jockey track 0.0% from 17.,COMPLETE
2026-06-20,DONALD,1,2026-06-20_DONALD_R1,2026-06-20_DONALD_R1_SEEINGRED,SEEING RED,SEEINGRED,16,9,TOM MADDEN,SHANE JACKSON,16,1.29,77.66,0.0,,Projected Speed,59.0,Profile,+1.75,Pace,+1.6,Projection Gap,-29.65,Distance Fit,0.0,Condition Fit,0.0,"Rank #16: strongest supports are Projected Speed 59.0, Profile +1.75, Pace +1.6. Main risks are Projection Gap -29.65, Distance Fit 0.0, Condition Fit 0.0.",Profile POOR | Map MIDFIELD | Action NO MARKET,90.0,53.7,45.0,93.33,95.0,72.92,SOLID,SOLID confidence. Strongest component is connection 95.0. Weakest component is market 45.0. Final confidence 72.9 uses existing confidence where available; otherwise explanatory decomposition.,33.09,2025-11-13,INSUFFICIENT_HISTORY,0.0,9,BET365 SEYMOUR,INSUFFICIENT_HISTORY,Only one prior historical run found; trend cannot be assessed.,performance_rating_v6_research,EVEN,CONTROLLED SPEED MAP,Tempo profiles as even with 1 leader(s) and 8 on-pace runner(s). Map advantage: ENZO CHARLEY. Pressure risk: ENZO CHARLEY.,ENZO CHARLEY,,ENZO CHARLEY,1,8,5,2,COMPLETE,2026-06-20T04:27:53.682438+00:00,40,NEGATIVE,,,,,Jockey track,3.0% from 67,Connection profile is under pressure: Jockey track 3.0% from 67.,MARKET_NEUTRAL,-4.5412,0.0,2.9851,8.2569,0.0,28,Connection profile is under pressure: Jockey track 3.0% from 67.,COMPLETE
2026-06-20,DONALD,1,2026-06-20_DONALD_R1,2026-06-20_DONALD_R1_OURLITTLECRACKER,OUR LITTLE CRACKER,OURLITTLECRACKER,17,13,SHAYLEIGH INGELSE,NELL CARTER,10,5.42,18.44,0.0,,Profile,+0.9,Late Power,+0.16,,,Projection Gap,-16.75,Condition Fit,0.0,Runner Profile DNA,21.7,"Rank #10: strongest supports are Profile +0.9, Late Power +0.16. Main risks are Projection Gap -16.75, Condition Fit 0.0, Runner Profile DNA 21.7.",Profile POOR | Map BACKMARKER | Action NO MARKET,90.0,58.7,45.0,93.33,95.0,74.17,SOLID,SOLID confidence. Strongest component is connection 95.0. Weakest component is market 45.0. Final confidence 74.2 uses existing confidence where available; otherwise explanatory decomposition.,,2026-05-02 > 2026-04-17 > 2025-06-21 > 2025-06-08,INSUFFICIENT_HISTORY,0.0,7 > SCR > 10 > 11,DONALD > BET365 STAWELL > DONALD > CASTERTON,INSUFFICIENT_HISTORY,Only one prior historical run found; trend cannot be assessed.,results_only_no_rating,EVEN,CONTROLLED SPEED MAP,Tempo profiles as even with 1 leader(s) and 8 on-pace runner(s). Map advantage: ENZO CHARLEY. Pressure risk: ENZO CHARLEY.,ENZO CHARLEY,,ENZO CHARLEY,1,8,5,2,COMPLETE,2026-06-20T04:27:53.682438+00:00,50,NEUTRAL,,,,,,,Connection evidence is limited: trainer/jockey combination has insufficient track/combo sample.,INSUFFICIENT_SP_SAMPLE,,,,,,0,Connection evidence is limited: trainer/jockey combination has insufficient track/combo sample.,COMPLETE
2026-06-20,DONALD,1,2026-06-20_DONALD_R1,2026-06-20_DONALD_R1_LORDLONNY,LORD LONNY,LORDLONNY,18,2,CIAN MACREDMOND,MELODY CUNNINGHAM,8,6.68,14.98,0.0,,Sectionals,66.0,Sectionals,+2.4,Profile,+1.75,Projection Gap,-10.49,Condition Fit,0.0,Projected Speed,19.0,"Rank #8: strongest supports are Sectionals 66.0, Sectionals +2.4, Profile +1.75. Main risks are Projection Gap -10.49, Condition Fit 0.0, Projected Speed 19.0.",Profile POOR | Map PACE | Action NO MARKET,90.0,59.3,45.0,93.33,95.0,74.32,SOLID,SOLID confidence. Strongest component is connection 95.0. Weakest component is market 45.0. Final confidence 74.3 uses existing confidence where available; otherwise explanatory decomposition.,,2026-05-24 > 2026-05-18 > 2026-05-10 > 2025-03-31 > 2025-03-22,INSUFFICIENT_HISTORY,0.0,7 > SCR > 7 > 8 > 7,SPORTSBET-BALLARAT > BET365 STAWELL > SPORTSBET-BALLARAT > BET365 YARRA VALLEY > BET365 BENALLA,INSUFFICIENT_HISTORY,Only one prior historical run found; trend cannot be assessed.,results_only_no_rating,EVEN,CONTROLLED SPEED MAP,Tempo profiles as even with 1 leader(s) and 8 on-pace runner(s). Map advantage: ENZO CHARLEY. Pressure risk: ENZO CHARLEY.,ENZO CHARLEY,,ENZO CHARLEY,1,8,5,2,COMPLETE,2026-06-20T04:27:53.682438+00:00,26,POOR,,,,,Underperforms SP,-15.1 pts from 22,Market expectation risk: this connection has underperformed starting-price expectation from available history.,UNDERPERFORMS_MARKET,-15.1319,0.0,0.0,3.3058,0.0,22,Market expectation risk: this connection has underperformed starting-price expectation from available history.,COMPLETE
2026-06-20,DONALD,1,2026-06-20_DONALD_R1,2026-06-20_DONALD_R1_INARTICULATE,INARTICULATE,INARTICULATE,19,1,NOT NOTIFIED,MELODY CUNNINGHAM,5,8.51,11.76,0.0,,Projected Speed,58.0,Projection Gap,+0.79,Profile,+1.75,Distance Fit,0.0,Condition Fit,0.0,Runner Profile DNA,15.5,"Rank #5: strongest supports are Projected Speed 58.0, Projection Gap +0.79, Profile +1.75. Main risks are Distance Fit 0.0, Condition Fit 0.0, Runner Profile DNA 15.5.",Profile POOR | Map PACE | Action NO MARKET,67.37,56.5,45.0,93.33,95.0,66.84,SOLID,SOLID confidence. Strongest component is connection 95.0. Weakest component is market 45.0. Final confidence 66.8 uses existing confidence where available; otherwise explanatory decomposition.,74.91 > 40.54 > 43.52 > 40.58 > 43.55,2026-01-01 > 2025-12-22 > 2025-12-22 > 2025-11-13 > 2025-11-13,IMPROVING,31.36,2 > 10 > 10 > 9 > 9,MERT > SPORTSBET-WANGARATTA > WANG > BET365 SEYMOUR > SEYM,IMPROVING,IMPROVING: rating trend up 31.36 across last 5 available runs.,performance_rating_v6_research,EVEN,CONTROLLED SPEED MAP,Tempo profiles as even with 1 leader(s) and 8 on-pace runner(s). Map advantage: ENZO CHARLEY. Pressure risk: ENZO CHARLEY.,ENZO CHARLEY,,ENZO CHARLEY,1,8,5,2,COMPLETE,2026-06-20T04:27:53.682438+00:00,45,NEUTRAL,,,,,Trainer track,0.0% from 12,Connection profile is under pressure: Trainer track 0.0% from 12.,INSUFFICIENT_SP_SAMPLE,,0.0,,,,0,Connection profile is under pressure: Trainer track 0.0% from 12.,COMPLETE
2026-06-20,DONALD,1,2026-06-20_DONALD_R1,2026-06-20_DONALD_R1_ENZOCHARLEY,ENZO CHARLEY,ENZOCHARLEY,2,12,JACK HILL,SYMON WILDE,3,9.45,10.58,0.0,,Projection Gap,+7.41,Projected Speed,75.0,Class Fit,55.5,Distance Fit,0.0,Condition Fit,0.0,Runner Profile DNA,18.5,"Rank #3: strongest supports are Projection Gap +7.41, Projected Speed 75.0, Class Fit 55.5. Main risks are Distance Fit 0.0, Condition Fit 0.0, Runner Profile DNA 18.5.",Profile POOR | Map LEADER | Action NO MARKET,87.23,59.5,45.0,93.33,95.0,73.54,SOLID,SOLID confidence. Strongest component is connection 95.0. Weakest component is market 45.0. Final confidence 73.5 uses existing confidence where available; otherwise explanatory decomposition.,74.61 > 57.2 > 68.6 > 58.72,2026-05-17 > 2026-05-06 > 2026-03-29 > 2026-03-17,IMPROVING,15.89,2 > 5 > 2 > 4,CAST > WNBL > AVOC > TER,IMPROVING,IMPROVING: rating trend up 15.89 across last 4 available runs.,performance_rating_v6_research,EVEN,CONTROLLED SPEED MAP,Tempo profiles as even with 1 leader(s) and 8 on-pace runner(s). Map advantage: ENZO CHARLEY. Pressure risk: ENZO CHARLEY.,ENZO CHARLEY,,ENZO CHARLEY,1,8,5,2,COMPLETE,2026-06-20T04:27:53.682438+00:00,53,NEUTRAL,Trainer track,25.0% from 52,,,Jockey track,5.3% from 76,Connection profile is strong: Trainer track 25.0% from 52.,INSUFFICIENT_SP_SAMPLE,-13.7297,25.0,5.2632,13.3333,50.0,8,Connection profile is strong: Trainer track 25.0% from 52.,COMPLETE
2026-06-20,DONALD,1,2026-06-20_DONALD_R1,2026-06-20_DONALD_R1_RANGATOO,RANGATOO,RANGATOO,20,16,NOT NOTIFIED,CHRISTOPHER DAVIS,11,5.35,18.68,0.0,,Sectionals,61.0,Profile,+1.75,Sectionals,+1.65,Projection Gap,-17.14,Condition Fit,0.0,Runner Profile DNA,23.3,"Rank #11: strongest supports are Sectionals 61.0, Profile +1.75, Sectionals +1.65. Main risks are Projection Gap -17.14, Condition Fit 0.0, Runner Profile DNA 23.3.",Profile POOR | Map PACE | Action NO MARKET,90.0,64.3,45.0,93.33,95.0,75.57,SOLID,SOLID confidence. Strongest component is connection 95.0. Weakest component is market 45.0. Final confidence 75.6 uses existing confidence where available; otherwise explanatory decomposition.,40.92 > 43.4 > 56.05 > 54.13 > 54.21,2026-05-04 > 2026-04-25 > 2026-04-11 > 2026-03-28 > 2026-03-14,DECLINING,-13.29,9 > 8 > 5 > 5 > 7,KILM > DEN > HILL > CARR > BERR,DECLINING,DECLINING: rating trend down -13.29 across last 5 available runs.,performance_rating_v6_research,EVEN,CONTROLLED SPEED MAP,Tempo profiles as even with 1 leader(s) and 8 on-pace runner(s). Map advantage: ENZO CHARLEY. Pressure risk: ENZO CHARLEY.,ENZO CHARLEY,,ENZO CHARLEY,1,8,5,2,COMPLETE,2026-06-20T04:27:53.682438+00:00,47,NEUTRAL,,,,,Trainer condition,1.9% from 52,Connection profile is under pressure: Trainer condition 1.9% from 52.,INSUFFICIENT_SP_SAMPLE,,9.0909,,,,0,Connection profile is under pressure: Trainer condition 1.9% from 52.,COMPLETE
